C12002B_001E,C12002B_001EA,C12002B_001M,C12002B_001MA,C12002B_002E,C12002B_002EA,C12002B_002M,C12002B_002MA,C12002B_003E,C12002B_003EA,C12002B_003M,C12002B_003MA,C12002B_004E,C12002B_004EA,C12002B_004M,C12002B_004MA,C12002B_005E,C12002B_005EA,C12002B_005M,C12002B_005MA,C12002B_006E,C12002B_006EA,C12002B_006M,C12002B_006MA,GEO_ID,NAME,state
943780,null,4122,null,412997,null,8355,null,294630,null,10853,null,45890,null,3544,null,73045,null,3226,null,117218,null,5922,null,0400000US01,Alabama,01
19302,null,2293,null,8808,null,1795,null,7127,null,1377,null,787,null,421,null,341,null,296,null,2239,null,781,null,0400000US02,Alaska,02
174381,null,3290,null,81711,null,4573,null,53844,null,4267,null,6959,null,1411,null,9032,null,1639,null,22835,null,2639,null,0400000US04,Arizona,04
335153,null,3140,null,152376,null,5094,null,94088,null,6005,null,17833,null,2299,null,26611,null,1822,null,44245,null,3430,null,0400000US05,Arkansas,05
1788290,null,9585,null,872131,null,13867,null,509792,null,12528,null,75167,null,5417,null,97398,null,4685,null,233802,null,8371,null,0400000US06,California,06
144504,null,3358,null,60043,null,3713,null,51865,null,3381,null,4848,null,1211,null,7062,null,1164,null,20686,null,2586,null,0400000US08,Colorado,08
256806,null,3653,null,127465,null,3955,null,79302,null,4349,null,7523,null,1734,null,11488,null,1451,null,31028,null,2521,null,0400000US09,Connecticut,09
139048,null,1530,null,67599,null,3211,null,44311,null,3463,null,3736,null,883,null,7193,null,1210,null,16209,null,2172,null,0400000US10,Delaware,10
258361,null,2441,null,142261,null,4650,null,48546,null,4613,null,11569,null,1689,null,21766,null,1699,null,34219,null,2912,null,0400000US11,District of Columbia,11
2150739,null,9226,null,985796,null,13736,null,694030,null,13662,null,93385,null,6070,null,116277,null,5027,null,261251,null,9680,null,0400000US12,Florida,12
2215168,null,7060,null,1034628,null,13455,null,697342,null,14957,null,96716,null,5753,null,123518,null,5366,null,262964,null,8669,null,0400000US13,Georgia,13
24612,null,2245,null,8368,null,2137,null,12878,null,2111,null,426,null,329,null,425,null,411,null,2515,null,1050,null,0400000US15,Hawaii,15
4873,null,846,null,1959,null,709,null,2472,null,617,null,0,null,259,null,113,null,169,null,329,null,274,null,0400000US16,Idaho,16
1446307,null,10036,null,752820,null,11916,null,369150,null,10327,null,59026,null,4611,null,93896,null,3953,null,171415,null,5714,null,0400000US17,Illinois,17
414584,null,3909,null,196582,null,5401,null,117884,null,5313,null,17056,null,2320,null,25560,null,1923,null,57502,null,4214,null,0400000US18,Indiana,18
55261,null,2121,null,29733,null,2605,null,14930,null,1851,null,1942,null,749,null,1556,null,591,null,7100,null,1364,null,0400000US19,Iowa,19
119199,null,2855,null,54053,null,3317,null,37812,null,3614,null,3639,null,961,null,5681,null,949,null,18014,null,2326,null,0400000US20,Kansas,20
246501,null,3922,null,115010,null,4603,null,74870,null,5147,null,9754,null,1877,null,14928,null,1710,null,31939,null,2971,null,0400000US21,Kentucky,21
1057144,null,4162,null,493301,null,9219,null,317540,null,10567,null,48601,null,4189,null,72249,null,3255,null,125453,null,4952,null,0400000US22,Louisiana,22
7689,null,1054,null,3078,null,916,null,3609,null,958,null,74,null,77,null,119,null,98,null,809,null,448,null,0400000US23,Maine,23
1283595,null,4693,null,584023,null,9077,null,424064,null,9046,null,57043,null,4887,null,72375,null,3809,null,146090,null,5672,null,0400000US24,Maryland,24
313708,null,5730,null,160010,null,5802,null,95375,null,6047,null,15677,null,2148,null,14367,null,1854,null,28279,null,2391,null,0400000US25,Massachusetts,25
1074041,null,5484,null,558787,null,8851,null,261294,null,9318,null,41384,null,3812,null,68783,null,3358,null,143793,null,5779,null,0400000US26,Michigan,26
