C25122_001E,C25122_001EA,C25122_001M,C25122_001MA,C25122_002E,C25122_002EA,C25122_002M,C25122_002MA,C25122_003E,C25122_003EA,C25122_003M,C25122_003MA,C25122_004E,C25122_004EA,C25122_004M,C25122_004MA,C25122_005E,C25122_005EA,C25122_005M,C25122_005MA,C25122_006E,C25122_006EA,C25122_006M,C25122_006MA,C25122_007E,C25122_007EA,C25122_007M,C25122_007MA,C25122_008E,C25122_008EA,C25122_008M,C25122_008MA,C25122_009E,C25122_009EA,C25122_009M,C25122_009MA,C25122_010E,C25122_010EA,C25122_010M,C25122_010MA,C25122_011E,C25122_011EA,C25122_011M,C25122_011MA,C25122_012E,C25122_012EA,C25122_012M,C25122_012MA,C25122_013E,C25122_013EA,C25122_013M,C25122_013MA,C25122_014E,C25122_014EA,C25122_014M,C25122_014MA,C25122_015E,C25122_015EA,C25122_015M,C25122_015MA,C25122_016E,C25122_016EA,C25122_016M,C25122_016MA,C25122_017E,C25122_017EA,C25122_017M,C25122_017MA,C25122_018E,C25122_018EA,C25122_018M,C25122_018MA,C25122_019E,C25122_019EA,C25122_019M,C25122_019MA,C25122_020E,C25122_020EA,C25122_020M,C25122_020MA,C25122_021E,C25122_021EA,C25122_021M,C25122_021MA,C25122_022E,C25122_022EA,C25122_022M,C25122_022MA,C25122_023E,C25122_023EA,C25122_023M,C25122_023MA,C25122_024E,C25122_024EA,C25122_024M,C25122_024MA,C25122_025E,C25122_025EA,C25122_025M,C25122_025MA,C25122_026E,C25122_026EA,C25122_026M,C25122_026MA,C25122_027E,C25122_027EA,C25122_027M,C25122_027MA,C25122_028E,C25122_028EA,C25122_028M,C25122_028MA,C25122_029E,C25122_029EA,C25122_029M,C25122_029MA,C25122_030E,C25122_030EA,C25122_030M,C25122_030MA,C25122_031E,C25122_031EA,C25122_031M,C25122_031MA,GEO_ID,NAME,state
526710,null,11922,null,105864,null,4678,null,48433,null,3737,null,35525,null,3165,null,4666,null,1348,null,17240,null,2158,null,116003,null,6430,null,42756,null,3244,null,52040,null,4102,null,6532,null,1443,null,14675,null,2142,null,123672,null,6274,null,27781,null,2862,null,72426,null,4594,null,9619,null,1657,null,13846,null,1961,null,75165,null,4725,null,10549,null,2026,null,46737,null,4060,null,9120,null,1783,null,8759,null,1397,null,66111,null,4418,null,7022,null,1369,null,40151,null,3617,null,11936,null,2121,null,7002,null,1436,null,39895,null,3322,null,2406,null,843,null,18549,null,2383,null,15044,null,2376,null,3896,null,1472,null,0400000US01,Alabama,01
83273,null,3590,null,4500,null,908,null,1180,null,496,null,1684,null,630,null,1011,null,531,null,625,null,286,null,8606,null,1253,null,1862,null,545,null,4455,null,936,null,1413,null,598,null,876,null,375,null,18141,null,2282,null,1806,null,658,null,10863,null,1754,null,3556,null,1131,null,1916,null,587,null,16089,null,1481,null,419,null,318,null,8013,null,1441,null,5830,null,1297,null,1827,null,660,null,17181,null,1979,null,441,null,249,null,5990,null,1192,null,8775,null,1325,null,1975,null,623,null,18756,null,1872,null,237,null,173,null,4247,null,996,null,12383,null,1701,null,1889,null,614,null,0400000US02,Alaska,02
724952,null,12371,null,92108,null,5433,null,23314,null,2296,null,46230,null,4022,null,14864,null,2069,null,7700,null,1499,null,113022,null,5543,null,18963,null,2469,null,67297,null,4597,null,17805,null,2318,null,8957,null,1648,null,166940,null,7307,null,14301,null,2278,null,105786,null,5677,null,37613,null,3384,null,9240,null,1584,null,127953,null,5911,null,5640,null,1292,null,70075,null,4935,null,47490,null,3896,null,4748,null,952,null,122146,null,5517,null,3473,null,735,null,53839,null,3743,null,60400,null,4445,null,4434,null,1114,null,102783,null,6087,null,3449,null,1044,null,27127,null,3128,null,68846,null,5132,null,3361,null,908,null,0400000US04,Arizona,04
363402,null,7994,null,73012,null,3999,null,33088,null,2993,null,26282,null,2740,null,2996,null,1025,null,10646,null,1687,null,79713,null,4177,null,27657,null,2709,null,38978,null,3032,null,3599,null,1075,null,9479,null,1581,null,94020,null,5294,null,21320,null,2566,null,59635,null,4004,null,5057,null,1344,null,8008,null,1438,null,54711,null,4319,null,7904,null,1516,null,35669,null,3388,null,6130,null,1766,null,5008,null,1104,null,40621,null,3451,null,5050,null,1387,null,24826,null,2721,null,6749,null,1234,null,3996,null,965,null,21325,null,2598,null,2378,null,946,null,10579,null,2029,null,6749,null,1216,null,1619,null,523,null,0400000US05,Arkansas,05
5230328,null,29953,null,461414,null,13585,null,96238,null,6063,null,175671,null,7071,null,161850,null,6923,null,27655,null,3189,null,817238,null,15058,null,165729,null,6517,null,362470,null,10605,null,259267,null,8778,null,29772,null,2720,null,1002319,null,15691,null,55341,null,4555,null,453576,null,10634,null,455354,null,11236,null,38048,null,3490,null,799735,null,17066,null,20739,null,2318,null,290113,null,7840,null,466488,null,13113,null,22395,null,2663,null,947037,null,13981,null,15270,null,2137,null,224677,null,8202,null,684247,null,12441,null,22843,null,2507,null,1202585,null,19151,null,10969,null,1700,null,138461,null,6566,null,1024512,null,17362,null,28643,null,2509,null,0400000US06,California,06
617021,null,9872,null,77964,null,4573,null,25811,null,2767,null,37493,null,3801,null,10246,null,1912,null,4414,null,1172,null,103746,null,5638,null,24297,null,2349,null,58217,null,3998,null,15746,null,2148,null,5486,null,1097,null,146306,null,6214,null,13799,null,2251,null,94564,null,5401,null,33808,null,2982,null,4135,null,874,null,106250,null,6272,null,4323,null,986,null,63888,null,5074,null,35300,null,3316,null,2739,null,821,null,101323,null,5654,null,2648,null,953,null,44496,null,3222,null,50757,null,3673,null,3422,null,929,null,81432,null,4459,null,658,null,313,null,20559,null,2333,null,58130,null,3775,null,2085,null,752,null,0400000US08,Colorado,08
412243,null,8075,null,57546,null,3636,null,20287,null,2269,null,19501,null,2183,null,15743,null,2179,null,2015,null,735,null,65749,null,4122,null,19139,null,1877,null,27904,null,2955,null,15920,null,2123,null,2786,null,811,null,80142,null,5393,null,6768,null,1479,null,39719,null,3367,null,29728,null,3237,null,3927,null,1181,null,62967,null,4283,null,1830,null,761,null,30350,null,3182,null,28145,null,2952,null,2642,null,770,null,74910,null,4746,null,1444,null,618,null,26836,null,2432,null,44140,null,3834,null,2490,null,813,null,70929,null,4402,null,868,null,489,null,15503,null,2167,null,50960,null,3926,null,3598,null,834,null,0400000US09,Connecticut,09
87110,null,4274,null,11515,null,1905,null,3809,null,1020,null,4100,null,1069,null,2403,null,1017,null,1203,null,530,null,14174,null,2181,null,3529,null,1136,null,6802,null,1629,null,3215,null,993,null,628,null,279,null,19455,null,2550,null,2125,null,729,null,10740,null,2057,null,5496,null,1238,null,1094,null,468,null,14354,null,2282,null,394,null,380,null,7452,null,1730,null,5804,null,1335,null,704,null,438,null,14786,null,2056,null,244,null,307,null,5724,null,1282,null,7797,null,1469,null,1021,null,540,null,12826,null,2162,null,147,null,236,null,3224,null,787,null,8492,null,1998,null,963,null,614,null,0400000US10,Delaware,10
141425,null,4835,null,25029,null,2562,null,9598,null,1618,null,7616,null,1724,null,7426,null,1352,null,389,null,327,null,16993,null,2270,null,4300,null,1131,null,6797,null,1448,null,5125,null,1109,null,771,null,500,null,21535,null,2555,null,1538,null,657,null,13380,null,1742,null,6360,null,1438,null,257,null,222,null,21107,null,2347,null,1527,null,706,null,10168,null,1832,null,8844,null,1398,null,568,null,396,null,23136,null,2249,null,482,null,322,null,7683,null,1468,null,14608,null,1699,null,363,null,233,null,33625,null,2424,null,995,null,648,null,4204,null,1197,null,27978,null,2033,null,448,null,285,null,0400000US11,District of Columbia,11
2140788,null,22439,null,269579,null,8228,null,69557,null,4332,null,117970,null,6383,null,58824,null,4469,null,23228,null,2687,null,362035,null,10288,null,58834,null,4578,null,194909,null,8815,null,85689,null,4785,null,22603,null,2734,null,515107,null,13916,null,29766,null,3378,null,290894,null,10270,null,171635,null,7766,null,22812,null,2728,null,374558,null,10690,null,9949,null,1471,null,177557,null,7941,null,174499,null,7083,null,12553,null,1903,null,350735,null,11878,null,5685,null,1630,null,123768,null,6660,null,208066,null,7949,null,13216,null,2165,null,268774,null,8290,null,3850,null,1403,null,55806,null,4256,null,200395,null,7997,null,8723,null,1679,null,0400000US12,Florida,12
