C15002A_001E,C15002A_001EA,C15002A_001M,C15002A_001MA,C15002A_002E,C15002A_002EA,C15002A_002M,C15002A_002MA,C15002A_003E,C15002A_003EA,C15002A_003M,C15002A_003MA,C15002A_004E,C15002A_004EA,C15002A_004M,C15002A_004MA,C15002A_005E,C15002A_005EA,C15002A_005M,C15002A_005MA,C15002A_006E,C15002A_006EA,C15002A_006M,C15002A_006MA,C15002A_007E,C15002A_007EA,C15002A_007M,C15002A_007MA,C15002A_008E,C15002A_008EA,C15002A_008M,C15002A_008MA,C15002A_009E,C15002A_009EA,C15002A_009M,C15002A_009MA,C15002A_010E,C15002A_010EA,C15002A_010M,C15002A_010MA,C15002A_011E,C15002A_011EA,C15002A_011M,C15002A_011MA,GEO_ID,NAME,state
2262010,null,3739,null,1085660,null,2867,null,183628,null,6565,null,331909,null,7405,null,290790,null,7613,null,279333,null,7692,null,1176350,null,2376,null,187472,null,6134,null,381077,null,8216,null,339662,null,7571,null,268139,null,7794,null,0400000US01,Alabama,01
314810,null,2062,null,164378,null,1386,null,10213,null,1824,null,44497,null,3215,null,61883,null,3492,null,47785,null,3166,null,150432,null,1314,null,6990,null,1506,null,33701,null,2168,null,56857,null,2811,null,52884,null,2836,null,0400000US02,Alaska,02
3491360,null,13601,null,1716411,null,8426,null,260392,null,9665,null,421471,null,9446,null,556763,null,9810,null,477785,null,8943,null,1774949,null,6705,null,243070,null,9528,null,446155,null,9793,null,641337,null,10345,null,444387,null,9009,null,0400000US04,Arizona,04
1540067,null,4395,null,739906,null,3404,null,127505,null,5278,null,262933,null,7777,null,196177,null,6212,null,153291,null,5679,null,800161,null,2334,null,123174,null,4462,null,285114,null,5417,null,238905,null,5391,null,152968,null,4933,null,0400000US05,Arkansas,05
15281059,null,38347,null,7537766,null,23372,null,1274256,null,20240,null,1551917,null,20342,null,2259967,null,22982,null,2451626,null,20061,null,7743293,null,19737,null,1215127,null,16115,null,1673058,null,16674,null,2554886,null,20530,null,2300222,null,17548,null,0400000US06,California,06
2834821,null,9311,null,1406646,null,6134,null,145356,null,5539,null,316267,null,8289,null,410002,null,8248,null,535021,null,8951,null,1428175,null,4454,null,125615,null,5148,null,322539,null,8454,null,459069,null,7806,null,520952,null,9521,null,0400000US08,Colorado,08
1956360,null,6220,null,932840,null,3687,null,90141,null,4838,null,258875,null,6923,null,219293,null,6812,null,364531,null,7323,null,1023520,null,3482,null,92225,null,4908,null,289241,null,7392,null,273398,null,7175,null,368656,null,7826,null,0400000US09,Connecticut,09
440066,null,1908,null,209831,null,1215,null,25444,null,2421,null,68069,null,3269,null,56321,null,3100,null,59997,null,3030,null,230235,null,916,null,23269,null,2176,null,75248,null,2752,null,67947,null,3321,null,63771,null,3079,null,0400000US10,Delaware,10
160138,null,2532,null,81467,null,1555,null,5547,null,1365,null,2472,null,952,null,6722,null,1233,null,66726,null,1739,null,78671,null,1402,null,4702,null,1409,null,3645,null,1006,null,6303,null,1115,null,64021,null,1426,null,0400000US11,District of Columbia,11
10277457,null,15666,null,4966841,null,10339,null,684197,null,12079,null,1424801,null,16658,null,1413402,null,16042,null,1444441,null,15637,null,5310616,null,9063,null,655041,null,12755,null,1646037,null,18250,null,1654894,null,16881,null,1354644,null,17904,null,0400000US12,Florida,12
4035131,null,10710,null,1963898,null,7787,null,289695,null,10385,null,555810,null,11430,null,497796,null,9660,null,620597,null,9560,null,2071233,null,4786,null,272066,null,8831,null,603940,null,11374,null,585698,null,9731,null,609529,null,9546,null,0400000US13,Georgia,13
248034,null,2648,null,133785,null,2065,null,4771,null,1027,null,27898,null,2814,null,46571,null,2917,null,54545,null,2539,null,114249,null,1529,null,4816,null,1100,null,22071,null,2299,null,42025,null,2353,null,45337,null,2754,null,0400000US15,Hawaii,15
905119,null,2663,null,446775,null,2056,null,53066,null,3892,null,122711,null,4862,null,156143,null,5360,null,114855,null,4925,null,458344,null,1642,null,49448,null,3710,null,130657,null,4111,null,173358,null,4193,null,104881,null,3757,null,0400000US16,Idaho,16
6345979,null,16633,null,3080275,null,8500,null,359340,null,9522,null,856108,null,12893,null,868812,null,11572,null,996015,null,12600,null,3265704,null,10024,null,354773,null,9301,null,942340,null,12004,null,973400,null,12200,null,995191,null,12108,null,0400000US17,Illinois,17
3673904,null,5799,null,1772963,null,3549,null,234551,null,6899,null,627633,null,9269,null,485719,null,8719,null,425060,null,8883,null,1900941,null,3145,null,234528,null,7207,null,682862,null,10083,null,551847,null,8808,null,431704,null,8826,null,0400000US18,Indiana,18
1870198,null,3669,null,900983,null,2438,null,85191,null,3404,null,317600,null,6229,null,278591,null,6559,null,219601,null,6607,null,969215,null,1959,null,81526,null,4175,null,322085,null,5985,null,330185,null,5674,null,235419,null,5072,null,0400000US19,Iowa,19
1597426,null,5059,null,773120,null,3673,null,76474,null,3980,null,220302,null,5934,null,234543,null,5999,null,241801,null,4737,null,824306,null,2315,null,72101,null,3549,null,229356,null,5085,null,279221,null,5365,null,243628,null,6084,null,0400000US20,Kansas,20
2607269,null,3598,null,1247288,null,2686,null,251647,null,7085,null,439201,null,7680,null,308352,null,6953,null,248088,null,5789,null,1359981,null,2295,null,236197,null,6748,null,465307,null,8929,null,389399,null,7445,null,269078,null,5858,null,0400000US21,Kentucky,21
1919233,null,3486,null,922719,null,2128,null,152575,null,5466,null,311524,null,6265,null,235439,null,6908,null,223181,null,6140,null,996514,null,2295,null,140180,null,4540,null,358002,null,6478,null,268060,null,6715,null,230272,null,6364,null,0400000US22,Louisiana,22
901068,null,1036,null,429974,null,626,null,48327,null,2829,null,156766,null,4547,null,119206,null,4075,null,105675,null,4093,null,471094,null,781,null,41260,null,3068,null,161364,null,5042,null,144850,null,4092,null,123620,null,5132,null,0400000US23,Maine,23
2385664,null,6677,null,1145272,null,4540,null,122753,null,6524,null,292198,null,7410,null,274363,null,6471,null,455958,null,7892,null,1240392,null,3101,null,118505,null,4871,null,328393,null,6189,null,328526,null,6847,null,464968,null,6921,null,0400000US24,Maryland,24
3744871,null,8472,null,1774438,null,4834,null,176055,null,7044,null,490107,null,10026,null,398784,null,8594,null,709492,null,9611,null,1970433,null,4718,null,170941,null,5695,null,523583,null,10165,null,517132,null,9286,null,758777,null,12013,null,0400000US25,Massachusetts,25
5440680,null,5588,null,2644488,null,3703,null,291021,null,8112,null,818702,null,11997,null,822718,null,11626,null,712047,null,10080,null,2796192,null,3243,null,267857,null,7685,null,905693,null,10201,null,932283,null,11871,null,690359,null,8953,null,0400000US26,Michigan,26
3135315,null,3871,null,1534797,null,2731,null,118294,null,4115,null,436614,null,6778,null,481078,null,8430,null,498811,null,6803,null,1600518,null,2322,null,105169,null,4814,null,438050,null,6674,null,550102,null,7125,null,507197,null,6608,null,0400000US27,Minnesota,27
1192409,null,4892,null,573998,null,2480,null,93981,null,5017,null,167011,null,5207,null,176186,null,6088,null,136820,null,4803,null,618411,null,3446,null,91473,null,4584,null,186717,null,5475,null,204916,null,6040,null,135305,null,4476,null,0400000US28,Mississippi,28
3380839,null,3762,null,1622908,null,2416,null,207503,null,5946,null,531556,null,8455,null,453257,null,8442,null,430592,null,8075,null,1757931,null,2341,null,218066,null,6856,null,562408,null,8521,null,533370,null,8523,null,444087,null,7996,null,0400000US29,Missouri,29
598910,null,1591,null,296000,null,1264,null,27350,null,2178,null,95730,null,4137,null,91306,null,4491,null,81614,null,3786,null,302910,null,1171,null,22778,null,2087,null,90714,null,3535,null,103378,null,4218,null,86040,null,3615,null,0400000US30,Montana,30
1051571,null,3249,null,509550,null,2139,null,45757,null,2857,null,153222,null,4946,null,165520,null,4494,null,145051,null,4514,null,542021,null,1844,null,43714,null,2655,null,160827,null,4178,null,190166,null,4570,null,147314,null,3593,null,0400000US31,Nebraska,31
1353349,null,7627,null,693630,null,4922,null,116141,null,5772,null,199305,null,6015,null,220809,null,6885,null,157375,null,5919,null,659719,null,4691,null,103807,null,5353,null,192639,null,5569,null,226177,null,6177,null,137096,null,5107,null,0400000US32,Nevada,32
864834,null,1998,null,418843,null,1221,null,42033,null,3092,null,124239,null,5136,null,110305,null,4369,null,142266,null,4387,null,445991,null,1383,null,34872,null,2853,null,130549,null,4443,null,137883,null,4544,null,142687,null,4824,null,0400000US33,New Hampshire,33
4293972,null,10833,null,2058793,null,6414,null,226454,null,9495,null,599845,null,11560,null,480090,null,10152,null,752404,null,12579,null,2235179,null,5844,null,240563,null,7554,null,703666,null,9626,null,542145,null,8691,null,748805,null,10265,null,0400000US34,New Jersey,34
979772,null,6951,null,473053,null,4510,null,76541,null,4258,null,119559,null,5363,null,144241,null,4400,null,132712,null,5047,null,506719,null,4431,null,77002,null,3775,null,123781,null,4509,null,166286,null,5461,null,139650,null,5336,null,0400000US35,New Mexico,35
9121811,null,17063,null,4363823,null,10773,null,523903,null,12306,null,1211640,null,15851,null,1081529,null,17068,null,1546751,null,15994,null,4757988,null,9146,null,549416,null,11912,null,1364568,null,13722,null,1198095,null,13543,null,1645909,null,16355,null,0400000US36,New York,36
4483895,null,9742,null,2150418,null,6774,null,319013,null,8829,null,587598,null,11763,null,610117,null,10638,null,633690,null,10697,null,2333477,null,4779,null,289483,null,8421,null,629506,null,10053,null,751784,null,12425,null,662704,null,10370,null,0400000US37,North Carolina,37
391217,null,1065,null,192831,null,885,null,20472,null,1524,null,54076,null,2078,null,66221,null,2623,null,52062,null,2678,null,198386,null,875,null,17737,null,1508,null,53405,null,2390,null,72772,null,2858,null,54472,null,2483,null,0400000US38,North Dakota,38
6608897,null,4098,null,3165539,null,2737,null,374863,null,9296,null,1129025,null,11372,null,846713,null,11098,null,814938,null,10383,null,3443358,null,2256,null,376197,null,9167,null,1262668,null,14659,null,984840,null,12742,null,819653,null,10223,null,0400000US39,Ohio,39
1875171,null,4862,null,899156,null,3261,null,122173,null,4880,null,280790,null,6360,null,276911,null,5765,null,219282,null,5182,null,976015,null,2418,null,122543,null,4770,null,322489,null,6567,null,314631,null,6792,null,216352,null,5990,null,0400000US40,Oklahoma,40
2302047,null,5181,null,1120985,null,3656,null,121598,null,6071,null,283961,null,7109,null,388168,null,8546,null,327258,null,7832,null,1181062,null,2990,null,105027,null,5297,null,317272,null,6722,null,433811,null,7900,null,324952,null,6185,null,0400000US41,Oregon,41
7314434,null,7082,null,3492515,null,4506,null,403206,null,8321,null,1301400,null,12398,null,795784,null,12261,null,992125,null,11897,null,3821919,null,3705,null,428713,null,8841,null,1484556,null,12672,null,923779,null,11966,null,984871,null,13614,null,0400000US42,Pennsylvania,42
613522,null,3594,null,290343,null,2603,null,44529,null,3548,null,77767,null,3616,null,72379,null,4002,null,95668,null,3979,null,323179,null,1889,null,43138,null,3089,null,93052,null,4114,null,89660,null,4243,null,97329,null,3744,null,0400000US44,Rhode Island,44
2100525,null,3771,null,1008365,null,2997,null,149076,null,6232,null,283628,null,7093,null,281478,null,7618,null,294183,null,6551,null,1092160,null,1883,null,144441,null,5653,null,323928,null,6800,null,336413,null,8183,null,287378,null,6803,null,0400000US45,South Carolina,45
474555,null,2425,null,232138,null,1653,null,21981,null,1738,null,79891,null,2927,null,69048,null,2775,null,61218,null,2479,null,242417,null,1403,null,19008,null,1642,null,75711,null,3591,null,85800,null,3563,null,61898,null,3239,null,0400000US46,South Dakota,46
3431392,null,4541,null,1646590,null,3773,null,275654,null,6981,null,536892,null,7867,null,424052,null,9477,null,409992,null,7193,null,1784802,null,2338,null,278032,null,8535,null,586994,null,9760,null,510818,null,9092,null,408958,null,7632,null,0400000US47,Tennessee,47
11452325,null,26954,null,5604353,null,16214,null,1055390,null,14229,null,1376116,null,19931,null,1601099,null,18078,null,1571748,null,14846,null,5847972,null,15085,null,1056974,null,15624,null,1530293,null,16430,null,1769104,null,17106,null,1491601,null,14798,null,0400000US48,Texas,48
1435586,null,4028,null,711510,null,2633,null,65189,null,4280,null,165445,null,5869,null,248631,null,6321,null,232245,null,4833,null,724076,null,1908,null,62080,null,4192,null,183276,null,5487,null,289611,null,5079,null,189109,null,5464,null,0400000US49,Utah,49
417268,null,813,null,201327,null,827,null,19042,null,1297,null,73437,null,3201,null,47395,null,2389,null,61453,null,2617,null,215941,null,453,null,19005,null,1740,null,65249,null,2959,null,58688,null,2810,null,72999,null,2879,null,0400000US50,Vermont,50
3770475,null,8406,null,1822462,null,5085,null,232530,null,7560,null,439794,null,9285,null,457520,null,8894,null,692618,null,10267,null,1948013,null,4864,null,211120,null,7562,null,490557,null,9518,null,559349,null,10611,null,686987,null,10684,null,0400000US51,Virginia,51
3653741,null,6774,null,1786445,null,4897,null,159023,null,7544,null,432390,null,8973,null,608894,null,9522,null,586138,null,10173,null,1867296,null,3371,null,145695,null,6582,null,452762,null,9738,null,714606,null,9216,null,554233,null,9028,null,0400000US53,Washington,53
1207025,null,2460,null,575635,null,1852,null,112300,null,5058,null,239573,null,5171,null,127406,null,4419,null,96356,null,3711,null,631390,null,1575,null,103579,null,4297,null,255168,null,5900,null,164228,null,5311,null,108415,null,4514,null,0400000US54,West Virginia,54
3421081,null,3772,null,1678331,null,2631,null,167868,null,6097,null,575701,null,7939,null,499854,null,7445,null,434908,null,7277,null,1742750,null,2482,null,147157,null,4959,null,591742,null,7626,null,542220,null,7719,null,461631,null,8105,null,0400000US55,Wisconsin,55
327677,null,1768,null,163302,null,1150,null,13698,null,1438,null,53553,null,2785,null,57180,null,2963,null,38871,null,2360,null,164375,null,1309,null,12144,null,1724,null,46047,null,2425,null,65780,null,2782,null,40404,null,2582,null,0400000US56,Wyoming,56
1957765,null,13816,null,890751,null,7923,null,305883,null,6871,null,225354,null,7272,null,188199,null,6589,null,171315,null,6308,null,1067014,null,7743,null,321048,null,7565,null,238184,null,7285,null,241589,null,7066,null,266193,null,7169,null,0400000US72,Puerto Rico,72
