B13012_001E,B13012_001EA,B13012_001M,B13012_001MA,B13012_002E,B13012_002EA,B13012_002M,B13012_002MA,B13012_003E,B13012_003EA,B13012_003M,B13012_003MA,B13012_004E,B13012_004EA,B13012_004M,B13012_004MA,B13012_005E,B13012_005EA,B13012_005M,B13012_005MA,B13012_006E,B13012_006EA,B13012_006M,B13012_006MA,B13012_007E,B13012_007EA,B13012_007M,B13012_007MA,B13012_008E,B13012_008EA,B13012_008M,B13012_008MA,B13012_009E,B13012_009EA,B13012_009M,B13012_009MA,B13012_010E,B13012_010EA,B13012_010M,B13012_010MA,B13012_011E,B13012_011EA,B13012_011M,B13012_011MA,B13012_012E,B13012_012EA,B13012_012M,B13012_012MA,B13012_013E,B13012_013EA,B13012_013M,B13012_013MA,B13012_014E,B13012_014EA,B13012_014M,B13012_014MA,B13012_015E,B13012_015EA,B13012_015M,B13012_015MA,GEO_ID,NAME,state
1124600,null,4609,null,67196,null,4702,null,39227,null,3444,null,23698,null,2508,null,15529,null,1967,null,27969,null,2731,null,18153,null,2316,null,9816,null,1630,null,1057404,null,6678,null,529746,null,8126,null,388980,null,7722,null,140766,null,6105,null,527658,null,10427,null,359195,null,8942,null,168463,null,6731,null,0400000US01,Alabama,01
168862,null,1702,null,12214,null,1671,null,7737,null,1476,null,4975,null,1257,null,2762,null,778,null,4477,null,939,null,2751,null,653,null,1726,null,646,null,156648,null,2247,null,74180,null,3300,null,56003,null,3244,null,18177,null,2038,null,82468,null,3611,null,63743,null,3875,null,18725,null,2420,null,0400000US02,Alaska,02
1504822,null,4513,null,91827,null,5030,null,58803,null,4072,null,31590,null,3054,null,27213,null,3264,null,33024,null,3550,null,18369,null,2472,null,14655,null,2609,null,1412995,null,5774,null,649983,null,10678,null,459117,null,9667,null,190866,null,8047,null,763012,null,11391,null,546989,null,9263,null,216023,null,8114,null,0400000US04,Arizona,04
671217,null,3627,null,39393,null,3156,null,24342,null,2533,null,13365,null,1937,null,10977,null,1840,null,15051,null,2144,null,9664,null,1748,null,5387,null,1489,null,631824,null,4557,null,325044,null,6735,null,246314,null,6217,null,78730,null,3973,null,306780,null,7481,null,207421,null,6588,null,99359,null,5252,null,0400000US05,Arkansas,05
9132988,null,10885,null,559994,null,13543,null,381094,null,9504,null,210742,null,7041,null,170352,null,6844,null,178900,null,8422,null,97952,null,4644,null,80948,null,6331,null,8572994,null,18077,null,3995145,null,23127,null,2806214,null,23664,null,1188931,null,16166,null,4577849,null,23605,null,3198614,null,23070,null,1379235,null,19735,null,0400000US06,California,06
1219618,null,4547,null,73625,null,4411,null,54807,null,4268,null,34216,null,3050,null,20591,null,2742,null,18818,null,2423,null,13396,null,2120,null,5422,null,1100,null,1145993,null,5809,null,591135,null,8511,null,439536,null,8544,null,151599,null,5892,null,554858,null,9855,null,432333,null,10275,null,122525,null,5342,null,0400000US08,Colorado,08
846920,null,2693,null,42633,null,3399,null,29656,null,2647,null,19885,null,1955,null,9771,null,1460,null,12977,null,2178,null,8913,null,1791,null,4064,null,1133,null,804287,null,4322,null,378302,null,7134,null,291279,null,7212,null,87023,null,3696,null,425985,null,6925,null,326614,null,7070,null,99371,null,5320,null,0400000US09,Connecticut,09
212606,null,1593,null,11059,null,1537,null,6526,null,1084,null,3882,null,895,null,2644,null,877,null,4533,null,1137,null,3023,null,951,null,1510,null,603,null,201547,null,2260,null,90996,null,3066,null,72080,null,3053,null,18916,null,1889,null,110551,null,3716,null,82887,null,3429,null,27664,null,2750,null,0400000US10,Delaware,10
170604,null,1718,null,6867,null,1379,null,3088,null,841,null,2225,null,676,null,863,null,483,null,3779,null,1156,null,2051,null,1011,null,1728,null,701,null,163737,null,2221,null,37161,null,2750,null,30059,null,2484,null,7102,null,1260,null,126576,null,3324,null,95686,null,4017,null,30890,null,2675,null,0400000US11,District of Columbia,11
4190501,null,7584,null,235555,null,8970,null,150399,null,7109,null,91417,null,5461,null,58982,null,5068,null,85156,null,5515,null,53802,null,5016,null,31354,null,3175,null,3954946,null,10686,null,1873943,null,16321,null,1424985,null,15207,null,448958,null,11296,null,2081003,null,16418,null,1515493,null,18757,null,565510,null,11138,null,0400000US12,Florida,12
2455011,null,7812,null,143644,null,6516,null,88236,null,4819,null,49553,null,3853,null,38683,null,3346,null,55408,null,4808,null,36839,null,4203,null,18569,null,2236,null,2311367,null,9196,null,1103327,null,14391,null,819742,null,13020,null,283585,null,9517,null,1208040,null,16064,null,854437,null,15122,null,353603,null,9987,null,0400000US13,Georgia,13
