B15002H_001E,B15002H_001EA,B15002H_001M,B15002H_001MA,B15002H_002E,B15002H_002EA,B15002H_002M,B15002H_002MA,B15002H_003E,B15002H_003EA,B15002H_003M,B15002H_003MA,B15002H_004E,B15002H_004EA,B15002H_004M,B15002H_004MA,B15002H_005E,B15002H_005EA,B15002H_005M,B15002H_005MA,B15002H_006E,B15002H_006EA,B15002H_006M,B15002H_006MA,B15002H_007E,B15002H_007EA,B15002H_007M,B15002H_007MA,B15002H_008E,B15002H_008EA,B15002H_008M,B15002H_008MA,B15002H_009E,B15002H_009EA,B15002H_009M,B15002H_009MA,B15002H_010E,B15002H_010EA,B15002H_010M,B15002H_010MA,B15002H_011E,B15002H_011EA,B15002H_011M,B15002H_011MA,B15002H_012E,B15002H_012EA,B15002H_012M,B15002H_012MA,B15002H_013E,B15002H_013EA,B15002H_013M,B15002H_013MA,B15002H_014E,B15002H_014EA,B15002H_014M,B15002H_014MA,B15002H_015E,B15002H_015EA,B15002H_015M,B15002H_015MA,B15002H_016E,B15002H_016EA,B15002H_016M,B15002H_016MA,B15002H_017E,B15002H_017EA,B15002H_017M,B15002H_017MA,B15002H_018E,B15002H_018EA,B15002H_018M,B15002H_018MA,B15002H_019E,B15002H_019EA,B15002H_019M,B15002H_019MA,GEO_ID,NAME,state
2218900,null,2396,null,1061490,null,1565,null,58338,null,3808,null,113747,null,4559,null,252983,null,7536,null,72019,null,4361,null,223400,null,6804,null,64276,null,3887,null,182002,null,6092,null,94725,null,4355,null,1157410,null,1426,null,56593,null,3624,null,123739,null,5245,null,307392,null,8189,null,67238,null,3538,null,251626,null,6806,null,85085,null,4413,null,170073,null,5108,null,95664,null,4470,null,0400000US01,Alabama,01
302892,null,1519,null,157871,null,1002,null,2285,null,703,null,6833,null,1411,null,35367,null,2953,null,6986,null,1234,null,46589,null,2776,null,13527,null,2080,null,28455,null,2620,null,17829,null,1953,null,145021,null,1006,null,1446,null,491,null,4853,null,1304,null,26516,null,2143,null,5562,null,1145,null,43059,null,2585,null,12302,null,1589,null,33205,null,2421,null,18078,null,2057,null,0400000US02,Alaska,02
2745639,null,2541,null,1330824,null,1755,null,24084,null,2849,null,67514,null,5121,null,257994,null,6801,null,65011,null,4091,null,368143,null,8124,null,107738,null,5061,null,273341,null,8420,null,166999,null,5650,null,1414815,null,1817,null,25658,null,3152,null,74606,null,4929,null,315907,null,7451,null,39505,null,3640,null,417423,null,9455,null,135145,null,5612,null,262117,null,8586,null,144454,null,5346,null,0400000US04,Arizona,04
1498851,null,2868,null,716658,null,2455,null,40212,null,3190,null,74886,null,4395,null,212340,null,6780,null,44445,null,3161,null,161499,null,5212,null,32120,null,2940,null,100385,null,4387,null,50771,null,3047,null,782193,null,1335,null,41379,null,2619,null,72973,null,3976,null,232935,null,5573,null,47569,null,3173,null,183168,null,5410,null,53285,null,3213,null,102408,null,3841,null,48476,null,3039,null,0400000US05,Arkansas,05
11218791,null,5293,null,5479015,null,2937,null,100548,null,5850,null,281351,null,8862,null,903235,null,14427,null,153060,null,5995,null,1380299,null,16301,null,436760,null,10286,null,1312755,null,17493,null,911007,null,14631,null,5739776,null,3555,null,115931,null,5707,null,280313,null,7284,null,1108726,null,11838,null,101422,null,5163,null,1525044,null,18097,null,544306,null,10104,null,1303587,null,14322,null,760447,null,12699,null,0400000US06,California,06
2460396,null,2800,null,1209431,null,1622,null,17637,null,2261,null,49342,null,3632,null,216985,null,6840,null,47148,null,3693,null,271846,null,6815,null,94164,null,4841,null,327574,null,7446,null,184735,null,5679,null,1250965,null,1861,null,17356,null,2193,null,45895,null,3357,null,238969,null,6418,null,34900,null,2896,null,309730,null,7092,null,106437,null,4489,null,322984,null,7394,null,174694,null,5902,null,0400000US08,Colorado,08
1829460,null,1052,null,869422,null,526,null,24271,null,2422,null,46931,null,3100,null,208652,null,6493,null,29338,null,2622,null,149531,null,5356,null,56127,null,2902,null,204291,null,5234,null,150281,null,5178,null,960038,null,729,null,28593,null,2569,null,44619,null,3045,null,246424,null,6786,null,24774,null,2320,null,170761,null,6158,null,87400,null,4525,null,202780,null,6270,null,154687,null,4443,null,0400000US09,Connecticut,09
420271,null,572,null,199407,null,299,null,4779,null,1043,null,15802,null,1784,null,57437,null,3106,null,8127,null,1266,null,41326,null,2611,null,13578,null,1537,null,34688,null,2796,null,23670,null,1744,null,220864,null,294,null,5575,null,992,null,14170,null,1718,null,66590,null,2747,null,5950,null,1069,null,46842,null,2578,null,19295,null,1950,null,37641,null,2565,null,24801,null,2295,null,0400000US10,Delaware,10
141222,null,598,null,71527,null,431,null,136,null,185,null,527,null,429,null,1584,null,699,null,247,null,300,null,4436,null,967,null,898,null,467,null,25797,null,2052,null,37902,null,2222,null,69695,null,293,null,264,null,220,null,598,null,507,null,2446,null,874,null,366,null,366,null,4105,null,915,null,1090,null,376,null,26080,null,1771,null,34746,null,1940,null,0400000US11,District of Columbia,11
8204879,null,5146,null,3939851,null,3355,null,106899,null,7146,null,298975,null,7187,null,916013,null,13848,null,214990,null,8308,null,876555,null,12637,null,301023,null,8320,null,770671,null,12174,null,454725,null,10071,null,4265028,null,3409,null,102799,null,6262,null,299463,null,8512,null,1209232,null,16054,null,154584,null,6097,null,998922,null,14370,null,385925,null,10090,null,741611,null,12537,null,372492,null,8771,null,0400000US12,Florida,12
3828143,null,5080,null,1842075,null,3143,null,75120,null,4028,null,161521,null,7465,null,407844,null,9748,null,113734,null,6128,null,375942,null,7822,null,104305,null,5358,null,389439,null,8615,null,214170,null,6112,null,1986068,null,2825,null,77331,null,3886,null,163492,null,7463,null,485388,null,10166,null,97343,null,4154,null,430904,null,9430,null,138376,null,5633,null,384737,null,8180,null,208497,null,5911,null,0400000US13,Georgia,13
229893,null,1858,null,124330,null,1576,null,569,null,329,null,3529,null,852,null,22124,null,2274,null,3131,null,892,null,31809,null,2593,null,11058,null,1671,null,31328,null,2318,null,20782,null,2134,null,105563,null,927,null,921,null,399,null,2954,null,864,null,18260,null,1817,null,1365,null,490,null,29350,null,2089,null,9318,null,1296,null,26513,null,2358,null,16882,null,1836,null,0400000US15,Hawaii,15
851092,null,1146,null,418088,null,662,null,10532,null,1863,null,27253,null,2316,null,95500,null,4082,null,19401,null,2079,null,116756,null,4819,null,35930,null,2316,null,75258,null,3910,null,37458,null,2760,null,433004,null,731,null,9166,null,1615,null,27913,null,2859,null,106711,null,3680,null,18026,null,2422,null,127998,null,4007,null,39930,null,2354,null,74871,null,3333,null,28389,null,2246,null,0400000US16,Idaho,16
5776583,null,8875,null,2774241,null,2800,null,80262,null,5043,null,159413,null,5841,null,659204,null,10585,null,109237,null,5388,null,609304,null,10397,null,199468,null,6229,null,582728,null,9543,null,374625,null,9216,null,3002342,null,6538,null,100505,null,4677,null,160899,null,5959,null,779873,null,10964,null,90724,null,4921,null,666814,null,10878,null,249432,null,5897,null,600985,null,8985,null,353110,null,7516,null,0400000US17,Illinois,17
3587341,null,2518,null,1725313,null,1447,null,65884,null,3794,null,150551,null,6137,null,519719,null,8474,null,93513,null,4323,null,357409,null,7757,null,118728,null,4891,null,268844,null,6968,null,150665,null,5535,null,1862028,null,1474,null,61680,null,4476,null,159442,null,5540,null,592154,null,9168,null,79056,null,4744,null,386125,null,7970,null,156645,null,5122,null,279079,null,6244,null,147847,null,5776,null,0400000US18,Indiana,18
1836344,null,1779,null,883735,null,1330,null,28451,null,1999,null,49485,null,2952,null,270185,null,6039,null,43053,null,2616,null,196470,null,5846,null,79153,null,3740,null,148498,null,5137,null,68440,null,3521,null,952609,null,953,null,28600,null,2620,null,47314,null,2912,null,284686,null,5770,null,32623,null,2339,null,223847,null,5598,null,102974,null,4290,null,169555,null,4756,null,63010,null,3043,null,0400000US19,Iowa,19
1515488,null,2545,null,728889,null,1645,null,16815,null,1513,null,41291,null,2909,null,173275,null,4602,null,34416,null,2356,null,177416,null,5102,null,49618,null,3316,null,155770,null,4869,null,80288,null,3667,null,786599,null,1344,null,18858,null,1875,null,37573,null,2302,null,193940,null,4322,null,26818,null,2151,null,204586,null,4834,null,67303,null,3208,null,158457,null,4744,null,79064,null,3882,null,0400000US20,Kansas,20
2578882,null,2730,null,1231084,null,1783,null,105314,null,4061,null,141432,null,5946,null,341502,null,6898,null,92641,null,4431,null,238815,null,6410,null,65735,null,4631,null,150359,null,5026,null,95286,null,4218,null,1347798,null,1769,null,103622,null,4830,null,128093,null,5221,null,371669,null,8887,null,90985,null,4718,null,279282,null,6019,null,107378,null,4774,null,157894,null,4589,null,108875,null,4068,null,0400000US21,Kentucky,21
1860745,null,2057,null,893277,null,1409,null,55725,null,3339,null,85828,null,4285,null,246787,null,6473,null,57011,null,3293,null,192488,null,6336,null,37157,null,2734,null,146337,null,5642,null,71944,null,4059,null,967468,null,1450,null,49221,null,3241,null,84364,null,3949,null,297897,null,6462,null,52087,null,2657,null,201430,null,6540,null,59046,null,4283,null,155346,null,5804,null,68077,null,3368,null,0400000US22,Louisiana,22
896378,null,394,null,427898,null,209,null,16212,null,1686,null,32023,null,2391,null,133605,null,4558,null,22110,null,1798,null,83610,null,3962,null,34881,null,2675,null,66086,null,3017,null,39371,null,2593,null,468480,null,284,null,15202,null,1705,null,25942,null,2764,null,140285,null,4388,null,20469,null,1951,null,97129,null,3714,null,46540,null,3102,null,82367,null,4273,null,40546,null,2817,null,0400000US23,Maine,23
2264913,null,2689,null,1081854,null,1605,null,31829,null,2769,null,66895,null,4154,null,238739,null,6889,null,40303,null,3139,null,206226,null,5855,null,56503,null,3493,null,238522,null,5827,null,202837,null,5659,null,1183059,null,1822,null,31573,null,3174,null,68373,null,3136,null,282469,null,5440,null,32117,null,2619,null,230649,null,5611,null,87213,null,4859,null,256682,null,5996,null,193983,null,5217,null,0400000US24,Maryland,24
3601519,null,4116,null,1703468,null,2335,null,56763,null,4961,null,95494,null,4973,null,412688,null,9784,null,55882,null,3759,null,276892,null,8424,null,109985,null,5913,null,396685,null,8279,null,299079,null,7427,null,1898051,null,2563,null,56662,null,3679,null,93380,null,4203,null,461398,null,9372,null,43724,null,3794,null,324025,null,8071,null,175935,null,6147,null,434770,null,9771,null,308157,null,8073,null,0400000US25,Massachusetts,25
5322319,null,2059,null,2583146,null,1409,null,76690,null,4468,null,195209,null,5766,null,685098,null,10417,null,116787,null,4983,null,619579,null,11409,null,188601,null,5862,null,435368,null,8015,null,265814,null,6894,null,2739173,null,1087,null,75150,null,4499,null,174738,null,5622,null,814506,null,10262,null,76840,null,3692,null,655893,null,9833,null,260887,null,6216,null,434387,null,9017,null,246772,null,5389,null,0400000US26,Michigan,26
3062603,null,1983,null,1495038,null,1603,null,36214,null,2268,null,67875,null,2819,null,373601,null,6604,null,50900,null,3189,null,338241,null,7785,null,136847,null,5446,null,331872,null,6630,null,159488,null,4538,null,1567565,null,959,null,35126,null,2719,null,57184,null,3076,null,393623,null,6201,null,36784,null,2511,null,374903,null,6607,null,169194,null,5438,null,354153,null,6686,null,146598,null,4380,null,0400000US27,Minnesota,27
1175049,null,4159,null,563421,null,1967,null,32141,null,3055,null,57877,null,3982,null,127963,null,5000,null,36608,null,3041,null,131667,null,5412,null,41329,null,3084,null,86718,null,4582,null,49118,null,2789,null,611628,null,2910,null,27214,null,2725,null,61150,null,3756,null,150588,null,5316,null,34575,null,2336,null,144180,null,5295,null,59473,null,3303,null,87967,null,4031,null,46481,null,3091,null,0400000US28,Mississippi,28
3321515,null,1775,null,1591760,null,1185,null,61335,null,3538,null,135545,null,5313,null,440193,null,8588,null,84574,null,4173,null,347055,null,7716,null,98860,null,4192,null,272141,null,6316,null,152057,null,5069,null,1729755,null,1284,null,71363,null,4142,null,138208,null,5611,null,485607,null,8188,null,68183,null,3515,null,402130,null,8068,null,125850,null,5150,null,281929,null,6868,null,156485,null,5795,null,0400000US29,Missouri,29
592350,null,1232,null,292610,null,954,null,8247,null,1290,null,18660,null,1914,null,78125,null,3990,null,16416,null,2068,null,71539,null,4243,null,18567,null,1549,null,53958,null,3199,null,27098,null,2525,null,299740,null,778,null,6327,null,1031,null,15993,null,1856,null,79403,null,3437,null,10498,null,1548,null,76326,null,3953,null,25944,null,2500,null,60967,null,2880,null,24282,null,1998,null,0400000US30,Montana,30
1008987,null,1919,null,486186,null,1241,null,11072,null,1227,null,23503,null,2293,null,126008,null,3991,null,21037,null,1906,null,117988,null,3870,null,44054,null,3045,null,96801,null,4407,null,45723,null,2507,null,522801,null,1184,null,12579,null,1556,null,23096,null,1987,null,141968,null,3925,null,14005,null,1593,null,135097,null,4200,null,50919,null,3105,null,101020,null,3472,null,44117,null,2214,null,0400000US31,Nebraska,31
1075148,null,3670,null,542831,null,2710,null,9248,null,1609,null,37018,null,3523,null,129819,null,5469,null,25768,null,2773,null,156337,null,6020,null,39802,null,3587,null,96388,null,5031,null,48451,null,3211,null,532317,null,2413,null,10719,null,1834,null,37538,null,3392,null,140505,null,4771,null,16848,null,2096,null,157767,null,6171,null,44461,null,3312,null,82367,null,4497,null,42112,null,3276,null,0400000US32,Nevada,32
852639,null,848,null,412518,null,369,null,12265,null,1598,null,27759,null,2642,null,102574,null,4728,null,20353,null,2431,null,74407,null,3649,null,34883,null,2449,null,87010,null,4295,null,53267,null,3211,null,440121,null,713,null,11484,null,1459,null,22255,null,2505,null,113584,null,4296,null,15532,null,1890,null,91015,null,4130,null,45520,null,3111,null,93013,null,3712,null,47718,null,2875,null,0400000US33,New Hampshire,33
3790113,null,2078,null,1803357,null,1223,null,46668,null,3733,null,98804,null,4726,null,469062,null,10150,null,54382,null,3705,null,329791,null,8901,null,99454,null,4495,null,429042,null,9606,null,276154,null,7390,null,1986756,null,1170,null,62630,null,4224,null,108536,null,5122,null,593564,null,9375,null,38163,null,2447,null,335293,null,7989,null,147882,null,5421,null,450128,null,8565,null,250560,null,6882,null,0400000US34,New Jersey,34
610483,null,2449,null,292490,null,1924,null,5709,null,1159,null,12413,null,1681,null,51898,null,3522,null,14708,null,2278,null,75518,null,3637,null,23688,null,2302,null,58654,null,3124,null,49902,null,2815,null,317993,null,1523,null,6049,null,1099,null,15260,null,1650,null,61137,null,3790,null,9855,null,1555,null,86033,null,3775,null,25458,null,2196,null,63112,null,3673,null,51089,null,2805,null,0400000US35,New Mexico,35
8221304,null,5384,null,3917103,null,2976,null,124680,null,5545,null,240713,null,7941,null,916864,null,13324,null,165048,null,6430,null,679653,null,11927,null,314847,null,9566,null,832149,null,14107,null,643149,null,10040,null,4304201,null,3169,null,145011,null,5971,null,253788,null,8340,null,1132657,null,12413,null,111770,null,5327,null,690684,null,10307,null,411158,null,8858,null,814324,null,11739,null,744809,null,11890,null,0400000US36,New York,36
4328178,null,4830,null,2061360,null,3394,null,93130,null,5336,null,188959,null,7730,null,458921,null,10026,null,107444,null,5953,null,432566,null,9905,null,161649,null,6108,null,404457,null,7921,null,214234,null,6568,null,2266818,null,2931,null,84727,null,4931,null,179080,null,6603,null,521733,null,9023,null,93635,null,5088,null,518125,null,10032,null,219403,null,7796,null,444654,null,8045,null,205461,null,6454,null,0400000US37,North Carolina,37
387023,null,803,null,190668,null,579,null,11091,null,1131,null,9045,null,1155,null,47827,null,2001,null,5398,null,813,null,41356,null,2074,null,24050,null,1800,null,37538,null,2179,null,14363,null,1575,null,196355,null,613,null,9553,null,1010,null,7772,null,1008,null,47054,null,2165,null,6032,null,924,null,47482,null,2388,null,24331,null,2110,null,43215,null,2313,null,10916,null,1089,null,0400000US38,North Dakota,38
6506300,null,1872,null,3111956,null,810,null,93442,null,5064,null,265310,null,7828,null,983300,null,11267,null,129062,null,5262,null,641267,null,9516,null,195625,null,6352,null,510428,null,8025,null,293522,null,7025,null,3394344,null,1364,null,101409,null,4658,null,261751,null,7470,null,1142329,null,12977,null,107326,null,5401,null,684135,null,11249,null,287278,null,8348,null,530427,null,7949,null,279689,null,7734,null,0400000US39,Ohio,39
1791251,null,2273,null,853704,null,1764,null,27712,null,2235,null,74261,null,4199,null,223219,null,6179,null,46752,null,4038,null,211358,null,5343,null,56509,null,3007,null,139952,null,4884,null,73941,null,3857,null,937547,null,1095,null,30937,null,2495,null,78346,null,4130,null,265090,null,6448,null,45424,null,3051,null,239230,null,6243,null,67148,null,3355,null,146581,null,5372,null,64791,null,3433,null,0400000US40,Oklahoma,40
