B17025_001E,B17025_001EA,B17025_001M,B17025_001MA,B17025_002E,B17025_002EA,B17025_002M,B17025_002MA,B17025_003E,B17025_003EA,B17025_003M,B17025_003MA,B17025_004E,B17025_004EA,B17025_004M,B17025_004MA,B17025_005E,B17025_005EA,B17025_005M,B17025_005MA,B17025_006E,B17025_006EA,B17025_006M,B17025_006MA,B17025_007E,B17025_007EA,B17025_007M,B17025_007MA,B17025_008E,B17025_008EA,B17025_008M,B17025_008MA,B17025_009E,B17025_009EA,B17025_009M,B17025_009MA,B17025_010E,B17025_010EA,B17025_010M,B17025_010MA,B17025_011E,B17025_011EA,B17025_011M,B17025_011MA,B17025_012E,B17025_012EA,B17025_012M,B17025_012MA,B17025_013E,B17025_013EA,B17025_013M,B17025_013MA,B17025_014E,B17025_014EA,B17025_014M,B17025_014MA,B17025_015E,B17025_015EA,B17025_015M,B17025_015MA,GEO_ID,NAME,state
4541756,null,2634,null,712835,null,22418,null,684956,null,21870,null,680649,null,21914,null,4307,null,1572,null,27879,null,4304,null,3786,null,988,null,24093,null,4193,null,3828921,null,22229,null,3727577,null,21586,null,3698760,null,21575,null,28817,null,2320,null,101344,null,6991,null,35308,null,3271,null,66036,null,6282,null,0400000US01,Alabama,01
669783,null,1041,null,56396,null,5471,null,53180,null,5275,null,52228,null,5162,null,952,null,617,null,3216,null,1022,null,840,null,378,null,2376,null,936,null,613387,null,5595,null,572785,null,6242,null,560655,null,6390,null,12130,null,1868,null,40602,null,3195,null,22175,null,2478,null,18427,null,2526,null,0400000US02,Alaska,02
6379266,null,4360,null,938924,null,27514,null,729469,null,23454,null,722601,null,23631,null,6868,null,1826,null,209455,null,12971,null,32545,null,4805,null,176910,null,12588,null,5440342,null,27999,null,4731257,null,31960,null,4664767,null,32286,null,66490,null,4362,null,709085,null,17784,null,249784,null,9239,null,459301,null,16556,null,0400000US04,Arizona,04
2774152,null,2142,null,480551,null,18818,null,456325,null,18690,null,455055,null,18651,null,1270,null,549,null,24226,null,4172,null,4159,null,1244,null,20067,null,3883,null,2293601,null,18663,null,2210448,null,18907,null,2194939,null,18686,null,15509,null,2403,null,83153,null,4762,null,31112,null,3627,null,52041,null,4162,null,0400000US05,Arkansas,05
35984461,null,8122,null,4778118,null,75892,null,3275312,null,55665,null,3228787,null,54919,null,46525,null,4582,null,1502806,null,36657,null,368297,null,14699,null,1134509,null,29410,null,31206343,null,77400,null,22957086,null,74479,null,22587646,null,74627,null,369440,null,11107,null,8249257,null,48364,null,3989190,null,29227,null,4260067,null,46635,null,0400000US06,California,06
4835406,null,2605,null,552889,null,22387,null,448717,null,19061,null,443541,null,18690,null,5176,null,1083,null,104172,null,9692,null,13909,null,2356,null,90263,null,9789,null,4282517,null,22879,null,3894299,null,21836,null,3836822,null,20487,null,57477,null,4858,null,388218,null,15518,null,143490,null,8083,null,244728,null,12000,null,0400000US08,Colorado,08
3390665,null,2405,null,314806,null,14745,null,267735,null,13640,null,237772,null,12902,null,29963,null,3597,null,47071,null,4816,null,10512,null,1860,null,36559,null,4508,null,3075859,null,14745,null,2679785,null,16850,null,2603519,null,16867,null,76266,null,5291,null,396074,null,11550,null,189785,null,6872,null,206289,null,10000,null,0400000US09,Connecticut,09
850832,null,828,null,85094,null,7055,null,75465,null,6301,null,73465,null,6348,null,2000,null,897,null,9629,null,2772,null,1514,null,663,null,8115,null,2657,null,765738,null,7005,null,709169,null,8123,null,698627,null,8331,null,10542,null,1908,null,56569,null,4832,null,23957,null,2780,null,32612,null,4036,null,0400000US10,Delaware,10
561874,null,839,null,96769,null,7324,null,84555,null,6638,null,83873,null,6661,null,682,null,465,null,12214,null,2702,null,4109,null,1382,null,8105,null,2257,null,465105,null,7423,null,401840,null,7453,null,394659,null,7507,null,7181,null,1347,null,63265,null,4635,null,22724,null,2514,null,40541,null,4182,null,0400000US11,District of Columbia,11
17923483,null,5659,null,2370808,null,41243,null,1843955,null,38182,null,1767289,null,37726,null,76666,null,6462,null,526853,null,20890,null,176821,null,9303,null,350032,null,19438,null,15552675,null,42086,null,12730589,null,46332,null,12271787,null,45655,null,458802,null,16431,null,2822086,null,28739,null,1408390,null,23918,null,1413696,null,26642,null,0400000US12,Florida,12
