B25003F_001E,B25003F_001EA,B25003F_001M,B25003F_001MA,B25003F_002E,B25003F_002EA,B25003F_002M,B25003F_002MA,B25003F_003E,B25003F_003EA,B25003F_003M,B25003F_003MA,GEO_ID,NAME,state
8236,null,1353,null,2258,null,684,null,5978,null,1177,null,0400000US01,Alabama,01
2300,null,971,null,1104,null,493,null,1196,null,675,null,0400000US02,Alaska,02
115905,null,5957,null,70869,null,4502,null,45036,null,3876,null,0400000US04,Arizona,04
15019,null,1683,null,7693,null,1121,null,7326,null,1481,null,0400000US05,Arkansas,05
1259697,null,17268,null,518846,null,12729,null,740851,null,15406,null,0400000US06,California,06
68402,null,3909,null,32520,null,2770,null,35882,null,3436,null,0400000US08,Colorado,08
48532,null,2563,null,12676,null,1590,null,35856,null,2610,null,0400000US09,Connecticut,09
4281,null,949,null,2581,null,862,null,1700,null,508,null,0400000US10,Delaware,10
6649,null,1645,null,1857,null,736,null,4792,null,1513,null,0400000US11,District of Columbia,11
135210,null,6872,null,71223,null,5280,null,63987,null,4869,null,0400000US12,Florida,12
78675,null,4945,null,32898,null,3193,null,45777,null,3755,null,0400000US13,Georgia,13
4917,null,1178,null,1163,null,529,null,3754,null,1049,null,0400000US15,Hawaii,15
7692,null,1170,null,4759,null,871,null,2933,null,952,null,0400000US16,Idaho,16
213096,null,7193,null,110362,null,5516,null,102734,null,5726,null,0400000US17,Illinois,17
36061,null,2657,null,18619,null,2315,null,17442,null,2365,null,0400000US18,Indiana,18
11733,null,1415,null,6216,null,1252,null,5517,null,1130,null,0400000US19,Iowa,19
21435,null,2034,null,12308,null,1564,null,9127,null,1608,null,0400000US20,Kansas,20
7878,null,1444,null,1963,null,727,null,5915,null,1167,null,0400000US21,Kentucky,21
10386,null,1674,null,4875,null,988,null,5511,null,1357,null,0400000US22,Louisiana,22
810,null,472,null,608,null,454,null,202,null,156,null,0400000US23,Maine,23
31605,null,2787,null,17611,null,1798,null,13994,null,1762,null,0400000US24,Maryland,24
81096,null,4877,null,19834,null,2162,null,61262,null,4082,null,0400000US25,Massachusetts,25
38031,null,2893,null,22509,null,2123,null,15522,null,2041,null,0400000US26,Michigan,26
15210,null,1759,null,7558,null,1248,null,7652,null,1493,null,0400000US27,Minnesota,27
5269,null,1254,null,1785,null,793,null,3484,null,1100,null,0400000US28,Mississippi,28
13594,null,1693,null,7379,null,1369,null,6215,null,1464,null,0400000US29,Missouri,29
1644,null,718,null,650,null,331,null,994,null,605,null,0400000US30,Montana,30
13315,null,1511,null,7540,null,1170,null,5775,null,1114,null,0400000US31,Nebraska,31
30847,null,2786,null,16632,null,2183,null,14215,null,2202,null,0400000US32,Nevada,32
2981,null,1065,null,1361,null,650,null,1620,null,893,null,0400000US33,New Hampshire,33
145832,null,5356,null,50877,null,3210,null,94955,null,4688,null,0400000US34,New Jersey,34
74953,null,4323,null,46751,null,3329,null,28202,null,2789,null,0400000US35,New Mexico,35
440321,null,10283,null,82279,null,5089,null,358042,null,9194,null,0400000US36,New York,36
86729,null,4269,null,31270,null,3099,null,55459,null,3969,null,0400000US37,North Carolina,37
983,null,315,null,345,null,235,null,638,null,204,null,0400000US38,North Dakota,38
20464,null,2197,null,10296,null,1444,null,10168,null,1852,null,0400000US39,Ohio,39
21835,null,2358,null,12022,null,1795,null,9813,null,1574,null,0400000US40,Oklahoma,40
25417,null,2156,null,12280,null,1844,null,13137,null,2044,null,0400000US41,Oregon,41
68496,null,3823,null,28406,null,2871,null,40090,null,3444,null,0400000US42,Pennsylvania,42
19750,null,2015,null,5322,null,1196,null,14428,null,1968,null,0400000US44,Rhode Island,44
14318,null,1934,null,4531,null,1021,null,9787,null,1620,null,0400000US45,South Carolina,45
1763,null,800,null,1208,null,792,null,555,null,280,null,0400000US46,South Dakota,46
15913,null,2177,null,6190,null,1298,null,9723,null,1617,null,0400000US47,Tennessee,47
598301,null,10931,null,323235,null,8784,null,275066,null,8691,null,0400000US48,Texas,48
14677,null,1711,null,8985,null,1340,null,5692,null,1088,null,0400000US49,Utah,49
746,null,341,null,291,null,200,null,455,null,298,null,0400000US50,Vermont,50
46397,null,3313,null,21927,null,2358,null,24470,null,3092,null,0400000US51,Virginia,51
65085,null,3372,null,27121,null,2440,null,37964,null,3154,null,0400000US53,Washington,53
883,null,521,null,425,null,266,null,458,null,462,null,0400000US54,West Virginia,54
19363,null,2014,null,8786,null,1413,null,10577,null,1640,null,0400000US55,Wisconsin,55
3727,null,1062,null,2078,null,744,null,1649,null,804,null,0400000US56,Wyoming,56
102562,null,3941,null,66480,null,3111,null,36082,null,2577,null,0400000US72,Puerto Rico,72
