B20017A_001E,B20017A_001EA,B20017A_001M,B20017A_001MA,B20017A_002E,B20017A_002EA,B20017A_002M,B20017A_002MA,B20017A_003E,B20017A_003EA,B20017A_003M,B20017A_003MA,B20017A_004E,B20017A_004EA,B20017A_004M,B20017A_004MA,B20017A_005E,B20017A_005EA,B20017A_005M,B20017A_005MA,B20017A_006E,B20017A_006EA,B20017A_006M,B20017A_006MA,B20017A_007E,B20017A_007EA,B20017A_007M,B20017A_007MA,GEO_ID,NAME,state
29696,null,556,null,35919,null,537,null,45038,null,945,null,10344,null,383,null,22130,null,389,null,33061,null,842,null,8533,null,360,null,0400000US01,Alabama,01
36803,null,821,null,44425,null,2227,null,55543,null,2936,null,20596,null,2923,null,28895,null,2150,null,40535,null,1442,null,11562,null,819,null,0400000US02,Alaska,02
30415,null,274,null,34553,null,829,null,43517,null,945,null,11685,null,332,null,25428,null,418,null,35670,null,422,null,10505,null,269,null,0400000US04,Arizona,04
25344,null,518,null,31065,null,470,null,38962,null,1218,null,9742,null,466,null,20516,null,412,null,29368,null,872,null,8050,null,464,null,0400000US05,Arkansas,05
32838,null,336,null,40093,null,233,null,52007,null,209,null,14006,null,357,null,26973,null,236,null,42026,null,218,null,11469,null,106,null,0400000US06,California,06
31816,null,275,null,38595,null,890,null,49576,null,861,null,12094,null,301,null,25907,null,479,null,37449,null,524,null,10608,null,245,null,0400000US08,Colorado,08
40149,null,356,null,50085,null,608,null,61847,null,440,null,12216,null,485,null,31275,null,362,null,46136,null,638,null,12088,null,283,null,0400000US09,Connecticut,09
33144,null,1243,null,39100,null,1700,null,49364,null,2350,null,10528,null,877,null,28480,null,1267,null,39552,null,2057,null,8810,null,1563,null,0400000US10,Delaware,10
56334,null,2150,null,66604,null,3861,null,84269,null,4156,null,18512,null,6912,null,49794,null,2821,null,66363,null,2852,null,11972,null,1617,null,0400000US11,District of Columbia,11
29645,null,313,null,33654,null,436,null,42343,null,253,null,11786,null,184,null,25090,null,236,null,34514,null,418,null,10773,null,146,null,0400000US12,Florida,12
31701,null,215,null,38061,null,849,null,47710,null,835,null,11352,null,301,null,26081,null,340,null,36649,null,429,null,9698,null,383,null,0400000US13,Georgia,13
36050,null,1553,null,41249,null,1832,null,50683,null,1756,null,15630,null,3656,null,30841,null,1301,null,42571,null,2783,null,13150,null,2414,null,0400000US15,Hawaii,15
25253,null,466,null,32142,null,432,null,41931,null,647,null,11665,null,498,null,18247,null,750,null,29890,null,788,null,8121,null,518,null,0400000US16,Idaho,16
32439,null,205,null,41137,null,288,null,51952,null,284,null,11069,null,200,null,25629,null,299,null,38676,null,485,null,10041,null,173,null,0400000US17,Illinois,17
28855,null,363,null,36095,null,368,null,45931,null,415,null,10384,null,309,null,21985,null,207,null,32308,null,344,null,8817,null,294,null,0400000US18,Indiana,18
27503,null,392,null,33680,null,678,null,42049,null,297,null,8890,null,380,null,21895,null,322,null,32130,null,299,null,7965,null,328,null,0400000US19,Iowa,19
29042,null,454,null,35612,null,465,null,44589,null,938,null,9878,null,453,null,22476,null,412,null,32719,null,597,null,8892,null,398,null,0400000US20,Kansas,20
26662,null,286,null,32092,null,323,null,41607,null,336,null,9976,null,451,null,21433,null,314,null,31286,null,373,null,8390,null,358,null,0400000US21,Kentucky,21
31448,null,323,null,41139,null,392,null,49683,null,920,null,11691,null,434,null,22884,null,647,null,32749,null,773,null,7984,null,429,null,0400000US22,Louisiana,22
26409,null,377,null,31550,null,516,null,40969,null,517,null,10843,null,572,null,21572,null,454,null,32820,null,785,null,10026,null,455,null,0400000US23,Maine,23
40655,null,314,null,48712,null,1134,null,60800,null,507,null,11529,null,408,null,32203,null,382,null,46586,null,783,null,11253,null,366,null,0400000US24,Maryland,24
37311,null,344,null,46107,null,521,null,59366,null,1559,null,11616,null,333,null,30763,null,350,null,45569,null,506,null,11921,null,261,null,0400000US25,Massachusetts,25
28507,null,320,null,36112,null,351,null,50182,null,273,null,10378,null,239,null,21680,null,196,null,35923,null,289,null,9519,null,172,null,0400000US26,Michigan,26
32340,null,181,null,40238,null,241,null,50142,null,266,null,11289,null,339,null,26252,null,283,null,38078,null,474,null,11000,null,176,null,0400000US27,Minnesota,27
29751,null,669,null,35410,null,609,null,42312,null,836,null,11359,null,559,null,22321,null,580,null,32023,null,473,null,7671,null,584,null,0400000US28,Mississippi,28
27856,null,407,null,34045,null,560,null,43184,null,706,null,10548,null,270,null,22633,null,390,null,32317,null,290,null,8690,null,281,null,0400000US29,Missouri,29
24876,null,643,null,30402,null,562,null,39929,null,1323,null,10179,null,650,null,20033,null,720,null,29776,null,988,null,9700,null,621,null,0400000US30,Montana,30
27560,null,448,null,33906,null,793,null,41558,null,463,null,8902,null,691,null,21874,null,409,null,31244,null,338,null,7978,null,447,null,0400000US31,Nebraska,31
31926,null,377,null,36989,null,587,null,46589,null,856,null,14719,null,1201,null,27302,null,635,null,35823,null,590,null,11175,null,521,null,0400000US32,Nevada,32
32604,null,691,null,41261,null,598,null,52008,null,680,null,11870,null,713,null,26034,null,700,null,37023,null,781,null,11810,null,424,null,0400000US33,New Hampshire,33
40740,null,274,null,50108,null,416,null,61384,null,442,null,13192,null,756,null,31726,null,341,null,46320,null,490,null,11946,null,209,null,0400000US34,New Jersey,34
25754,null,644,null,30995,null,710,null,42098,null,655,null,9571,null,795,null,21155,null,494,null,32141,null,813,null,9403,null,555,null,0400000US35,New Mexico,35
35228,null,219,null,41335,null,241,null,52397,null,247,null,11700,null,176,null,29480,null,381,null,42181,null,257,null,11023,null,146,null,0400000US36,New York,36
30362,null,196,null,35422,null,391,null,44638,null,664,null,10976,null,273,null,24589,null,389,null,35220,null,329,null,9570,null,251,null,0400000US37,North Carolina,37
27268,null,620,null,34194,null,1621,null,41673,null,702,null,9870,null,1074,null,21023,null,647,null,30037,null,800,null,9162,null,652,null,0400000US38,North Dakota,38
29322,null,275,null,36060,null,293,null,46173,null,335,null,9963,null,249,null,22412,null,199,null,34326,null,369,null,9358,null,212,null,0400000US39,Ohio,39
26833,null,299,null,32493,null,716,null,41354,null,370,null,9621,null,607,null,21412,null,316,null,30799,null,350,null,7481,null,291,null,0400000US40,Oklahoma,40
28357,null,524,null,34716,null,845,null,44687,null,919,null,11563,null,362,null,22513,null,435,null,34423,null,682,null,10537,null,297,null,0400000US41,Oregon,41
30634,null,119,null,37546,null,364,null,47491,null,372,null,9971,null,259,null,23715,null,245,null,35664,null,208,null,8978,null,159,null,0400000US42,Pennsylvania,42
32190,null,464,null,40381,null,902,null,51181,null,992,null,10898,null,680,null,27191,null,936,null,38221,null,2075,null,11267,null,471,null,0400000US44,Rhode Island,44
30020,null,346,null,35824,null,442,null,44249,null,826,null,10437,null,512,null,23648,null,534,null,33756,null,797,null,8855,null,343,null,0400000US45,South Carolina,45
26556,null,516,null,32145,null,598,null,38649,null,1728,null,8073,null,792,null,21328,null,534,null,28734,null,855,null,7634,null,629,null,0400000US46,South Dakota,46
27333,null,272,null,32708,null,567,null,41650,null,367,null,10753,null,316,null,22141,null,262,null,31690,null,246,null,9124,null,293,null,0400000US47,Tennessee,47
29598,null,231,null,35308,null,209,null,44705,null,512,null,10471,null,214,null,23011,null,251,null,34646,null,393,null,8338,null,176,null,0400000US48,Texas,48
26526,null,423,null,35540,null,481,null,45638,null,516,null,10633,null,473,null,18932,null,637,null,31449,null,456,null,7738,null,413,null,0400000US49,Utah,49
27020,null,547,null,32503,null,917,null,41976,null,539,null,10402,null,722,null,22637,null,851,null,34198,null,1621,null,9428,null,611,null,0400000US50,Vermont,50
