B18101H_001E,B18101H_001EA,B18101H_001M,B18101H_001MA,B18101H_002E,B18101H_002EA,B18101H_002M,B18101H_002MA,B18101H_003E,B18101H_003EA,B18101H_003M,B18101H_003MA,B18101H_004E,B18101H_004EA,B18101H_004M,B18101H_004MA,B18101H_005E,B18101H_005EA,B18101H_005M,B18101H_005MA,B18101H_006E,B18101H_006EA,B18101H_006M,B18101H_006MA,B18101H_007E,B18101H_007EA,B18101H_007M,B18101H_007MA,B18101H_008E,B18101H_008EA,B18101H_008M,B18101H_008MA,B18101H_009E,B18101H_009EA,B18101H_009M,B18101H_009MA,B18101H_010E,B18101H_010EA,B18101H_010M,B18101H_010MA,GEO_ID,NAME,state
3138433,null,3331,null,686373,null,724,null,30175,null,2450,null,656198,null,2554,null,1959474,null,3192,null,270504,null,9208,null,1688970,null,8739,null,492586,null,1669,null,210013,null,5712,null,282573,null,5690,null,0400000US01,Alabama,01
432530,null,2172,null,100271,null,552,null,3716,null,905,null,96555,null,1012,null,296534,null,2066,null,35484,null,3527,null,261050,null,3817,null,35725,null,270,null,13238,null,1361,null,22487,null,1370,null,0400000US02,Alaska,02
3732420,null,3795,null,728588,null,1544,null,26880,null,2447,null,701708,null,3096,null,2297763,null,3788,null,255517,null,9263,null,2042246,null,10086,null,706069,null,2556,null,246316,null,6797,null,459753,null,6744,null,0400000US04,Arizona,04
2122751,null,3411,null,469282,null,805,null,28159,null,2590,null,441123,null,2626,null,1312135,null,3340,null,203088,null,7299,null,1109047,null,7725,null,341334,null,1529,null,149799,null,4452,null,191535,null,4262,null,0400000US05,Arkansas,05
15186511,null,10794,null,2794880,null,4596,null,86852,null,5284,null,2708028,null,7221,null,9870874,null,9710,null,897269,null,18145,null,8973605,null,19256,null,2520757,null,6026,null,941507,null,12190,null,1579250,null,11907,null,0400000US06,California,06
3441948,null,3041,null,717444,null,1216,null,17140,null,1799,null,700304,null,2164,null,2307825,null,2716,null,177869,null,6466,null,2129956,null,7053,null,416679,null,1285,null,141859,null,4093,null,274820,null,3830,null,0400000US08,Colorado,08
2537752,null,2423,null,525005,null,1522,null,17829,null,2198,null,507176,null,2540,null,1616175,null,1962,null,127419,null,6742,null,1488756,null,6933,null,396572,null,1469,null,128440,null,4164,null,268132,null,4005,null,0400000US09,Connecticut,09
585076,null,2004,null,120178,null,384,null,5439,null,1128,null,114739,null,1131,null,366728,null,1851,null,36189,null,2687,null,330539,null,3107,null,98170,null,485,null,36688,null,2277,null,61482,null,2280,null,0400000US10,Delaware,10
190394,null,1563,null,21721,null,747,null,390,null,277,null,21331,null,799,null,149199,null,712,null,5188,null,1153,null,144011,null,1402,null,19474,null,608,null,3847,null,837,null,15627,null,839,null,0400000US11,District of Columbia,11
10849899,null,8850,null,1970389,null,3621,null,78854,null,6204,null,1891535,null,7123,null,6451151,null,5824,null,658856,null,14511,null,5792295,null,15978,null,2428359,null,3557,null,843434,null,11790,null,1584925,null,11917,null,0400000US12,Florida,12
5507418,null,5727,null,1278143,null,2716,null,52308,null,4515,null,1225835,null,5230,null,3513473,null,4437,null,357155,null,10046,null,3156318,null,11204,null,715802,null,2472,null,285662,null,7022,null,430140,null,6820,null,0400000US13,Georgia,13
294424,null,2342,null,52846,null,368,null,1802,null,918,null,51044,null,1004,null,199187,null,2369,null,14479,null,1937,null,184708,null,3046,null,42391,null,372,null,13346,null,1406,null,29045,null,1474,null,0400000US15,Hawaii,15
1275046,null,1308,null,320154,null,394,null,11276,null,1554,null,308878,null,1650,null,790738,null,1260,null,79089,null,4202,null,711649,null,4199,null,164154,null,841,null,66266,null,2985,null,97888,null,3008,null,0400000US16,Idaho,16
8200482,null,10027,null,1736833,null,2468,null,54500,null,3637,null,1682333,null,4206,null,5267818,null,7762,null,409150,null,11533,null,4858668,null,12840,null,1195831,null,4756,null,425367,null,7174,null,770464,null,7773,null,0400000US17,Illinois,17
