C01001G_001E,C01001G_001EA,C01001G_001M,C01001G_001MA,C01001G_002E,C01001G_002EA,C01001G_002M,C01001G_002MA,C01001G_003E,C01001G_003EA,C01001G_003M,C01001G_003MA,C01001G_004E,C01001G_004EA,C01001G_004M,C01001G_004MA,C01001G_005E,C01001G_005EA,C01001G_005M,C01001G_005MA,C01001G_006E,C01001G_006EA,C01001G_006M,C01001G_006MA,C01001G_007E,C01001G_007EA,C01001G_007M,C01001G_007MA,C01001G_008E,C01001G_008EA,C01001G_008M,C01001G_008MA,C01001G_009E,C01001G_009EA,C01001G_009M,C01001G_009MA,GEO_ID,NAME,state
60615,null,5519,null,31300,null,3471,null,14594,null,2226,null,14864,null,2288,null,1842,null,668,null,29315,null,3450,null,12704,null,2400,null,14307,null,1936,null,2304,null,734,null,0400000US01,Alabama,01
55613,null,4357,null,28058,null,2603,null,13257,null,1721,null,14298,null,1782,null,503,null,317,null,27555,null,2899,null,14091,null,1811,null,12469,null,1680,null,995,null,483,null,0400000US02,Alaska,02
167353,null,9487,null,83373,null,5439,null,45661,null,3789,null,34712,null,3017,null,3000,null,777,null,83980,null,6167,null,44162,null,4367,null,35828,null,3344,null,3990,null,871,null,0400000US04,Arizona,04
56502,null,4787,null,25836,null,2500,null,11655,null,1676,null,12496,null,1891,null,1685,null,658,null,30666,null,3440,null,13332,null,2302,null,14978,null,2028,null,2356,null,796,null,0400000US05,Arkansas,05
1310498,null,26071,null,654358,null,15449,null,316863,null,9966,null,313544,null,9280,null,23951,null,2265,null,656140,null,16000,null,299245,null,10235,null,323320,null,8887,null,33575,null,2909,null,0400000US06,California,06
152134,null,8663,null,75827,null,5065,null,35891,null,4040,null,37393,null,3086,null,2543,null,754,null,76307,null,5365,null,36512,null,3407,null,37426,null,3360,null,2369,null,720,null,0400000US08,Colorado,08
74113,null,6532,null,36705,null,3791,null,18193,null,2499,null,17547,null,2439,null,965,null,405,null,37408,null,3832,null,17872,null,2664,null,17306,null,2103,null,2230,null,709,null,0400000US09,Connecticut,09
14791,null,2497,null,8164,null,1687,null,4280,null,1431,null,3521,null,954,null,363,null,233,null,6627,null,1290,null,2865,null,823,null,3580,null,927,null,182,null,146,null,0400000US10,Delaware,10
11819,null,3447,null,5692,null,2171,null,1590,null,1244,null,3937,null,1337,null,165,null,157,null,6127,null,1608,null,1419,null,724,null,3939,null,1050,null,769,null,475,null,0400000US11,District of Columbia,11
341012,null,14559,null,169332,null,8662,null,80453,null,6296,null,79405,null,5131,null,9474,null,1522,null,171680,null,9063,null,79465,null,6121,null,82072,null,5193,null,10143,null,1455,null,0400000US12,Florida,12
