B16005H_001E,B16005H_001EA,B16005H_001M,B16005H_001MA,B16005H_002E,B16005H_002EA,B16005H_002M,B16005H_002MA,B16005H_003E,B16005H_003EA,B16005H_003M,B16005H_003MA,B16005H_004E,B16005H_004EA,B16005H_004M,B16005H_004MA,B16005H_005E,B16005H_005EA,B16005H_005M,B16005H_005MA,B16005H_006E,B16005H_006EA,B16005H_006M,B16005H_006MA,B16005H_007E,B16005H_007EA,B16005H_007M,B16005H_007MA,B16005H_008E,B16005H_008EA,B16005H_008M,B16005H_008MA,B16005H_009E,B16005H_009EA,B16005H_009M,B16005H_009MA,B16005H_010E,B16005H_010EA,B16005H_010M,B16005H_010MA,B16005H_011E,B16005H_011EA,B16005H_011M,B16005H_011MA,GEO_ID,NAME,state
3005995,null,1137,null,2974453,null,4573,null,2940345,null,6456,null,34108,null,3134,null,26276,null,2947,null,7832,null,1163,null,31542,null,4424,null,15571,null,2691,null,15971,null,3219,null,10737,null,2285,null,5234,null,1690,null,0400000US01,Alabama,01
421948,null,803,null,411165,null,1905,null,397524,null,2598,null,13641,null,2239,null,11983,null,2151,null,1658,null,539,null,10783,null,1730,null,5565,null,1225,null,5218,null,1209,null,3541,null,1030,null,1677,null,684,null,0400000US02,Alaska,02
3579257,null,2402,null,3430508,null,9926,null,3323871,null,11506,null,106637,null,5889,null,92142,null,5445,null,14495,null,2228,null,148749,null,9466,null,73216,null,5621,null,75533,null,7609,null,46410,null,4574,null,29123,null,5139,null,0400000US04,Arizona,04
2030057,null,1749,null,2014850,null,3066,null,1989162,null,4938,null,25688,null,3222,null,21673,null,3051,null,4015,null,988,null,15207,null,2237,null,7827,null,1508,null,7380,null,1809,null,6097,null,1580,null,1283,null,576,null,0400000US05,Arkansas,05
14720933,null,7848,null,13358732,null,23001,null,12690159,null,35395,null,668573,null,20445,null,581416,null,19287,null,87157,null,5072,null,1362201,null,21865,null,445383,null,11759,null,916818,null,18773,null,522038,null,12753,null,394780,null,13610,null,0400000US06,California,06
3296585,null,2049,null,3189522,null,7591,null,3086977,null,11398,null,102545,null,7595,null,86385,null,7263,null,16160,null,2160,null,107063,null,7246,null,46595,null,3782,null,60468,null,6558,null,36428,null,4125,null,24040,null,4161,null,0400000US08,Colorado,08
2450951,null,1797,null,2269602,null,8349,null,2157988,null,10668,null,111614,null,6546,null,97154,null,6393,null,14460,null,1672,null,181349,null,8018,null,57641,null,3706,null,123708,null,7888,null,67144,null,5211,null,56564,null,5405,null,0400000US09,Connecticut,09
563443,null,699,null,549822,null,2057,null,535389,null,2698,null,14433,null,1832,null,11950,null,1827,null,2483,null,931,null,13621,null,1988,null,6355,null,1220,null,7266,null,1651,null,5021,null,1231,null,2245,null,797,null,0400000US10,Delaware,10
184617,null,1093,null,167932,null,2590,null,156288,null,3091,null,11644,null,1764,null,10337,null,1706,null,1307,null,536,null,16685,null,2382,null,6937,null,1477,null,9748,null,1999,null,8070,null,1660,null,1678,null,794,null,0400000US11,District of Columbia,11
10505168,null,6572,null,9882631,null,15700,null,9520889,null,19975,null,361742,null,12133,null,308087,null,11931,null,53655,null,4823,null,622537,null,15288,null,257986,null,8961,null,364551,null,13266,null,212433,null,9270,null,152118,null,7359,null,0400000US12,Florida,12
5261469,null,3932,null,5106762,null,10594,null,4999892,null,12967,null,106870,null,5738,null,85760,null,4810,null,21110,null,2619,null,154707,null,9798,null,53017,null,3502,null,101690,null,9746,null,61972,null,5775,null,39718,null,5277,null,0400000US13,Georgia,13
303300,null,1203,null,282245,null,2828,null,264923,null,4532,null,17322,null,2487,null,14691,null,2290,null,2631,null,1068,null,21055,null,2512,null,12364,null,1796,null,8691,null,1592,null,7090,null,1454,null,1601,null,611,null,0400000US15,Hawaii,15
1204202,null,795,null,1179182,null,3680,null,1151258,null,5184,null,27924,null,3189,null,23311,null,2890,null,4613,null,1121,null,25020,null,3577,null,12360,null,1692,null,12660,null,2869,null,6272,null,1793,null,6388,null,2135,null,0400000US16,Idaho,16
7857004,null,8936,null,7354576,null,19516,null,7065459,null,25045,null,289117,null,12909,null,246462,null,11824,null,42655,null,3419,null,502428,null,15638,null,95451,null,5987,null,406977,null,14433,null,182732,null,6896,null,224245,null,11450,null,0400000US17,Illinois,17
4969168,null,2629,null,4911184,null,6170,null,4789135,null,8519,null,122049,null,7687,null,93911,null,7289,null,28138,null,3116,null,57984,null,5513,null,24062,null,2461,null,33922,null,4427,null,23260,null,3403,null,10662,null,2205,null,0400000US18,Indiana,18
2545529,null,1860,null,2520217,null,3911,null,2468744,null,5987,null,51473,null,3582,null,41065,null,3255,null,10408,null,1451,null,25312,null,3448,null,9089,null,1465,null,16223,null,2966,null,9070,null,1727,null,7153,null,2128,null,0400000US19,Iowa,19
2107511,null,3011,null,2082223,null,4353,null,2041586,null,6100,null,40637,null,3877,null,33003,null,3693,null,7634,null,1507,null,25288,null,3280,null,11431,null,1691,null,13857,null,2989,null,9702,null,2241,null,4155,null,1236,null,0400000US20,Kansas,20
3517080,null,1752,null,3482222,null,4356,null,3435238,null,6509,null,46984,null,4623,null,32294,null,3491,null,14690,null,2387,null,34858,null,4181,null,12490,null,1860,null,22368,null,3689,null,13208,null,2463,null,9160,null,2437,null,0400000US21,Kentucky,21
2559236,null,2182,null,2533887,null,3772,null,2394982,null,6475,null,138905,null,5458,null,115029,null,5716,null,23876,null,2263,null,25349,null,2917,null,11704,null,1885,null,13645,null,2514,null,9428,null,2014,null,4217,null,1254,null,0400000US22,Louisiana,22
1188353,null,896,null,1163119,null,2508,null,1103174,null,5141,null,59945,null,4194,null,49064,null,3878,null,10881,null,1442,null,25234,null,2365,null,14160,null,1785,null,11074,null,1945,null,8216,null,1622,null,2858,null,846,null,0400000US23,Maine,23
3065241,null,3702,null,2933944,null,7315,null,2834701,null,9466,null,99243,null,5304,null,81304,null,5061,null,17939,null,2316,null,131297,null,6462,null,45083,null,3247,null,86214,null,5619,null,53810,null,3641,null,32404,null,3873,null,0400000US24,Maryland,24
4850107,null,6432,null,4480426,null,14748,null,4263121,null,17975,null,217305,null,9435,null,185753,null,9016,null,31552,null,3123,null,369681,null,14266,null,104320,null,5930,null,265361,null,13306,null,136621,null,7882,null,128740,null,9338,null,0400000US25,Massachusetts,25
7307597,null,2589,null,7032916,null,10639,null,6820677,null,14099,null,212239,null,8740,null,176623,null,8113,null,35616,null,3028,null,274681,null,10793,null,85088,null,4457,null,189593,null,9902,null,98499,null,5464,null,91094,null,7668,null,0400000US26,Michigan,26
4189911,null,1915,null,4120887,null,6424,null,4020573,null,8212,null,100314,null,4295,null,76710,null,4308,null,23604,null,2165,null,69024,null,6159,null,28791,null,2457,null,40233,null,5159,null,23447,null,3131,null,16786,null,2886,null,0400000US27,Minnesota,27
1613335,null,1280,null,1599841,null,2883,null,1579256,null,3620,null,20585,null,2536,null,16540,null,2385,null,4045,null,1020,null,13494,null,2538,null,7894,null,1687,null,5600,null,1759,null,3393,null,1100,null,2207,null,1348,null,0400000US28,Mississippi,28
4558208,null,1312,null,4486400,null,6503,null,4402631,null,7805,null,83769,null,4524,null,66482,null,3938,null,17287,null,2101,null,71808,null,6610,null,26456,null,2904,null,45352,null,5988,null,23119,null,3296,null,22233,null,3892,null,0400000US29,Missouri,29
802059,null,467,null,789246,null,2040,null,770182,null,2940,null,19064,null,2368,null,14791,null,2098,null,4273,null,1419,null,12813,null,1967,null,7974,null,1614,null,4839,null,1278,null,3585,null,987,null,1254,null,704,null,0400000US30,Montana,30
1406188,null,1149,null,1390211,null,3083,null,1360066,null,4371,null,30145,null,2995,null,24809,null,2670,null,5336,null,966,null,15977,null,2742,null,6508,null,1361,null,9469,null,2471,null,6384,null,1800,null,3085,null,1120,null,0400000US31,Nebraska,31
1401420,null,2359,null,1321522,null,7173,null,1275787,null,8497,null,45735,null,4232,null,38903,null,3868,null,6832,null,1694,null,79898,null,6831,null,32777,null,3047,null,47121,null,6020,null,25111,null,3402,null,22010,null,4095,null,0400000US32,Nevada,32
