B01001I_001E,B01001I_001EA,B01001I_001M,B01001I_001MA,B01001I_002E,B01001I_002EA,B01001I_002M,B01001I_002MA,B01001I_003E,B01001I_003EA,B01001I_003M,B01001I_003MA,B01001I_004E,B01001I_004EA,B01001I_004M,B01001I_004MA,B01001I_005E,B01001I_005EA,B01001I_005M,B01001I_005MA,B01001I_006E,B01001I_006EA,B01001I_006M,B01001I_006MA,B01001I_007E,B01001I_007EA,B01001I_007M,B01001I_007MA,B01001I_008E,B01001I_008EA,B01001I_008M,B01001I_008MA,B01001I_009E,B01001I_009EA,B01001I_009M,B01001I_009MA,B01001I_010E,B01001I_010EA,B01001I_010M,B01001I_010MA,B01001I_011E,B01001I_011EA,B01001I_011M,B01001I_011MA,B01001I_012E,B01001I_012EA,B01001I_012M,B01001I_012MA,B01001I_013E,B01001I_013EA,B01001I_013M,B01001I_013MA,B01001I_014E,B01001I_014EA,B01001I_014M,B01001I_014MA,B01001I_015E,B01001I_015EA,B01001I_015M,B01001I_015MA,B01001I_016E,B01001I_016EA,B01001I_016M,B01001I_016MA,B01001I_017E,B01001I_017EA,B01001I_017M,B01001I_017MA,B01001I_018E,B01001I_018EA,B01001I_018M,B01001I_018MA,B01001I_019E,B01001I_019EA,B01001I_019M,B01001I_019MA,B01001I_020E,B01001I_020EA,B01001I_020M,B01001I_020MA,B01001I_021E,B01001I_021EA,B01001I_021M,B01001I_021MA,B01001I_022E,B01001I_022EA,B01001I_022M,B01001I_022MA,B01001I_023E,B01001I_023EA,B01001I_023M,B01001I_023MA,B01001I_024E,B01001I_024EA,B01001I_024M,B01001I_024MA,B01001I_025E,B01001I_025EA,B01001I_025M,B01001I_025MA,B01001I_026E,B01001I_026EA,B01001I_026M,B01001I_026MA,B01001I_027E,B01001I_027EA,B01001I_027M,B01001I_027MA,B01001I_028E,B01001I_028EA,B01001I_028M,B01001I_028MA,B01001I_029E,B01001I_029EA,B01001I_029M,B01001I_029MA,B01001I_030E,B01001I_030EA,B01001I_030M,B01001I_030MA,B01001I_031E,B01001I_031EA,B01001I_031M,B01001I_031MA,GEO_ID,NAME,state
130164,null,1800,null,73825,null,2912,null,11421,null,1586,null,7094,null,1147,null,7029,null,1255,null,2832,null,758,null,1845,null,651,null,8679,null,1496,null,8407,null,1483,null,7200,null,1460,null,9514,null,1590,null,5620,null,1483,null,2431,null,718,null,1110,null,503,null,643,null,338,null,0,null,271,null,56339,null,2270,null,9510,null,1462,null,6755,null,1243,null,5236,null,1070,null,1655,null,669,null,1658,null,585,null,4363,null,891,null,4782,null,1000,null,6174,null,1416,null,7093,null,1135,null,3378,null,961,null,3381,null,918,null,1191,null,453,null,1073,null,541,null,90,null,83,null,0400000US01,Alabama,01
42588,null,1669,null,24511,null,1524,null,3723,null,724,null,1659,null,498,null,2476,null,639,null,1170,null,331,null,715,null,383,null,3476,null,833,null,2160,null,886,null,1763,null,1095,null,3498,null,1076,null,2030,null,836,null,1208,null,434,null,580,null,313,null,53,null,86,null,0,null,240,null,18077,null,909,null,2050,null,627,null,1765,null,511,null,2147,null,513,null,460,null,255,null,891,null,399,null,1509,null,545,null,1613,null,646,null,1933,null,505,null,2542,null,513,null,1695,null,571,null,710,null,339,null,500,null,318,null,262,null,238,null,0,null,240,null,0400000US02,Alaska,02
1959197,null,1639,null,1016167,null,1489,null,121822,null,961,null,101596,null,3816,null,98580,null,3696,null,53858,null,597,null,32995,null,1066,null,80035,null,1205,null,96663,null,862,null,94152,null,1120,null,146381,null,1245,null,96247,null,1479,null,51468,null,695,null,26395,null,884,null,11688,null,1216,null,4287,null,1200,null,943030,null,1180,null,116602,null,842,null,98894,null,4047,null,91219,null,4020,null,51127,null,631,null,31028,null,1374,null,67340,null,1209,null,78501,null,907,null,77001,null,1079,null,132315,null,1457,null,91777,null,1032,null,53644,null,848,null,30093,null,686,null,17031,null,1454,null,6458,null,1436,null,0400000US04,Arizona,04
157478,null,1645,null,85060,null,2066,null,12193,null,1386,null,9467,null,1489,null,7329,null,1361,null,4641,null,872,null,3576,null,954,null,7866,null,1244,null,7934,null,1209,null,8745,null,1085,null,13024,null,1077,null,5623,null,954,null,3414,null,704,null,1121,null,445,null,0,null,269,null,127,null,183,null,72418,null,1843,null,12254,null,1106,null,9284,null,1195,null,6491,null,1151,null,3719,null,598,null,2143,null,624,null,6610,null,942,null,6310,null,959,null,6922,null,994,null,8824,null,1105,null,5858,null,1127,null,2400,null,689,null,1311,null,633,null,167,null,179,null,125,null,112,null,0400000US05,Arkansas,05
13457397,null,0,*****,6907415,null,2034,null,730865,null,1113,null,624392,null,8182,null,641494,null,8351,null,380176,null,1122,null,246159,null,1274,null,577662,null,1614,null,637188,null,1557,null,600134,null,2034,null,1061713,null,2147,null,725775,null,1503,null,377287,null,1024,null,180575,null,1226,null,99688,null,2663,null,24307,null,2307,null,6549982,null,2035,null,702236,null,1149,null,598652,null,10365,null,613788,null,10339,null,363060,null,1125,null,233500,null,1268,null,530717,null,1617,null,525182,null,1318,null,512115,null,1269,null,947969,null,1773,null,706561,null,1556,null,407957,null,1079,null,221361,null,1084,null,139553,null,3688,null,47331,null,3637,null,0400000US06,California,06
997060,null,0,*****,522941,null,1929,null,59614,null,1266,null,51609,null,2604,null,44035,null,2571,null,25112,null,835,null,16481,null,1348,null,40112,null,1392,null,52216,null,1348,null,51551,null,1462,null,78427,null,1721,null,51788,null,1611,null,29335,null,929,null,14646,null,794,null,6703,null,814,null,1312,null,397,null,474119,null,1927,null,58741,null,1327,null,47456,null,3208,null,43173,null,2989,null,24344,null,953,null,14408,null,1239,null,33631,null,1290,null,40003,null,1233,null,40938,null,1429,null,66451,null,1831,null,47656,null,1301,null,29563,null,774,null,16108,null,783,null,8614,null,1005,null,3033,null,746,null,0400000US08,Colorado,08
419391,null,0,*****,211009,null,1486,null,21955,null,684,null,20186,null,1750,null,17288,null,1686,null,11891,null,936,null,8296,null,787,null,18053,null,806,null,19672,null,542,null,18209,null,457,null,32722,null,706,null,22594,null,726,null,11716,null,473,null,5917,null,641,null,2186,null,631,null,324,null,266,null,208382,null,1487,null,22136,null,927,null,16313,null,1777,null,19695,null,1741,null,11062,null,626,null,7161,null,649,null,15444,null,769,null,16436,null,371,null,17030,null,615,null,33839,null,833,null,23980,null,704,null,13706,null,346,null,6778,null,350,null,3736,null,466,null,1066,null,443,null,0400000US09,Connecticut,09
59093,null,0,*****,30684,null,694,null,4515,null,0,*****,3372,null,592,null,2321,null,741,null,1151,null,575,null,677,null,363,null,2636,null,384,null,2916,null,174,null,3066,null,261,null,4786,null,248,null,2907,null,243,null,1582,null,446,null,448,null,331,null,289,null,213,null,18,null,32,null,28409,null,694,null,5186,null,451,null,2862,null,652,null,2311,null,641,null,1668,null,546,null,641,null,311,null,2022,null,402,null,2150,null,239,null,2441,null,330,null,4830,null,439,null,1670,null,336,null,1651,null,547,null,882,null,488,null,82,null,92,null,13,null,24,null,0400000US10,Delaware,10
51124,null,0,*****,26504,null,346,null,2681,null,0,*****,1638,null,511,null,1207,null,511,null,621,null,346,null,1226,null,462,null,1793,null,462,null,3662,null,0,*****,3137,null,0,*****,4816,null,0,*****,2986,null,0,*****,1692,null,0,*****,852,null,135,null,167,null,126,null,26,null,47,null,24620,null,346,null,2506,null,0,*****,1477,null,508,null,1371,null,508,null,998,null,346,null,1516,null,552,null,1501,null,552,null,2638,null,0,*****,2544,null,0,*****,3738,null,0,*****,2635,null,0,*****,1878,null,0,*****,1024,null,379,null,662,null,336,null,132,null,134,null,0400000US11,District of Columbia,11
3845964,null,2070,null,1944969,null,5903,null,173685,null,1689,null,134426,null,4295,null,131152,null,4812,null,79186,null,1709,null,61753,null,3072,null,145498,null,3734,null,164473,null,1987,null,164464,null,2331,null,326749,null,3942,null,243432,null,2095,null,146821,null,1438,null,96712,null,1686,null,58788,null,2476,null,17830,null,2226,null,1900995,null,5445,null,163702,null,1672,null,130398,null,4774,null,122321,null,4293,null,76201,null,1616,null,52904,null,2364,null,126619,null,2215,null,130994,null,2135,null,142856,null,2147,null,298914,null,1921,null,248742,null,2130,null,169832,null,1588,null,120170,null,1303,null,83114,null,3069,null,34228,null,3133,null,0400000US12,Florida,12
