B14007A_001E,B14007A_001EA,B14007A_001M,B14007A_001MA,B14007A_002E,B14007A_002EA,B14007A_002M,B14007A_002MA,B14007A_003E,B14007A_003EA,B14007A_003M,B14007A_003MA,B14007A_004E,B14007A_004EA,B14007A_004M,B14007A_004MA,B14007A_005E,B14007A_005EA,B14007A_005M,B14007A_005MA,B14007A_006E,B14007A_006EA,B14007A_006M,B14007A_006MA,B14007A_007E,B14007A_007EA,B14007A_007M,B14007A_007MA,B14007A_008E,B14007A_008EA,B14007A_008M,B14007A_008MA,B14007A_009E,B14007A_009EA,B14007A_009M,B14007A_009MA,B14007A_010E,B14007A_010EA,B14007A_010M,B14007A_010MA,B14007A_011E,B14007A_011EA,B14007A_011M,B14007A_011MA,B14007A_012E,B14007A_012EA,B14007A_012M,B14007A_012MA,B14007A_013E,B14007A_013EA,B14007A_013M,B14007A_013MA,B14007A_014E,B14007A_014EA,B14007A_014M,B14007A_014MA,B14007A_015E,B14007A_015EA,B14007A_015M,B14007A_015MA,B14007A_016E,B14007A_016EA,B14007A_016M,B14007A_016MA,B14007A_017E,B14007A_017EA,B14007A_017M,B14007A_017MA,B14007A_018E,B14007A_018EA,B14007A_018M,B14007A_018MA,B14007A_019E,B14007A_019EA,B14007A_019M,B14007A_019MA,GEO_ID,NAME,state
3160320,null,6442,null,747328,null,8135,null,44742,null,3346,null,39110,null,3454,null,40715,null,2792,null,40826,null,3180,null,37166,null,2712,null,39477,null,2659,null,39356,null,2988,null,38681,null,3021,null,45024,null,2961,null,45108,null,3090,null,40042,null,2704,null,39676,null,2983,null,35442,null,3171,null,38867,null,2919,null,151496,null,5428,null,31600,null,2848,null,2412992,null,8081,null,0400000US01,Alabama,01
454445,null,3168,null,123963,null,4106,null,6769,null,1127,null,4721,null,976,null,5221,null,1023,null,5561,null,1158,null,7009,null,1172,null,5282,null,984,null,5169,null,820,null,6182,null,896,null,5809,null,1127,null,6776,null,1153,null,6214,null,1109,null,6942,null,942,null,5626,null,994,null,8285,null,1399,null,28802,null,3002,null,9595,null,1691,null,330482,null,3551,null,0400000US02,Alaska,02
4975439,null,24671,null,1263253,null,14562,null,63128,null,4356,null,62966,null,4542,null,67809,null,4689,null,65573,null,4166,null,67385,null,4526,null,69775,null,4409,null,67786,null,4040,null,71966,null,4667,null,67295,null,3914,null,67758,null,4079,null,65454,null,3934,null,68403,null,3707,null,60815,null,3273,null,72568,null,3803,null,264213,null,9195,null,60359,null,4662,null,3712186,null,20537,null,0400000US04,Arizona,04
2163172,null,6039,null,519043,null,7179,null,36682,null,2922,null,28358,null,2907,null,28644,null,2702,null,28383,null,2197,null,30985,null,2925,null,26832,null,2412,null,26846,null,2470,null,28038,null,2500,null,25706,null,2499,null,26474,null,2572,null,28608,null,2615,null,27203,null,2178,null,24758,null,2054,null,29292,null,2494,null,103190,null,4718,null,19044,null,2137,null,1644129,null,6814,null,0400000US05,Arkansas,05
22037368,null,63848,null,6036636,null,34552,null,355338,null,9369,null,288462,null,9054,null,272093,null,7991,null,291812,null,7704,null,280085,null,7753,null,297166,null,8266,null,288179,null,8240,null,292855,null,9469,null,301991,null,8749,null,303879,null,7955,null,310407,null,9359,null,306173,null,9475,null,322532,null,9819,null,382736,null,8952,null,1430544,null,20444,null,312384,null,10868,null,16000732,null,51186,null,0400000US06,California,06
4020895,null,14277,null,1039877,null,11203,null,74306,null,4470,null,53694,null,3501,null,52374,null,3521,null,48122,null,3529,null,52777,null,3803,null,50623,null,3063,null,51666,null,3820,null,49800,null,3797,null,49060,null,3792,null,52121,null,3699,null,52515,null,3604,null,51704,null,2862,null,51913,null,3290,null,57672,null,3929,null,232503,null,6923,null,59027,null,3442,null,2981018,null,12342,null,0400000US08,Colorado,08
2717719,null,9839,null,701718,null,8521,null,48447,null,3040,null,29549,null,2384,null,28844,null,2789,null,31055,null,2729,null,36012,null,2831,null,33883,null,2548,null,32631,null,2376,null,37237,null,2876,null,35809,null,2467,null,34884,null,2574,null,37107,null,2247,null,35574,null,2406,null,37571,null,2411,null,42568,null,2696,null,156656,null,5421,null,43891,null,3336,null,2016001,null,10188,null,0400000US09,Connecticut,09
612203,null,3169,null,152639,null,3431,null,9008,null,1310,null,8137,null,1540,null,7153,null,1319,null,7282,null,1379,null,7630,null,1340,null,7122,null,1014,null,6620,null,1182,null,6788,null,1203,null,8389,null,1342,null,8093,null,1293,null,8889,null,1238,null,7116,null,943,null,6787,null,1193,null,8296,null,1097,null,37558,null,2536,null,7771,null,1584,null,459564,null,4008,null,0400000US10,Delaware,10
213315,null,3584,null,53336,null,2303,null,4312,null,1075,null,1496,null,579,null,1269,null,547,null,2304,null,695,null,846,null,467,null,1686,null,771,null,764,null,436,null,1721,null,515,null,704,null,441,null,518,null,349,null,408,null,306,null,625,null,356,null,692,null,389,null,1131,null,425,null,20758,null,1722,null,14102,null,1710,null,159979,null,3241,null,0400000US11,District of Columbia,11
13746539,null,25784,null,3016237,null,20478,null,204443,null,8761,null,144589,null,6391,null,141090,null,6409,null,147939,null,7151,null,155387,null,6421,null,149717,null,6554,null,151772,null,8105,null,156997,null,6001,null,149965,null,5571,null,163556,null,6286,null,160308,null,7143,null,152508,null,5645,null,145019,null,4566,null,175195,null,7339,null,679557,null,12605,null,138195,null,5607,null,10730302,null,24828,null,0400000US12,Florida,12
5764404,null,16346,null,1487960,null,13392,null,113487,null,4927,null,77275,null,4534,null,81086,null,4581,null,74787,null,4730,null,80036,null,4561,null,77721,null,4322,null,78047,null,4518,null,78722,null,4622,null,74198,null,4893,null,82951,null,4788,null,77781,null,4519,null,75147,null,3966,null,76193,null,3883,null,83336,null,4267,null,295046,null,9737,null,62147,null,4005,null,4276444,null,16910,null,0400000US13,Georgia,13
337465,null,3503,null,76415,null,3934,null,4493,null,1197,null,4918,null,1173,null,2396,null,979,null,3331,null,1132,null,4492,null,1297,null,2923,null,929,null,4080,null,1247,null,3840,null,1244,null,2805,null,1086,null,2895,null,760,null,1516,null,601,null,3093,null,772,null,2981,null,878,null,2601,null,907,null,23684,null,3033,null,6367,null,1457,null,261050,null,4168,null,0400000US15,Hawaii,15
1346630,null,5301,null,371297,null,5571,null,20021,null,1704,null,22337,null,2205,null,20079,null,2059,null,17496,null,1991,null,18554,null,2032,null,19705,null,1983,null,18608,null,2006,null,21129,null,1985,null,19669,null,1811,null,17873,null,2019,null,20660,null,1987,null,19900,null,1470,null,18153,null,1829,null,23031,null,2109,null,77612,null,4388,null,16470,null,2321,null,975333,null,5715,null,0400000US16,Idaho,16
9037498,null,28676,null,2402238,null,18132,null,174764,null,6947,null,116672,null,5247,null,107549,null,4747,null,115444,null,4677,null,117324,null,5099,null,111889,null,4186,null,113700,null,4874,null,118953,null,5426,null,115336,null,4578,null,117008,null,5235,null,124965,null,4790,null,123357,null,4037,null,121788,null,4131,null,135646,null,5492,null,556916,null,9852,null,130927,null,5446,null,6635260,null,23367,null,0400000US17,Illinois,17
5263673,null,9104,null,1363968,null,10394,null,81422,null,4110,null,69430,null,3804,null,69991,null,4018,null,66047,null,3466,null,70785,null,3908,null,69787,null,3436,null,71866,null,4058,null,73538,null,3697,null,75688,null,4009,null,74777,null,3892,null,72452,null,3290,null,69842,null,3273,null,72767,null,3552,null,71829,null,3285,null,299039,null,8060,null,54708,null,3370,null,3899705,null,12716,null,0400000US18,Indiana,18
