C23002A_001E,C23002A_001EA,C23002A_001M,C23002A_001MA,C23002A_002E,C23002A_002EA,C23002A_002M,C23002A_002MA,C23002A_003E,C23002A_003EA,C23002A_003M,C23002A_003MA,C23002A_004E,C23002A_004EA,C23002A_004M,C23002A_004MA,C23002A_005E,C23002A_005EA,C23002A_005M,C23002A_005MA,C23002A_006E,C23002A_006EA,C23002A_006M,C23002A_006MA,C23002A_007E,C23002A_007EA,C23002A_007M,C23002A_007MA,C23002A_008E,C23002A_008EA,C23002A_008M,C23002A_008MA,C23002A_009E,C23002A_009EA,C23002A_009M,C23002A_009MA,C23002A_010E,C23002A_010EA,C23002A_010M,C23002A_010MA,C23002A_011E,C23002A_011EA,C23002A_011M,C23002A_011MA,C23002A_012E,C23002A_012EA,C23002A_012M,C23002A_012MA,C23002A_013E,C23002A_013EA,C23002A_013M,C23002A_013MA,C23002A_014E,C23002A_014EA,C23002A_014M,C23002A_014MA,C23002A_015E,C23002A_015EA,C23002A_015M,C23002A_015MA,C23002A_016E,C23002A_016EA,C23002A_016M,C23002A_016MA,C23002A_017E,C23002A_017EA,C23002A_017M,C23002A_017MA,C23002A_018E,C23002A_018EA,C23002A_018M,C23002A_018MA,C23002A_019E,C23002A_019EA,C23002A_019M,C23002A_019MA,C23002A_020E,C23002A_020EA,C23002A_020M,C23002A_020MA,C23002A_021E,C23002A_021EA,C23002A_021M,C23002A_021MA,C23002A_022E,C23002A_022EA,C23002A_022M,C23002A_022MA,C23002A_023E,C23002A_023EA,C23002A_023M,C23002A_023MA,C23002A_024E,C23002A_024EA,C23002A_024M,C23002A_024MA,C23002A_025E,C23002A_025EA,C23002A_025M,C23002A_025MA,C23002A_026E,C23002A_026EA,C23002A_026M,C23002A_026MA,C23002A_027E,C23002A_027EA,C23002A_027M,C23002A_027MA,GEO_ID,NAME,state
2638114,null,4664,null,1279568,null,3957,null,1061869,null,3976,null,849740,null,7192,null,12373,null,2785,null,837367,null,7845,null,793400,null,8396,null,43967,null,4121,null,212129,null,7102,null,217699,null,618,null,42303,null,2284,null,40799,null,2202,null,1504,null,495,null,175396,null,2410,null,1358546,null,3075,null,1060765,null,3127,null,699816,null,6988,null,1458,null,865,null,698358,null,6962,null,660059,null,7160,null,38299,null,3075,null,360949,null,6795,null,297781,null,747,null,30462,null,2252,null,29594,null,2246,null,868,null,374,null,267319,null,2348,null,0400000US01,Alabama,01
379421,null,2409,null,202076,null,1758,null,183649,null,1733,null,155468,null,2901,null,14395,null,2747,null,141073,null,3678,null,130657,null,3915,null,10416,null,1882,null,28181,null,2487,null,18427,null,331,null,5510,null,860,null,5477,null,862,null,33,null,69,null,12917,null,865,null,177345,null,1376,null,158715,null,1341,null,118182,null,3053,null,1302,null,521,null,116880,null,3008,null,111074,null,2723,null,5806,null,1388,null,40533,null,2932,null,18630,null,310,null,3918,null,738,null,3918,null,738,null,0,null,240,null,14712,null,750,null,0400000US02,Alaska,02
4080349,null,17544,null,2022777,null,11254,null,1668058,null,10602,null,1353340,null,11825,null,15069,null,1908,null,1338271,null,12086,null,1264522,null,13328,null,73749,null,5214,null,314718,null,8555,null,354719,null,1886,null,59291,null,3577,null,56846,null,3543,null,2445,null,803,null,295428,null,3562,null,2057572,null,8961,null,1623360,null,8494,null,1116197,null,12175,null,3286,null,1211,null,1112911,null,12012,null,1053151,null,11834,null,59760,null,4724,null,507163,null,10836,null,434212,null,1663,null,44617,null,3381,null,42170,null,3217,null,2447,null,695,null,389595,null,3600,null,0400000US04,Arizona,04
1799221,null,4204,null,873448,null,3587,null,718850,null,3577,null,559434,null,7580,null,4824,null,1143,null,554610,null,7621,null,522422,null,7770,null,32188,null,3079,null,159416,null,6685,null,154598,null,518,null,27529,null,1896,null,26984,null,1854,null,545,null,274,null,127069,null,1993,null,925773,null,2870,null,721789,null,2794,null,488774,null,6289,null,631,null,480,null,488143,null,6362,null,463181,null,6334,null,24962,null,2596,null,233015,null,6471,null,203984,null,457,null,20055,null,2046,null,19185,null,2055,null,870,null,380,null,183929,null,2108,null,0400000US05,Arkansas,05
18218182,null,47889,null,9066772,null,29238,null,7743965,null,28784,null,6297439,null,29612,null,96502,null,6429,null,6200937,null,29419,null,5746198,null,28305,null,454739,null,12069,null,1446526,null,24931,null,1322807,null,4518,null,279133,null,6772,null,266152,null,6551,null,12981,null,1677,null,1043674,null,7535,null,9151410,null,25827,null,7412775,null,24350,null,5069986,null,26252,null,15071,null,2586,null,5054915,null,26074,null,4703057,null,25736,null,351858,null,9977,null,2342789,null,25147,null,1738635,null,5648,null,202281,null,6333,null,192575,null,6183,null,9706,null,1461,null,1536354,null,7411,null,0400000US06,California,06
3331918,null,10526,null,1668640,null,6868,null,1463122,null,6641,null,1255328,null,7987,null,18372,null,1749,null,1236956,null,8067,null,1180376,null,8880,null,56580,null,4167,null,207794,null,6201,null,205518,null,1265,null,46406,null,2970,null,44836,null,2899,null,1570,null,561,null,159112,null,3120,null,1663278,null,5253,null,1398220,null,5263,null,1037615,null,8691,null,3381,null,757,null,1034234,null,8532,null,988428,null,8962,null,45806,null,3977,null,360605,null,8691,null,265058,null,1219,null,33846,null,2077,null,32747,null,2019,null,1099,null,433,null,231212,null,2350,null,0400000US08,Colorado,08
2279806,null,8282,null,1096419,null,5048,null,916420,null,4874,null,773381,null,7532,null,4185,null,850,null,769196,null,7651,null,726104,null,7621,null,43092,null,3414,null,143039,null,6558,null,179999,null,902,null,47021,null,2296,null,45121,null,2303,null,1900,null,591,null,132978,null,2393,null,1183387,null,4452,null,929856,null,4351,null,701216,null,7231,null,710,null,484,null,700506,null,7365,null,664934,null,7176,null,35572,null,3051,null,228640,null,6723,null,253531,null,947,null,37340,null,2247,null,35971,null,2264,null,1369,null,448,null,216191,null,2235,null,0400000US09,Connecticut,09
515393,null,2655,null,247700,null,1747,null,202693,null,1841,null,169517,null,3052,null,3508,null,1102,null,166009,null,3259,null,156511,null,3401,null,9498,null,1427,null,33176,null,2778,null,45007,null,393,null,8202,null,1048,null,7884,null,1043,null,318,null,209,null,36805,null,1072,null,267693,null,1508,null,209371,null,1525,null,151799,null,3678,null,1170,null,734,null,150629,null,3674,null,143306,null,3882,null,7323,null,1312,null,57572,null,3440,null,58322,null,523,null,6422,null,962,null,6318,null,952,null,104,null,133,null,51900,null,1113,null,0400000US10,Delaware,10
196337,null,2788,null,97960,null,1659,null,87286,null,1654,null,74631,null,2273,null,1758,null,437,null,72873,null,2281,null,70869,null,2181,null,2004,null,732,null,12655,null,1543,null,10674,null,169,null,4073,null,736,null,3832,null,717,null,241,null,239,null,6601,null,745,null,98377,null,1612,null,85746,null,1513,null,68374,null,1982,null,194,null,165,null,68180,null,1997,null,66058,null,2162,null,2122,null,810,null,17372,null,1884,null,12631,null,440,null,3655,null,690,null,3655,null,690,null,0,null,296,null,8976,null,830,null,0400000US11,District of Columbia,11
11758727,null,20115,null,5732604,null,15121,null,4465168,null,14964,null,3601839,null,21323,null,35763,null,2695,null,3566076,null,20966,null,3323834,null,21778,null,242242,null,9469,null,863329,null,14359,null,1267436,null,2091,null,221180,null,6432,null,209244,null,6485,null,11936,null,1511,null,1046256,null,6528,null,6026123,null,10892,null,4432870,null,10303,null,3124242,null,17264,null,6482,null,1581,null,3117760,null,17352,null,2913824,null,19778,null,203936,null,8795,null,1308628,null,17050,null,1593253,null,2925,null,164790,null,5603,null,155980,null,5469,null,8810,null,1414,null,1428463,null,6359,null,0400000US12,Florida,12
4735758,null,11695,null,2332932,null,8591,null,2013801,null,8402,null,1658853,null,11322,null,37002,null,2878,null,1621851,null,12316,null,1533335,null,14364,null,88516,null,5045,null,354948,null,8816,null,319131,null,1391,null,73129,null,3650,null,69698,null,3774,null,3431,null,777,null,246002,null,3608,null,2402826,null,6258,null,1969814,null,5927,null,1354894,null,10417,null,2656,null,772,null,1352238,null,10263,null,1277745,null,11225,null,74493,null,5437,null,614920,null,10510,null,433012,null,1645,null,51443,null,3038,null,50019,null,3052,null,1424,null,586,null,381569,null,3246,null,0400000US13,Georgia,13
294191,null,2645,null,160802,null,1719,null,138697,null,1670,null,116425,null,2685,null,24191,null,2266,null,92234,null,3654,null,87247,null,3500,null,4987,null,1298,null,22272,null,2563,null,22105,null,315,null,6195,null,821,null,5947,null,813,null,248,null,208,null,15910,null,858,null,133389,null,1594,null,110294,null,1583,null,79785,null,2915,null,2212,null,814,null,77573,null,2935,null,74029,null,2969,null,3544,null,900,null,30509,null,3151,null,23095,null,373,null,3952,null,890,null,3897,null,863,null,55,null,91,null,19143,null,960,null,0400000US15,Hawaii,15
1085630,null,3974,null,540465,null,2691,null,460417,null,2582,null,383195,null,5334,null,3842,null,791,null,379353,null,5383,null,358860,null,5535,null,20493,null,2929,null,77222,null,5100,null,80048,null,588,null,15426,null,1522,null,14637,null,1480,null,789,null,383,null,64622,null,1510,null,545165,null,2357,null,449378,null,2454,null,314261,null,5776,null,699,null,398,null,313562,null,5779,null,298004,null,5439,null,15558,null,1907,null,135117,null,5805,null,95787,null,887,null,9648,null,1310,null,9184,null,1285,null,464,null,283,null,86139,null,1439,null,0400000US16,Idaho,16
7522836,null,19640,null,3686929,null,10546,null,3140385,null,10330,null,2640975,null,13649,null,12320,null,1505,null,2628655,null,13890,null,2478670,null,13990,null,149985,null,6787,null,499410,null,11689,null,546544,null,2200,null,116305,null,3568,null,112462,null,3501,null,3843,null,846,null,430239,null,3778,null,3835907,null,11519,null,3066916,null,10860,null,2263939,null,12485,null,1985,null,773,null,2261954,null,12261,null,2141551,null,13296,null,120403,null,5157,null,802977,null,12744,null,768991,null,2540,null,99042,null,3685,null,95513,null,3668,null,3529,null,788,null,669949,null,4255,null,0400000US17,Illinois,17
4339341,null,6748,null,2114142,null,4292,null,1801023,null,4023,null,1485055,null,6930,null,3331,null,915,null,1481724,null,6855,null,1383976,null,7735,null,97748,null,5142,null,315968,null,6811,null,313119,null,807,null,66338,null,2868,null,64138,null,2963,null,2200,null,630,null,246781,null,2776,null,2225199,null,4144,null,1787176,null,3960,null,1301508,null,8632,null,653,null,588,null,1300855,null,8716,null,1223750,null,9891,null,77105,null,3774,null,485668,null,8331,null,438023,null,909,null,55152,null,2924,null,53354,null,2848,null,1798,null,541,null,382871,null,3025,null,0400000US18,Indiana,18
2228624,null,4156,null,1082833,null,2966,null,901440,null,2877,null,777108,null,4631,null,2166,null,778,null,774942,null,4782,null,741611,null,5682,null,33331,null,2553,null,124332,null,4066,null,181393,null,608,null,41422,null,1955,null,40754,null,1929,null,668,null,238,null,139971,null,2065,null,1145791,null,2773,null,892746,null,2677,null,712894,null,5716,null,563,null,353,null,712331,null,5686,null,688454,null,6025,null,23877,null,1997,null,179852,null,5546,null,253045,null,563,null,34669,null,2208,null,34168,null,2177,null,501,null,216,null,218376,null,2273,null,0400000US19,Iowa,19
1909790,null,5518,null,935649,null,3996,null,791036,null,3954,null,681768,null,4935,null,14162,null,1745,null,667606,null,5227,null,639383,null,5646,null,28223,null,2737,null,109268,null,4523,null,144613,null,939,null,37426,null,1971,null,36943,null,2013,null,483,null,238,null,107187,null,2104,null,974141,null,3200,null,774724,null,3265,null,596716,null,5788,null,1074,null,511,null,595642,null,5860,null,573496,null,6326,null,22146,null,2488,null,178008,null,5480,null,199417,null,759,null,29034,null,1892,null,28270,null,1836,null,764,null,369,null,170383,null,2064,null,0400000US20,Kansas,20
3046227,null,4139,null,1469488,null,3399,null,1247597,null,3280,null,940613,null,7574,null,13201,null,1886,null,927412,null,7433,null,862242,null,7592,null,65170,null,4419,null,306984,null,7670,null,221891,null,392,null,38367,null,2512,null,36957,null,2505,null,1410,null,502,null,183524,null,2529,null,1576739,null,3123,null,1270182,null,3100,null,839721,null,8297,null,1492,null,728,null,838229,null,8413,null,785962,null,8652,null,52267,null,3580,null,430461,null,8429,null,306557,null,511,null,30366,null,2142,null,29899,null,2096,null,467,null,390,null,276191,null,2278,null,0400000US21,Kentucky,21
2273886,null,4160,null,1102645,null,3448,null,931408,null,3477,null,750538,null,6503,null,9874,null,1656,null,740664,null,6320,null,711069,null,6707,null,29595,null,2617,null,180870,null,6300,null,171237,null,592,null,35993,null,2286,null,34952,null,2173,null,1041,null,458,null,135244,null,2286,null,1171241,null,2430,null,935955,null,2458,null,612747,null,8305,null,1307,null,593,null,611440,null,8233,null,586114,null,8328,null,25326,null,3073,null,323208,null,7987,null,235286,null,939,null,27821,null,2210,null,27100,null,2161,null,721,null,390,null,207465,null,2070,null,0400000US22,Louisiana,22
1039844,null,2228,null,500731,null,1390,null,416393,null,1391,null,335847,null,4331,null,2684,null,1042,null,333163,null,4374,null,311490,null,4299,null,21673,null,2015,null,80546,null,4183,null,84338,null,228,null,16879,null,1253,null,16272,null,1239,null,607,null,228,null,67459,null,1257,null,539113,null,1313,null,427246,null,1319,null,321225,null,4667,null,468,null,358,null,320757,null,4627,null,304225,null,5149,null,16532,null,1907,null,106021,null,4674,null,111867,null,431,null,12768,null,1383,null,12466,null,1391,null,302,null,211,null,99099,null,1357,null,0400000US23,Maine,23
2797255,null,8033,null,1357571,null,5212,null,1143937,null,5129,null,975341,null,7166,null,15762,null,1852,null,959579,null,7252,null,919730,null,7816,null,39849,null,3555,null,168596,null,5859,null,213634,null,680,null,56608,null,2489,null,54950,null,2561,null,1658,null,685,null,157026,null,2632,null,1439684,null,4123,null,1150856,null,4255,null,867109,null,7741,null,4029,null,1114,null,863080,null,7728,null,829079,null,7914,null,34001,null,3254,null,283747,null,7761,null,288828,null,1040,null,41013,null,2497,null,40440,null,2494,null,573,null,267,null,247815,null,2535,null,0400000US24,Maryland,24
4410709,null,11282,null,2106749,null,6368,null,1779180,null,6350,null,1481793,null,10010,null,4831,null,1186,null,1476962,null,10210,null,1384441,null,10278,null,92521,null,5829,null,297387,null,8248,null,327569,null,1101,null,78819,null,3377,null,75846,null,3195,null,2973,null,794,null,248750,null,3536,null,2303960,null,5945,null,1827995,null,5837,null,1400632,null,10921,null,1013,null,730,null,1399619,null,10873,null,1332917,null,11701,null,66702,null,4422,null,427363,null,10146,null,475965,null,1009,null,67101,null,2947,null,64821,null,3002,null,2280,null,652,null,408864,null,3214,null,0400000US25,Massachusetts,25
6417796,null,7485,null,3141786,null,5222,null,2652406,null,5193,null,2131318,null,10516,null,5098,null,1110,null,2126220,null,10371,null,1933380,null,11509,null,192840,null,7029,null,521088,null,10462,null,489380,null,675,null,79930,null,2920,null,76435,null,2888,null,3495,null,650,null,409450,null,3002,null,3276010,null,4375,null,2619485,null,4496,null,1876477,null,9690,null,517,null,300,null,1875960,null,9647,null,1738489,null,11333,null,137471,null,5126,null,743008,null,9232,null,656525,null,1211,null,64891,null,3538,null,62045,null,3398,null,2846,null,728,null,591634,null,3495,null,0400000US26,Michigan,26
3700784,null,4804,null,1819760,null,3469,null,1552254,null,3533,null,1347232,null,6704,null,3309,null,992,null,1343923,null,6578,null,1276704,null,6926,null,67219,null,3858,null,205022,null,6320,null,267506,null,502,null,56432,null,2736,null,54896,null,2723,null,1536,null,418,null,211074,null,2793,null,1881024,null,2807,null,1522263,null,2772,null,1228372,null,7050,null,322,null,254,null,1228050,null,7055,null,1184525,null,7291,null,43525,null,3591,null,293891,null,7372,null,358761,null,782,null,45347,null,2024,null,44604,null,2081,null,743,null,279,null,313414,null,2188,null,0400000US27,Minnesota,27
1404620,null,4293,null,683132,null,3447,null,569266,null,3493,null,452137,null,5590,null,9768,null,2087,null,442369,null,5939,null,421876,null,6079,null,20493,null,2315,null,117129,null,5530,null,113866,null,506,null,23197,null,1994,null,22609,null,2011,null,588,null,358,null,90669,null,2037,null,721488,null,2824,null,561984,null,2728,null,369141,null,6118,null,1555,null,720,null,367586,null,6167,null,347323,null,6027,null,20263,null,2195,null,192843,null,6109,null,159504,null,495,null,16296,null,1803,null,15912,null,1796,null,384,null,290,null,143208,null,1757,null,0400000US28,Mississippi,28
3983101,null,4799,null,1930371,null,3106,null,1622466,null,3094,null,1335390,null,8975,null,12757,null,1663,null,1322633,null,9068,null,1250108,null,9055,null,72525,null,4789,null,287076,null,8593,null,307905,null,539,null,60503,null,2970,null,58091,null,2888,null,2412,null,611,null,247402,null,3023,null,2052730,null,3289,null,1631134,null,3171,null,1199715,null,8595,null,3844,null,1630,null,1195871,null,8524,null,1137549,null,8538,null,58322,null,3784,null,431419,null,8339,null,421596,null,779,null,51509,null,2672,null,49845,null,2616,null,1664,null,542,null,370087,null,2768,null,0400000US29,Missouri,29
705344,null,1898,null,351328,null,1366,null,291892,null,1265,null,238246,null,3550,null,2811,null,794,null,235435,null,3534,null,224551,null,3632,null,10884,null,1941,null,53646,null,3470,null,59436,null,355,null,12266,null,1239,null,12013,null,1243,null,253,null,167,null,47170,null,1307,null,354016,null,1268,null,282388,null,1192,null,208850,null,3692,null,197,null,161,null,208653,null,3690,null,201024,null,3567,null,7629,null,1322,null,73538,null,3690,null,71628,null,249,null,9513,null,1012,null,9212,null,979,null,301,null,259,null,62115,null,1028,null,0400000US30,Montana,30
1258066,null,3739,null,615093,null,2572,null,518415,null,2574,null,452976,null,3600,null,5885,null,1024,null,447091,null,3824,null,429623,null,4344,null,17468,null,2302,null,65439,null,3430,null,96678,null,467,null,26916,null,1733,null,26266,null,1724,null,650,null,307,null,69762,null,1776,null,642973,null,2031,null,508977,null,2010,null,407538,null,4308,null,441,null,290,null,407097,null,4349,null,394057,null,4745,null,13040,null,1711,null,101439,null,3951,null,133996,null,641,null,20199,null,1409,null,19758,null,1420,null,441,null,193,null,113797,null,1586,null,0400000US31,Nebraska,31
1569224,null,8217,null,804778,null,4422,null,686496,null,4409,null,581452,null,6907,null,5790,null,1220,null,575662,null,6851,null,532249,null,7431,null,43413,null,4228,null,105044,null,5164,null,118282,null,921,null,26788,null,2110,null,24327,null,2227,null,2461,null,669,null,91494,null,2035,null,764446,null,5046,null,633327,null,4924,null,449098,null,7308,null,949,null,512,null,448149,null,7216,null,420990,null,7300,null,27159,null,3303,null,184229,null,6713,null,131119,null,993,null,20503,null,1956,null,19471,null,1956,null,1032,null,430,null,110616,null,2247,null,0400000US32,Nevada,32
1015217,null,2586,null,495079,null,1632,null,423666,null,1612,null,362220,null,3839,null,1580,null,748,null,360640,null,3892,null,343056,null,4363,null,17584,null,2175,null,61446,null,3737,null,71413,null,150,null,16507,null,1746,null,16141,null,1776,null,366,null,204,null,54906,null,1720,null,520138,null,1751,null,425176,null,1631,null,329291,null,4324,null,138,null,135,null,329153,null,4307,null,314935,null,4185,null,14218,null,1522,null,95885,null,4413,null,94962,null,587,null,13051,null,1234,null,12837,null,1212,null,214,null,182,null,81911,null,1290,null,0400000US33,New Hampshire,33
4974875,null,13852,null,2409080,null,8246,null,2012450,null,8068,null,1699069,null,8903,null,6625,null,1497,null,1692444,null,8789,null,1600886,null,9483,null,91558,null,4510,null,313381,null,6825,null,396630,null,1807,null,95788,null,3714,null,91204,null,3761,null,4584,null,985,null,300842,null,3999,null,2565795,null,7319,null,2003450,null,7175,null,1482528,null,10681,null,1513,null,779,null,1481015,null,10665,null,1409194,null,10366,null,71821,null,4013,null,520922,null,9265,null,562345,null,2005,null,75398,null,3469,null,71741,null,3365,null,3657,null,787,null,486947,null,3922,null,0400000US34,New Jersey,34
1157891,null,8201,null,565318,null,5080,null,466843,null,5084,null,365197,null,5871,null,6036,null,1363,null,359161,null,5771,null,339970,null,5919,null,19191,null,2476,null,101646,null,5357,null,98475,null,1471,null,19378,null,1722,null,18801,null,1654,null,577,null,331,null,79097,null,2045,null,592573,null,5520,null,470987,null,5100,null,329517,null,6699,null,879,null,486,null,328638,null,6703,null,310419,null,6495,null,18219,null,2306,null,141470,null,5631,null,121586,null,1657,null,13015,null,1567,null,12418,null,1578,null,597,null,438,null,108571,null,2393,null,0400000US35,New Mexico,35
10736709,null,21770,null,5191642,null,12660,null,4336242,null,12878,null,3495717,null,19100,null,20585,null,2595,null,3475132,null,19515,null,3281620,null,20574,null,193512,null,7380,null,840525,null,15883,null,855400,null,2794,null,182321,null,4751,null,174649,null,4326,null,7672,null,1332,null,673079,null,5215,null,5545067,null,12294,null,4342163,null,11549,null,3116902,null,15246,null,2477,null,846,null,3114425,null,15338,null,2966221,null,17394,null,148204,null,6478,null,1225261,null,15281,null,1202904,null,3245,null,143243,null,5538,null,139128,null,5584,null,4115,null,967,null,1059661,null,6225,null,0400000US36,New York,36
5228221,null,9498,null,2542162,null,6802,null,2149772,null,6663,null,1786113,null,10253,null,69144,null,3172,null,1716969,null,10527,null,1623137,null,10574,null,93832,null,5263,null,363659,null,9243,null,392390,null,916,null,81827,null,3308,null,79776,null,3296,null,2051,null,694,null,310563,null,3344,null,2686059,null,4908,null,2149448,null,4633,null,1526289,null,10925,null,5866,null,1454,null,1520423,null,10850,null,1431915,null,11818,null,88508,null,5022,null,623159,null,10185,null,536611,null,1339,null,63250,null,3036,null,61226,null,3069,null,2024,null,572,null,473361,null,3335,null,0400000US37,North Carolina,37
477414,null,1310,null,237978,null,961,null,198965,null,933,null,174064,null,1941,null,4562,null,825,null,169502,null,1980,null,165125,null,2209,null,4377,null,780,null,24901,null,1723,null,39013,null,107,null,8652,null,874,null,8503,null,893,null,149,null,143,null,30361,null,863,null,239436,null,857,null,186927,null,856,null,150672,null,2165,null,711,null,326,null,149961,null,2187,null,145113,null,2572,null,4848,null,1114,null,36255,null,2165,null,52509,null,67,null,7556,null,777,null,7518,null,759,null,38,null,66,null,44953,null,775,null,0400000US38,North Dakota,38
7754862,null,6445,null,3746534,null,4402,null,3159350,null,4443,null,2591185,null,10354,null,10530,null,1723,null,2580655,null,10749,null,2411711,null,12207,null,168944,null,5503,null,568165,null,10816,null,587184,null,880,null,117267,null,4203,null,113459,null,4093,null,3808,null,795,null,469917,null,4248,null,4008328,null,3994,null,3183790,null,3799,null,2332384,null,13317,null,1551,null,491,null,2330833,null,13309,null,2199446,null,14865,null,131387,null,5849,null,851406,null,12988,null,824538,null,844,null,96746,null,3936,null,94177,null,3906,null,2569,null,569,null,727792,null,3795,null,0400000US39,Ohio,39
