B23006_001E,B23006_001EA,B23006_001M,B23006_001MA,B23006_002E,B23006_002EA,B23006_002M,B23006_002MA,B23006_003E,B23006_003EA,B23006_003M,B23006_003MA,B23006_004E,B23006_004EA,B23006_004M,B23006_004MA,B23006_005E,B23006_005EA,B23006_005M,B23006_005MA,B23006_006E,B23006_006EA,B23006_006M,B23006_006MA,B23006_007E,B23006_007EA,B23006_007M,B23006_007MA,B23006_008E,B23006_008EA,B23006_008M,B23006_008MA,B23006_009E,B23006_009EA,B23006_009M,B23006_009MA,B23006_010E,B23006_010EA,B23006_010M,B23006_010MA,B23006_011E,B23006_011EA,B23006_011M,B23006_011MA,B23006_012E,B23006_012EA,B23006_012M,B23006_012MA,B23006_013E,B23006_013EA,B23006_013M,B23006_013MA,B23006_014E,B23006_014EA,B23006_014M,B23006_014MA,B23006_015E,B23006_015EA,B23006_015M,B23006_015MA,B23006_016E,B23006_016EA,B23006_016M,B23006_016MA,B23006_017E,B23006_017EA,B23006_017M,B23006_017MA,B23006_018E,B23006_018EA,B23006_018M,B23006_018MA,B23006_019E,B23006_019EA,B23006_019M,B23006_019MA,B23006_020E,B23006_020EA,B23006_020M,B23006_020MA,B23006_021E,B23006_021EA,B23006_021M,B23006_021MA,B23006_022E,B23006_022EA,B23006_022M,B23006_022MA,B23006_023E,B23006_023EA,B23006_023M,B23006_023MA,B23006_024E,B23006_024EA,B23006_024M,B23006_024MA,B23006_025E,B23006_025EA,B23006_025M,B23006_025MA,B23006_026E,B23006_026EA,B23006_026M,B23006_026MA,B23006_027E,B23006_027EA,B23006_027M,B23006_027MA,B23006_028E,B23006_028EA,B23006_028M,B23006_028MA,B23006_029E,B23006_029EA,B23006_029M,B23006_029MA,GEO_ID,NAME,state
325189,null,1872,null,17180,null,1969,null,11823,null,1691,null,0,null,208,null,11823,null,1691,null,10817,null,1496,null,1006,null,448,null,5357,null,905,null,82141,null,3107,null,67186,null,2741,null,372,null,317,null,66814,null,2759,null,64725,null,2810,null,2089,null,568,null,14955,null,1781,null,126295,null,3761,null,109243,null,3404,null,2204,null,654,null,107039,null,3335,null,104893,null,3360,null,2146,null,626,null,17052,null,1806,null,99573,null,4017,null,89923,null,4060,null,1559,null,632,null,88364,null,4039,null,87759,null,4057,null,605,null,370,null,9650,null,1295,null,0400000US38,North Dakota,38
6092656,null,4742,null,577261,null,14493,null,322717,null,10236,null,0,null,265,null,322717,null,10236,null,279175,null,9477,null,43542,null,3629,null,254544,null,10141,null,2052525,null,21152,null,1566101,null,20476,null,689,null,525,null,1565412,null,20540,null,1460542,null,20653,null,104870,null,5263,null,486424,null,10546,null,1861248,null,18220,null,1551409,null,16830,null,4831,null,1265,null,1546578,null,16758,null,1463864,null,15847,null,82714,null,4827,null,309839,null,8212,null,1601622,null,15654,null,1399358,null,15556,null,5441,null,1015,null,1393917,null,15400,null,1356054,null,16021,null,37863,null,3343,null,202264,null,6306,null,0400000US39,Ohio,39
1868077,null,4501,null,229881,null,7016,null,137762,null,5370,null,92,null,106,null,137670,null,5380,null,127292,null,5526,null,10378,null,1781,null,92119,null,4414,null,578521,null,10220,null,420098,null,9130,null,1692,null,600,null,418406,null,9054,null,401478,null,8698,null,16928,null,2165,null,158423,null,5752,null,619371,null,9683,null,492390,null,10169,null,7275,null,1360,null,485115,null,10245,null,468115,null,9630,null,17000,null,2499,null,126981,null,4936,null,440304,null,9034,null,379465,null,8961,null,5004,null,1151,null,374461,null,8946,null,367556,null,8981,null,6905,null,1396,null,60839,null,3731,null,0400000US40,Oklahoma,40
2076367,null,4075,null,210799,null,8878,null,145618,null,7473,null,0,null,275,null,145618,null,7473,null,133466,null,7183,null,12152,null,2031,null,65181,null,4865,null,498480,null,9291,null,374551,null,8420,null,366,null,345,null,374185,null,8424,null,348275,null,8133,null,25910,null,2672,null,123929,null,5438,null,752880,null,13004,null,594953,null,11321,null,1675,null,644,null,593278,null,11316,null,561138,null,10790,null,32140,null,3294,null,157927,null,6324,null,614208,null,10617,null,518610,null,10011,null,446,null,304,null,518164,null,9989,null,500703,null,9699,null,17461,null,2314,null,95598,null,4502,null,0400000US41,Oregon,41
6567132,null,5113,null,594569,null,13080,null,335863,null,10520,null,45,null,74,null,335818,null,10517,null,299764,null,9676,null,36054,null,3215,null,258706,null,8363,null,2315521,null,18587,null,1764695,null,17967,null,1891,null,727,null,1762804,null,17946,null,1671621,null,18212,null,91183,null,5142,null,550826,null,10596,null,1734927,null,19073,null,1433003,null,17348,null,4289,null,1093,null,1428714,null,17470,null,1366510,null,17053,null,62204,null,4011,null,301924,null,7649,null,1922115,null,19114,null,1662654,null,18769,null,3568,null,972,null,1659086,null,18644,null,1622909,null,18159,null,36177,null,2769,null,259461,null,7654,null,0400000US42,Pennsylvania,42
559160,null,1958,null,69301,null,4845,null,43373,null,3975,null,0,null,287,null,43373,null,3975,null,36762,null,3595,null,6611,null,1823,null,25928,null,2506,null,146110,null,5673,null,118368,null,5021,null,941,null,773,null,117427,null,5061,null,108089,null,5152,null,9338,null,1742,null,27742,null,2601,null,160642,null,6502,null,134224,null,6228,null,1576,null,862,null,132648,null,5989,null,126332,null,5860,null,6316,null,1298,null,26418,null,2407,null,183107,null,6439,null,159659,null,5661,null,2574,null,1656,null,157085,null,5796,null,152138,null,5769,null,4947,null,1188,null,23448,null,2512,null,0400000US44,Rhode Island,44
2365755,null,5950,null,323990,null,10285,null,181186,null,7670,null,66,null,106,null,181120,null,7659,null,154001,null,6941,null,27119,null,3463,null,142804,null,6251,null,730390,null,11916,null,534395,null,10962,null,4000,null,1274,null,530395,null,11210,null,489280,null,10998,null,41115,null,4163,null,195995,null,8041,null,721857,null,13372,null,581537,null,12415,null,9967,null,1714,null,571570,null,12233,null,541940,null,11711,null,29630,null,3436,null,140320,null,5571,null,589518,null,11071,null,499103,null,10841,null,5552,null,1354,null,493551,null,10717,null,480628,null,10449,null,12923,null,2145,null,90415,null,5049,null,0400000US45,South Carolina,45
407306,null,3124,null,25616,null,2287,null,16042,null,1662,null,228,null,288,null,15814,null,1667,null,14028,null,1635,null,1786,null,694,null,9574,null,1630,null,123979,null,4392,null,101040,null,4219,null,82,null,104,null,100958,null,4211,null,98449,null,4211,null,2509,null,681,null,22939,null,2052,null,144190,null,4628,null,125514,null,4357,null,1640,null,588,null,123874,null,4335,null,121524,null,4064,null,2350,null,839,null,18676,null,2003,null,113521,null,4602,null,102221,null,4481,null,1172,null,562,null,101049,null,4477,null,99866,null,4395,null,1183,null,431,null,11300,null,1509,null,0400000US46,South Dakota,46
3360407,null,4647,null,453091,null,12273,null,254097,null,8382,null,0,null,281,null,254097,null,8382,null,223611,null,7839,null,30486,null,3292,null,198994,null,7114,null,1091079,null,15448,null,812646,null,14131,null,929,null,467,null,811717,null,14141,null,755481,null,14590,null,56236,null,4562,null,278433,null,7821,null,994240,null,14643,null,803480,null,13208,null,8914,null,1742,null,794566,null,12873,null,757449,null,13131,null,37117,null,3286,null,190760,null,6472,null,821997,null,11632,null,709338,null,10968,null,3679,null,920,null,705659,null,11028,null,686927,null,10870,null,18732,null,2248,null,112659,null,4655,null,0400000US47,Tennessee,47
12657387,null,13558,null,2362750,null,25748,null,1558031,null,23353,null,360,null,307,null,1557671,null,23350,null,1466453,null,23664,null,91218,null,5328,null,804719,null,13575,null,3146389,null,29155,null,2346859,null,24063,null,10406,null,2085,null,2336453,null,24118,null,2221160,null,23053,null,115293,null,6872,null,799530,null,15542,null,3805929,null,29621,null,3102537,null,28707,null,38650,null,3999,null,3063887,null,28046,null,2943696,null,28513,null,120191,null,7433,null,703392,null,15597,null,3342319,null,25977,null,2876438,null,25604,null,22300,null,2663,null,2854138,null,25593,null,2788544,null,26030,null,65594,null,3873,null,465881,null,10746,null,0400000US48,Texas,48
1309718,null,2533,null,115196,null,5961,null,85704,null,4819,null,0,null,263,null,85704,null,4819,null,79744,null,4431,null,5960,null,1525,null,29492,null,3020,null,306112,null,9675,null,235163,null,8587,null,847,null,549,null,234316,null,8631,null,225685,null,8232,null,8631,null,1509,null,70949,null,4483,null,497572,null,8644,null,395585,null,8890,null,3641,null,926,null,391944,null,8881,null,379811,null,9050,null,12133,null,1774,null,101987,null,4180,null,390838,null,7970,null,325367,null,7260,null,2709,null,674,null,322658,null,7201,null,317494,null,7211,null,5164,null,1100,null,65471,null,3596,null,0400000US49,Utah,49
342931,null,1005,null,23124,null,2046,null,14589,null,1813,null,0,null,211,null,14589,null,1813,null,12769,null,1646,null,1820,null,677,null,8535,null,1388,null,110188,null,4153,null,91316,null,3785,null,0,null,211,null,91316,null,3785,null,86814,null,3744,null,4502,null,958,null,18872,null,2180,null,93797,null,3321,null,80936,null,3021,null,344,null,253,null,80592,null,3009,null,77750,null,2907,null,2842,null,796,null,12861,null,1496,null,115822,null,4600,null,102092,null,4401,null,136,null,119,null,101956,null,4393,null,100156,null,4342,null,1800,null,628,null,13730,null,1601,null,0400000US50,Vermont,50
4219350,null,7041,null,476974,null,12711,null,301889,null,10621,null,769,null,630,null,301120,null,10655,null,271934,null,9789,null,29186,null,3464,null,175085,null,6630,null,1017181,null,17393,null,785319,null,14613,null,12589,null,1828,null,772730,null,14549,null,737349,null,14200,null,35381,null,3106,null,231862,null,7900,null,1209811,null,16947,null,1011709,null,15947,null,40705,null,3599,null,971004,null,15459,null,938113,null,15149,null,32891,null,3041,null,198102,null,6524,null,1515384,null,18145,null,1315370,null,17795,null,39632,null,3132,null,1275738,null,17638,null,1252666,null,17490,null,23072,null,2182,null,200014,null,6482,null,0400000US51,Virginia,51
3604996,null,4618,null,333152,null,10871,null,221150,null,8456,null,460,null,385,null,220690,null,8423,null,202923,null,7899,null,17767,null,2534,null,112002,null,6209,null,807023,null,13768,null,609644,null,12392,null,5243,null,1154,null,604401,null,12220,null,567046,null,12087,null,37355,null,3757,null,197379,null,6805,null,1318073,null,14542,null,1049157,null,13651,null,21789,null,2886,null,1027368,null,13843,null,986253,null,13921,null,41115,null,3531,null,268916,null,8183,null,1146748,null,14852,null,974995,null,12923,null,10044,null,1557,null,964951,null,12767,null,939349,null,12721,null,25602,null,2306,null,171753,null,6510,null,0400000US53,Washington,53
980446,null,2845,null,134988,null,6356,null,60429,null,4118,null,30,null,50,null,60399,null,4110,null,53566,null,3672,null,6833,null,1658,null,74559,null,4547,null,399191,null,7793,null,267394,null,5962,null,49,null,82,null,267345,null,5967,null,255945,null,5953,null,11400,null,1811,null,131797,null,5303,null,262402,null,6580,null,201765,null,6286,null,1061,null,499,null,200704,null,6225,null,193750,null,5940,null,6954,null,1365,null,60637,null,3666,null,183865,null,6781,null,157435,null,6093,null,941,null,660,null,156494,null,5973,null,153172,null,6018,null,3322,null,845,null,26430,null,2682,null,0400000US54,West Virginia,54
3011024,null,3764,null,239612,null,8053,null,157038,null,6581,null,26,null,45,null,157012,null,6583,null,140015,null,6584,null,16997,null,1862,null,82574,null,4229,null,939780,null,13152,null,763634,null,12405,null,470,null,234,null,763164,null,12476,null,724714,null,12050,null,38450,null,3179,null,176146,null,5020,null,991099,null,11782,null,847960,null,10879,null,3265,null,1076,null,844695,null,10994,null,815599,null,11081,null,29096,null,2705,null,143139,null,5024,null,840533,null,12880,null,741644,null,11206,null,1246,null,469,null,740398,null,11268,null,725360,null,11217,null,15038,null,1736,null,98889,null,4279,null,0400000US55,Wisconsin,55
283277,null,2494,null,18165,null,2224,null,11906,null,1726,null,0,null,261,null,11906,null,1726,null,11363,null,1741,null,543,null,330,null,6259,null,1223,null,83305,null,3620,null,67195,null,3464,null,320,null,282,null,66875,null,3440,null,65379,null,3456,null,1496,null,552,null,16110,null,2154,null,111822,null,3921,null,93377,null,4213,null,841,null,371,null,92536,null,4239,null,90419,null,4207,null,2117,null,734,null,18445,null,1766,null,69985,null,3130,null,62615,null,3174,null,563,null,311,null,62052,null,3093,null,61399,null,3041,null,653,null,403,null,7370,null,1045,null,0400000US56,Wyoming,56
2031229,null,2256,null,520350,null,12176,null,185973,null,7492,null,0,null,289,null,185973,null,7492,null,140971,null,6145,null,45002,null,3591,null,334377,null,10919,null,525252,null,11557,null,295201,null,7456,null,69,null,119,null,295132,null,7442,null,248805,null,7232,null,46327,null,3467,null,230051,null,8639,null,501689,null,10934,null,352515,null,9447,null,1393,null,505,null,351122,null,9427,null,310482,null,8907,null,40640,null,3454,null,149174,null,6421,null,483938,null,10205,null,399196,null,9273,null,1884,null,844,null,397312,null,9141,null,372337,null,9039,null,24975,null,2868,null,84742,null,4659,null,0400000US72,Puerto Rico,72
