B06007_001E,B06007_001EA,B06007_001M,B06007_001MA,B06007_002E,B06007_002EA,B06007_002M,B06007_002MA,B06007_003E,B06007_003EA,B06007_003M,B06007_003MA,B06007_004E,B06007_004EA,B06007_004M,B06007_004MA,B06007_005E,B06007_005EA,B06007_005M,B06007_005MA,B06007_006E,B06007_006EA,B06007_006M,B06007_006MA,B06007_007E,B06007_007EA,B06007_007M,B06007_007MA,B06007_008E,B06007_008EA,B06007_008M,B06007_008MA,B06007_009E,B06007_009EA,B06007_009M,B06007_009MA,B06007_010E,B06007_010EA,B06007_010M,B06007_010MA,B06007_011E,B06007_011EA,B06007_011M,B06007_011MA,B06007_012E,B06007_012EA,B06007_012M,B06007_012MA,B06007_013E,B06007_013EA,B06007_013M,B06007_013MA,B06007_014E,B06007_014EA,B06007_014M,B06007_014MA,B06007_015E,B06007_015EA,B06007_015M,B06007_015MA,B06007_016E,B06007_016EA,B06007_016M,B06007_016MA,B06007_017E,B06007_017EA,B06007_017M,B06007_017MA,B06007_018E,B06007_018EA,B06007_018M,B06007_018MA,B06007_019E,B06007_019EA,B06007_019M,B06007_019MA,B06007_020E,B06007_020EA,B06007_020M,B06007_020MA,B06007_021E,B06007_021EA,B06007_021M,B06007_021MA,B06007_022E,B06007_022EA,B06007_022M,B06007_022MA,B06007_023E,B06007_023EA,B06007_023M,B06007_023MA,B06007_024E,B06007_024EA,B06007_024M,B06007_024MA,B06007_025E,B06007_025EA,B06007_025M,B06007_025MA,B06007_026E,B06007_026EA,B06007_026M,B06007_026MA,B06007_027E,B06007_027EA,B06007_027M,B06007_027MA,B06007_028E,B06007_028EA,B06007_028M,B06007_028MA,B06007_029E,B06007_029EA,B06007_029M,B06007_029MA,B06007_030E,B06007_030EA,B06007_030M,B06007_030MA,B06007_031E,B06007_031EA,B06007_031M,B06007_031MA,B06007_032E,B06007_032EA,B06007_032M,B06007_032MA,B06007_033E,B06007_033EA,B06007_033M,B06007_033MA,B06007_034E,B06007_034EA,B06007_034M,B06007_034MA,B06007_035E,B06007_035EA,B06007_035M,B06007_035MA,B06007_036E,B06007_036EA,B06007_036M,B06007_036MA,B06007_037E,B06007_037EA,B06007_037M,B06007_037MA,B06007_038E,B06007_038EA,B06007_038M,B06007_038MA,B06007_039E,B06007_039EA,B06007_039M,B06007_039MA,B06007_040E,B06007_040EA,B06007_040M,B06007_040MA,GEO_ID,NAME,state
4354717,null,2804,null,4176823,null,8205,null,107896,null,4618,null,50040,null,3464,null,57856,null,3769,null,69998,null,5160,null,48067,null,4576,null,21931,null,2504,null,3054907,null,18847,null,3016718,null,19108,null,26654,null,2703,null,17871,null,2380,null,8783,null,1504,null,11535,null,1917,null,10223,null,1829,null,1312,null,491,null,1136201,null,16860,null,1100327,null,17252,null,24008,null,2636,null,17721,null,2244,null,6287,null,1607,null,11866,null,1788,null,10231,null,1702,null,1635,null,492,null,33964,null,2877,null,28656,null,2806,null,2687,null,866,null,1717,null,708,null,970,null,412,null,2621,null,852,null,2156,null,755,null,465,null,366,null,129645,null,6705,null,31122,null,3998,null,54547,null,3857,null,12731,null,1790,null,41816,null,3601,null,43976,null,3958,null,25457,null,3343,null,18519,null,2359,null,0400000US01,Alabama,01
634669,null,976,null,541009,null,4439,null,22705,null,2734,null,17703,null,2382,null,5002,null,1334,null,70955,null,3595,null,45774,null,3019,null,25181,null,2200,null,221608,null,5854,null,185596,null,6095,null,4026,null,1065,null,3761,null,1029,null,265,null,230,null,31986,null,2294,null,22727,null,2031,null,9259,null,1071,null,355910,null,5867,null,336018,null,5708,null,10820,null,1760,null,9568,null,1609,null,1252,null,540,null,9072,null,1631,null,8416,null,1546,null,656,null,349,null,13095,null,1769,null,8339,null,1416,null,1675,null,883,null,1365,null,737,null,310,null,301,null,3081,null,1103,null,2341,null,1149,null,740,null,417,null,44056,null,3224,null,11056,null,2086,null,6184,null,1652,null,3009,null,1016,null,3175,null,1208,null,26816,null,2360,null,12290,null,2077,null,14526,null,1871,null,0400000US02,Alaska,02
5984859,null,1678,null,4338205,null,20085,null,1283911,null,16735,null,695125,null,16160,null,588786,null,16453,null,362743,null,13243,null,245881,null,10625,null,116862,null,7618,null,1929081,null,21839,null,1391071,null,20439,null,419513,null,12150,null,334316,null,10863,null,85197,null,6134,null,118497,null,6066,null,89780,null,6019,null,28717,null,4132,null,3058090,null,26066,null,2775174,null,23312,null,219032,null,10249,null,181573,null,8950,null,37459,null,4236,null,63884,null,4710,null,55136,null,4433,null,8748,null,1538,null,72379,null,4260,null,51858,null,3814,null,14640,null,2421,null,9091,null,1564,null,5549,null,1706,null,5881,null,1505,null,4823,null,1244,null,1058,null,618,null,925309,null,19109,null,120102,null,8087,null,630726,null,15352,null,170145,null,8531,null,460581,null,15181,null,174481,null,9858,null,96142,null,6031,null,78339,null,6759,null,0400000US04,Arizona,04
2656308,null,2395,null,2493178,null,6914,null,119673,null,4962,null,55876,null,4301,null,63797,null,4188,null,43457,null,3799,null,30273,null,3165,null,13184,null,1906,null,1586215,null,15978,null,1556435,null,16037,null,23124,null,2926,null,16995,null,2482,null,6129,null,1757,null,6656,null,1677,null,5734,null,1665,null,922,null,476,null,945494,null,15389,null,907916,null,15598,null,26540,null,3020,null,20531,null,2690,null,6009,null,1331,null,11038,null,2123,null,9823,null,2012,null,1215,null,632,null,16796,null,2386,null,13051,null,2107,null,2672,null,969,null,1955,null,822,null,717,null,662,null,1073,null,509,null,778,null,346,null,295,null,375,null,107803,null,4633,null,15776,null,2287,null,67337,null,3624,null,16395,null,2629,null,50942,null,3320,null,24690,null,2458,null,13938,null,1915,null,10752,null,1776,null,0400000US05,Arkansas,05
34063760,null,2634,null,19646489,null,57660,null,9570398,null,44701,null,4956756,null,42170,null,4613642,null,39575,null,4846873,null,42214,null,2721701,null,36410,null,2125172,null,24147,null,17080406,null,52199,null,12397110,null,53345,null,3871248,null,35288,null,3244418,null,34615,null,626830,null,15336,null,812048,null,19024,null,679345,null,17037,null,132703,null,7413,null,6762912,null,37382,null,6099370,null,35014,null,443896,null,13193,null,345361,null,12141,null,98535,null,5851,null,219646,null,8848,null,184266,null,8105,null,35380,null,3453,null,413719,null,12295,null,220961,null,7533,null,94332,null,6750,null,61968,null,5038,null,32364,null,3695,null,98426,null,5816,null,73692,null,5156,null,24734,null,2998,null,9806723,null,44992,null,929048,null,17856,null,5160922,null,43777,null,1305009,null,22725,null,3855913,null,38254,null,3716753,null,29254,null,1784398,null,25245,null,1932355,null,21781,null,0400000US06,California,06
4583067,null,1635,null,3806079,null,15902,null,549321,null,13215,null,293331,null,10252,null,255990,null,10299,null,227667,null,9837,null,149548,null,7776,null,78119,null,5341,null,1775846,null,19319,null,1584387,null,19912,null,160182,null,7295,null,121440,null,6571,null,38742,null,3783,null,31277,null,3627,null,26739,null,3199,null,4538,null,1115,null,2252019,null,16306,null,2098425,null,16537,null,110219,null,5845,null,87220,null,5461,null,22999,null,3363,null,43375,null,4689,null,38097,null,4537,null,5278,null,1133,null,62533,null,4808,null,48806,null,4111,null,7167,null,2199,null,5464,null,1516,null,1703,null,1010,null,6560,null,1835,null,5707,null,1729,null,853,null,392,null,492669,null,14816,null,74461,null,5016,null,271753,null,10796,null,79207,null,6359,null,192546,null,9075,null,146455,null,7779,null,79005,null,5136,null,67450,null,4871,null,0400000US08,Colorado,08
3290599,null,1400,null,2637649,null,13211,null,317673,null,5815,null,188428,null,6554,null,129245,null,5912,null,335277,null,12234,null,222343,null,10261,null,112934,null,6238,null,1762064,null,16495,null,1615987,null,15187,null,81124,null,5974,null,70038,null,5196,null,11086,null,2190,null,64953,null,4983,null,57702,null,4726,null,7251,null,1307,null,969081,null,16059,null,878797,null,16631,null,48484,null,4940,null,41279,null,4190,null,7205,null,1530,null,41800,null,4209,null,36824,null,4235,null,4976,null,1151,null,108294,null,6018,null,24334,null,3086,null,77672,null,4720,null,37537,null,4127,null,40135,null,2792,null,6288,null,1363,null,4843,null,1220,null,1445,null,548,null,451160,null,12250,null,118531,null,5677,null,110393,null,6894,null,39574,null,3589,null,70819,null,5562,null,222236,null,8885,null,122974,null,6785,null,99262,null,6226,null,0400000US09,Connecticut,09
813290,null,526,null,727269,null,4517,null,44813,null,3130,null,23899,null,3025,null,20914,null,2581,null,41208,null,3616,null,29782,null,3250,null,11426,null,1767,null,356777,null,8639,null,342412,null,8690,null,9170,null,1636,null,7318,null,1598,null,1852,null,703,null,5195,null,1170,null,4169,null,934,null,1026,null,709,null,378096,null,8347,null,361426,null,8330,null,9996,null,1739,null,7831,null,1292,null,2165,null,1102,null,6674,null,1194,null,5624,null,1132,null,1050,null,495,null,12157,null,1916,null,5447,null,1328,null,6116,null,1607,null,3164,null,1002,null,2952,null,1142,null,594,null,295,null,516,null,272,null,78,null,123,null,66260,null,4639,null,17984,null,2881,null,19531,null,2792,null,5586,null,1448,null,13945,null,2398,null,28745,null,3066,null,19473,null,2693,null,9272,null,1594,null,0400000US10,Delaware,10
555473,null,193,null,475269,null,5654,null,38088,null,3488,null,22804,null,2700,null,15284,null,2552,null,42116,null,4405,null,32631,null,3870,null,9485,null,1992,null,208018,null,6128,null,196892,null,6495,null,6038,null,1341,null,5047,null,1248,null,991,null,576,null,5088,null,1657,null,4346,null,1565,null,742,null,531,null,262105,null,5971,null,244262,null,6301,null,9473,null,1689,null,7988,null,1562,null,1485,null,650,null,8370,null,1502,null,7428,null,1381,null,942,null,432,null,8362,null,1450,null,6177,null,1326,null,1401,null,524,null,1227,null,520,null,174,null,171,null,784,null,452,null,784,null,452,null,0,null,296,null,76988,null,4664,null,27938,null,3846,null,21176,null,2557,null,8542,null,1455,null,12634,null,2106,null,27874,null,3477,null,20073,null,2933,null,7801,null,1702,null,0400000US11,District of Columbia,11
17188403,null,2806,null,12740955,null,30026,null,3250323,null,18118,null,1735170,null,24193,null,1515153,null,25232,null,1197125,null,24397,null,721317,null,18834,null,475808,null,13560,null,5306478,null,36282,null,4587440,null,35094,null,576203,null,13670,null,497266,null,13309,null,78937,null,5187,null,142835,null,9648,null,126700,null,8978,null,16135,null,2610,null,7973736,null,40788,null,7345722,null,34759,null,461105,null,14346,null,390966,null,13016,null,70139,null,5942,null,166909,null,8508,null,142468,null,8643,null,24441,null,2900,null,533048,null,18140,null,159218,null,8612,null,350850,null,13337,null,212119,null,10809,null,138731,null,7068,null,22980,null,2786,null,19905,null,2692,null,3075,null,878,null,3375141,null,32171,null,648575,null,15253,null,1862165,null,24640,null,634819,null,15597,null,1227346,null,23227,null,864401,null,18958,null,432244,null,12793,null,432157,null,12067,null,0400000US12,Florida,12
8954056,null,3918,null,7839086,null,16463,null,641811,null,10316,null,294154,null,9693,null,347657,null,9897,null,473159,null,14869,null,303480,null,10588,null,169679,null,8368,null,4750767,null,33585,null,4580241,null,34001,null,121241,null,5852,null,88789,null,5551,null,32452,null,4324,null,49285,null,3847,null,42881,null,3745,null,6404,null,1299,null,3196440,null,31525,null,3024954,null,31831,null,109607,null,7442,null,85287,null,6156,null,24320,null,3568,null,61879,null,4623,null,53449,null,4128,null,8430,null,1501,null,105853,null,6313,null,73908,null,4922,null,22772,null,3573,null,16799,null,3200,null,5973,null,1548,null,9173,null,1826,null,7830,null,1634,null,1343,null,573,null,900996,null,16312,null,159983,null,7823,null,388191,null,9280,null,103279,null,7365,null,284912,null,9360,null,352822,null,12912,null,199320,null,8915,null,153502,null,7850,null,0400000US13,Georgia,13
1202441,null,2211,null,896850,null,12830,null,31434,null,3963,null,19556,null,2538,null,11878,null,2917,null,274157,null,10674,null,140497,null,7652,null,133660,null,7110,null,612388,null,10140,null,542085,null,11109,null,3758,null,1107,null,2977,null,874,null,781,null,529,null,66545,null,5294,null,49445,null,4490,null,17100,null,2681,null,326542,null,7611,null,297950,null,7065,null,12733,null,2145,null,9830,null,1785,null,2903,null,1242,null,15859,null,1955,null,13291,null,1820,null,2568,null,915,null,36930,null,3897,null,19741,null,2800,null,3427,null,1892,null,1417,null,868,null,2010,null,1450,null,13762,null,2344,null,9462,null,2172,null,4300,null,1240,null,226581,null,9593,null,37074,null,3358,null,11516,null,2483,null,5332,null,1537,null,6184,null,1640,null,177991,null,7859,null,68299,null,4602,null,109692,null,6461,null,0400000US15,Hawaii,15
