B16007_001E,B16007_001EA,B16007_001M,B16007_001MA,B16007_002E,B16007_002EA,B16007_002M,B16007_002MA,B16007_003E,B16007_003EA,B16007_003M,B16007_003MA,B16007_004E,B16007_004EA,B16007_004M,B16007_004MA,B16007_005E,B16007_005EA,B16007_005M,B16007_005MA,B16007_006E,B16007_006EA,B16007_006M,B16007_006MA,B16007_007E,B16007_007EA,B16007_007M,B16007_007MA,B16007_008E,B16007_008EA,B16007_008M,B16007_008MA,B16007_009E,B16007_009EA,B16007_009M,B16007_009MA,B16007_010E,B16007_010EA,B16007_010M,B16007_010MA,B16007_011E,B16007_011EA,B16007_011M,B16007_011MA,B16007_012E,B16007_012EA,B16007_012M,B16007_012MA,B16007_013E,B16007_013EA,B16007_013M,B16007_013MA,B16007_014E,B16007_014EA,B16007_014M,B16007_014MA,B16007_015E,B16007_015EA,B16007_015M,B16007_015MA,B16007_016E,B16007_016EA,B16007_016M,B16007_016MA,B16007_017E,B16007_017EA,B16007_017M,B16007_017MA,B16007_018E,B16007_018EA,B16007_018M,B16007_018MA,B16007_019E,B16007_019EA,B16007_019M,B16007_019MA,GEO_ID,NAME,state
4354717,null,2804,null,814027,null,3156,null,776817,null,3889,null,27986,null,2209,null,4320,null,1537,null,3679,null,806,null,1225,null,744,null,2901933,null,2701,null,2771389,null,6162,null,76708,null,3998,null,26114,null,3556,null,22359,null,2950,null,5363,null,1484,null,638757,null,2096,null,628617,null,2486,null,3202,null,779,null,4499,null,977,null,2121,null,793,null,318,null,201,null,0400000US01,Alabama,01
634669,null,976,null,129135,null,1595,null,111226,null,2469,null,3839,null,1066,null,2331,null,970,null,5092,null,1324,null,6647,null,823,null,457119,null,1604,null,389826,null,3617,null,17540,null,2250,null,8784,null,1663,null,20912,null,1650,null,20057,null,1879,null,48415,null,898,null,39957,null,854,null,1326,null,557,null,1266,null,493,null,2532,null,471,null,3334,null,576,null,0400000US02,Alaska,02
5984859,null,1678,null,1192359,null,2020,null,830591,null,9479,null,310677,null,8575,null,15489,null,2380,null,11152,null,2079,null,24450,null,3312,null,3928408,null,1800,null,2788038,null,14795,null,882699,null,12151,null,85079,null,6445,null,68312,null,4603,null,104280,null,5603,null,864092,null,1338,null,719576,null,3703,null,90535,null,2903,null,26610,null,2660,null,9533,null,1204,null,17838,null,1711,null,0400000US04,Arizona,04
2656308,null,2395,null,503842,null,2562,null,463333,null,3860,null,33119,null,1920,null,2222,null,857,null,3115,null,1022,null,2053,null,1516,null,1748276,null,2827,null,1634283,null,5244,null,83166,null,4217,null,13704,null,2139,null,13662,null,2106,null,3461,null,1466,null,404190,null,2048,null,395562,null,2506,null,3388,null,1041,null,4050,null,1119,null,1183,null,408,null,7,null,12,null,0400000US05,Arkansas,05
34063760,null,2634,null,6669791,null,3068,null,3734715,null,23683,null,2304435,null,20777,null,197161,null,9311,null,383579,null,9988,null,49901,null,6165,null,23278145,null,3365,null,13171365,null,43981,null,6631494,null,31843,null,1027142,null,21696,null,2234220,null,20662,null,213924,null,12206,null,4115824,null,3350,null,2740409,null,12238,null,634469,null,5842,null,265392,null,9720,null,444904,null,5364,null,30650,null,4082,null,0400000US06,California,06
4583067,null,1635,null,850377,null,2055,null,687949,null,6699,null,128526,null,5830,null,15739,null,2823,null,12665,null,1835,null,5498,null,1881,null,3220524,null,2426,null,2673949,null,12285,null,381707,null,9527,null,77882,null,6797,null,63167,null,4133,null,23819,null,3505,null,512166,null,2016,null,444181,null,3555,null,39088,null,2108,null,18292,null,2397,null,8478,null,1114,null,2127,null,918,null,0400000US08,Colorado,08
3290599,null,1400,null,600634,null,1567,null,494018,null,5206,null,65818,null,3050,null,27713,null,3606,null,9999,null,1758,null,3086,null,1432,null,2212722,null,1327,null,1741879,null,9763,null,232743,null,4121,null,172363,null,9330,null,52257,null,2915,null,13480,null,2386,null,477243,null,1140,null,401752,null,3624,null,19112,null,967,null,49120,null,3221,null,4919,null,963,null,2340,null,908,null,0400000US09,Connecticut,09
813290,null,526,null,146324,null,549,null,130057,null,1991,null,9991,null,1485,null,3117,null,922,null,2259,null,617,null,900,null,1016,null,546212,null,806,null,484197,null,3325,null,32855,null,2417,null,13865,null,2510,null,11646,null,1232,null,3649,null,1315,null,120754,null,755,null,113015,null,1295,null,1967,null,752,null,4612,null,1015,null,583,null,399,null,577,null,520,null,0400000US10,Delaware,10
555473,null,193,null,75611,null,338,null,67857,null,1779,null,4535,null,1196,null,2407,null,1171,null,642,null,284,null,170,null,206,null,409356,null,601,null,344904,null,4904,null,30188,null,2783,null,17330,null,2588,null,7742,null,1253,null,9192,null,2206,null,70506,null,532,null,62508,null,1427,null,3365,null,790,null,2756,null,984,null,1139,null,575,null,738,null,495,null,0400000US11,District of Columbia,11
17188403,null,2806,null,2863449,null,6126,null,2131955,null,12999,null,556562,null,9590,null,127151,null,8283,null,33807,null,2631,null,13974,null,2996,null,11142091,null,6780,null,8032892,null,22596,null,2292914,null,13718,null,574185,null,18488,null,175183,null,6181,null,66917,null,5714,null,3182863,null,3790,null,2576108,null,10239,null,400847,null,4418,null,163513,null,7969,null,29973,null,2312,null,12422,null,1905,null,0400000US12,Florida,12
