S1602_C01_001E,S1602_C01_001M,S1602_C01_002E,S1602_C01_002M,S1602_C01_003E,S1602_C01_003M,S1602_C01_004E,S1602_C01_004M,S1602_C01_005E,S1602_C01_005M,S1602_C02_001E,S1602_C02_001M,S1602_C02_002E,S1602_C02_002M,S1602_C02_003E,S1602_C02_003M,S1602_C02_004E,S1602_C02_004M,S1602_C02_005E,S1602_C02_005M,S1602_C03_001E,S1602_C03_001M,S1602_C03_002E,S1602_C03_002M,S1602_C03_003E,S1602_C03_003M,S1602_C03_004E,S1602_C03_004M,S1602_C03_005E,S1602_C03_005M,S1602_C04_001E,S1602_C04_001M,S1602_C04_002E,S1602_C04_002M,S1602_C04_003E,S1602_C04_003M,S1602_C04_004E,S1602_C04_004M,S1602_C04_005E,S1602_C04_005M,S1602_C01_001M,S1602_C01_001EA,S1602_C01_001MA,S1602_C01_002M,S1602_C01_002EA,S1602_C01_002MA,S1602_C01_003M,S1602_C01_003EA,S1602_C01_003MA,S1602_C01_004M,S1602_C01_004EA,S1602_C01_004MA,S1602_C01_005M,S1602_C01_005EA,S1602_C01_005MA,S1602_C02_001M,S1602_C02_001EA,S1602_C02_001MA,S1602_C02_002M,S1602_C02_002EA,S1602_C02_002MA,S1602_C02_003M,S1602_C02_003EA,S1602_C02_003MA,S1602_C02_004M,S1602_C02_004EA,S1602_C02_004MA,S1602_C02_005M,S1602_C02_005EA,S1602_C02_005MA,S1602_C03_001M,S1602_C03_001EA,S1602_C03_001MA,S1602_C03_002M,S1602_C03_002EA,S1602_C03_002MA,S1602_C03_003M,S1602_C03_003EA,S1602_C03_003MA,S1602_C03_004M,S1602_C03_004EA,S1602_C03_004MA,S1602_C03_005M,S1602_C03_005EA,S1602_C03_005MA,S1602_C04_001M,S1602_C04_001EA,S1602_C04_001MA,S1602_C04_002M,S1602_C04_002EA,S1602_C04_002MA,S1602_C04_003M,S1602_C04_003EA,S1602_C04_003MA,S1602_C04_004M,S1602_C04_004EA,S1602_C04_004MA,S1602_C04_005M,S1602_C04_005EA,S1602_C04_005MA,state
1846390,11341,58691,3082,20554,2244,17587,1814,5934,1458,-888888888,-888888888,3.2,0.2,1.1,0.1,1,0.1,0.3,0.1,21298,2571,14453,2231,2008,639,4320,1090,517,341,1.2,0.1,24.6,3.4,9.8,2.9,24.6,5.8,8.7,5.6,11341,null,null,3082,null,null,2244,null,null,1814,null,null,1458,null,null,-888888888,(X),(X),0.2,null,null,0.1,null,null,0.1,null,null,0.1,null,null,2571,null,null,2231,null,null,639,null,null,1090,null,null,341,null,null,0.1,null,null,3.4,null,null,2.9,null,null,5.8,null,null,5.6,null,null,01
250185,2685,12693,1602,7471,1181,13201,1595,12626,1092,-888888888,-888888888,5.1,0.6,3,0.5,5.3,0.6,5,0.4,4986,810,992,534,391,221,2129,585,1474,349,2,0.3,7.8,4,5.2,2.9,16.1,4.6,11.7,2.5,2685,null,null,1602,null,null,1181,null,null,1595,null,null,1092,null,null,-888888888,(X),(X),0.6,null,null,0.5,null,null,0.6,null,null,0.4,null,null,810,null,null,534,null,null,221,null,null,585,null,null,349,null,null,0.3,null,null,4,null,null,2.9,null,null,4.6,null,null,2.5,null,null,02
2463008,12455,481841,8321,70698,4222,58378,3419,65731,3489,-888888888,-888888888,19.6,0.3,2.9,0.2,2.4,0.1,2.7,0.1,107559,5477,78599,4233,6993,1250,11106,1714,10861,1490,4.4,0.2,16.3,0.9,9.9,1.7,19,3,16.5,2.1,12455,null,null,8321,null,null,4222,null,null,3419,null,null,3489,null,null,-888888888,(X),(X),0.3,null,null,0.2,null,null,0.1,null,null,0.1,null,null,5477,null,null,4233,null,null,1250,null,null,1714,null,null,1490,null,null,0.2,null,null,0.9,null,null,1.7,null,null,3,null,null,2.1,null,null,04
1144663,8300,52692,2473,12575,1692,13261,1612,1907,549,-888888888,-888888888,4.6,0.2,1.1,0.1,1.2,0.1,0.2,0.1,19630,1975,14022,1744,1068,584,4135,1084,405,375,1.7,0.2,26.6,3.1,8.5,4.4,31.2,6.4,21.2,17,8300,null,null,2473,null,null,1692,null,null,1612,null,null,549,null,null,-888888888,(X),(X),0.2,null,null,0.1,null,null,0.1,null,null,0.1,null,null,1975,null,null,1744,null,null,584,null,null,1084,null,null,375,null,null,0.2,null,null,3.1,null,null,4.4,null,null,6.4,null,null,17,null,null,05
12896357,19487,3323669,17349,756093,12275,1400470,13510,158129,7203,-888888888,-888888888,25.8,0.1,5.9,0.1,10.9,0.1,1.2,0.1,1209910,14521,673831,12686,119160,5821,385360,8690,31559,3180,9.4,0.1,20.3,0.4,15.8,0.7,27.5,0.5,20,1.8,19487,null,null,17349,null,null,12275,null,null,13510,null,null,7203,null,null,-888888888,(X),(X),0.1,null,null,0.1,null,null,0.1,null,null,0.1,null,null,14521,null,null,12686,null,null,5821,null,null,8690,null,null,3180,null,null,0.1,null,null,0.4,null,null,0.7,null,null,0.5,null,null,1.8,null,null,06
2074735,7548,245358,6175,66194,4423,46103,2919,18462,2151,-888888888,-888888888,11.8,0.3,3.2,0.2,2.2,0.1,0.9,0.1,62518,3651,39696,3119,6657,1298,11326,1627,4839,1290,3,0.2,16.2,1.2,10.1,1.8,24.6,3.3,26.2,6.4,7548,null,null,6175,null,null,4423,null,null,2919,null,null,2151,null,null,-888888888,(X),(X),0.3,null,null,0.2,null,null,0.1,null,null,0.1,null,null,3651,null,null,3119,null,null,1298,null,null,1627,null,null,1290,null,null,0.2,null,null,1.2,null,null,1.8,null,null,3.3,null,null,6.4,null,null,08
1343703,6712,163238,4531,121367,4320,33790,2638,13123,2099,-888888888,-888888888,12.1,0.3,9,0.3,2.5,0.2,1,0.2,70032,4081,39523,3230,21043,2228,7872,1211,1594,659,5.2,0.3,24.2,1.8,17.3,1.8,23.3,3.5,12.1,4.9,6712,null,null,4531,null,null,4320,null,null,2638,null,null,2099,null,null,-888888888,(X),(X),0.3,null,null,0.3,null,null,0.2,null,null,0.2,null,null,4081,null,null,3230,null,null,2228,null,null,1211,null,null,659,null,null,0.3,null,null,1.8,null,null,1.8,null,null,3.5,null,null,4.9,null,null,09
352595,3920,25225,1651,12767,1390,8972,1290,2987,833,-888888888,-888888888,7.2,0.4,3.6,0.4,2.5,0.4,0.8,0.2,8241,1507,5222,1168,1221,544,1591,560,207,263,2.3,0.4,20.7,4.6,9.6,4.2,17.7,6.2,6.9,8.6,3920,null,null,1651,null,null,1390,null,null,1290,null,null,833,null,null,-888888888,(X),(X),0.4,null,null,0.4,null,null,0.4,null,null,0.2,null,null,1507,null,null,1168,null,null,544,null,null,560,null,null,263,null,null,0.4,null,null,4.6,null,null,4.2,null,null,6.2,null,null,8.6,null,null,10
281787,3030,26393,2193,17195,1795,5737,842,6203,1361,-888888888,-888888888,9.4,0.8,6.1,0.6,2,0.3,2.2,0.5,9729,1950,6466,1628,942,467,1111,407,1210,614,3.5,0.7,24.5,5.7,5.5,2.8,19.4,7,19.5,9.3,3030,null,null,2193,null,null,1795,null,null,842,null,null,1361,null,null,-888888888,(X),(X),0.8,null,null,0.6,null,null,0.3,null,null,0.5,null,null,1950,null,null,1628,null,null,467,null,null,407,null,null,614,null,null,0.7,null,null,5.7,null,null,2.8,null,null,7,null,null,9.3,null,null,11
7463184,23147,1504157,12875,447595,11699,124733,4362,50753,4137,-888888888,-888888888,20.2,0.2,6,0.2,1.7,0.1,0.7,0.1,512172,12514,400194,11017,77366,4191,28171,2880,6441,1221,6.9,0.2,26.6,0.7,17.3,0.8,22.6,2,12.7,2.3,23147,null,null,12875,null,null,11699,null,null,4362,null,null,4137,null,null,-888888888,(X),(X),0.2,null,null,0.2,null,null,0.1,null,null,0.1,null,null,12514,null,null,11017,null,null,4191,null,null,2880,null,null,1221,null,null,0.2,null,null,0.7,null,null,0.8,null,null,2,null,null,2.3,null,null,12
3656407,14418,266528,7774,119614,6520,85611,3696,37290,3924,-888888888,-888888888,7.3,0.2,3.3,0.2,2.3,0.1,1,0.1,109131,5284,67435,4133,13460,1998,22820,2294,5416,1264,3,0.1,25.3,1.5,11.3,1.6,26.7,2.4,14.5,3.3,14418,null,null,7774,null,null,6520,null,null,3696,null,null,3924,null,null,-888888888,(X),(X),0.2,null,null,0.2,null,null,0.1,null,null,0.1,null,null,5284,null,null,4133,null,null,1998,null,null,2294,null,null,1264,null,null,0.1,null,null,1.5,null,null,1.6,null,null,2.4,null,null,3.3,null,null,13
445936,4817,13591,1775,9790,1420,118524,4368,1332,505,-888888888,-888888888,3,0.4,2.2,0.3,26.6,0.9,0.3,0.1,29351,2976,1446,787,1190,553,26715,2636,0,182,6.6,0.7,10.6,5.7,12.2,5.3,22.5,2.1,0,9.8,4817,null,null,1775,null,null,1420,null,null,4368,null,null,505,null,null,-888888888,(X),(X),0.4,null,null,0.3,null,null,0.9,null,null,0.1,null,null,2976,null,null,787,null,null,553,null,null,2636,null,null,182,null,null,0.7,null,null,5.7,null,null,5.3,null,null,2.1,null,null,9.8,null,null,15
