B14001H_001E,B14001H_001EA,B14001H_001M,B14001H_001MA,B14001H_002E,B14001H_002EA,B14001H_002M,B14001H_002MA,B14001H_003E,B14001H_003EA,B14001H_003M,B14001H_003MA,B14001H_004E,B14001H_004EA,B14001H_004M,B14001H_004MA,B14001H_005E,B14001H_005EA,B14001H_005M,B14001H_005MA,B14001H_006E,B14001H_006EA,B14001H_006M,B14001H_006MA,B14001H_007E,B14001H_007EA,B14001H_007M,B14001H_007MA,GEO_ID,NAME,state
3070123,null,4506,null,715324,null,8165,null,82733,null,5222,null,307306,null,4696,null,153192,null,3007,null,172093,null,5897,null,2354799,null,8344,null,0400000US01,Alabama,01
434091,null,1308,null,113640,null,3509,null,10321,null,1608,null,43112,null,1526,null,27804,null,1860,null,32403,null,2894,null,320451,null,3714,null,0400000US02,Alaska,02
3606730,null,4906,null,825880,null,10013,null,87243,null,4220,null,310995,null,4726,null,171519,null,4091,null,256123,null,8429,null,2780850,null,10274,null,0400000US04,Arizona,04
2075673,null,2782,null,488353,null,6623,null,57834,null,3433,null,203469,null,3532,null,108230,null,3070,null,118820,null,4872,null,1587320,null,6144,null,0400000US05,Arkansas,05
15079500,null,10395,null,3610384,null,20002,null,361151,null,8850,null,1227133,null,8185,null,774054,null,8952,null,1248046,null,17453,null,11469116,null,20352,null,0400000US06,California,06
3341721,null,3396,null,830440,null,9982,null,91316,null,4911,null,310574,null,4314,null,171504,null,3303,null,257046,null,8352,null,2511281,null,9744,null,0400000US08,Colorado,08
2516297,null,4021,null,646088,null,6947,null,70448,null,4097,null,244611,null,3950,null,141778,null,3374,null,189251,null,6066,null,1870209,null,6715,null,0400000US09,Connecticut,09
572092,null,1583,null,135425,null,3551,null,12972,null,1631,null,50851,null,2157,null,29130,null,1547,null,42472,null,2768,null,436667,null,3188,null,0400000US10,Delaware,10
184638,null,1099,null,43719,null,2623,null,5384,null,1248,null,7372,null,777,null,3130,null,594,null,27833,null,2584,null,140919,null,2832,null,0400000US11,District of Columbia,11
10745344,null,8106,null,2239555,null,14023,null,255893,null,7535,null,892373,null,7525,null,480841,null,7169,null,610448,null,12438,null,8505789,null,15166,null,0400000US12,Florida,12
5358916,null,6104,null,1369440,null,10009,null,174691,null,5808,null,564891,null,5868,null,283697,null,4925,null,346161,null,9489,null,3989476,null,9840,null,0400000US13,Georgia,13
302624,null,1202,null,60912,null,3064,null,6332,null,1161,null,20076,null,1097,null,11220,null,1195,null,23284,null,2584,null,241712,null,3107,null,0400000US15,Hawaii,15
1227251,null,2376,null,319208,null,4593,null,34998,null,2435,null,137237,null,2591,null,73444,null,2208,null,73529,null,4293,null,908043,null,5152,null,0400000US16,Idaho,16
8070548,null,6282,null,2089272,null,10651,null,243038,null,7022,null,780054,null,6395,null,435393,null,4881,null,630787,null,9190,null,5981276,null,9468,null,0400000US17,Illinois,17
5098857,null,5039,null,1323941,null,10091,null,147691,null,5689,null,546055,null,4922,null,281811,null,4657,null,348384,null,7352,null,3774916,null,9703,null,0400000US18,Indiana,18
2608112,null,3085,null,673194,null,5476,null,77194,null,3599,null,258608,null,2929,null,147986,null,3082,null,189406,null,4469,null,1934918,null,5205,null,0400000US19,Iowa,19
2157524,null,2438,null,581144,null,5357,null,65190,null,2998,null,222466,null,3105,null,124256,null,2930,null,169232,null,4729,null,1576380,null,5091,null,0400000US20,Kansas,20
3594984,null,4372,null,883604,null,8359,null,96326,null,4648,null,368941,null,4984,null,200518,null,4706,null,217819,null,6542,null,2711380,null,7611,null,0400000US21,Kentucky,21
2577230,null,2947,null,633211,null,7204,null,76468,null,3957,null,263029,null,3738,null,134064,null,2918,null,159650,null,6328,null,1944019,null,7179,null,0400000US22,Louisiana,22
1207393,null,3193,null,278730,null,4740,null,26225,null,2234,null,109762,null,2463,null,67447,null,2144,null,75296,null,3296,null,928663,null,4143,null,0400000US23,Maine,23
3145296,null,5113,null,794031,null,7492,null,87949,null,4071,null,293730,null,4444,null,174819,null,3992,null,237533,null,6183,null,2351265,null,7921,null,0400000US24,Maryland,24
4951462,null,7282,null,1255517,null,10548,null,140012,null,5591,null,463250,null,4910,null,258011,null,4372,null,394244,null,8179,null,3695945,null,11590,null,0400000US25,Massachusetts,25
7544029,null,5398,null,1993246,null,11337,null,199347,null,6014,null,762928,null,5350,null,442227,null,4566,null,588744,null,9222,null,5550783,null,10875,null,0400000US26,Michigan,26
4293553,null,3248,null,1082325,null,7168,null,117876,null,4055,null,424071,null,3908,null,245356,null,3442,null,295022,null,6121,null,3211228,null,7629,null,0400000US27,Minnesota,27
1655617,null,2956,null,400961,null,6536,null,48505,null,3184,null,165695,null,3957,null,82495,null,3330,null,104266,null,5141,null,1254656,null,6228,null,0400000US28,Mississippi,28
4657457,null,4689,null,1171219,null,9800,null,129778,null,4848,null,479026,null,5435,null,257982,null,4502,null,304433,null,8440,null,3486238,null,10698,null,0400000US29,Missouri,29
816587,null,1462,null,189716,null,4034,null,18692,null,1931,null,75119,null,1800,null,45029,null,1924,null,50876,null,3493,null,626871,null,4079,null,0400000US30,Montana,30
1445192,null,2510,null,382567,null,5729,null,41248,null,2565,null,144602,null,2513,null,86656,null,2119,null,110061,null,4443,null,1062625,null,5510,null,0400000US31,Nebraska,31
1436203,null,2249,null,307309,null,5817,null,28221,null,2605,null,130626,null,3191,null,68064,null,2854,null,80398,null,4604,null,1128894,null,5695,null,0400000US32,Nevada,32
1188572,null,2659,null,301363,null,4139,null,31089,null,2369,null,120364,null,2364,null,68497,null,1991,null,81413,null,4017,null,887209,null,4474,null,0400000US33,New Hampshire,33
5215523,null,5519,null,1300180,null,8013,null,156330,null,4981,null,508840,null,5161,null,290362,null,5750,null,344648,null,8661,null,3915343,null,8902,null,0400000US34,New Jersey,34
806672,null,2131,null,182292,null,4648,null,17371,null,2135,null,63446,null,2109,null,37401,null,2451,null,64074,null,3905,null,624380,null,4759,null,0400000US35,New Mexico,35
11233255,null,7562,null,2788933,null,16239,null,289070,null,6815,null,1036760,null,6805,null,599466,null,6605,null,863637,null,13750,null,8444322,null,15702,null,0400000US36,New York,36
5898758,null,6738,null,1424961,null,10959,null,157573,null,5468,null,574162,null,6509,null,295744,null,5303,null,397482,null,9124,null,4473797,null,11444,null,0400000US37,North Carolina,37
554140,null,1274,null,141701,null,2847,null,11665,null,1158,null,50004,null,1324,null,29955,null,1166,null,50077,null,2580,null,412439,null,3028,null,0400000US38,North Dakota,38
9139177,null,5650,null,2330494,null,12738,null,251504,null,6305,null,938881,null,7056,null,515000,null,5824,null,625109,null,10414,null,6808683,null,13211,null,0400000US39,Ohio,39
2500379,null,3956,null,592399,null,8393,null,70029,null,3348,null,235998,null,3688,null,126786,null,3154,null,159586,null,6460,null,1907980,null,8328,null,0400000US40,Oklahoma,40
2916050,null,3344,null,671912,null,8283,null,70239,null,3995,null,258328,null,4956,null,151848,null,3403,null,191497,null,7259,null,2244138,null,8370,null,0400000US41,Oregon,41
9839763,null,5890,null,2348481,null,11077,null,240943,null,6074,null,912241,null,6282,null,517895,null,5388,null,677402,null,9479,null,7491282,null,10638,null,0400000US42,Pennsylvania,42
811002,null,2026,null,206475,null,4252,null,19551,null,2254,null,68590,null,1702,null,39868,null,1774,null,78466,null,4000,null,604527,null,4224,null,0400000US44,Rhode Island,44
2777470,null,3491,null,648559,null,7623,null,70853,null,3920,null,274585,null,3672,null,134433,null,3216,null,168688,null,6312,null,2128911,null,6757,null,0400000US45,South Carolina,45
662902,null,1887,null,166153,null,4285,null,16827,null,1660,null,67031,null,1900,null,37036,null,1724,null,45259,null,3327,null,496749,null,4305,null,0400000US46,South Dakota,46
4587593,null,4567,null,1058882,null,8894,null,114742,null,5407,null,450881,null,4980,null,239681,null,3650,null,253578,null,7708,null,3528711,null,8739,null,0400000US47,Tennessee,47
11005333,null,8537,null,2715793,null,15573,null,307391,null,8204,null,1079796,null,7322,null,573094,null,7679,null,755512,null,11578,null,8289540,null,14511,null,0400000US48,Texas,48
2056688,null,2621,null,673484,null,8146,null,76476,null,3669,null,267370,null,3694,null,132892,null,2869,null,196746,null,7406,null,1383204,null,8500,null,0400000US49,Utah,49
575523,null,1154,null,142676,null,2968,null,13609,null,1417,null,54786,null,1310,null,33049,null,1226,null,41232,null,2657,null,432847,null,3039,null,0400000US50,Vermont,50
5003976,null,5311,null,1263583,null,11101,null,136802,null,5331,null,485388,null,3959,null,258052,null,4013,null,383341,null,9212,null,3740393,null,11558,null,0400000US51,Virginia,51
4749023,null,4193,null,1111497,null,9538,null,115441,null,5199,null,446464,null,5276,null,255389,null,3999,null,294203,null,6985,null,3637526,null,10635,null,0400000US53,Washington,53
1644720,null,3026,null,374058,null,5671,null,40349,null,2737,null,153253,null,2896,null,88912,null,2493,null,91544,null,4248,null,1270662,null,5408,null,0400000US54,West Virginia,54
4622674,null,3519,null,1152164,null,8948,null,118273,null,3914,null,444621,null,3889,null,256393,null,3004,null,332877,null,7585,null,3470510,null,8890,null,0400000US55,Wisconsin,55
440012,null,1314,null,105851,null,2917,null,12780,null,1666,null,43108,null,1560,null,23975,null,1272,null,25988,null,2489,null,334161,null,2817,null,0400000US56,Wyoming,56
41088,null,3714,null,10504,null,2333,null,270,null,191,null,3827,null,1424,null,1935,null,774,null,4472,null,1224,null,30584,null,2816,null,0400000US72,Puerto Rico,72
