B12002D_001E,B12002D_001EA,B12002D_001M,B12002D_001MA,B12002D_002E,B12002D_002EA,B12002D_002M,B12002D_002MA,B12002D_003E,B12002D_003EA,B12002D_003M,B12002D_003MA,B12002D_004E,B12002D_004EA,B12002D_004M,B12002D_004MA,B12002D_005E,B12002D_005EA,B12002D_005M,B12002D_005MA,B12002D_006E,B12002D_006EA,B12002D_006M,B12002D_006MA,B12002D_007E,B12002D_007EA,B12002D_007M,B12002D_007MA,B12002D_008E,B12002D_008EA,B12002D_008M,B12002D_008MA,B12002D_009E,B12002D_009EA,B12002D_009M,B12002D_009MA,B12002D_010E,B12002D_010EA,B12002D_010M,B12002D_010MA,B12002D_011E,B12002D_011EA,B12002D_011M,B12002D_011MA,B12002D_012E,B12002D_012EA,B12002D_012M,B12002D_012MA,B12002D_013E,B12002D_013EA,B12002D_013M,B12002D_013MA,GEO_ID,NAME,state
36089,null,2208,null,16693,null,1408,null,5140,null,1042,null,10294,null,1226,null,148,null,163,null,119,null,149,null,992,null,541,null,19396,null,1372,null,4268,null,857,null,12946,null,1369,null,54,null,90,null,1270,null,469,null,858,null,472,null,0400000US01,Alabama,01
27355,null,1422,null,12756,null,1079,null,5176,null,1160,null,7103,null,1263,null,0,null,237,null,43,null,71,null,434,null,264,null,14599,null,967,null,3123,null,823,null,8368,null,987,null,633,null,479,null,1412,null,415,null,1063,null,558,null,0400000US02,Alaska,02
120335,null,2160,null,56539,null,1472,null,18838,null,1791,null,33593,null,2001,null,608,null,383,null,668,null,371,null,2832,null,1027,null,63796,null,1402,null,12770,null,1388,null,40796,null,1959,null,611,null,423,null,4763,null,1122,null,4856,null,1154,null,0400000US04,Arizona,04
24782,null,1690,null,11250,null,936,null,3457,null,1020,null,6429,null,1011,null,194,null,316,null,128,null,192,null,1042,null,637,null,13532,null,1268,null,3220,null,1142,null,8718,null,1099,null,120,null,126,null,545,null,321,null,929,null,497,null,0400000US05,Arkansas,05
3750337,null,10445,null,1774737,null,6978,null,620971,null,10156,null,1034668,null,11040,null,20828,null,2514,null,32318,null,2924,null,65952,null,4229,null,1975600,null,6067,null,545077,null,10593,null,1102628,null,12257,null,30772,null,2857,null,175025,null,5436,null,122098,null,5206,null,0400000US06,California,06
105436,null,2142,null,47470,null,1861,null,15465,null,1714,null,28537,null,2030,null,612,null,444,null,430,null,295,null,2426,null,856,null,57966,null,1451,null,15539,null,1629,null,33530,null,2038,null,281,null,237,null,3757,null,826,null,4859,null,1173,null,0400000US08,Colorado,08
93455,null,1434,null,46200,null,1132,null,13864,null,1574,null,29632,null,1405,null,80,null,130,null,571,null,267,null,2053,null,956,null,47255,null,1084,null,11678,null,1238,null,30370,null,1521,null,708,null,450,null,2532,null,708,null,1967,null,705,null,0400000US09,Connecticut,09
19991,null,957,null,9556,null,668,null,2205,null,572,null,6852,null,664,null,117,null,191,null,86,null,145,null,296,null,295,null,10435,null,566,null,2056,null,568,null,7452,null,783,null,87,null,143,null,395,null,196,null,445,null,286,null,0400000US10,Delaware,10
15998,null,1017,null,6878,null,779,null,2820,null,814,null,3815,null,758,null,0,null,300,null,0,null,300,null,243,null,222,null,9120,null,478,null,4242,null,704,null,3633,null,810,null,351,null,434,null,453,null,344,null,441,null,294,null,0400000US11,District of Columbia,11
329396,null,4584,null,152368,null,2936,null,48960,null,2831,null,90623,null,3261,null,2304,null,960,null,2514,null,895,null,7967,null,1286,null,177028,null,3480,null,38583,null,2752,null,111755,null,3535,null,3375,null,1317,null,12160,null,1756,null,11155,null,1676,null,0400000US12,Florida,12
