C19037G_001E,C19037G_001EA,C19037G_001M,C19037G_001MA,C19037G_002E,C19037G_002EA,C19037G_002M,C19037G_002MA,C19037G_003E,C19037G_003EA,C19037G_003M,C19037G_003MA,C19037G_004E,C19037G_004EA,C19037G_004M,C19037G_004MA,C19037G_005E,C19037G_005EA,C19037G_005M,C19037G_005MA,C19037G_006E,C19037G_006EA,C19037G_006M,C19037G_006MA,C19037G_007E,C19037G_007EA,C19037G_007M,C19037G_007MA,C19037G_008E,C19037G_008EA,C19037G_008M,C19037G_008MA,C19037G_009E,C19037G_009EA,C19037G_009M,C19037G_009MA,C19037G_010E,C19037G_010EA,C19037G_010M,C19037G_010MA,C19037G_011E,C19037G_011EA,C19037G_011M,C19037G_011MA,C19037G_012E,C19037G_012EA,C19037G_012M,C19037G_012MA,C19037G_013E,C19037G_013EA,C19037G_013M,C19037G_013MA,C19037G_014E,C19037G_014EA,C19037G_014M,C19037G_014MA,C19037G_015E,C19037G_015EA,C19037G_015M,C19037G_015MA,C19037G_016E,C19037G_016EA,C19037G_016M,C19037G_016MA,C19037G_017E,C19037G_017EA,C19037G_017M,C19037G_017MA,C19037G_018E,C19037G_018EA,C19037G_018M,C19037G_018MA,C19037G_019E,C19037G_019EA,C19037G_019M,C19037G_019MA,C19037G_020E,C19037G_020EA,C19037G_020M,C19037G_020MA,C19037G_021E,C19037G_021EA,C19037G_021M,C19037G_021MA,C19037G_022E,C19037G_022EA,C19037G_022M,C19037G_022MA,C19037G_023E,C19037G_023EA,C19037G_023M,C19037G_023MA,C19037G_024E,C19037G_024EA,C19037G_024M,C19037G_024MA,C19037G_025E,C19037G_025EA,C19037G_025M,C19037G_025MA,C19037G_026E,C19037G_026EA,C19037G_026M,C19037G_026MA,C19037G_027E,C19037G_027EA,C19037G_027M,C19037G_027MA,C19037G_028E,C19037G_028EA,C19037G_028M,C19037G_028MA,C19037G_029E,C19037G_029EA,C19037G_029M,C19037G_029MA,C19037G_030E,C19037G_030EA,C19037G_030M,C19037G_030MA,C19037G_031E,C19037G_031EA,C19037G_031M,C19037G_031MA,C19037G_032E,C19037G_032EA,C19037G_032M,C19037G_032MA,C19037G_033E,C19037G_033EA,C19037G_033M,C19037G_033MA,C19037G_034E,C19037G_034EA,C19037G_034M,C19037G_034MA,C19037G_035E,C19037G_035EA,C19037G_035M,C19037G_035MA,C19037G_036E,C19037G_036EA,C19037G_036M,C19037G_036MA,C19037G_037E,C19037G_037EA,C19037G_037M,C19037G_037MA,C19037G_038E,C19037G_038EA,C19037G_038M,C19037G_038MA,C19037G_039E,C19037G_039EA,C19037G_039M,C19037G_039MA,C19037G_040E,C19037G_040EA,C19037G_040M,C19037G_040MA,C19037G_041E,C19037G_041EA,C19037G_041M,C19037G_041MA,C19037G_042E,C19037G_042EA,C19037G_042M,C19037G_042MA,C19037G_043E,C19037G_043EA,C19037G_043M,C19037G_043MA,C19037G_044E,C19037G_044EA,C19037G_044M,C19037G_044MA,C19037G_045E,C19037G_045EA,C19037G_045M,C19037G_045MA,GEO_ID,NAME,state
17128,null,1926,null,1172,null,572,null,173,null,171,null,358,null,410,null,115,null,141,null,102,null,103,null,57,null,96,null,337,null,303,null,30,null,48,null,0,null,267,null,0,null,267,null,0,null,267,null,5805,null,1096,null,723,null,421,null,322,null,334,null,495,null,299,null,538,null,310,null,835,null,462,null,1537,null,647,null,604,null,373,null,289,null,296,null,462,null,285,null,0,null,267,null,7119,null,1224,null,1014,null,461,null,567,null,418,null,731,null,400,null,792,null,428,null,930,null,397,null,1644,null,662,null,691,null,380,null,440,null,335,null,195,null,211,null,115,null,145,null,3032,null,1025,null,316,null,253,null,234,null,172,null,1189,null,754,null,380,null,237,null,435,null,266,null,362,null,263,null,98,null,164,null,18,null,29,null,0,null,267,null,0,null,267,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
31338,null,2985,null,3664,null,1212,null,626,null,499,null,518,null,437,null,739,null,424,null,406,null,329,null,919,null,585,null,274,null,318,null,157,null,229,null,0,null,292,null,0,null,292,null,25,null,41,null,14473,null,2002,null,1273,null,597,null,618,null,372,null,1164,null,660,null,1860,null,754,null,2977,null,939,null,2439,null,717,null,1927,null,719,null,1575,null,763,null,409,null,248,null,231,null,313,null,10234,null,1628,null,887,null,541,null,199,null,229,null,817,null,605,null,808,null,485,null,2523,null,888,null,1873,null,583,null,1230,null,512,null,1277,null,563,null,343,null,284,null,277,null,255,null,2967,null,757,null,225,null,202,null,406,null,317,null,432,null,276,null,583,null,473,null,690,null,392,null,131,null,159,null,447,null,278,null,53,null,87,null,0,null,292,null,0,null,292,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
273331,null,7376,null,21388,null,2521,null,2785,null,853,null,1641,null,627,null,4228,null,1364,null,3080,null,967,null,3457,null,942,null,3825,null,1118,null,769,null,344,null,1045,null,629,null,495,null,443,null,63,null,76,null,127057,null,5423,null,5898,null,1419,null,4473,null,1055,null,9708,null,1523,null,11875,null,1827,null,18429,null,2299,null,23483,null,2409,null,19875,null,2390,null,19672,null,2466,null,7560,null,1322,null,6084,null,1322,null,94957,null,4327,null,4324,null,1003,null,6664,null,1276,null,7079,null,1381,null,6705,null,1087,null,12362,null,1599,null,17546,null,2325,null,13272,null,1787,null,13789,null,1661,null,6979,null,1334,null,6237,null,1052,null,29929,null,2179,null,2810,null,960,null,3521,null,903,null,5370,null,1043,null,3092,null,772,null,4329,null,952,null,4928,null,936,null,2606,null,691,null,1504,null,513,null,974,null,416,null,795,null,331,null,0400000US06,California,06
29572,null,2903,null,2916,null,873,null,211,null,278,null,188,null,166,null,942,null,640,null,387,null,300,null,641,null,405,null,349,null,241,null,198,null,198,null,0,null,275,null,0,null,275,null,0,null,275,null,13197,null,2062,null,688,null,463,null,614,null,411,null,1097,null,639,null,1766,null,719,null,2353,null,913,null,3293,null,989,null,1678,null,637,null,1045,null,499,null,423,null,355,null,240,null,176,null,11060,null,1578,null,971,null,595,null,628,null,377,null,1851,null,770,null,656,null,416,null,1135,null,517,null,1493,null,650,null,1393,null,647,null,1762,null,609,null,677,null,411,null,494,null,364,null,2399,null,586,null,149,null,136,null,289,null,196,null,413,null,272,null,317,null,226,null,419,null,307,null,521,null,314,null,173,null,183,null,58,null,74,null,60,null,101,null,0,null,275,null,0400000US08,Colorado,08
16315,null,1805,null,836,null,475,null,237,null,287,null,271,null,284,null,31,null,54,null,101,null,180,null,145,null,181,null,51,null,84,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,7732,null,1308,null,585,null,492,null,206,null,167,null,615,null,382,null,917,null,543,null,887,null,641,null,1427,null,589,null,1182,null,564,null,1015,null,509,null,184,null,180,null,714,null,441,null,5882,null,1336,null,492,null,371,null,248,null,210,null,338,null,326,null,55,null,91,null,512,null,357,null,1786,null,717,null,853,null,415,null,1151,null,677,null,119,null,135,null,328,null,265,null,1865,null,671,null,237,null,232,null,250,null,307,null,443,null,288,null,150,null,163,null,153,null,192,null,321,null,255,null,81,null,135,null,62,null,93,null,88,null,109,null,80,null,135,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
79546,null,4383,null,6213,null,1587,null,969,null,654,null,360,null,243,null,1045,null,544,null,1042,null,483,null,1140,null,875,null,1323,null,644,null,139,null,181,null,0,null,303,null,76,null,86,null,119,null,195,null,33723,null,3197,null,2172,null,853,null,1262,null,590,null,3746,null,1056,null,3915,null,1183,null,4674,null,1054,null,9182,null,1748,null,4229,null,1046,null,2381,null,761,null,800,null,416,null,1362,null,617,null,26768,null,2520,null,2615,null,818,null,1901,null,719,null,3286,null,851,null,2466,null,749,null,3693,null,1006,null,4803,null,1032,null,2674,null,780,null,3697,null,906,null,1126,null,445,null,507,null,291,null,12842,null,1502,null,1963,null,680,null,1188,null,570,null,3153,null,789,null,1695,null,581,null,2048,null,703,null,1395,null,472,null,269,null,228,null,768,null,392,null,116,null,140,null,247,null,225,null,0400000US12,Florida,12
