B01001A_001E,B01001A_001EA,B01001A_001M,B01001A_001MA,B01001A_002E,B01001A_002EA,B01001A_002M,B01001A_002MA,B01001A_003E,B01001A_003EA,B01001A_003M,B01001A_003MA,B01001A_004E,B01001A_004EA,B01001A_004M,B01001A_004MA,B01001A_005E,B01001A_005EA,B01001A_005M,B01001A_005MA,B01001A_006E,B01001A_006EA,B01001A_006M,B01001A_006MA,B01001A_007E,B01001A_007EA,B01001A_007M,B01001A_007MA,B01001A_008E,B01001A_008EA,B01001A_008M,B01001A_008MA,B01001A_009E,B01001A_009EA,B01001A_009M,B01001A_009MA,B01001A_010E,B01001A_010EA,B01001A_010M,B01001A_010MA,B01001A_011E,B01001A_011EA,B01001A_011M,B01001A_011MA,B01001A_012E,B01001A_012EA,B01001A_012M,B01001A_012MA,B01001A_013E,B01001A_013EA,B01001A_013M,B01001A_013MA,B01001A_014E,B01001A_014EA,B01001A_014M,B01001A_014MA,B01001A_015E,B01001A_015EA,B01001A_015M,B01001A_015MA,B01001A_016E,B01001A_016EA,B01001A_016M,B01001A_016MA,B01001A_017E,B01001A_017EA,B01001A_017M,B01001A_017MA,B01001A_018E,B01001A_018EA,B01001A_018M,B01001A_018MA,B01001A_019E,B01001A_019EA,B01001A_019M,B01001A_019MA,B01001A_020E,B01001A_020EA,B01001A_020M,B01001A_020MA,B01001A_021E,B01001A_021EA,B01001A_021M,B01001A_021MA,B01001A_022E,B01001A_022EA,B01001A_022M,B01001A_022MA,B01001A_023E,B01001A_023EA,B01001A_023M,B01001A_023MA,B01001A_024E,B01001A_024EA,B01001A_024M,B01001A_024MA,B01001A_025E,B01001A_025EA,B01001A_025M,B01001A_025MA,B01001A_026E,B01001A_026EA,B01001A_026M,B01001A_026MA,B01001A_027E,B01001A_027EA,B01001A_027M,B01001A_027MA,B01001A_028E,B01001A_028EA,B01001A_028M,B01001A_028MA,B01001A_029E,B01001A_029EA,B01001A_029M,B01001A_029MA,B01001A_030E,B01001A_030EA,B01001A_030M,B01001A_030MA,B01001A_031E,B01001A_031EA,B01001A_031M,B01001A_031MA,GEO_ID,NAME,state
3254107,null,5821,null,1593073,null,3063,null,100084,null,1809,null,103430,null,3494,null,99885,null,3346,null,64591,null,1285,null,43183,null,2108,null,109120,null,2627,null,102106,null,1860,null,96245,null,1484,null,228461,null,2015,null,239030,null,1407,null,196718,null,814,null,122995,null,890,null,70755,null,1587,null,16470,null,1673,null,1661034,null,4565,null,97370,null,2155,null,95037,null,3446,null,99126,null,3880,null,62559,null,1846,null,40967,null,1899,null,100344,null,2092,null,104027,null,1574,null,95103,null,1213,null,223422,null,1285,null,242403,null,1168,null,209437,null,772,null,143591,null,1205,null,105376,null,3064,null,42272,null,2931,null,0400000US01,Alabama,01
465234,null,2534,null,244917,null,1564,null,15732,null,536,null,14018,null,1163,null,15716,null,1316,null,11049,null,356,null,6779,null,829,null,22697,null,1344,null,18189,null,949,null,15920,null,1159,null,34934,null,1111,null,42461,null,668,null,30334,null,181,null,11311,null,312,null,4886,null,449,null,891,null,371,null,220317,null,1443,null,13886,null,492,null,13126,null,1495,null,14530,null,1414,null,9906,null,341,null,6095,null,859,null,15720,null,1182,null,15093,null,673,null,14670,null,951,null,33237,null,772,null,40431,null,506,null,25436,null,434,null,10758,null,392,null,4745,null,708,null,2684,null,633,null,0400000US02,Alaska,02
4841990,null,21733,null,2415434,null,13502,null,171617,null,3245,null,157076,null,5775,null,161680,null,5918,null,97364,null,1812,null,60655,null,2276,null,160300,null,3079,null,185514,null,3437,null,160502,null,3233,null,332944,null,4234,null,325392,null,3279,null,269025,null,1812,null,175875,null,1204,null,122906,null,2964,null,34584,null,2811,null,2426556,null,11612,null,163484,null,3650,null,150826,null,5301,null,149791,null,4521,null,93089,null,2054,null,54532,null,1983,null,144880,null,2868,null,167279,null,2594,null,148680,null,2507,null,318812,null,3112,null,332505,null,2540,null,294701,null,1679,null,196308,null,1383,null,152288,null,3741,null,59381,null,3649,null,0400000US04,Arizona,04
2226758,null,5666,null,1093329,null,3887,null,69260,null,1491,null,69771,null,3076,null,69952,null,3069,null,45198,null,1310,null,31271,null,2161,null,70871,null,2332,null,74306,null,1425,null,67642,null,1941,null,152250,null,1835,null,158325,null,1633,null,133975,null,712,null,85636,null,692,null,50528,null,1579,null,14344,null,1619,null,1133429,null,3938,null,69609,null,1716,null,66054,null,2920,null,68015,null,2831,null,41920,null,1365,null,29980,null,1890,null,67068,null,2258,null,72066,null,1697,null,65013,null,1575,null,151392,null,1883,null,160256,null,1316,null,142741,null,643,null,97166,null,446,null,70325,null,2008,null,31824,null,2014,null,0400000US05,Arkansas,05
22026736,null,61328,null,11016863,null,35928,null,733589,null,8400,null,677184,null,11781,null,739519,null,11299,null,476971,null,5905,null,320450,null,4795,null,814840,null,8109,null,794675,null,8081,null,721491,null,8548,null,1623475,null,9982,null,1650388,null,7712,null,1206146,null,5531,null,673169,null,3040,null,439533,null,5715,null,145433,null,5295,null,11009873,null,34087,null,709215,null,8703,null,655496,null,11224,null,696702,null,11023,null,445254,null,4983,null,301521,null,5169,null,742378,null,7436,null,714422,null,6402,null,656780,null,6832,null,1540851,null,8715,null,1618804,null,7329,null,1251715,null,5517,null,774536,null,3455,null,614815,null,8375,null,287384,null,7720,null,0400000US06,California,06
4061059,null,15114,null,2043271,null,9325,null,138805,null,2668,null,127676,null,3927,null,131308,null,4427,null,81126,null,1801,null,55637,null,1774,null,143821,null,3044,null,160477,null,2806,null,147875,null,2886,null,311705,null,2809,null,316548,null,2202,null,232718,null,1542,null,113364,null,1183,null,63125,null,1762,null,19086,null,1579,null,2017788,null,7899,null,133453,null,2239,null,124276,null,4271,null,119284,null,3535,null,77771,null,1517,null,48913,null,2040,null,130469,null,2536,null,146947,null,2159,null,131478,null,2950,null,292436,null,2677,null,321527,null,1803,null,236691,null,1530,null,126344,null,1285,null,88609,null,2392,null,39590,null,2269,null,0400000US08,Colorado,08
2786401,null,9488,null,1355785,null,5364,null,76382,null,1862,null,84871,null,3193,null,89503,null,3264,null,58404,null,1329,null,38800,null,717,null,85007,null,1508,null,72761,null,1360,null,71780,null,1408,null,202230,null,1940,null,232129,null,1290,null,168226,null,808,null,92238,null,781,null,59640,null,2047,null,23814,null,2079,null,1430616,null,5467,null,72390,null,1343,null,78008,null,3381,null,85555,null,3254,null,56084,null,903,null,37697,null,776,null,81558,null,1085,null,69163,null,1311,null,72844,null,1338,null,208782,null,1658,null,237212,null,1450,null,179603,null,1211,null,108930,null,657,null,90031,null,2721,null,52759,null,2780,null,0400000US09,Connecticut,09
625354,null,2961,null,303880,null,2116,null,18989,null,562,null,16962,null,1586,null,20160,null,1751,null,12411,null,250,null,8746,null,353,null,20620,null,525,null,18585,null,338,null,16935,null,370,null,42824,null,870,null,46663,null,669,null,37677,null,338,null,23829,null,307,null,14999,null,790,null,4480,null,797,null,321474,null,1565,null,17692,null,406,null,16982,null,1571,null,17711,null,1583,null,11864,null,167,null,9040,null,221,null,20725,null,291,null,19065,null,298,null,17409,null,427,null,44293,null,548,null,48306,null,329,null,42094,null,465,null,27375,null,239,null,19462,null,1258,null,9456,null,1281,null,0400000US10,Delaware,10
210332,null,3230,null,105333,null,2064,null,6281,null,440,null,4225,null,625,null,1416,null,561,null,1795,null,427,null,3855,null,233,null,11127,null,495,null,13255,null,783,null,11427,null,464,null,18910,null,715,null,12212,null,625,null,11036,null,392,null,5714,null,271,null,3194,null,387,null,886,null,424,null,104999,null,1757,null,5354,null,502,null,3436,null,640,null,1722,null,614,null,1257,null,217,null,4936,null,209,null,12859,null,431,null,15521,null,424,null,10982,null,412,null,14886,null,776,null,10155,null,528,null,12229,null,303,null,5465,null,237,null,3903,null,538,null,2294,null,571,null,0400000US11,District of Columbia,11
13921401,null,25282,null,6840479,null,16391,null,384652,null,4163,null,369070,null,7624,null,392975,null,7848,null,254320,null,2950,null,165492,null,3181,null,412972,null,4483,null,422305,null,6272,null,395218,null,5078,null,972498,null,5727,null,1002688,null,4687,null,840703,null,2970,null,602207,null,2922,null,475381,null,5735,null,149998,null,5649,null,7080922,null,13669,null,371536,null,4011,null,352246,null,9681,null,366457,null,8776,null,238211,null,2640,null,154077,null,4353,null,384370,null,3462,null,397333,null,4166,null,375544,null,3946,null,941553,null,4579,null,1028884,null,3836,null,921917,null,3879,null,691495,null,2541,null,607232,null,6558,null,250067,null,6616,null,0400000US12,Florida,12
5918880,null,14822,null,2939748,null,10779,null,204427,null,4011,null,201965,null,6364,null,200019,null,5735,null,118706,null,1777,null,91179,null,3822,null,195546,null,4770,null,194101,null,3807,null,194117,null,3417,null,460697,null,3686,null,437395,null,2207,null,338521,null,1619,null,185840,null,1829,null,93351,null,2423,null,23884,null,2254,null,2979132,null,8206,null,194941,null,3249,null,191267,null,5815,null,183918,null,5142,null,113679,null,2185,null,74007,null,3250,null,177220,null,3522,null,194120,null,3200,null,186966,null,2641,null,440050,null,2858,null,444627,null,1944,null,359492,null,1322,null,212245,null,1228,null,146192,null,3416,null,60408,null,3359,null,0400000US13,Georgia,13
341779,null,3685,null,184705,null,2293,null,10873,null,728,null,7599,null,1214,null,8203,null,1270,null,4659,null,507,null,3814,null,699,null,16305,null,1030,null,17390,null,1349,null,15314,null,1825,null,27230,null,778,null,26778,null,527,null,25666,null,347,null,11700,null,402,null,6777,null,759,null,2397,null,725,null,157074,null,2187,null,10441,null,830,null,7610,null,904,null,6330,null,859,null,4096,null,530,null,3275,null,776,null,10040,null,800,null,14180,null,757,null,9835,null,456,null,20726,null,658,null,25436,null,504,null,22807,null,440,null,11101,null,411,null,7453,null,788,null,3744,null,755,null,0400000US15,Hawaii,15
1386347,null,4538,null,695740,null,3139,null,53913,null,742,null,47969,null,2432,null,53860,null,2623,null,31145,null,896,null,20007,null,1309,null,49822,null,1580,null,54377,null,1361,null,44920,null,1164,null,89724,null,1387,null,96626,null,1005,null,76748,null,606,null,43210,null,458,null,25329,null,1061,null,8090,null,1076,null,690607,null,2705,null,50998,null,1131,null,49496,null,2303,null,46141,null,2174,null,30476,null,780,null,20019,null,1109,null,44658,null,1266,null,49935,null,782,null,42644,null,778,null,89621,null,1461,null,96754,null,961,null,77185,null,769,null,45334,null,652,null,31851,null,1346,null,15495,null,1266,null,0400000US16,Idaho,16
9057076,null,18787,null,4466534,null,11806,null,280096,null,2908,null,274191,null,5850,null,296495,null,5595,null,185995,null,1896,null,131407,null,2177,null,317465,null,3429,null,297509,null,3889,null,289040,null,2663,null,652765,null,3299,null,702067,null,2683,null,511991,null,1764,null,287733,null,1543,null,179922,null,3063,null,59858,null,3065,null,4590542,null,9285,null,266990,null,2782,null,268053,null,5816,null,271095,null,6418,null,176791,null,1663,null,121371,null,2146,null,299468,null,2940,null,285550,null,2537,null,274264,null,2171,null,638193,null,2982,null,702841,null,2317,null,530728,null,1760,null,339312,null,1811,null,273683,null,4895,null,142203,null,5162,null,0400000US17,Illinois,17
