B17012_001E,B17012_001EA,B17012_001M,B17012_001MA,B17012_002E,B17012_002EA,B17012_002M,B17012_002MA,B17012_003E,B17012_003EA,B17012_003M,B17012_003MA,B17012_004E,B17012_004EA,B17012_004M,B17012_004MA,B17012_005E,B17012_005EA,B17012_005M,B17012_005MA,B17012_006E,B17012_006EA,B17012_006M,B17012_006MA,B17012_007E,B17012_007EA,B17012_007M,B17012_007MA,B17012_008E,B17012_008EA,B17012_008M,B17012_008MA,B17012_009E,B17012_009EA,B17012_009M,B17012_009MA,B17012_010E,B17012_010EA,B17012_010M,B17012_010MA,B17012_011E,B17012_011EA,B17012_011M,B17012_011MA,B17012_012E,B17012_012EA,B17012_012M,B17012_012MA,B17012_013E,B17012_013EA,B17012_013M,B17012_013MA,B17012_014E,B17012_014EA,B17012_014M,B17012_014MA,B17012_015E,B17012_015EA,B17012_015M,B17012_015MA,B17012_016E,B17012_016EA,B17012_016M,B17012_016MA,B17012_017E,B17012_017EA,B17012_017M,B17012_017MA,B17012_018E,B17012_018EA,B17012_018M,B17012_018MA,B17012_019E,B17012_019EA,B17012_019M,B17012_019MA,B17012_020E,B17012_020EA,B17012_020M,B17012_020MA,B17012_021E,B17012_021EA,B17012_021M,B17012_021MA,B17012_022E,B17012_022EA,B17012_022M,B17012_022MA,B17012_023E,B17012_023EA,B17012_023M,B17012_023MA,B17012_024E,B17012_024EA,B17012_024M,B17012_024MA,B17012_025E,B17012_025EA,B17012_025M,B17012_025MA,B17012_026E,B17012_026EA,B17012_026M,B17012_026MA,B17012_027E,B17012_027EA,B17012_027M,B17012_027MA,B17012_028E,B17012_028EA,B17012_028M,B17012_028MA,B17012_029E,B17012_029EA,B17012_029M,B17012_029MA,B17012_030E,B17012_030EA,B17012_030M,B17012_030MA,B17012_031E,B17012_031EA,B17012_031M,B17012_031MA,B17012_032E,B17012_032EA,B17012_032M,B17012_032MA,B17012_033E,B17012_033EA,B17012_033M,B17012_033MA,B17012_034E,B17012_034EA,B17012_034M,B17012_034MA,B17012_035E,B17012_035EA,B17012_035M,B17012_035MA,GEO_ID,NAME,state
1245126,null,10267,null,162943,null,6985,null,47410,null,3265,null,19413,null,2048,null,18138,null,1873,null,8513,null,1620,null,1346,null,591,null,115533,null,5973,null,14196,null,2492,null,3794,null,1059,null,8378,null,1862,null,1460,null,830,null,564,null,484,null,101337,null,5260,null,14119,null,2063,null,61943,null,4401,null,22519,null,2766,null,2756,null,826,null,1082183,null,10796,null,844063,null,11532,null,492286,null,8566,null,290934,null,7669,null,57537,null,4119,null,3306,null,953,null,238120,null,7617,null,69330,null,4513,null,33226,null,2848,null,31302,null,2538,null,4490,null,1490,null,312,null,411,null,168790,null,6197,null,69954,null,3930,null,89066,null,4500,null,9559,null,1546,null,211,null,193,null,0400000US01,Alabama,01
162345,null,3643,null,10479,null,1522,null,2763,null,655,null,797,null,331,null,1113,null,547,null,655,null,270,null,198,null,88,null,7716,null,1347,null,1883,null,491,null,232,null,150,null,1322,null,513,null,283,null,143,null,46,null,57,null,5833,null,1275,null,287,null,162,null,3667,null,943,null,1727,null,675,null,152,null,142,null,151866,null,3431,null,119498,null,3693,null,60817,null,2510,null,43193,null,2634,null,13244,null,1515,null,2244,null,692,null,32368,null,2434,null,11556,null,1713,null,4712,null,1088,null,5478,null,1292,null,1320,null,520,null,46,null,43,null,20812,null,1761,null,5826,null,1172,null,12863,null,1542,null,1802,null,587,null,321,null,324,null,0400000US02,Alaska,02
1491772,null,13954,null,151973,null,6630,null,61105,null,4394,null,19326,null,2431,null,21076,null,3065,null,15953,null,2449,null,4750,null,1002,null,90868,null,5411,null,17000,null,2498,null,4115,null,1251,null,8690,null,1715,null,3631,null,1109,null,564,null,435,null,73868,null,4510,null,7367,null,1471,null,39077,null,3254,null,22642,null,2915,null,4782,null,1002,null,1339799,null,14101,null,1053439,null,13199,null,598640,null,8488,null,340443,null,9481,null,103327,null,5050,null,11029,null,1689,null,286360,null,8101,null,95701,null,5924,null,36406,null,3152,null,51795,null,4272,null,6951,null,1387,null,549,null,352,null,190659,null,6341,null,65650,null,3113,null,105028,null,5782,null,18136,null,2572,null,1845,null,716,null,0400000US04,Arizona,04
756113,null,10348,null,103529,null,5709,null,39058,null,3164,null,12867,null,1443,null,15925,null,2170,null,9179,null,1641,null,1087,null,507,null,64471,null,4545,null,8333,null,1515,null,1879,null,866,null,4955,null,1269,null,1393,null,720,null,106,null,122,null,56138,null,4189,null,5280,null,1183,null,35292,null,3249,null,13972,null,2312,null,1594,null,744,null,652584,null,8478,null,531017,null,8564,null,314923,null,6579,null,176912,null,5774,null,37224,null,2760,null,1958,null,671,null,121567,null,5267,null,36544,null,3490,null,15676,null,2370,null,19258,null,2372,null,1411,null,639,null,199,null,160,null,85023,null,4446,null,32628,null,2582,null,45522,null,3553,null,6606,null,1305,null,267,null,357,null,0400000US05,Arkansas,05
8330684,null,27121,null,774183,null,13795,null,324337,null,8008,null,86576,null,4273,null,121932,null,5091,null,97940,null,5158,null,17889,null,2240,null,449846,null,10788,null,75843,null,5463,null,17095,null,2283,null,39668,null,4043,null,16245,null,2363,null,2835,null,869,null,374003,null,9905,null,42665,null,3227,null,217126,null,7638,null,97749,null,6237,null,16463,null,2139,null,7556501,null,27990,null,5741409,null,29582,null,2816691,null,17189,null,2270441,null,21193,null,608285,null,11847,null,45992,null,3917,null,1815092,null,18672,null,625609,null,12139,null,291846,null,9475,null,280122,null,9863,null,48450,null,3789,null,5191,null,1216,null,1189483,null,15516,null,477955,null,10399,null,605456,null,12532,null,98328,null,5735,null,7744,null,1695,null,0400000US06,California,06
1202485,null,10691,null,100762,null,5794,null,42466,null,3763,null,12105,null,1949,null,17613,null,2827,null,10834,null,2164,null,1914,null,863,null,58296,null,4342,null,9708,null,1845,null,1821,null,671,null,6004,null,1478,null,1741,null,726,null,142,null,148,null,48588,null,3847,null,3699,null,942,null,31016,null,3114,null,12376,null,2093,null,1497,null,670,null,1101723,null,9674,null,891960,null,8790,null,486037,null,8207,null,322352,null,7216,null,77134,null,4579,null,6437,null,1301,null,209763,null,7543,null,78093,null,4952,null,29728,null,3088,null,42194,null,3792,null,5939,null,1425,null,232,null,266,null,131670,null,5798,null,45813,null,3668,null,77085,null,4147,null,8503,null,1723,null,269,null,246,null,0400000US08,Colorado,08
885471,null,7409,null,50353,null,3653,null,12002,null,1758,null,5136,null,1186,null,3928,null,1063,null,2453,null,790,null,485,null,344,null,38351,null,3207,null,4965,null,1087,null,1001,null,513,null,3296,null,981,null,609,null,339,null,59,null,100,null,33386,null,2966,null,3243,null,945,null,20364,null,2337,null,8828,null,1567,null,951,null,547,null,835118,null,6915,null,661740,null,8003,null,354668,null,6499,null,250416,null,5466,null,54429,null,3346,null,2227,null,785,null,173378,null,6463,null,46656,null,3822,null,23062,null,3009,null,20925,null,2203,null,2563,null,851,null,106,null,128,null,126722,null,4738,null,51468,null,3104,null,64467,null,3939,null,10539,null,1842,null,248,null,208,null,0400000US09,Connecticut,09
224451,null,4325,null,16916,null,2128,null,4532,null,966,null,1917,null,575,null,1067,null,506,null,1210,null,532,null,338,null,315,null,12384,null,1845,null,1922,null,784,null,694,null,529,null,853,null,418,null,375,null,359,null,0,null,261,null,10462,null,1635,null,1000,null,410,null,6628,null,1306,null,2766,null,925,null,68,null,106,null,207535,null,4750,null,158450,null,5204,null,93355,null,3617,null,53508,null,3456,null,10975,null,1500,null,612,null,319,null,49085,null,3391,null,14286,null,2066,null,6518,null,1323,null,7206,null,1631,null,562,null,372,null,0,null,261,null,34799,null,2648,null,11915,null,1801,null,20634,null,2436,null,2096,null,779,null,154,null,196,null,0400000US10,Delaware,10
108181,null,3697,null,14098,null,2048,null,1841,null,751,null,1228,null,597,null,441,null,287,null,172,null,208,null,0,null,300,null,12257,null,1930,null,701,null,357,null,151,null,145,null,524,null,347,null,26,null,42,null,0,null,300,null,11556,null,1898,null,2457,null,877,null,5869,null,1272,null,3055,null,1010,null,175,null,174,null,94083,null,3637,null,53949,null,2793,null,33719,null,2401,null,16698,null,1892,null,3296,null,964,null,236,null,252,null,40134,null,2974,null,8733,null,1480,null,4962,null,1103,null,3582,null,1077,null,189,null,222,null,0,null,300,null,31401,null,2731,null,11864,null,1593,null,16393,null,1529,null,2921,null,941,null,223,null,254,null,0400000US11,District of Columbia,11
4626215,null,26538,null,397771,null,11413,null,150096,null,5696,null,70847,null,3518,null,51845,null,4784,null,22266,null,2382,null,5138,null,1317,null,247675,null,8906,null,34598,null,3680,null,8706,null,1846,null,20835,null,3051,null,5057,null,1313,null,0,null,303,null,213077,null,8911,null,24763,null,2763,null,130961,null,6659,null,49538,null,4760,null,7815,null,1967,null,4228444,null,24996,null,3264916,null,24612,null,2011711,null,19200,null,1026098,null,13663,null,214078,null,7810,null,13029,null,1868,null,963528,null,16986,null,296716,null,9012,null,141628,null,7221,null,138374,null,6168,null,15376,null,2178,null,1338,null,745,null,666812,null,14215,null,264145,null,7913,null,353046,null,10251,null,46039,null,3646,null,3582,null,1070,null,0400000US12,Florida,12
