B01002C_001E,B01002C_001EA,B01002C_001M,B01002C_001MA,B01002C_002E,B01002C_002EA,B01002C_002M,B01002C_002MA,B01002C_003E,B01002C_003EA,B01002C_003M,B01002C_003MA,GEO_ID,NAME,state
39.7,null,4.8,null,33.3,null,6.8,null,44.2,null,2.9,null,0400000US01,Alabama,01
28.8,null,1.7,null,27.7,null,2.7,null,29.5,null,1.8,null,0400000US02,Alaska,02
27.1,null,0.6,null,25.8,null,0.6,null,28.2,null,0.9,null,0400000US04,Arizona,04
32.8,null,4.0,null,36.0,null,6.2,null,29.6,null,5.8,null,0400000US05,Arkansas,05
37.2,null,1.0,null,35.7,null,1.3,null,38.2,null,0.9,null,0400000US06,California,06
32.7,null,2.1,null,30.9,null,4.4,null,33.4,null,3.0,null,0400000US08,Colorado,08
34.2,null,5.3,null,30.3,null,7.0,null,36.7,null,3.3,null,0400000US09,Connecticut,09
45.3,null,12.1,null,45.8,null,13.7,null,40.8,null,10.4,null,0400000US10,Delaware,10
37.8,null,17.6,null,46.6,null,13.6,null,31.8,null,17.4,null,0400000US11,District of Columbia,11
41.4,null,1.9,null,41.3,null,3.1,null,41.5,null,2.3,null,0400000US12,Florida,12
33.9,null,5.6,null,35.8,null,5.6,null,30.8,null,7.1,null,0400000US13,Georgia,13
44.0,null,14.4,null,33.8,null,18.6,null,45.8,null,7.2,null,0400000US15,Hawaii,15
30.9,null,3.8,null,32.4,null,3.6,null,27.2,null,8.8,null,0400000US16,Idaho,16
38.2,null,3.2,null,38.2,null,3.4,null,37.8,null,6.2,null,0400000US17,Illinois,17
37.4,null,3.4,null,34.0,null,3.0,null,41.3,null,6.1,null,0400000US18,Indiana,18
30.5,null,1.6,null,31.1,null,2.9,null,30.0,null,4.3,null,0400000US19,Iowa,19
32.1,null,3.2,null,29.8,null,2.5,null,34.7,null,4.5,null,0400000US20,Kansas,20
36.1,null,7.0,null,31.5,null,6.8,null,38.6,null,10.0,null,0400000US21,Kentucky,21
37.5,null,3.0,null,33.1,null,10.2,null,38.2,null,2.4,null,0400000US22,Louisiana,22
40.5,null,7.8,null,39.1,null,10.5,null,42.6,null,6.9,null,0400000US23,Maine,23
41.0,null,4.6,null,36.8,null,5.5,null,44.1,null,6.1,null,0400000US24,Maryland,24
40.7,null,4.6,null,35.4,null,12.2,null,41.9,null,3.9,null,0400000US25,Massachusetts,25
34.4,null,1.5,null,34.8,null,1.9,null,34.2,null,2.5,null,0400000US26,Michigan,26
32.5,null,2.4,null,28.4,null,1.7,null,37.7,null,2.9,null,0400000US27,Minnesota,27
35.6,null,6.7,null,36.4,null,11.9,null,35.5,null,6.7,null,0400000US28,Mississippi,28
41.4,null,4.1,null,42.2,null,5.2,null,41.2,null,4.8,null,0400000US29,Missouri,29
25.7,null,0.8,null,24.6,null,1.7,null,27.3,null,1.6,null,0400000US30,Montana,30
26.6,null,1.6,null,23.9,null,4.6,null,34.3,null,8.5,null,0400000US31,Nebraska,31
32.6,null,2.7,null,31.0,null,3.5,null,33.7,null,4.5,null,0400000US32,Nevada,32
33.7,null,16.5,null,32.3,null,13.6,null,34.6,null,24.4,null,0400000US33,New Hampshire,33
35.2,null,7.2,null,31.1,null,4.8,null,41.9,null,6.3,null,0400000US34,New Jersey,34
28.1,null,0.8,null,26.6,null,0.9,null,29.8,null,1.0,null,0400000US35,New Mexico,35
37.9,null,2.9,null,38.4,null,3.3,null,37.7,null,4.0,null,0400000US36,New York,36
33.9,null,2.0,null,32.2,null,1.5,null,36.6,null,3.2,null,0400000US37,North Carolina,37
24.4,null,2.0,null,22.4,null,1.8,null,26.3,null,2.8,null,0400000US38,North Dakota,38
37.3,null,4.9,null,38.1,null,4.2,null,34.7,null,8.2,null,0400000US39,Ohio,39
29.5,null,0.8,null,27.9,null,1.1,null,31.6,null,1.3,null,0400000US40,Oklahoma,40
29.2,null,1.9,null,33.1,null,2.3,null,26.9,null,1.9,null,0400000US41,Oregon,41
35.7,null,5.6,null,35.3,null,6.6,null,35.9,null,6.6,null,0400000US42,Pennsylvania,42
34.6,null,12.5,null,32.2,null,8.4,null,40.4,null,22.4,null,0400000US44,Rhode Island,44
35.3,null,4.8,null,32.4,null,7.9,null,36.5,null,7.5,null,0400000US45,South Carolina,45
23.2,null,0.9,null,22.0,null,1.6,null,24.1,null,1.4,null,0400000US46,South Dakota,46
41.6,null,5.3,null,41.0,null,6.7,null,41.9,null,7.9,null,0400000US47,Tennessee,47
33.6,null,1.9,null,32.8,null,2.0,null,34.8,null,2.0,null,0400000US48,Texas,48
27.8,null,1.7,null,25.4,null,2.6,null,33.1,null,3.0,null,0400000US49,Utah,49
40.9,null,6.6,null,40.5,null,6.5,null,43.6,null,18.0,null,0400000US50,Vermont,50
35.7,null,4.3,null,35.9,null,4.4,null,34.6,null,9.0,null,0400000US51,Virginia,51
32.2,null,2.0,null,29.7,null,2.5,null,34.3,null,2.4,null,0400000US53,Washington,53
42.3,null,9.0,null,47.7,null,9.9,null,38.4,null,11.7,null,0400000US54,West Virginia,54
33.0,null,1.6,null,32.1,null,2.7,null,34.5,null,1.8,null,0400000US55,Wisconsin,55
23.5,null,5.6,null,21.7,null,7.3,null,25.2,null,6.1,null,0400000US56,Wyoming,56
37.8,null,4.9,null,40.2,null,5.8,null,30.9,null,12.9,null,0400000US72,Puerto Rico,72
