C08105G_001E,C08105G_001EA,C08105G_001M,C08105G_001MA,C08105G_002E,C08105G_002EA,C08105G_002M,C08105G_002MA,C08105G_003E,C08105G_003EA,C08105G_003M,C08105G_003MA,C08105G_004E,C08105G_004EA,C08105G_004M,C08105G_004MA,C08105G_005E,C08105G_005EA,C08105G_005M,C08105G_005MA,C08105G_006E,C08105G_006EA,C08105G_006M,C08105G_006MA,GEO_ID,NAME,state
17638,null,2187,null,14637,null,1923,null,1969,null,853,null,32,null,41,null,687,null,415,null,313,null,287,null,0400000US01,Alabama,01
13514,null,1883,null,8347,null,1461,null,1813,null,611,null,442,null,388,null,2141,null,756,null,771,null,554,null,0400000US02,Alaska,02
45983,null,4017,null,33256,null,3313,null,7972,null,1591,null,1372,null,795,null,2495,null,988,null,888,null,611,null,0400000US04,Arizona,04
13360,null,1940,null,10119,null,1541,null,2582,null,841,null,40,null,90,null,318,null,252,null,301,null,238,null,0400000US05,Arkansas,05
412169,null,11771,null,297011,null,8934,null,52079,null,4015,null,20228,null,2574,null,23097,null,2828,null,19754,null,2586,null,0400000US06,California,06
44476,null,4162,null,31988,null,3124,null,5032,null,1165,null,2382,null,1048,null,3369,null,1128,null,1705,null,578,null,0400000US08,Colorado,08
23223,null,2992,null,16113,null,2391,null,3277,null,1289,null,1360,null,623,null,2010,null,893,null,463,null,269,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
4559,null,1316,null,1227,null,558,null,729,null,871,null,1430,null,658,null,1053,null,592,null,120,null,141,null,0400000US11,District of Columbia,11
105536,null,6085,null,79076,null,5260,null,14000,null,2276,null,2974,null,1108,null,6157,null,1241,null,3329,null,946,null,0400000US12,Florida,12
33023,null,3475,null,25610,null,2878,null,3681,null,959,null,593,null,487,null,1605,null,715,null,1534,null,625,null,0400000US13,Georgia,13
118284,null,6721,null,84885,null,5803,null,18879,null,2316,null,4538,null,1161,null,6038,null,1343,null,3944,null,1173,null,0400000US15,Hawaii,15
10360,null,1499,null,7564,null,1236,null,1746,null,706,null,66,null,111,null,548,null,344,null,436,null,295,null,0400000US16,Idaho,16
60979,null,4587,null,42389,null,3816,null,6966,null,1797,null,6148,null,1384,null,4414,null,1332,null,1062,null,432,null,0400000US17,Illinois,17
32356,null,2651,null,24819,null,2449,null,3972,null,906,null,114,null,134,null,2561,null,821,null,890,null,569,null,0400000US18,Indiana,18
11469,null,1617,null,8205,null,1412,null,1987,null,650,null,206,null,243,null,574,null,295,null,497,null,275,null,0400000US19,Iowa,19
23587,null,2338,null,18541,null,2072,null,2959,null,746,null,267,null,283,null,974,null,390,null,846,null,352,null,0400000US20,Kansas,20
13759,null,2068,null,9625,null,1598,null,2528,null,1207,null,348,null,332,null,788,null,464,null,470,null,276,null,0400000US21,Kentucky,21
15188,null,2558,null,11185,null,2006,null,3029,null,1161,null,279,null,295,null,695,null,489,null,0,null,269,null,0400000US22,Louisiana,22
7034,null,1213,null,4741,null,1057,null,1401,null,631,null,138,null,227,null,504,null,368,null,250,null,167,null,0400000US23,Maine,23
39137,null,3657,null,26248,null,2669,null,5675,null,1439,null,3790,null,1256,null,1887,null,769,null,1537,null,544,null,0400000US24,Maryland,24
40675,null,4187,null,25406,null,3024,null,4626,null,1208,null,6397,null,1917,null,3521,null,1215,null,725,null,352,null,0400000US25,Massachusetts,25
54173,null,3386,null,42610,null,2901,null,6126,null,1067,null,1273,null,497,null,2575,null,789,null,1589,null,689,null,0400000US26,Michigan,26
28895,null,3184,null,19621,null,2459,null,4059,null,1117,null,1668,null,695,null,2208,null,866,null,1339,null,625,null,0400000US27,Minnesota,27
7083,null,1816,null,5686,null,1625,null,739,null,521,null,0,null,289,null,658,null,531,null,0,null,289,null,0400000US28,Mississippi,28
33202,null,2959,null,24455,null,2636,null,5740,null,1283,null,468,null,262,null,1710,null,608,null,829,null,381,null,0400000US29,Missouri,29
