C24010F_001E,C24010F_001EA,C24010F_001M,C24010F_001MA,C24010F_002E,C24010F_002EA,C24010F_002M,C24010F_002MA,C24010F_003E,C24010F_003EA,C24010F_003M,C24010F_003MA,C24010F_004E,C24010F_004EA,C24010F_004M,C24010F_004MA,C24010F_005E,C24010F_005EA,C24010F_005M,C24010F_005MA,C24010F_006E,C24010F_006EA,C24010F_006M,C24010F_006MA,C24010F_007E,C24010F_007EA,C24010F_007M,C24010F_007MA,C24010F_008E,C24010F_008EA,C24010F_008M,C24010F_008MA,C24010F_009E,C24010F_009EA,C24010F_009M,C24010F_009MA,C24010F_010E,C24010F_010EA,C24010F_010M,C24010F_010MA,C24010F_011E,C24010F_011EA,C24010F_011M,C24010F_011MA,C24010F_012E,C24010F_012EA,C24010F_012M,C24010F_012MA,C24010F_013E,C24010F_013EA,C24010F_013M,C24010F_013MA,C24010F_014E,C24010F_014EA,C24010F_014M,C24010F_014MA,C24010F_015E,C24010F_015EA,C24010F_015M,C24010F_015MA,GEO_ID,NAME,state
16385,null,2145,null,12246,null,1847,null,1141,null,566,null,1518,null,672,null,404,null,260,null,1296,null,304,null,4794,null,1244,null,3093,null,864,null,4139,null,958,null,1140,null,520,null,916,null,484,null,646,null,352,null,32,null,55,null,144,null,180,null,1261,null,518,null,0400000US01,Alabama,01
7206,null,1596,null,4398,null,1134,null,384,null,265,null,1074,null,607,null,427,null,386,null,10,null,19,null,618,null,535,null,1885,null,761,null,2808,null,829,null,220,null,215,null,1393,null,627,null,981,null,533,null,0,null,237,null,0,null,237,null,214,null,251,null,0400000US02,Alaska,02
297068,null,10996,null,181308,null,7944,null,21283,null,2330,null,40342,null,4267,null,21748,null,2653,null,4027,null,1195,null,60229,null,6191,null,33679,null,3977,null,115760,null,5727,null,25017,null,2235,null,37565,null,3862,null,42396,null,3569,null,431,null,264,null,1435,null,717,null,8916,null,1878,null,0400000US04,Arizona,04
23723,null,2487,null,15384,null,1836,null,1109,null,575,null,2336,null,850,null,1165,null,518,null,531,null,371,null,5633,null,1208,null,4610,null,1402,null,8339,null,1428,null,1041,null,566,null,2331,null,817,null,1782,null,716,null,0,null,267,null,62,null,92,null,3123,null,1013,null,0400000US05,Arkansas,05
2699167,null,34467,null,1618410,null,21053,null,192702,null,8001,null,336785,null,13436,null,257391,null,8432,null,58907,null,5545,null,377032,null,11758,null,395593,null,12937,null,1080757,null,19001,null,225679,null,7992,null,324749,null,9725,null,379426,null,11501,null,20595,null,2733,null,7363,null,1898,null,122945,null,6715,null,0400000US06,California,06
138003,null,7529,null,80680,null,4967,null,11701,null,1985,null,17015,null,2531,null,8114,null,1478,null,1676,null,790,null,22369,null,2884,null,19805,null,2521,null,57323,null,3906,null,12777,null,1706,null,18895,null,2458,null,18793,null,2184,null,329,null,254,null,851,null,486,null,5678,null,1283,null,0400000US08,Colorado,08
89862,null,6525,null,50019,null,4620,null,5140,null,1346,null,15370,null,2715,null,6795,null,1606,null,591,null,599,null,11874,null,2740,null,10249,null,1620,null,39843,null,3982,null,7987,null,1819,null,14947,null,2677,null,11474,null,1907,null,179,null,233,null,57,null,98,null,5199,null,1192,null,0400000US09,Connecticut,09
7311,null,1014,null,5291,null,856,null,555,null,343,null,1645,null,763,null,419,null,299,null,26,null,48,null,1611,null,659,null,1035,null,586,null,2020,null,460,null,457,null,338,null,454,null,320,null,334,null,201,null,320,null,292,null,0,null,261,null,455,null,339,null,0400000US10,Delaware,10
14840,null,2225,null,8466,null,1582,null,1305,null,696,null,1740,null,899,null,690,null,472,null,0,null,300,null,3079,null,1459,null,1652,null,1098,null,6374,null,1301,null,1253,null,642,null,2793,null,929,null,1567,null,660,null,0,null,300,null,480,null,439,null,281,null,438,null,0400000US11,District of Columbia,11
364133,null,13295,null,220170,null,9813,null,27267,null,3002,null,39416,null,3610,null,35051,null,3277,null,10567,null,2702,null,77439,null,6485,null,30430,null,3437,null,143963,null,7129,null,31290,null,2953,null,41765,null,4182,null,54478,null,4016,null,3092,null,952,null,1843,null,743,null,11495,null,2115,null,0400000US12,Florida,12
