B19001I_001E,B19001I_001EA,B19001I_001M,B19001I_001MA,B19001I_002E,B19001I_002EA,B19001I_002M,B19001I_002MA,B19001I_003E,B19001I_003EA,B19001I_003M,B19001I_003MA,B19001I_004E,B19001I_004EA,B19001I_004M,B19001I_004MA,B19001I_005E,B19001I_005EA,B19001I_005M,B19001I_005MA,B19001I_006E,B19001I_006EA,B19001I_006M,B19001I_006MA,B19001I_007E,B19001I_007EA,B19001I_007M,B19001I_007MA,B19001I_008E,B19001I_008EA,B19001I_008M,B19001I_008MA,B19001I_009E,B19001I_009EA,B19001I_009M,B19001I_009MA,B19001I_010E,B19001I_010EA,B19001I_010M,B19001I_010MA,B19001I_011E,B19001I_011EA,B19001I_011M,B19001I_011MA,B19001I_012E,B19001I_012EA,B19001I_012M,B19001I_012MA,B19001I_013E,B19001I_013EA,B19001I_013M,B19001I_013MA,B19001I_014E,B19001I_014EA,B19001I_014M,B19001I_014MA,B19001I_015E,B19001I_015EA,B19001I_015M,B19001I_015MA,B19001I_016E,B19001I_016EA,B19001I_016M,B19001I_016MA,B19001I_017E,B19001I_017EA,B19001I_017M,B19001I_017MA,GEO_ID,NAME,state
32013,null,1696,null,2575,null,983,null,2172,null,916,null,3249,null,923,null,2831,null,1099,null,2244,null,771,null,2074,null,642,null,2142,null,844,null,1922,null,615,null,1412,null,621,null,3266,null,1039,null,4196,null,971,null,2442,null,794,null,1034,null,485,null,270,null,243,null,74,null,100,null,110,null,117,null,0400000US19,Iowa,19
67667,null,2612,null,5944,null,1196,null,4119,null,1101,null,6916,null,1561,null,7445,null,1474,null,5742,null,1230,null,4760,null,1197,null,4555,null,994,null,3322,null,931,null,3631,null,873,null,6327,null,1060,null,5903,null,982,null,5516,null,1127,null,2352,null,884,null,320,null,238,null,338,null,229,null,477,null,279,null,0400000US20,Kansas,20
23261,null,1731,null,2148,null,825,null,1593,null,720,null,2283,null,990,null,1352,null,511,null,2391,null,858,null,1197,null,458,null,1715,null,718,null,1658,null,594,null,800,null,440,null,1052,null,463,null,1877,null,708,null,2811,null,945,null,935,null,519,null,396,null,343,null,548,null,306,null,505,null,362,null,0400000US21,Kentucky,21
40835,null,2482,null,3461,null,906,null,2700,null,938,null,2953,null,1000,null,3208,null,998,null,3160,null,1119,null,3589,null,1006,null,2923,null,842,null,2274,null,855,null,1443,null,523,null,2584,null,751,null,4103,null,1072,null,3994,null,1080,null,2145,null,732,null,927,null,472,null,719,null,325,null,652,null,322,null,0400000US22,Louisiana,22
4276,null,805,null,921,null,668,null,175,null,144,null,356,null,321,null,328,null,247,null,35,null,58,null,715,null,483,null,289,null,189,null,369,null,284,null,50,null,63,null,116,null,133,null,138,null,115,null,532,null,292,null,131,null,139,null,93,null,96,null,20,null,33,null,8,null,16,null,0400000US23,Maine,23
92675,null,3638,null,3339,null,996,null,2186,null,783,null,2621,null,874,null,3809,null,978,null,3678,null,979,null,4429,null,1248,null,5639,null,1228,null,4823,null,1268,null,4049,null,1053,null,10793,null,1772,null,12869,null,1884,null,14370,null,1941,null,8847,null,1519,null,2975,null,906,null,4962,null,1134,null,3286,null,830,null,0400000US24,Maryland,24
160138,null,4548,null,28818,null,2540,null,14458,null,2371,null,12249,null,2035,null,12256,null,1754,null,10953,null,1973,null,7963,null,1661,null,6914,null,1615,null,7217,null,1456,null,5820,null,1351,null,9625,null,1924,null,12831,null,2005,null,15122,null,2036,null,7679,null,1769,null,2912,null,826,null,2707,null,919,null,2614,null,816,null,0400000US25,Massachusetts,25
110194,null,3369,null,9605,null,1745,null,8344,null,1467,null,9364,null,1525,null,8257,null,1577,null,9078,null,1784,null,8601,null,1505,null,5878,null,1207,null,5609,null,1139,null,4342,null,1017,null,9158,null,1806,null,9357,null,1707,null,11997,null,1556,null,4172,null,981,null,2838,null,798,null,2071,null,626,null,1523,null,560,null,0400000US26,Michigan,26
56672,null,2635,null,4244,null,1112,null,3458,null,1127,null,4533,null,1330,null,5524,null,1398,null,3737,null,1091,null,3793,null,1051,null,3359,null,992,null,3788,null,930,null,2386,null,761,null,4566,null,1021,null,6558,null,1245,null,5528,null,1149,null,2926,null,806,null,893,null,407,null,712,null,382,null,667,null,364,null,0400000US27,Minnesota,27
14499,null,1605,null,1279,null,717,null,1944,null,1137,null,716,null,474,null,1235,null,609,null,1535,null,638,null,454,null,341,null,955,null,560,null,440,null,281,null,1152,null,453,null,942,null,499,null,1226,null,659,null,1385,null,678,null,706,null,350,null,45,null,61,null,450,null,342,null,35,null,69,null,0400000US28,Mississippi,28
