C23002H_001E,C23002H_001EA,C23002H_001M,C23002H_001MA,C23002H_002E,C23002H_002EA,C23002H_002M,C23002H_002MA,C23002H_003E,C23002H_003EA,C23002H_003M,C23002H_003MA,C23002H_004E,C23002H_004EA,C23002H_004M,C23002H_004MA,C23002H_005E,C23002H_005EA,C23002H_005M,C23002H_005MA,C23002H_006E,C23002H_006EA,C23002H_006M,C23002H_006MA,C23002H_007E,C23002H_007EA,C23002H_007M,C23002H_007MA,C23002H_008E,C23002H_008EA,C23002H_008M,C23002H_008MA,C23002H_009E,C23002H_009EA,C23002H_009M,C23002H_009MA,C23002H_010E,C23002H_010EA,C23002H_010M,C23002H_010MA,C23002H_011E,C23002H_011EA,C23002H_011M,C23002H_011MA,C23002H_012E,C23002H_012EA,C23002H_012M,C23002H_012MA,C23002H_013E,C23002H_013EA,C23002H_013M,C23002H_013MA,C23002H_014E,C23002H_014EA,C23002H_014M,C23002H_014MA,C23002H_015E,C23002H_015EA,C23002H_015M,C23002H_015MA,C23002H_016E,C23002H_016EA,C23002H_016M,C23002H_016MA,C23002H_017E,C23002H_017EA,C23002H_017M,C23002H_017MA,C23002H_018E,C23002H_018EA,C23002H_018M,C23002H_018MA,C23002H_019E,C23002H_019EA,C23002H_019M,C23002H_019MA,C23002H_020E,C23002H_020EA,C23002H_020M,C23002H_020MA,C23002H_021E,C23002H_021EA,C23002H_021M,C23002H_021MA,C23002H_022E,C23002H_022EA,C23002H_022M,C23002H_022MA,C23002H_023E,C23002H_023EA,C23002H_023M,C23002H_023MA,C23002H_024E,C23002H_024EA,C23002H_024M,C23002H_024MA,C23002H_025E,C23002H_025EA,C23002H_025M,C23002H_025MA,C23002H_026E,C23002H_026EA,C23002H_026M,C23002H_026MA,C23002H_027E,C23002H_027EA,C23002H_027M,C23002H_027MA,GEO_ID,NAME,state
2566763,null,3960,null,1239627,null,3074,null,1030880,null,3054,null,818840,null,6310,null,8825,null,1285,null,810015,null,6382,null,771632,null,6397,null,38383,null,3133,null,212040,null,5961,null,208747,null,659,null,39641,null,2231,null,38803,null,2123,null,838,null,348,null,169106,null,2409,null,1327136,null,2329,null,1037595,null,2145,null,658324,null,8219,null,907,null,459,null,657417,null,8212,null,621677,null,8937,null,35740,null,2890,null,379271,null,7977,null,289541,null,705,null,27867,null,2217,null,27245,null,2197,null,622,null,260,null,261674,null,2407,null,0400000US01,Alabama,01
361726,null,927,null,191086,null,626,null,174162,null,650,null,147010,null,2066,null,11843,null,1381,null,135167,null,2274,null,127895,null,2562,null,7272,null,1286,null,27152,null,2093,null,16924,null,129,null,4692,null,838,null,4071,null,703,null,621,null,469,null,12232,null,839,null,170640,null,750,null,152785,null,775,null,110756,null,2202,null,870,null,354,null,109886,null,2200,null,103578,null,2344,null,6308,null,1274,null,42029,null,2091,null,17855,null,312,null,2468,null,715,null,2343,null,717,null,125,null,164,null,15387,null,745,null,0400000US02,Alaska,02
3084673,null,3434,null,1507795,null,2645,null,1199547,null,2582,null,959120,null,7244,null,12656,null,1764,null,946464,null,7293,null,897040,null,7896,null,49424,null,4401,null,240427,null,6972,null,308248,null,372,null,51737,null,3122,null,49750,null,3188,null,1987,null,564,null,256511,null,3109,null,1576878,null,2079,null,1202234,null,2015,null,828486,null,9350,null,1803,null,665,null,826683,null,9304,null,792135,null,8794,null,34548,null,2770,null,373748,null,9384,null,374644,null,498,null,40776,null,2677,null,39246,null,2605,null,1530,null,711,null,333868,null,2638,null,0400000US04,Arizona,04
1735375,null,2316,null,839644,null,1883,null,690022,null,1867,null,536613,null,5388,null,2968,null,744,null,533645,null,5382,null,502088,null,5580,null,31557,null,3368,null,153409,null,5384,null,149622,null,144,null,26333,null,2034,null,25404,null,2118,null,929,null,539,null,123289,null,2011,null,895731,null,1831,null,696909,null,1865,null,464862,null,6351,null,757,null,461,null,464105,null,6401,null,437363,null,6132,null,26742,null,2839,null,232047,null,6853,null,198822,null,256,null,19651,null,1762,null,18770,null,1720,null,881,null,471,null,179171,null,1779,null,0400000US05,Arkansas,05
13046095,null,7760,null,6425175,null,5561,null,5329559,null,5590,null,4273643,null,13761,null,77575,null,4353,null,4196068,null,13260,null,3949605,null,13454,null,246463,null,9023,null,1055916,null,13436,null,1095616,null,676,null,233512,null,5930,null,225212,null,5860,null,8300,null,1254,null,862104,null,5916,null,6620920,null,5689,null,5167518,null,5484,null,3578143,null,19509,null,7655,null,1315,null,3570488,null,19532,null,3380735,null,20483,null,189753,null,7246,null,1589375,null,19592,null,1453402,null,1247,null,169791,null,5727,null,164355,null,5569,null,5436,null,1138,null,1283611,null,5712,null,0400000US06,California,06
2826557,null,2773,null,1400303,null,1892,null,1219379,null,1885,null,1030330,null,6501,null,16492,null,1773,null,1013838,null,6450,null,965527,null,7190,null,48311,null,3822,null,189049,null,6428,null,180924,null,176,null,44004,null,2417,null,42954,null,2420,null,1050,null,432,null,136920,null,2436,null,1426254,null,2171,null,1190323,null,2188,null,885056,null,8152,null,3089,null,812,null,881967,null,8101,null,835670,null,8463,null,46297,null,3562,null,305267,null,7500,null,235931,null,159,null,28372,null,2091,null,27807,null,2069,null,565,null,289,null,207559,null,2086,null,0400000US08,Colorado,08
2125650,null,3379,null,1019073,null,2227,null,847389,null,2202,null,713660,null,4412,null,5305,null,934,null,708355,null,4431,null,674142,null,4722,null,34213,null,2803,null,133729,null,4565,null,171684,null,147,null,37923,null,1940,null,36723,null,1934,null,1200,null,400,null,133761,null,1960,null,1106577,null,2151,null,861095,null,2140,null,644131,null,5636,null,910,null,480,null,643221,null,5568,null,613925,null,5332,null,29296,null,2473,null,216964,null,5592,null,245482,null,220,null,31020,null,2221,null,29847,null,2274,null,1173,null,516,null,214462,null,2237,null,0400000US09,Connecticut,09
488018,null,1018,null,233484,null,765,null,190699,null,765,null,156137,null,2748,null,1106,null,465,null,155031,null,2695,null,147343,null,2753,null,7688,null,1419,null,34562,null,2575,null,42785,null,261,null,9050,null,1230,null,8639,null,1182,null,411,null,244,null,33735,null,1230,null,254534,null,671,null,198662,null,671,null,143454,null,3262,null,182,null,182,null,143272,null,3250,null,136772,null,3404,null,6500,null,1115,null,55208,null,3320,null,55872,null,261,null,6201,null,890,null,5910,null,852,null,291,null,239,null,49671,null,890,null,0400000US10,Delaware,10
170244,null,625,null,84736,null,528,null,75276,null,528,null,64869,null,1414,null,3197,null,1248,null,61672,null,1488,null,60269,null,1552,null,1403,null,520,null,10407,null,1513,null,9460,null,300,null,4122,null,718,null,3993,null,744,null,129,null,151,null,5338,null,718,null,85508,null,406,null,74614,null,406,null,60554,null,1584,null,949,null,898,null,59605,null,1774,null,58641,null,1841,null,964,null,476,null,14060,null,1557,null,10894,null,300,null,2392,null,708,null,2392,null,708,null,0,null,300,null,8502,null,708,null,0400000US11,District of Columbia,11
9288503,null,8114,null,4502344,null,6490,null,3418194,null,5704,null,2718977,null,13362,null,33485,null,2374,null,2685492,null,13331,null,2539948,null,14516,null,145544,null,5286,null,699217,null,12065,null,1084150,null,1773,null,179414,null,4565,null,170563,null,4683,null,8851,null,1438,null,904736,null,4738,null,4786159,null,5591,null,3438661,null,5478,null,2390306,null,15494,null,4597,null,934,null,2385709,null,15397,null,2257637,null,15229,null,128072,null,5936,null,1048355,null,13604,null,1347498,null,2106,null,134966,null,5008,null,130691,null,4992,null,4275,null,1015,null,1212532,null,5425,null,0400000US12,Florida,12
