B25096_001E,B25096_001EA,B25096_001M,B25096_001MA,B25096_002E,B25096_002EA,B25096_002M,B25096_002MA,B25096_003E,B25096_003EA,B25096_003M,B25096_003MA,B25096_004E,B25096_004EA,B25096_004M,B25096_004MA,B25096_005E,B25096_005EA,B25096_005M,B25096_005MA,B25096_006E,B25096_006EA,B25096_006M,B25096_006MA,B25096_007E,B25096_007EA,B25096_007M,B25096_007MA,B25096_008E,B25096_008EA,B25096_008M,B25096_008MA,B25096_009E,B25096_009EA,B25096_009M,B25096_009MA,B25096_010E,B25096_010EA,B25096_010M,B25096_010MA,B25096_011E,B25096_011EA,B25096_011M,B25096_011MA,B25096_012E,B25096_012EA,B25096_012M,B25096_012MA,B25096_013E,B25096_013EA,B25096_013M,B25096_013MA,B25096_014E,B25096_014EA,B25096_014M,B25096_014MA,B25096_015E,B25096_015EA,B25096_015M,B25096_015MA,B25096_016E,B25096_016EA,B25096_016M,B25096_016MA,B25096_017E,B25096_017EA,B25096_017M,B25096_017MA,GEO_ID,NAME,state
1287825,null,11794,null,783099,null,11189,null,78942,null,4232,null,206663,null,7323,null,177420,null,5651,null,120737,null,4038,null,106353,null,4417,null,68612,null,4007,null,24372,null,2160,null,504726,null,7302,null,125929,null,5123,null,146196,null,5289,null,89973,null,4131,null,54620,null,2844,null,47406,null,3033,null,26261,null,2330,null,14341,null,1738,null,0400000US01,Alabama,01
149018,null,3290,null,106434,null,3482,null,1953,null,673,null,4805,null,897,null,9670,null,1173,null,18622,null,1718,null,35569,null,2439,null,29125,null,2471,null,6690,null,1029,null,42584,null,2470,null,7082,null,988,null,4853,null,844,null,5520,null,863,null,5468,null,927,null,9370,null,1135,null,7533,null,1023,null,2758,null,794,null,0400000US02,Alaska,02
1533145,null,12918,null,1088152,null,14480,null,22490,null,2472,null,43986,null,3403,null,94539,null,5411,null,148140,null,5699,null,343623,null,9041,null,273237,null,6982,null,162137,null,5169,null,444993,null,8776,null,85043,null,3662,null,53575,null,2932,null,55049,null,3394,null,58795,null,3526,null,82536,null,4276,null,66086,null,3119,null,43909,null,3152,null,0400000US04,Arizona,04
746839,null,10273,null,444022,null,9086,null,62422,null,3709,null,135921,null,5051,null,99240,null,4845,null,62149,null,3731,null,47325,null,3209,null,26798,null,2516,null,10167,null,1627,null,302817,null,6609,null,81652,null,3525,null,90087,null,3895,null,53192,null,3425,null,33161,null,2662,null,26376,null,2213,null,11878,null,1381,null,6471,null,1202,null,0400000US05,Arkansas,05
7076972,null,24937,null,5381874,null,22097,null,43429,null,3125,null,75607,null,3671,null,62290,null,3217,null,110413,null,4850,null,448901,null,11218,null,1600525,null,17070,null,3040709,null,17462,null,1695098,null,14541,null,121138,null,5233,null,102140,null,3957,null,68429,null,3700,null,79769,null,3669,null,165723,null,5632,null,390588,null,8970,null,767311,null,10053,null,0400000US06,California,06
1280207,null,11127,null,982672,null,12272,null,19298,null,2269,null,35069,null,2796,null,93089,null,4158,null,185443,null,5775,null,305628,null,8391,null,226469,null,6911,null,117676,null,4081,null,297535,null,7908,null,30393,null,2559,null,23249,null,1824,null,32075,null,2355,null,54121,null,2943,null,69527,null,3971,null,54565,null,3326,null,33605,null,2167,null,0400000US08,Colorado,08
924839,null,7954,null,664729,null,8049,null,2430,null,718,null,9424,null,1194,null,34651,null,2848,null,79079,null,4161,null,179760,null,5347,null,216587,null,6072,null,142798,null,4075,null,260110,null,5917,null,5897,null,1089,null,8675,null,1271,null,20235,null,1771,null,35367,null,2674,null,69749,null,3431,null,72268,null,3639,null,47919,null,2866,null,0400000US09,Connecticut,09
238141,null,4151,null,169331,null,3858,null,4219,null,1080,null,5050,null,899,null,12519,null,1417,null,29830,null,2619,null,53425,null,3111,null,47515,null,2581,null,16773,null,1415,null,68810,null,2781,null,9083,null,1186,null,5649,null,848,null,7028,null,848,null,10787,null,1371,null,15430,null,1761,null,14265,null,1400,null,6568,null,849,null,0400000US10,Delaware,10
111813,null,2883,null,85774,null,3207,null,123,null,113,null,767,null,434,null,2670,null,715,null,3557,null,808,null,10893,null,1371,null,29813,null,2361,null,37951,null,2405,null,26039,null,2124,null,157,null,122,null,413,null,242,null,977,null,380,null,1567,null,535,null,4657,null,903,null,8352,null,1297,null,9916,null,1209,null,0400000US11,District of Columbia,11
5005708,null,26411,null,3288932,null,22623,null,63325,null,4450,null,178331,null,6712,null,350556,null,10038,null,523301,null,11854,null,901982,null,14680,null,835626,null,11840,null,435811,null,8849,null,1716776,null,17430,null,202653,null,7606,null,241952,null,8306,null,231061,null,6830,null,244254,null,7005,null,313815,null,7959,null,288853,null,8173,null,194188,null,6198,null,0400000US12,Florida,12
2341965,null,17528,null,1700521,null,16385,null,67571,null,3542,null,208006,null,7054,null,374395,null,9418,null,365721,null,9385,null,331858,null,8847,null,235491,null,6242,null,117479,null,5080,null,641444,null,11434,null,107454,null,5513,null,139857,null,6666,null,119262,null,4249,null,91308,null,4886,null,86364,null,3998,null,58742,null,3810,null,38457,null,2771,null,0400000US13,Georgia,13
261918,null,5659,null,176777,null,6053,null,682,null,279,null,1578,null,407,null,2238,null,625,null,5024,null,937,null,19465,null,2204,null,42913,null,3106,null,104877,null,4863,null,85141,null,4174,null,1374,null,557,null,2616,null,781,null,2459,null,600,null,4073,null,959,null,7588,null,1145,null,21928,null,2254,null,45103,null,2940,null,0400000US15,Hawaii,15
403904,null,6149,null,282602,null,5636,null,7139,null,1398,null,28289,null,1784,null,55203,null,2842,null,62240,null,3151,null,63277,null,3466,null,46481,null,2769,null,19973,null,1858,null,121302,null,4240,null,17388,null,1763,null,18854,null,1738,null,23132,null,1989,null,19393,null,1713,null,19929,null,1951,null,13146,null,1476,null,9460,null,1349,null,0400000US16,Idaho,16
3334539,null,17121,null,2338188,null,16793,null,81652,null,4498,null,266563,null,6635,null,307424,null,8113,null,351347,null,9365,null,533247,null,8951,null,541750,null,8853,null,256205,null,7124,null,996351,null,9522,null,117243,null,4582,null,181664,null,4483,null,154124,null,4871,null,127415,null,4776,null,174109,null,5727,null,162102,null,4958,null,79694,null,4126,null,0400000US17,Illinois,17
1763734,null,13721,null,1254080,null,11859,null,65329,null,3474,null,337774,null,9009,null,376970,null,8319,null,216205,null,6630,null,156878,null,5308,null,75710,null,2872,null,25214,null,2242,null,509654,null,7208,null,81468,null,3751,null,154826,null,4663,null,123374,null,3774,null,71255,null,3212,null,45796,null,2678,null,22320,null,2204,null,10615,null,1451,null,0400000US18,Indiana,18
