B17002_001E,B17002_001EA,B17002_001M,B17002_001MA,B17002_002E,B17002_002EA,B17002_002M,B17002_002MA,B17002_003E,B17002_003EA,B17002_003M,B17002_003MA,B17002_004E,B17002_004EA,B17002_004M,B17002_004MA,B17002_005E,B17002_005EA,B17002_005M,B17002_005MA,B17002_006E,B17002_006EA,B17002_006M,B17002_006MA,B17002_007E,B17002_007EA,B17002_007M,B17002_007MA,B17002_008E,B17002_008EA,B17002_008M,B17002_008MA,B17002_009E,B17002_009EA,B17002_009M,B17002_009MA,B17002_010E,B17002_010EA,B17002_010M,B17002_010MA,B17002_011E,B17002_011EA,B17002_011M,B17002_011MA,B17002_012E,B17002_012EA,B17002_012M,B17002_012MA,B17002_013E,B17002_013EA,B17002_013M,B17002_013MA,GEO_ID,NAME,state
4506549,null,3723,null,309808,null,13845,null,211670,null,12675,null,238357,null,14324,null,231364,null,12883,null,239636,null,12191,null,224381,null,13330,null,85485,null,7560,null,133352,null,10483,null,816256,null,22491,null,635171,null,19080,null,452287,null,15537,null,928782,null,19282,null,0400000US01,Alabama,01
666618,null,1056,null,24791,null,3153,null,16987,null,3248,null,17847,null,2986,null,28990,null,4019,null,22121,null,3038,null,22493,null,3724,null,9358,null,2080,null,17258,null,4132,null,108762,null,8537,null,88113,null,7416,null,83884,null,7167,null,226014,null,8849,null,0400000US02,Alaska,02
6225486,null,3631,null,412456,null,21711,null,208367,null,16901,null,260434,null,18276,null,298458,null,19969,null,295377,null,15000,null,301031,null,17736,null,113329,null,12341,null,200565,null,16208,null,1115311,null,32349,null,862997,null,22981,null,664552,null,20688,null,1492609,null,30183,null,0400000US04,Arizona,04
2753919,null,2217,null,178837,null,10404,null,146445,null,9973,null,166770,null,11909,null,155333,null,9830,null,161815,null,10899,null,148432,null,11444,null,63580,null,7067,null,97118,null,8107,null,510884,null,18753,null,372941,null,17531,null,264778,null,13228,null,486986,null,14875,null,0400000US05,Arkansas,05
35768016,null,9033,null,1832085,null,39874,null,1120113,null,32657,null,1480816,null,41651,null,1750740,null,41131,null,1736282,null,45871,null,1613111,null,47374,null,662069,null,27889,null,1001751,null,29999,null,5739443,null,82238,null,4469291,null,62320,null,3496322,null,57388,null,10865993,null,72123,null,0400000US06,California,06
4756244,null,3068,null,260770,null,14962,null,137907,null,12420,null,170709,null,12952,null,177423,null,12513,null,177542,null,13866,null,173072,null,13863,null,73560,null,8292,null,128759,null,9993,null,746657,null,21903,null,707190,null,21361,null,534030,null,16545,null,1468625,null,23666,null,0400000US08,Colorado,08
3387524,null,2001,null,120283,null,8983,null,72627,null,7031,null,75970,null,7315,null,92465,null,9342,null,88925,null,9554,null,101686,null,9106,null,38264,null,5590,null,75258,null,8668,null,454735,null,16418,null,445429,null,18941,null,430792,null,15335,null,1391090,null,21657,null,0400000US09,Connecticut,09
838497,null,1393,null,43369,null,5220,null,21083,null,4214,null,23504,null,3543,null,32218,null,4889,null,31948,null,4827,null,32725,null,6227,null,14954,null,3650,null,20509,null,4334,null,125189,null,9810,null,126942,null,8053,null,98221,null,8350,null,267835,null,11628,null,0400000US10,Delaware,10
559557,null,297,null,47350,null,5994,null,21960,null,4410,null,22624,null,4047,null,23566,null,5356,null,22495,null,4965,null,16514,null,3695,null,7087,null,2241,null,17895,null,3789,null,60457,null,6737,null,67286,null,6143,null,47051,null,4957,null,205272,null,7376,null,0400000US11,District of Columbia,11
17846751,null,5850,null,896004,null,26181,null,550332,null,22561,null,712496,null,24684,null,829501,null,30029,null,855319,null,27967,null,858682,null,27562,null,341298,null,21797,null,551837,null,23962,null,3242405,null,45632,null,2629761,null,44316,null,1898068,null,36166,null,4481048,null,44611,null,0400000US12,Florida,12
9286158,null,4457,null,590462,null,23194,null,335179,null,18505,null,398187,null,20148,null,422635,null,19851,null,454952,null,24756,null,419406,null,20522,null,169831,null,12687,null,274175,null,17475,null,1603777,null,34937,null,1313058,null,33960,null,968807,null,28912,null,2335689,null,32773,null,0400000US13,Georgia,13
1254854,null,925,null,47256,null,5354,null,25976,null,3731,null,26819,null,4051,null,32278,null,4511,null,39667,null,7009,null,47461,null,7012,null,19406,null,3985,null,41216,null,6673,null,210398,null,15156,null,200655,null,13336,null,167193,null,11031,null,396529,null,14947,null,0400000US15,Hawaii,15
1464460,null,1774,null,68365,null,6979,null,46649,null,5293,null,62792,null,7023,null,73080,null,6448,null,83900,null,9179,null,71761,null,6838,null,37467,null,5343,null,44653,null,4910,null,302709,null,12886,null,228570,null,11451,null,151288,null,10378,null,293226,null,11576,null,0400000US16,Idaho,16
12541198,null,3976,null,667578,null,23807,null,383814,null,20732,null,444856,null,20248,null,482216,null,20611,null,496135,null,24789,null,500393,null,21405,null,202826,null,13719,null,347692,null,17317,null,2060245,null,45676,null,1816496,null,37824,null,1445493,null,23883,null,3693454,null,36375,null,0400000US17,Illinois,17
6145040,null,3956,null,358419,null,15965,null,188543,null,13174,null,210851,null,11695,null,252010,null,15427,null,249998,null,12238,null,269641,null,14008,null,108377,null,8236,null,182207,null,10822,null,1178889,null,24024,null,1032439,null,24944,null,714500,null,20856,null,1399166,null,24461,null,0400000US18,Indiana,18
2881760,null,2589,null,134588,null,9386,null,81297,null,6817,null,102061,null,7826,null,105339,null,8361,null,119212,null,9287,null,136402,null,9080,null,51510,null,4383,null,86566,null,6660,null,566780,null,13216,null,485379,null,14350,null,348753,null,10248,null,663873,null,17873,null,0400000US19,Iowa,19
2688942,null,2418,null,128518,null,8140,null,73117,null,6292,null,98575,null,8332,null,108951,null,7943,null,132957,null,8748,null,127345,null,9312,null,49884,null,5793,null,82359,null,7609,null,489284,null,16515,null,418698,null,15015,null,315432,null,11900,null,663822,null,17433,null,0400000US20,Kansas,20
4120513,null,2618,null,293773,null,14371,null,203529,null,13030,null,216778,null,12200,null,194476,null,10267,null,230531,null,13842,null,197431,null,11875,null,76064,null,6966,null,129696,null,10440,null,741364,null,24488,null,578608,null,17171,null,437103,null,16233,null,821160,null,17771,null,0400000US21,Kentucky,21
4166756,null,3018,null,325579,null,14731,null,218229,null,13851,null,231617,null,14533,null,226721,null,14315,null,209917,null,11890,null,205240,null,10362,null,83064,null,9528,null,123797,null,10544,null,690076,null,20265,null,561339,null,20276,null,402860,null,17246,null,888317,null,19767,null,0400000US22,Louisiana,22
1281433,null,1348,null,58343,null,5332,null,40183,null,4066,null,55698,null,5829,null,55754,null,5416,null,52811,null,4592,null,59921,null,5630,null,27544,null,4344,null,44898,null,4994,null,243382,null,10331,null,204315,null,10581,null,151187,null,7100,null,287397,null,9145,null,0400000US23,Maine,23
5477839,null,2249,null,210426,null,11956,null,111049,null,11773,null,132224,null,13376,null,149532,null,10558,null,148582,null,10690,null,174020,null,11559,null,72959,null,8847,null,107408,null,9568,null,752281,null,22358,null,717236,null,22646,null,668261,null,24153,null,2233861,null,25845,null,0400000US24,Maryland,24
6244824,null,2973,null,276442,null,13718,null,141763,null,9909,null,203081,null,11845,null,172926,null,10766,null,182454,null,11058,null,190991,null,13659,null,83891,null,7477,null,123332,null,10005,null,839591,null,21020,null,851306,null,24085,null,776645,null,22795,null,2402402,null,31631,null,0400000US25,Massachusetts,25
9832533,null,3661,null,636782,null,23489,null,346931,null,16388,null,392945,null,15510,null,411832,null,18509,null,405497,null,17078,null,394977,null,14240,null,167498,null,9305,null,269763,null,12528,null,1706044,null,25228,null,1492388,null,27503,null,1109294,null,22558,null,2498582,null,31006,null,0400000US26,Michigan,26
5066767,null,2297,null,196218,null,9129,null,123641,null,8424,null,162088,null,10309,null,160080,null,7877,null,166564,null,9143,null,178536,null,10627,null,79196,null,7258,null,128830,null,8258,null,835002,null,19373,null,803069,null,17240,null,665006,null,19198,null,1568537,null,24316,null,0400000US27,Minnesota,27
2821649,null,2997,null,244386,null,14793,null,174483,null,11746,null,162665,null,10807,null,182189,null,13099,null,173842,null,11141,null,148521,null,11735,null,59237,null,7342,null,86181,null,8685,null,516360,null,18575,null,346822,null,13990,null,252661,null,12082,null,474302,null,15687,null,0400000US28,Mississippi,28
