C03002_001E,C03002_001EA,C03002_001M,C03002_001MA,C03002_002E,C03002_002EA,C03002_002M,C03002_002MA,C03002_003E,C03002_003EA,C03002_003M,C03002_003MA,C03002_004E,C03002_004EA,C03002_004M,C03002_004MA,C03002_005E,C03002_005EA,C03002_005M,C03002_005MA,C03002_006E,C03002_006EA,C03002_006M,C03002_006MA,C03002_007E,C03002_007EA,C03002_007M,C03002_007MA,C03002_008E,C03002_008EA,C03002_008M,C03002_008MA,C03002_009E,C03002_009EA,C03002_009M,C03002_009MA,C03002_010E,C03002_010EA,C03002_010M,C03002_010MA,C03002_011E,C03002_011EA,C03002_011M,C03002_011MA,C03002_012E,C03002_012EA,C03002_012M,C03002_012MA,GEO_ID,NAME,state
4627851,null,0,*****,4508436,null,1324,null,3176698,null,3091,null,1208620,null,5611,null,19399,null,1986,null,44265,null,3240,null,1391,null,1296,null,2443,null,938,null,55620,null,4553,null,1764,null,912,null,53856,null,4504,null,119415,null,1324,null,0400000US01,Alabama,01
683478,null,0,*****,645038,null,799,null,451084,null,559,null,24842,null,1960,null,89132,null,2867,null,32203,null,1875,null,4900,null,1181,null,687,null,571,null,42190,null,3794,null,292,null,221,null,41898,null,3766,null,38440,null,799,null,0400000US02,Alaska,02
6338755,null,0,*****,4457036,null,1390,null,3728592,null,2905,null,215214,null,4628,null,262506,null,3304,null,147341,null,3155,null,6939,null,944,null,10284,null,2258,null,86160,null,6733,null,5408,null,1468,null,80752,null,6661,null,1881719,null,1390,null,0400000US04,Arizona,04
2834797,null,0,*****,2688255,null,1151,null,2151732,null,1043,null,440906,null,4132,null,15824,null,2107,null,33840,null,2960,null,1868,null,398,null,2695,null,1007,null,41390,null,3397,null,971,null,719,null,40419,null,3275,null,146542,null,1151,null,0400000US05,Arkansas,05
36553215,null,0,*****,23332327,null,0,*****,15523249,null,8158,null,2195397,null,10305,null,170044,null,6222,null,4448793,null,14285,null,118635,null,3861,null,120116,null,9284,null,756093,null,16830,null,49648,null,5203,null,706445,null,15615,null,13220888,null,0,*****,0400000US06,California,06
4861515,null,0,*****,3895631,null,0,*****,3459571,null,2474,null,181129,null,4046,null,32597,null,2670,null,128970,null,3528,null,3385,null,1081,null,9733,null,2298,null,80246,null,5888,null,2456,null,885,null,77790,null,5794,null,965884,null,0,*****,0400000US08,Colorado,08
3502309,null,0,*****,3098934,null,0,*****,2592457,null,3033,null,316412,null,4293,null,6475,null,1332,null,116903,null,1956,null,857,null,721,null,18328,null,3634,null,47502,null,4649,null,2601,null,1031,null,44901,null,4552,null,403375,null,0,*****,0400000US09,Connecticut,09
864764,null,0,*****,808611,null,0,*****,592385,null,1294,null,172484,null,2787,null,1542,null,449,null,24500,null,1023,null,532,null,461,null,2386,null,1356,null,14782,null,2793,null,322,null,321,null,14460,null,2720,null,56153,null,0,*****,0400000US10,Delaware,10
588292,null,0,*****,539276,null,0,*****,190282,null,600,null,318885,null,1248,null,936,null,473,null,18066,null,1198,null,0,null,300,null,2695,null,1067,null,8412,null,1595,null,526,null,426,null,7886,null,1554,null,49016,null,0,*****,0400000US11,District of Columbia,11
18251243,null,0,*****,14493819,null,1943,null,11054036,null,6480,null,2710261,null,11864,null,42205,null,2894,null,400903,null,5467,null,9556,null,3029,null,62530,null,8231,null,214328,null,10344,null,13482,null,2528,null,200846,null,10042,null,3757424,null,1943,null,0400000US12,Florida,12
9544750,null,0,*****,8815634,null,3314,null,5565461,null,4154,null,2837593,null,9298,null,17546,null,2481,null,262941,null,4363,null,4136,null,1843,null,30102,null,5342,null,97855,null,7217,null,3670,null,1383,null,94185,null,7146,null,729116,null,3314,null,0400000US13,Georgia,13
1283388,null,0,*****,1178217,null,0,*****,315502,null,706,null,27217,null,2423,null,2211,null,790,null,485502,null,8153,null,103094,null,3392,null,1201,null,603,null,243490,null,9681,null,2192,null,1128,null,241298,null,9607,null,105171,null,0,*****,0400000US15,Hawaii,15
1499402,null,0,*****,1351975,null,0,*****,1282040,null,1257,null,8411,null,1570,null,15341,null,2038,null,16060,null,1725,null,2149,null,860,null,1936,null,1225,null,26038,null,2391,null,367,null,241,null,25671,null,2363,null,147427,null,0,*****,0400000US16,Idaho,16
12852548,null,0,*****,10935128,null,1850,null,8341761,null,3440,null,1867424,null,7141,null,15217,null,2058,null,545365,null,4002,null,4785,null,1045,null,23202,null,4171,null,137374,null,8869,null,7730,null,2529,null,129644,null,7787,null,1917420,null,1850,null,0400000US17,Illinois,17
6345289,null,0,*****,6032426,null,1435,null,5291210,null,3486,null,545111,null,5494,null,11190,null,1652,null,81709,null,2577,null,955,null,539,null,11161,null,2387,null,91090,null,5752,null,2385,null,898,null,88705,null,5594,null,312863,null,1435,null,0400000US18,Indiana,18
2988047,null,0,*****,2868331,null,1636,null,2704497,null,2074,null,69194,null,2937,null,8341,null,1256,null,47388,null,2040,null,1334,null,743,null,3148,null,1399,null,34429,null,3201,null,922,null,585,null,33507,null,3210,null,119716,null,1637,null,0400000US19,Iowa,19
2775997,null,0,*****,2533210,null,687,null,2238342,null,801,null,155906,null,4410,null,19521,null,1766,null,59532,null,2271,null,672,null,535,null,1616,null,629,null,57621,null,4380,null,1207,null,646,null,56414,null,4300,null,242787,null,687,null,0400000US20,Kansas,20
4241474,null,0,*****,4151703,null,2384,null,3732791,null,2535,null,319475,null,5001,null,6002,null,1537,null,38947,null,2305,null,1813,null,1108,null,4511,null,1395,null,48164,null,4671,null,1624,null,811,null,46540,null,4632,null,89771,null,2384,null,0400000US21,Kentucky,21
4293204,null,0,*****,4159119,null,1380,null,2671485,null,846,null,1354327,null,5702,null,20596,null,1462,null,59567,null,2217,null,1555,null,718,null,3478,null,1127,null,48111,null,5680,null,1355,null,642,null,46756,null,5668,null,134085,null,1380,null,0400000US22,Louisiana,22
1317207,null,0,*****,1302254,null,778,null,1244734,null,3068,null,14048,null,2366,null,7313,null,954,null,12718,null,893,null,296,null,272,null,1313,null,863,null,21832,null,2684,null,255,null,237,null,21577,null,2664,null,14953,null,778,null,0400000US23,Maine,23
5618344,null,0,*****,5263375,null,8,null,3252109,null,3753,null,1611497,null,6639,null,11260,null,1359,null,273636,null,3177,null,2118,null,1118,null,15439,null,3932,null,97316,null,7064,null,3803,null,1553,null,93513,null,6934,null,354969,null,8,null,0400000US24,Maryland,24
6449755,null,0,*****,5922646,null,91,null,5101330,null,6021,null,364831,null,5791,null,9082,null,1351,null,309462,null,3283,null,1556,null,786,null,49545,null,7390,null,86840,null,6314,null,7808,null,1525,null,79032,null,6176,null,527109,null,91,null,0400000US25,Massachusetts,25
10071822,null,0,*****,9670813,null,1245,null,7801815,null,2711,null,1407317,null,7489,null,45891,null,2310,null,238113,null,3156,null,2017,null,759,null,14615,null,3212,null,161045,null,7765,null,3469,null,1151,null,157576,null,7624,null,401009,null,1245,null,0400000US26,Michigan,26
5197621,null,0,*****,4992832,null,856,null,4451045,null,2021,null,222752,null,3978,null,48468,null,2785,null,180264,null,3020,null,1380,null,722,null,6514,null,1748,null,82409,null,5767,null,2037,null,819,null,80372,null,5672,null,204789,null,856,null,0400000US27,Minnesota,27
2918785,null,0,*****,2866270,null,2855,null,1717014,null,839,null,1090946,null,6233,null,10028,null,1765,null,20114,null,3056,null,1777,null,1351,null,2037,null,905,null,24354,null,4183,null,478,null,410,null,23876,null,4129,null,52515,null,2855,null,0400000US28,Mississippi,28
5878415,null,0,*****,5701537,null,1500,null,4832220,null,2156,null,660401,null,5897,null,20023,null,2253,null,81361,null,3035,null,5940,null,2290,null,4123,null,1338,null,97469,null,6621,null,1950,null,1053,null,95519,null,6532,null,176878,null,1500,null,0400000US29,Missouri,29
957861,null,0,*****,932348,null,908,null,844672,null,313,null,5164,null,1123,null,56804,null,2537,null,4931,null,917,null,774,null,619,null,167,null,184,null,19836,null,2496,null,261,null,272,null,19575,null,2457,null,25513,null,908,null,0400000US30,Montana,30
1774571,null,0,*****,1642094,null,685,null,1503006,null,1437,null,69665,null,2609,null,9614,null,1073,null,25652,null,1662,null,2828,null,1588,null,1169,null,756,null,30160,null,3168,null,430,null,432,null,29730,null,3082,null,132477,null,685,null,0400000US31,Nebraska,31
2565382,null,0,*****,1920897,null,0,*****,1484173,null,907,null,182318,null,3152,null,27557,null,2067,null,153803,null,3006,null,12105,null,1296,null,3642,null,1200,null,57299,null,4866,null,3199,null,1157,null,54100,null,4499,null,644485,null,0,*****,0400000US32,Nevada,32
1315828,null,0,*****,1283207,null,534,null,1225848,null,1746,null,11857,null,1369,null,2502,null,736,null,26790,null,1360,null,269,null,231,null,2310,null,1621,null,13631,null,1989,null,394,null,575,null,13237,null,1964,null,32621,null,534,null,0400000US33,New Hampshire,33
8685920,null,0,*****,7303891,null,0,*****,5376931,null,4590,null,1145118,null,5436,null,11619,null,1305,null,643965,null,4204,null,1629,null,970,null,31771,null,4865,null,92858,null,6737,null,7193,null,1810,null,85665,null,6267,null,1382029,null,0,*****,0400000US34,New Jersey,34
1969915,null,0,*****,1095230,null,0,*****,829766,null,1457,null,41564,null,2882,null,169478,null,3304,null,25378,null,1158,null,781,null,696,null,5220,null,1662,null,23043,null,2620,null,1787,null,686,null,21256,null,2658,null,874685,null,0,*****,0400000US35,New Mexico,35
19297729,null,0,*****,16137997,null,1400,null,11581226,null,7055,null,2843206,null,10288,null,49889,null,2912,null,1318892,null,7433,null,6176,null,1314,null,100729,null,10660,null,237879,null,11058,null,24667,null,3873,null,213212,null,11030,null,3159732,null,1400,null,0400000US36,New York,36
9061032,null,0,*****,8421409,null,3812,null,6110019,null,5523,null,1913708,null,8372,null,97339,null,3640,null,161917,null,3365,null,3739,null,1625,null,16356,null,3484,null,118331,null,7661,null,3608,null,1280,null,114723,null,7626,null,639623,null,3812,null,0400000US37,North Carolina,37
639715,null,0,*****,630011,null,782,null,575166,null,499,null,4992,null,869,null,32660,null,1688,null,6385,null,1520,null,392,null,390,null,446,null,458,null,9970,null,1706,null,154,null,155,null,9816,null,1704,null,9704,null,782,null,0400000US38,North Dakota,38
11466917,null,0,*****,11184977,null,2007,null,9472789,null,2719,null,1335322,null,7121,null,17041,null,2137,null,176945,null,3629,null,2606,null,1305,null,16549,null,2843,null,163725,null,7496,null,3434,null,997,null,160291,null,7660,null,281940,null,2007,null,0400000US39,Ohio,39
