B15002I_001E,B15002I_001EA,B15002I_001M,B15002I_001MA,B15002I_002E,B15002I_002EA,B15002I_002M,B15002I_002MA,B15002I_003E,B15002I_003EA,B15002I_003M,B15002I_003MA,B15002I_004E,B15002I_004EA,B15002I_004M,B15002I_004MA,B15002I_005E,B15002I_005EA,B15002I_005M,B15002I_005MA,B15002I_006E,B15002I_006EA,B15002I_006M,B15002I_006MA,B15002I_007E,B15002I_007EA,B15002I_007M,B15002I_007MA,B15002I_008E,B15002I_008EA,B15002I_008M,B15002I_008MA,B15002I_009E,B15002I_009EA,B15002I_009M,B15002I_009MA,B15002I_010E,B15002I_010EA,B15002I_010M,B15002I_010MA,B15002I_011E,B15002I_011EA,B15002I_011M,B15002I_011MA,B15002I_012E,B15002I_012EA,B15002I_012M,B15002I_012MA,B15002I_013E,B15002I_013EA,B15002I_013M,B15002I_013MA,B15002I_014E,B15002I_014EA,B15002I_014M,B15002I_014MA,B15002I_015E,B15002I_015EA,B15002I_015M,B15002I_015MA,B15002I_016E,B15002I_016EA,B15002I_016M,B15002I_016MA,B15002I_017E,B15002I_017EA,B15002I_017M,B15002I_017MA,GEO_ID,NAME,state
56739,null,1850,null,32820,null,1587,null,10125,null,1574,null,5034,null,947,null,8599,null,1380,null,4332,null,1058,null,954,null,427,null,2367,null,721,null,1409,null,685,null,23919,null,1540,null,5847,null,1226,null,3190,null,657,null,6269,null,1095,null,3812,null,1087,null,1410,null,577,null,1538,null,541,null,1853,null,670,null,0400000US01,Alabama,01
18409,null,1209,null,9681,null,988,null,1126,null,565,null,1935,null,711,null,2877,null,1051,null,2570,null,860,null,513,null,423,null,495,null,291,null,165,null,134,null,8728,null,759,null,1092,null,603,null,1077,null,566,null,2057,null,683,null,2532,null,608,null,480,null,363,null,646,null,455,null,844,null,449,null,0400000US02,Alaska,02
972816,null,2446,null,506858,null,1703,null,124860,null,5927,null,90425,null,5609,null,148630,null,6733,null,76197,null,4979,null,24298,null,2981,null,29883,null,2738,null,12565,null,1554,null,465958,null,1637,null,102412,null,5152,null,76610,null,5064,null,136143,null,5825,null,77188,null,4578,null,28174,null,3049,null,30006,null,2825,null,15425,null,2021,null,0400000US04,Arizona,04
71240,null,2156,null,40986,null,2089,null,13500,null,1681,null,6806,null,1326,null,11968,null,1920,null,4565,null,1292,null,984,null,531,null,1671,null,707,null,1492,null,656,null,30254,null,1536,null,12413,null,1626,null,4957,null,1130,null,6920,null,1241,null,2307,null,875,null,1242,null,489,null,1469,null,545,null,946,null,477,null,0400000US05,Arkansas,05
7059678,null,3062,null,3624062,null,2625,null,979594,null,14568,null,637311,null,13906,null,982316,null,15619,null,523027,null,12827,null,163975,null,7749,null,248099,null,9335,null,89740,null,4460,null,3435616,null,1547,null,946016,null,15306,null,537802,null,11365,null,874724,null,13314,null,529224,null,11839,null,189660,null,7807,null,249083,null,8361,null,109107,null,4873,null,0400000US06,California,06
525218,null,2218,null,279615,null,1956,null,56918,null,4953,null,43822,null,4291,null,91952,null,5654,null,40811,null,4326,null,14262,null,2106,null,21593,null,2685,null,10257,null,1703,null,245603,null,1909,null,39336,null,3377,null,43835,null,3984,null,73593,null,4151,null,44307,null,3689,null,13731,null,2225,null,22144,null,2804,null,8657,null,1395,null,0400000US08,Colorado,08
224861,null,841,null,111069,null,836,null,19100,null,2857,null,17807,null,2387,null,38336,null,3028,null,16382,null,2157,null,5658,null,1461,null,7909,null,1397,null,5877,null,1133,null,113792,null,802,null,17449,null,1913,null,18057,null,2484,null,33589,null,2772,null,18072,null,1984,null,6736,null,1464,null,13953,null,1974,null,5936,null,1276,null,0400000US09,Connecticut,09
28732,null,436,null,15247,null,421,null,3936,null,951,null,2727,null,865,null,4567,null,964,null,1872,null,676,null,822,null,512,null,894,null,450,null,429,null,242,null,13485,null,464,null,3072,null,910,null,2414,null,780,null,4229,null,1127,null,1398,null,536,null,827,null,435,null,1347,null,595,null,198,null,160,null,0400000US10,Delaware,10
31784,null,0,*****,16840,null,0,*****,5422,null,1604,null,1727,null,1263,null,3021,null,1237,null,1725,null,758,null,364,null,347,null,1704,null,705,null,2877,null,914,null,14944,null,0,*****,4007,null,1057,null,2243,null,1152,null,1019,null,576,null,1374,null,649,null,511,null,423,null,2268,null,726,null,3522,null,973,null,0400000US11,District of Columbia,11
2387068,null,4350,null,1191452,null,3398,null,195101,null,9645,null,152042,null,7571,null,344002,null,11189,null,165040,null,6437,null,88984,null,5468,null,167639,null,6914,null,78644,null,5748,null,1195616,null,2892,null,175372,null,6637,null,119088,null,6611,null,350842,null,9490,null,186424,null,7361,null,109393,null,5319,null,178374,null,7346,null,76123,null,3935,null,0400000US12,Florida,12
378734,null,4118,null,224189,null,3356,null,75094,null,6338,null,36605,null,4020,null,55205,null,4721,null,21448,null,2817,null,6270,null,1343,null,19014,null,2203,null,10553,null,1931,null,154545,null,2175,null,40844,null,3337,null,22988,null,2886,null,41150,null,3478,null,17366,null,1951,null,8528,null,1941,null,16755,null,2162,null,6914,null,1383,null,0400000US13,Georgia,13
54119,null,935,null,27708,null,710,null,1099,null,576,null,2512,null,748,null,12211,null,1414,null,6434,null,1421,null,1742,null,714,null,2649,null,812,null,1061,null,647,null,26411,null,700,null,1683,null,681,null,2007,null,634,null,8239,null,1305,null,6973,null,1198,null,2771,null,791,null,3039,null,858,null,1699,null,609,null,0400000US15,Hawaii,15
70283,null,1507,null,38623,null,1285,null,9922,null,1061,null,6551,null,1386,null,10624,null,1678,null,5725,null,1263,null,1966,null,705,null,2341,null,730,null,1494,null,618,null,31660,null,1107,null,8104,null,1228,null,5406,null,1300,null,8223,null,1332,null,5278,null,1099,null,1270,null,492,null,2843,null,879,null,536,null,382,null,0400000US16,Idaho,16
