B18021_001E,B18021_001EA,B18021_001M,B18021_001MA,B18021_002E,B18021_002EA,B18021_002M,B18021_002MA,B18021_003E,B18021_003EA,B18021_003M,B18021_003MA,B18021_004E,B18021_004EA,B18021_004M,B18021_004MA,B18021_005E,B18021_005EA,B18021_005M,B18021_005MA,B18021_006E,B18021_006EA,B18021_006M,B18021_006MA,B18021_007E,B18021_007EA,B18021_007M,B18021_007MA,B18021_008E,B18021_008EA,B18021_008M,B18021_008MA,B18021_009E,B18021_009EA,B18021_009M,B18021_009MA,B18021_010E,B18021_010EA,B18021_010M,B18021_010MA,B18021_011E,B18021_011EA,B18021_011M,B18021_011MA,B18021_012E,B18021_012EA,B18021_012M,B18021_012MA,B18021_013E,B18021_013EA,B18021_013M,B18021_013MA,B18021_014E,B18021_014EA,B18021_014M,B18021_014MA,B18021_015E,B18021_015EA,B18021_015M,B18021_015MA,B18021_016E,B18021_016EA,B18021_016M,B18021_016MA,B18021_017E,B18021_017EA,B18021_017M,B18021_017MA,B18021_018E,B18021_018EA,B18021_018M,B18021_018MA,B18021_019E,B18021_019EA,B18021_019M,B18021_019MA,B18021_020E,B18021_020EA,B18021_020M,B18021_020MA,B18021_021E,B18021_021EA,B18021_021M,B18021_021MA,B18021_022E,B18021_022EA,B18021_022M,B18021_022MA,B18021_023E,B18021_023EA,B18021_023M,B18021_023MA,B18021_024E,B18021_024EA,B18021_024M,B18021_024MA,B18021_025E,B18021_025EA,B18021_025M,B18021_025MA,B18021_026E,B18021_026EA,B18021_026M,B18021_026MA,B18021_027E,B18021_027EA,B18021_027M,B18021_027MA,B18021_028E,B18021_028EA,B18021_028M,B18021_028MA,B18021_029E,B18021_029EA,B18021_029M,B18021_029MA,B18021_030E,B18021_030EA,B18021_030M,B18021_030MA,B18021_031E,B18021_031EA,B18021_031M,B18021_031MA,GEO_ID,NAME,state
2956627,null,5820,null,122803,null,5995,null,71352,null,4149,null,12589,null,1913,null,7116,null,1394,null,5473,null,1297,null,58763,null,3731,null,24304,null,2374,null,34459,null,3077,null,51451,null,3687,null,10186,null,1782,null,2409,null,765,null,7777,null,1736,null,41265,null,3101,null,11996,null,1666,null,29269,null,2667,null,2833824,null,9287,null,1359214,null,7061,null,552257,null,5835,null,378916,null,7697,null,173341,null,5782,null,806957,null,4925,null,629551,null,5797,null,177406,null,5134,null,1474610,null,5339,null,575801,null,4318,null,330212,null,7603,null,245589,null,6407,null,898809,null,4084,null,563855,null,8194,null,334954,null,7138,null,0400000US01,Alabama,01
457758,null,2791,null,18228,null,1850,null,11197,null,1503,null,1218,null,415,null,463,null,322,null,755,null,390,null,9979,null,1470,null,5110,null,1005,null,4869,null,976,null,7031,null,1203,null,1614,null,635,null,593,null,326,null,1021,null,547,null,5417,null,1097,null,2916,null,863,null,2501,null,769,null,439530,null,3027,null,222494,null,2991,null,93454,null,2642,null,64258,null,2919,null,29196,null,2425,null,129040,null,2705,null,103591,null,2790,null,25449,null,2182,null,217036,null,1791,null,87316,null,1803,null,52465,null,2147,null,34851,null,2267,null,129720,null,1565,null,91131,null,2260,null,38589,null,2088,null,0400000US02,Alaska,02
3958827,null,4939,null,107115,null,5264,null,61140,null,4263,null,14880,null,2042,null,7524,null,1750,null,7356,null,1721,null,46260,null,3429,null,22435,null,2626,null,23825,null,2541,null,45975,null,3764,null,11473,null,2443,null,4676,null,1317,null,6797,null,1863,null,34502,null,3043,null,11011,null,1886,null,23491,null,2766,null,3851712,null,7529,null,1924090,null,6200,null,837423,null,5024,null,609253,null,8185,null,228170,null,7606,null,1086667,null,4458,null,869404,null,6974,null,217263,null,6469,null,1927622,null,5036,null,785410,null,4473,null,471916,null,8309,null,313494,null,7770,null,1142212,null,3437,null,736987,null,7529,null,405225,null,7554,null,0400000US04,Arizona,04
1783300,null,4047,null,74922,null,4713,null,43966,null,3342,null,6103,null,1240,null,2705,null,1002,null,3398,null,916,null,37863,null,2955,null,17003,null,1797,null,20860,null,2332,null,30956,null,2945,null,6920,null,1544,null,2272,null,773,null,4648,null,1304,null,24036,null,2570,null,7882,null,1437,null,16154,null,2021,null,1708378,null,5972,null,829070,null,4911,null,342542,null,4799,null,232987,null,6164,null,109555,null,4924,null,486528,null,4556,null,374986,null,5346,null,111542,null,5108,null,879308,null,4280,null,345406,null,3737,null,203674,null,4794,null,141732,null,4670,null,533902,null,3752,null,346343,null,6923,null,187559,null,6604,null,0400000US05,Arkansas,05
23813857,null,10948,null,516541,null,13513,null,292756,null,9684,null,63369,null,5118,null,28614,null,3291,null,34755,null,3285,null,229387,null,7374,null,111610,null,6290,null,117777,null,5737,null,223785,null,7751,null,53374,null,4144,null,21551,null,2527,null,31823,null,3098,null,170411,null,6180,null,61311,null,3867,null,109100,null,5407,null,23297316,null,15920,null,11636729,null,13106,null,4971884,null,10327,null,3406238,null,17295,null,1565646,null,17254,null,6664845,null,9803,null,5431907,null,19667,null,1232938,null,19475,null,11660587,null,9730,null,4786799,null,7450,null,2747560,null,18706,null,2039239,null,19739,null,6873788,null,7426,null,4477926,null,20520,null,2395862,null,18927,null,0400000US06,California,06
3244377,null,4392,null,80375,null,5318,null,44790,null,3966,null,9459,null,1861,null,4790,null,1139,null,4669,null,1549,null,35331,null,3386,null,20039,null,2249,null,15292,null,2041,null,35585,null,3496,null,9655,null,1872,null,5005,null,1402,null,4650,null,1260,null,25930,null,3065,null,11959,null,1866,null,13971,null,2282,null,3164002,null,7319,null,1596694,null,5797,null,653246,null,4713,null,492838,null,6363,null,160408,null,6473,null,943448,null,4669,null,799763,null,6563,null,143685,null,6054,null,1567308,null,4546,null,611899,null,3935,null,396304,null,6826,null,215595,null,6179,null,955409,null,4472,null,677603,null,7438,null,277806,null,7028,null,0400000US08,Colorado,08
2280955,null,3659,null,43841,null,3705,null,26274,null,2695,null,5320,null,1367,null,1683,null,723,null,3637,null,1119,null,20954,null,2353,null,12950,null,2067,null,8004,null,1363,null,17567,null,1996,null,3008,null,818,null,1589,null,733,null,1419,null,505,null,14559,null,1724,null,6113,null,1114,null,8446,null,1498,null,2237114,null,5311,null,1091401,null,4394,null,400245,null,3776,null,278270,null,5677,null,121975,null,5042,null,691156,null,2873,null,590036,null,4773,null,101120,null,4515,null,1145713,null,3078,null,401340,null,2413,null,260822,null,4200,null,140518,null,4563,null,744373,null,2132,null,541100,null,5878,null,203273,null,5717,null,0400000US09,Connecticut,09
557332,null,1905,null,14255,null,1904,null,8715,null,1386,null,1824,null,708,null,600,null,359,null,1224,null,631,null,6891,null,1316,null,2940,null,897,null,3951,null,1178,null,5540,null,1107,null,937,null,403,null,500,null,293,null,437,null,276,null,4603,null,1010,null,1889,null,702,null,2714,null,726,null,543077,null,2640,null,259630,null,1863,null,100185,null,1569,null,71476,null,2400,null,28709,null,2308,null,159445,null,1454,null,130626,null,2563,null,28819,null,2250,null,283447,null,1614,null,107619,null,1339,null,69858,null,2749,null,37761,null,2789,null,175828,null,1311,null,121424,null,3006,null,54404,null,3027,null,0400000US10,Delaware,10
404199,null,1682,null,9664,null,1575,null,4794,null,1187,null,1038,null,447,null,571,null,332,null,467,null,326,null,3756,null,1082,null,1260,null,531,null,2496,null,871,null,4870,null,1232,null,1034,null,515,null,540,null,338,null,494,null,387,null,3836,null,1083,null,1124,null,568,null,2712,null,919,null,394535,null,2310,null,184138,null,2084,null,84873,null,1670,null,54731,null,2341,null,30142,null,2549,null,99265,null,1663,null,76252,null,2633,null,23013,null,2402,null,210397,null,2014,null,99047,null,1527,null,66658,null,2871,null,32389,null,2571,null,111350,null,1285,null,78112,null,2703,null,33238,null,2560,null,0400000US11,District of Columbia,11
11362681,null,10312,null,287873,null,11029,null,158931,null,7303,null,23771,null,2903,null,13220,null,2286,null,10551,null,1879,null,135160,null,6931,null,65591,null,4436,null,69569,null,4785,null,128942,null,6460,null,20821,null,3045,null,9455,null,1791,null,11366,null,2610,null,108121,null,5432,null,42238,null,3914,null,65883,null,4250,null,11074808,null,14513,null,5419528,null,9725,null,2105856,null,10725,null,1478513,null,12926,null,627343,null,12954,null,3313672,null,9212,null,2667131,null,15331,null,646541,null,12310,null,5655280,null,10542,null,2078461,null,8059,null,1286941,null,11949,null,791520,null,13167,null,3576819,null,7308,null,2410911,null,15455,null,1165908,null,15106,null,0400000US12,Florida,12
