B19082_001E,B19082_001EA,B19082_001M,B19082_001MA,B19082_002E,B19082_002EA,B19082_002M,B19082_002MA,B19082_003E,B19082_003EA,B19082_003M,B19082_003MA,B19082_004E,B19082_004EA,B19082_004M,B19082_004MA,B19082_005E,B19082_005EA,B19082_005M,B19082_005MA,B19082_006E,B19082_006EA,B19082_006M,B19082_006MA,GEO_ID,NAME,state
3.2,null,0.2,null,8.5,null,0.2,null,14.7,null,0.2,null,23.4,null,0.3,null,50.2,null,0.5,null,21.9,null,0.6,null,0400000US01,Alabama,01
4.2,null,0.2,null,10.5,null,0.3,null,16.4,null,0.4,null,24.0,null,0.6,null,44.9,null,1.2,null,18.4,null,1.6,null,0400000US02,Alaska,02
3.8,null,0.2,null,9.4,null,0.2,null,15.1,null,0.1,null,23.1,null,0.2,null,48.7,null,0.4,null,21.2,null,0.5,null,0400000US04,Arizona,04
3.5,null,0.1,null,8.8,null,0.2,null,14.8,null,0.3,null,23.2,null,0.3,null,49.7,null,0.6,null,21.5,null,0.8,null,0400000US05,Arkansas,05
3.4,null,0.0,null,8.7,null,0.0,null,14.6,null,0.1,null,22.8,null,0.2,null,50.5,null,0.2,null,22.4,null,0.2,null,0400000US06,California,06
3.6,null,0.2,null,9.3,null,0.2,null,15.2,null,0.2,null,23.1,null,0.2,null,48.9,null,0.5,null,21.4,null,0.6,null,0400000US08,Colorado,08
3.3,null,0.2,null,8.7,null,0.2,null,14.3,null,0.2,null,21.8,null,0.3,null,51.9,null,0.5,null,24.9,null,0.6,null,0400000US09,Connecticut,09
3.8,null,0.3,null,9.7,null,0.3,null,15.6,null,0.4,null,23.7,null,0.4,null,47.3,null,1.0,null,19.4,null,1.1,null,0400000US10,Delaware,10
2.1,null,0.3,null,6.8,null,0.4,null,12.5,null,0.4,null,21.6,null,0.6,null,56.9,null,1.3,null,27.5,null,1.6,null,0400000US11,District of Columbia,11
3.7,null,0.1,null,8.9,null,0.2,null,14.4,null,0.2,null,22.2,null,0.2,null,50.8,null,0.3,null,23.7,null,0.4,null,0400000US12,Florida,12
3.4,null,0.0,null,9.0,null,0.1,null,14.8,null,0.2,null,22.8,null,0.2,null,50.0,null,0.4,null,22.2,null,0.4,null,0400000US13,Georgia,13
3.9,null,0.2,null,10.2,null,0.3,null,16.1,null,0.3,null,23.7,null,0.4,null,46.1,null,0.9,null,19.1,null,1.0,null,0400000US15,Hawaii,15
4.3,null,0.2,null,9.8,null,0.3,null,15.3,null,0.4,null,22.6,null,0.4,null,48.1,null,0.9,null,21.5,null,1.2,null,0400000US16,Idaho,16
3.4,null,0.0,null,8.9,null,0.1,null,14.9,null,0.2,null,22.7,null,0.2,null,50.1,null,0.3,null,22.8,null,0.4,null,0400000US17,Illinois,17
4.0,null,0.2,null,9.9,null,0.1,null,15.8,null,0.2,null,23.5,null,0.2,null,46.8,null,0.4,null,19.8,null,0.5,null,0400000US18,Indiana,18
4.1,null,0.1,null,9.8,null,0.2,null,15.9,null,0.2,null,23.6,null,0.3,null,46.6,null,0.6,null,19.9,null,0.6,null,0400000US19,Iowa,19
4.0,null,0.2,null,9.4,null,0.3,null,15.1,null,0.3,null,23.1,null,0.3,null,48.4,null,0.6,null,21.1,null,0.7,null,0400000US20,Kansas,20
3.3,null,0.1,null,8.6,null,0.2,null,14.9,null,0.2,null,23.5,null,0.3,null,49.7,null,0.6,null,21.7,null,0.7,null,0400000US21,Kentucky,21
3.0,null,0.2,null,8.2,null,0.2,null,14.5,null,0.2,null,23.5,null,0.3,null,50.7,null,0.5,null,21.9,null,0.6,null,0400000US22,Louisiana,22
3.9,null,0.2,null,9.5,null,0.2,null,15.5,null,0.3,null,23.2,null,0.4,null,47.8,null,0.9,null,20.9,null,1.1,null,0400000US23,Maine,23
3.7,null,0.1,null,9.5,null,0.2,null,15.5,null,0.2,null,23.2,null,0.3,null,48.0,null,0.4,null,20.5,null,0.5,null,0400000US24,Maryland,24
3.1,null,0.1,null,8.7,null,0.2,null,15.1,null,0.2,null,23.2,null,0.2,null,49.9,null,0.4,null,22.1,null,0.5,null,0400000US25,Massachusetts,25
3.6,null,0.2,null,9.2,null,0.1,null,15.3,null,0.1,null,23.6,null,0.2,null,48.4,null,0.3,null,20.4,null,0.4,null,0400000US26,Michigan,26
3.9,null,0.1,null,9.8,null,0.2,null,15.6,null,0.1,null,23.1,null,0.2,null,47.6,null,0.4,null,20.7,null,0.4,null,0400000US27,Minnesota,27
3.2,null,0.2,null,8.2,null,0.2,null,14.3,null,0.3,null,23.2,null,0.3,null,51.2,null,0.6,null,22.4,null,0.7,null,0400000US28,Mississippi,28
3.7,null,0.2,null,9.2,null,0.2,null,15.2,null,0.2,null,23.2,null,0.2,null,48.7,null,0.4,null,21.2,null,0.5,null,0400000US29,Missouri,29
3.8,null,0.3,null,9.4,null,0.3,null,15.5,null,0.4,null,23.3,null,0.5,null,48.0,null,1.0,null,21.0,null,1.3,null,0400000US30,Montana,30
4.1,null,0.2,null,9.8,null,0.2,null,15.7,null,0.3,null,23.5,null,0.3,null,46.9,null,0.5,null,19.9,null,0.7,null,0400000US31,Nebraska,31
4.2,null,0.2,null,9.9,null,0.2,null,15.2,null,0.3,null,22.5,null,0.3,null,48.1,null,0.7,null,21.8,null,0.8,null,0400000US32,Nevada,32
4.3,null,0.2,null,10.2,null,0.2,null,16.1,null,0.3,null,23.5,null,0.4,null,45.9,null,0.7,null,19.1,null,0.9,null,0400000US33,New Hampshire,33
3.3,null,0.2,null,8.9,null,0.2,null,14.9,null,0.2,null,22.9,null,0.2,null,49.9,null,0.4,null,22.2,null,0.4,null,0400000US34,New Jersey,34
3.4,null,0.2,null,8.9,null,0.3,null,14.9,null,0.3,null,23.5,null,0.4,null,49.3,null,0.8,null,20.8,null,0.9,null,0400000US35,New Mexico,35
2.9,null,0.0,null,8.0,null,0.1,null,13.9,null,0.2,null,22.1,null,0.2,null,53.2,null,0.3,null,25.4,null,0.4,null,0400000US36,New York,36
3.4,null,0.0,null,8.8,null,0.2,null,14.8,null,0.1,null,22.9,null,0.2,null,50.1,null,0.3,null,22.1,null,0.4,null,0400000US37,North Carolina,37
3.8,null,0.2,null,9.3,null,0.3,null,15.7,null,0.4,null,23.7,null,0.5,null,47.6,null,1.1,null,20.3,null,1.4,null,0400000US38,North Dakota,38
3.5,null,0.2,null,9.3,null,0.1,null,15.4,null,0.1,null,23.4,null,0.1,null,48.4,null,0.3,null,20.8,null,0.4,null,0400000US39,Ohio,39
3.5,null,0.1,null,8.9,null,0.2,null,14.8,null,0.2,null,23.0,null,0.3,null,49.8,null,0.6,null,22.2,null,0.7,null,0400000US40,Oklahoma,40
3.8,null,0.1,null,9.5,null,0.2,null,15.4,null,0.2,null,23.3,null,0.2,null,48.0,null,0.5,null,20.7,null,0.6,null,0400000US41,Oregon,41
3.6,null,0.2,null,8.9,null,0.2,null,14.9,null,0.2,null,23.0,null,0.2,null,49.6,null,0.3,null,22.1,null,0.4,null,0400000US42,Pennsylvania,42
