B20017F_001E,B20017F_001EA,B20017F_001M,B20017F_001MA,B20017F_002E,B20017F_002EA,B20017F_002M,B20017F_002MA,B20017F_003E,B20017F_003EA,B20017F_003M,B20017F_003MA,B20017F_004E,B20017F_004EA,B20017F_004M,B20017F_004MA,B20017F_005E,B20017F_005EA,B20017F_005M,B20017F_005MA,B20017F_006E,B20017F_006EA,B20017F_006M,B20017F_006MA,B20017F_007E,B20017F_007EA,B20017F_007M,B20017F_007MA,GEO_ID,NAME,state
20531,null,1590,null,21931,null,1895,null,26169,null,2834,null,15045,null,7759,null,15853,null,2556,null,20793,null,4482,null,7071,null,4294,null,0400000US01,Alabama,01
19254,null,2429,null,23336,null,4064,null,31040,null,7783,null,15739,null,3223,null,15619,null,8711,null,19832,null,4825,null,5219,null,1716,null,0400000US02,Alaska,02
21171,null,592,null,23923,null,1286,null,28613,null,1805,null,12235,null,1043,null,16870,null,762,null,24729,null,1025,null,9514,null,767,null,0400000US04,Arizona,04
20275,null,826,null,21441,null,696,null,22733,null,1546,null,18693,null,4956,null,14912,null,1890,null,20263,null,2008,null,10858,null,1658,null,0400000US05,Arkansas,05
21867,null,194,null,24949,null,327,null,30418,null,302,null,14603,null,589,null,17501,null,321,null,25748,null,394,null,10066,null,229,null,0400000US06,California,06
22620,null,1056,null,26189,null,1199,null,34628,null,1721,null,15354,null,2612,null,18380,null,1476,null,26356,null,1642,null,9866,null,1479,null,0400000US08,Colorado,08
22133,null,958,null,25146,null,2353,null,32214,null,2451,null,9533,null,1185,null,20119,null,1076,null,26520,null,2045,null,10791,null,1258,null,0400000US09,Connecticut,09
22193,null,3820,null,25248,null,3966,null,25794,null,1841,null,20716,null,7246,null,17027,null,3270,null,25404,null,10418,null,8238,null,4762,null,0400000US10,Delaware,10
24441,null,3647,null,25891,null,3134,null,27049,null,7288,null,15938,null,4706,null,20475,null,5952,null,20260,null,6699,null,20802,null,13580,null,0400000US11,District of Columbia,11
21646,null,437,null,24127,null,956,null,27354,null,672,null,14028,null,1847,null,17622,null,907,null,25002,null,1163,null,8886,null,620,null,0400000US12,Florida,12
20676,null,696,null,21618,null,773,null,25821,null,724,null,12469,null,1681,null,16543,null,1680,null,23717,null,3834,null,9701,null,1668,null,0400000US13,Georgia,13
25851,null,4804,null,29243,null,3125,null,31373,null,1424,null,21605,null,2168,null,20082,null,2922,null,31797,null,14439,null,16163,null,4943,null,0400000US15,Hawaii,15
