C25032F_001E,C25032F_001EA,C25032F_001M,C25032F_001MA,C25032F_002E,C25032F_002EA,C25032F_002M,C25032F_002MA,C25032F_003E,C25032F_003EA,C25032F_003M,C25032F_003MA,C25032F_004E,C25032F_004EA,C25032F_004M,C25032F_004MA,C25032F_005E,C25032F_005EA,C25032F_005M,C25032F_005MA,GEO_ID,NAME,state
8920,null,1373,null,5313,null,1096,null,254,null,180,null,804,null,386,null,2549,null,814,null,0400000US01,Alabama,01
4138,null,975,null,2273,null,725,null,602,null,400,null,663,null,418,null,600,null,425,null,0400000US02,Alaska,02
180017,null,5986,null,117118,null,5462,null,11338,null,2184,null,31693,null,2819,null,19868,null,2390,null,0400000US04,Arizona,04
15980,null,1747,null,9317,null,1483,null,1945,null,831,null,2955,null,1101,null,1763,null,775,null,0400000US05,Arkansas,05
1494492,null,16747,null,926934,null,16191,null,148099,null,6185,null,365328,null,9688,null,54131,null,4270,null,0400000US06,California,06
90769,null,4518,null,57709,null,3643,null,7013,null,1678,null,19667,null,2602,null,6380,null,1495,null,0400000US08,Colorado,08
59011,null,3510,null,18626,null,2150,null,22513,null,2492,null,17530,null,2192,null,342,null,401,null,0400000US09,Connecticut,09
5099,null,883,null,2551,null,634,null,607,null,455,null,859,null,605,null,1082,null,435,null,0400000US10,Delaware,10
9408,null,1587,null,2127,null,801,null,787,null,532,null,6494,null,1556,null,0,null,300,null,0400000US11,District of Columbia,11
208959,null,6672,null,122374,null,5945,null,18382,null,2326,null,52687,null,4206,null,15516,null,2302,null,0400000US12,Florida,12
89519,null,4758,null,43290,null,3302,null,6282,null,1588,null,27474,null,2855,null,12473,null,2166,null,0400000US13,Georgia,13
6701,null,1419,null,3324,null,1013,null,529,null,387,null,2848,null,978,null,0,null,271,null,0400000US15,Hawaii,15
9796,null,1264,null,6825,null,1071,null,1017,null,501,null,609,null,535,null,1345,null,558,null,0400000US16,Idaho,16
288885,null,5982,null,130488,null,4627,null,105201,null,4777,null,50128,null,3901,null,3068,null,1067,null,0400000US17,Illinois,17
43990,null,2416,null,27342,null,2090,null,6130,null,1303,null,7477,null,1507,null,3041,null,926,null,0400000US18,Indiana,18
14097,null,1856,null,8392,null,1268,null,1646,null,784,null,2856,null,1019,null,1203,null,493,null,0400000US19,Iowa,19
24868,null,2306,null,17705,null,1985,null,2548,null,901,null,2909,null,924,null,1706,null,622,null,0400000US20,Kansas,20
8496,null,1251,null,3320,null,876,null,1471,null,691,null,2697,null,931,null,1008,null,452,null,0400000US21,Kentucky,21
12899,null,1686,null,7008,null,1457,null,2337,null,769,null,1633,null,635,null,1921,null,836,null,0400000US22,Louisiana,22
1196,null,633,null,282,null,214,null,714,null,573,null,0,null,226,null,200,null,158,null,0400000US23,Maine,23
46214,null,2960,null,30614,null,2846,null,2441,null,948,null,13025,null,1942,null,134,null,132,null,0400000US24,Maryland,24
90147,null,5035,null,17954,null,2253,null,43023,null,3587,null,28872,null,3090,null,298,null,241,null,0400000US25,Massachusetts,25
47360,null,3105,null,31373,null,2657,null,6503,null,1608,null,6689,null,1643,null,2795,null,908,null,0400000US26,Michigan,26
19564,null,1842,null,12016,null,1633,null,1111,null,564,null,5356,null,1214,null,1081,null,441,null,0400000US27,Minnesota,27
5169,null,1273,null,2712,null,774,null,482,null,420,null,509,null,315,null,1466,null,911,null,0400000US28,Mississippi,28
