C05003F_001E,C05003F_001EA,C05003F_001M,C05003F_001MA,C05003F_002E,C05003F_002EA,C05003F_002M,C05003F_002MA,C05003F_003E,C05003F_003EA,C05003F_003M,C05003F_003MA,C05003F_004E,C05003F_004EA,C05003F_004M,C05003F_004MA,C05003F_005E,C05003F_005EA,C05003F_005M,C05003F_005MA,C05003F_006E,C05003F_006EA,C05003F_006M,C05003F_006MA,C05003F_007E,C05003F_007EA,C05003F_007M,C05003F_007MA,C05003F_008E,C05003F_008EA,C05003F_008M,C05003F_008MA,C05003F_009E,C05003F_009EA,C05003F_009M,C05003F_009MA,C05003F_010E,C05003F_010EA,C05003F_010M,C05003F_010MA,C05003F_011E,C05003F_011EA,C05003F_011M,C05003F_011MA,C05003F_012E,C05003F_012EA,C05003F_012M,C05003F_012MA,C05003F_013E,C05003F_013EA,C05003F_013M,C05003F_013MA,C05003F_014E,C05003F_014EA,C05003F_014M,C05003F_014MA,C05003F_015E,C05003F_015EA,C05003F_015M,C05003F_015MA,GEO_ID,NAME,state
34689,null,3695,null,19235,null,2504,null,5749,null,1403,null,4281,null,1219,null,1468,null,785,null,13486,null,1881,null,3017,null,828,null,10469,null,1561,null,15454,null,1952,null,6630,null,1368,null,4941,null,1191,null,1689,null,603,null,8824,null,1146,null,2973,null,848,null,5851,null,987,null,0400000US01,Alabama,01
15531,null,2952,null,8658,null,1851,null,2031,null,843,null,1846,null,793,null,185,null,175,null,6627,null,1364,null,3535,null,891,null,3092,null,1091,null,6873,null,1471,null,2280,null,724,null,2267,null,725,null,13,null,28,null,4593,null,1021,null,1921,null,684,null,2672,null,758,null,0400000US02,Alaska,02
677188,null,21346,null,353056,null,13001,null,123451,null,7264,null,106919,null,6659,null,16532,null,2969,null,229605,null,8124,null,107747,null,5893,null,121858,null,6594,null,324132,null,11077,null,115818,null,6312,null,102111,null,6235,null,13707,null,2807,null,208314,null,7143,null,110258,null,6564,null,98056,null,4995,null,0400000US04,Arizona,04
63856,null,5827,null,34793,null,3561,null,14249,null,2048,null,11684,null,2121,null,2565,null,915,null,20544,null,2699,null,5550,null,2068,null,14994,null,1995,null,29063,null,2964,null,11970,null,1795,null,9983,null,1685,null,1987,null,734,null,17093,null,1772,null,4511,null,1116,null,12582,null,1627,null,0400000US05,Arkansas,05
6096927,null,64388,null,3150747,null,36340,null,1028316,null,20217,null,934432,null,20032,null,93884,null,4799,null,2122431,null,23054,null,772619,null,14630,null,1349812,null,21426,null,2946180,null,35848,null,979564,null,17622,null,891340,null,17078,null,88224,null,6305,null,1966616,null,23285,null,788321,null,18153,null,1178295,null,18750,null,0400000US06,California,06
302807,null,14246,null,159275,null,8302,null,50221,null,4034,null,46649,null,3892,null,3572,null,1280,null,109054,null,6179,null,64740,null,4424,null,44314,null,4870,null,143532,null,7449,null,46502,null,4005,null,42866,null,3740,null,3636,null,1091,null,97030,null,4887,null,66648,null,3816,null,30382,null,3566,null,0400000US08,Colorado,08
189379,null,9599,null,95433,null,5463,null,27503,null,2551,null,25651,null,2373,null,1852,null,774,null,67930,null,4653,null,36761,null,3016,null,31169,null,4646,null,93946,null,5817,null,27979,null,2691,null,26076,null,2630,null,1903,null,724,null,65967,null,4138,null,40845,null,3620,null,25122,null,3132,null,0400000US09,Connecticut,09
18623,null,2783,null,10101,null,1835,null,3519,null,1289,null,2820,null,1175,null,699,null,503,null,6582,null,942,null,1849,null,606,null,4733,null,696,null,8522,null,1560,null,3951,null,1110,null,3442,null,1040,null,509,null,300,null,4571,null,863,null,1564,null,571,null,3007,null,725,null,0400000US10,Delaware,10
27591,null,3508,null,14681,null,2150,null,3226,null,896,null,2614,null,924,null,612,null,447,null,11455,null,1789,null,2475,null,1053,null,8980,null,1921,null,12910,null,2090,null,3632,null,989,null,3064,null,1059,null,568,null,577,null,9278,null,1409,null,1928,null,811,null,7350,null,1413,null,0400000US11,District of Columbia,11
740050,null,25344,null,394839,null,15391,null,115887,null,7705,null,102033,null,7260,null,13854,null,2336,null,278952,null,10802,null,93518,null,5412,null,185434,null,9100,null,345211,null,13250,null,106424,null,6889,null,93834,null,6310,null,12590,null,2203,null,238787,null,8752,null,96374,null,5568,null,142413,null,6428,null,0400000US12,Florida,12
