C17001D_001E,C17001D_001EA,C17001D_001M,C17001D_001MA,C17001D_002E,C17001D_002EA,C17001D_002M,C17001D_002MA,C17001D_003E,C17001D_003EA,C17001D_003M,C17001D_003MA,C17001D_004E,C17001D_004EA,C17001D_004M,C17001D_004MA,C17001D_005E,C17001D_005EA,C17001D_005M,C17001D_005MA,C17001D_006E,C17001D_006EA,C17001D_006M,C17001D_006MA,C17001D_007E,C17001D_007EA,C17001D_007M,C17001D_007MA,C17001D_008E,C17001D_008EA,C17001D_008M,C17001D_008MA,C17001D_009E,C17001D_009EA,C17001D_009M,C17001D_009MA,C17001D_010E,C17001D_010EA,C17001D_010M,C17001D_010MA,C17001D_011E,C17001D_011EA,C17001D_011M,C17001D_011MA,C17001D_012E,C17001D_012EA,C17001D_012M,C17001D_012MA,C17001D_013E,C17001D_013EA,C17001D_013M,C17001D_013MA,C17001D_014E,C17001D_014EA,C17001D_014M,C17001D_014MA,C17001D_015E,C17001D_015EA,C17001D_015M,C17001D_015MA,C17001D_016E,C17001D_016EA,C17001D_016M,C17001D_016MA,C17001D_017E,C17001D_017EA,C17001D_017M,C17001D_017MA,C17001D_018E,C17001D_018EA,C17001D_018M,C17001D_018MA,C17001D_019E,C17001D_019EA,C17001D_019M,C17001D_019MA,GEO_ID,NAME,state
43441,null,3283,null,5584,null,1751,null,3667,null,1083,null,764,null,496,null,2852,null,840,null,51,null,99,null,1917,null,909,null,515,null,425,null,1402,null,644,null,0,null,267,null,37857,null,3159,null,17106,null,1930,null,4675,null,1146,null,11243,null,1154,null,1188,null,366,null,20751,null,2018,null,4238,null,1060,null,14898,null,1321,null,1615,null,615,null,0400000US01,Alabama,01
32700,null,1953,null,2054,null,1144,null,1120,null,576,null,400,null,434,null,720,null,337,null,0,null,237,null,934,null,691,null,302,null,345,null,632,null,423,null,0,null,237,null,30646,null,1939,null,14061,null,1355,null,3149,null,805,null,9719,null,1159,null,1193,null,238,null,16585,null,1235,null,3131,null,821,null,11685,null,998,null,1769,null,333,null,0400000US02,Alaska,02
149571,null,3554,null,17871,null,3830,null,7890,null,1791,null,2054,null,839,null,5545,null,1409,null,291,null,229,null,9981,null,2517,null,3117,null,1371,null,5786,null,1384,null,1078,null,513,null,131700,null,4380,null,62980,null,2394,null,15943,null,1337,null,42285,null,1605,null,4752,null,478,null,68720,null,2659,null,14443,null,1608,null,48046,null,1684,null,6231,null,650,null,0400000US04,Arizona,04
33439,null,3070,null,4564,null,1928,null,2904,null,1144,null,890,null,569,null,1942,null,719,null,72,null,119,null,1660,null,918,null,605,null,304,null,1023,null,676,null,32,null,58,null,28875,null,3245,null,13102,null,1823,null,4853,null,1326,null,7076,null,869,null,1173,null,485,null,15773,null,1967,null,4657,null,1144,null,9986,null,1319,null,1130,null,520,null,0400000US05,Arkansas,05
4450985,null,15148,null,430482,null,18600,null,194587,null,10043,null,51438,null,4587,null,123044,null,7389,null,20105,null,2029,null,235895,null,10221,null,49393,null,4625,null,152916,null,6347,null,33586,null,2668,null,4020503,null,20323,null,1937051,null,12428,null,421829,null,6534,null,1321712,null,9388,null,193510,null,2456,null,2083452,null,11750,null,399033,null,6403,null,1427380,null,8359,null,257039,null,3584,null,0400000US06,California,06
129839,null,3294,null,15781,null,3405,null,6655,null,1754,null,1917,null,859,null,4308,null,1244,null,430,null,319,null,9126,null,2075,null,2293,null,942,null,5804,null,1306,null,1029,null,521,null,114058,null,3841,null,51963,null,2634,null,11520,null,1463,null,37110,null,1988,null,3333,null,778,null,62095,null,2442,null,14448,null,1519,null,42887,null,1791,null,4760,null,674,null,0400000US08,Colorado,08
114351,null,2435,null,10643,null,3022,null,5165,null,1707,null,1780,null,1082,null,3385,null,1179,null,0,null,273,null,5478,null,1632,null,1615,null,802,null,3794,null,1079,null,69,null,114,null,103708,null,3288,null,51663,null,2026,null,12549,null,1368,null,35611,null,1473,null,3503,null,544,null,52045,null,2088,null,12517,null,1124,null,35772,null,1549,null,3756,null,442,null,0400000US09,Connecticut,09
25315,null,1316,null,1865,null,840,null,870,null,477,null,0,null,261,null,870,null,477,null,0,null,261,null,995,null,580,null,0,null,261,null,951,null,580,null,44,null,84,null,23450,null,1343,null,11239,null,1115,null,2553,null,625,null,7967,null,825,null,719,null,300,null,12211,null,792,null,3087,null,638,null,8122,null,510,null,1002,null,199,null,0400000US10,Delaware,10
16423,null,1494,null,1794,null,783,null,807,null,472,null,0,null,300,null,659,null,482,null,148,null,227,null,987,null,512,null,62,null,118,null,475,null,269,null,450,null,444,null,14629,null,1482,null,5490,null,1001,null,431,null,407,null,4491,null,1004,null,568,null,273,null,9139,null,906,null,1637,null,668,null,6698,null,599,null,804,null,450,null,0400000US11,District of Columbia,11
404755,null,5458,null,42769,null,5876,null,19395,null,3378,null,5374,null,1263,null,12733,null,2581,null,1288,null,605,null,23374,null,3673,null,5376,null,1728,null,16040,null,2479,null,1958,null,620,null,361986,null,7832,null,170174,null,4147,null,41990,null,2943,null,114520,null,2890,null,13664,null,1005,null,191812,null,5419,null,41416,null,2822,null,132390,null,3891,null,18006,null,1454,null,0400000US12,Florida,12
