B17019_001E,B17019_001EA,B17019_001M,B17019_001MA,B17019_002E,B17019_002EA,B17019_002M,B17019_002MA,B17019_003E,B17019_003EA,B17019_003M,B17019_003MA,B17019_004E,B17019_004EA,B17019_004M,B17019_004MA,B17019_005E,B17019_005EA,B17019_005M,B17019_005MA,B17019_006E,B17019_006EA,B17019_006M,B17019_006MA,B17019_007E,B17019_007EA,B17019_007M,B17019_007MA,B17019_008E,B17019_008EA,B17019_008M,B17019_008MA,B17019_009E,B17019_009EA,B17019_009M,B17019_009MA,B17019_010E,B17019_010EA,B17019_010M,B17019_010MA,B17019_011E,B17019_011EA,B17019_011M,B17019_011MA,B17019_012E,B17019_012EA,B17019_012M,B17019_012MA,B17019_013E,B17019_013EA,B17019_013M,B17019_013MA,B17019_014E,B17019_014EA,B17019_014M,B17019_014MA,B17019_015E,B17019_015EA,B17019_015M,B17019_015MA,B17019_016E,B17019_016EA,B17019_016M,B17019_016MA,B17019_017E,B17019_017EA,B17019_017M,B17019_017MA,B17019_018E,B17019_018EA,B17019_018M,B17019_018MA,B17019_019E,B17019_019EA,B17019_019M,B17019_019MA,B17019_020E,B17019_020EA,B17019_020M,B17019_020MA,B17019_021E,B17019_021EA,B17019_021M,B17019_021MA,B17019_022E,B17019_022EA,B17019_022M,B17019_022MA,B17019_023E,B17019_023EA,B17019_023M,B17019_023MA,GEO_ID,NAME,state
1245126,null,10267,null,162943,null,6985,null,47410,null,3265,null,27995,null,2531,null,19415,null,2203,null,115533,null,5973,null,14196,null,2492,null,5390,null,1280,null,8806,null,1970,null,101337,null,5260,null,27399,null,2220,null,73938,null,4572,null,1082183,null,10796,null,844063,null,11532,null,737100,null,10187,null,106963,null,5598,null,238120,null,7617,null,69330,null,4513,null,44997,null,3264,null,24333,null,2772,null,168790,null,6197,null,113101,null,5383,null,55689,null,3876,null,0400000US01,Alabama,01
162345,null,3643,null,10479,null,1522,null,2763,null,655,null,1347,null,320,null,1416,null,600,null,7716,null,1347,null,1883,null,491,null,700,null,279,null,1183,null,455,null,5833,null,1275,null,1663,null,546,null,4170,null,1167,null,151866,null,3431,null,119498,null,3693,null,90374,null,3031,null,29124,null,2377,null,32368,null,2434,null,11556,null,1713,null,6186,null,1289,null,5370,null,1189,null,20812,null,1761,null,12879,null,1495,null,7933,null,1115,null,0400000US02,Alaska,02
1491772,null,13954,null,151973,null,6630,null,61105,null,4394,null,31295,null,2757,null,29810,null,3059,null,90868,null,5411,null,17000,null,2498,null,5413,null,1316,null,11587,null,2111,null,73868,null,4510,null,20599,null,2054,null,53269,null,4612,null,1339799,null,14101,null,1053439,null,13199,null,883492,null,11740,null,169947,null,7534,null,286360,null,8101,null,95701,null,5924,null,58559,null,4496,null,37142,null,4036,null,190659,null,6341,null,111981,null,4906,null,78678,null,5113,null,0400000US04,Arizona,04
756113,null,10348,null,103529,null,5709,null,39058,null,3164,null,19440,null,2192,null,19618,null,2509,null,64471,null,4545,null,8333,null,1515,null,2379,null,686,null,5954,null,1441,null,56138,null,4189,null,13351,null,2068,null,42787,null,3809,null,652584,null,8478,null,531017,null,8564,null,451339,null,7949,null,79678,null,4343,null,121567,null,5267,null,36544,null,3490,null,23430,null,2438,null,13114,null,2032,null,85023,null,4446,null,49282,null,3529,null,35741,null,3152,null,0400000US05,Arkansas,05
8330684,null,27121,null,774183,null,13795,null,324337,null,8008,null,108212,null,5026,null,216125,null,7219,null,449846,null,10788,null,75843,null,5463,null,16294,null,1882,null,59549,null,4599,null,374003,null,9905,null,62617,null,3260,null,311386,null,9676,null,7556501,null,27990,null,5741409,null,29582,null,4257031,null,26719,null,1484378,null,18677,null,1815092,null,18672,null,625609,null,12139,null,318971,null,7874,null,306638,null,9008,null,1189483,null,15516,null,600120,null,11584,null,589363,null,12639,null,0400000US06,California,06
1202485,null,10691,null,100762,null,5794,null,42466,null,3763,null,19332,null,2162,null,23134,null,2732,null,58296,null,4342,null,9708,null,1845,null,3471,null,975,null,6237,null,1586,null,48588,null,3847,null,11066,null,1893,null,37522,null,3517,null,1101723,null,9674,null,891960,null,8790,null,760844,null,7611,null,131116,null,6072,null,209763,null,7543,null,78093,null,4952,null,48332,null,3765,null,29761,null,3028,null,131670,null,5798,null,80970,null,4161,null,50700,null,4204,null,0400000US08,Colorado,08
885471,null,7409,null,50353,null,3653,null,12002,null,1758,null,5911,null,1175,null,6091,null,1322,null,38351,null,3207,null,4965,null,1087,null,1143,null,498,null,3822,null,1083,null,33386,null,2966,null,3807,null,944,null,29579,null,2820,null,835118,null,6915,null,661740,null,8003,null,580050,null,7852,null,81690,null,3678,null,173378,null,6463,null,46656,null,3822,null,30304,null,2932,null,16352,null,2053,null,126722,null,4738,null,72905,null,3559,null,53817,null,3717,null,0400000US09,Connecticut,09
224451,null,4325,null,16916,null,2128,null,4532,null,966,null,2824,null,727,null,1708,null,719,null,12384,null,1845,null,1922,null,784,null,561,null,326,null,1361,null,735,null,10462,null,1635,null,2740,null,920,null,7722,null,1438,null,207535,null,4750,null,158450,null,5204,null,136062,null,4532,null,22388,null,2073,null,49085,null,3391,null,14286,null,2066,null,9718,null,1591,null,4568,null,1240,null,34799,null,2648,null,21350,null,2136,null,13449,null,1816,null,0400000US10,Delaware,10
108181,null,3697,null,14098,null,2048,null,1841,null,751,null,392,null,257,null,1449,null,705,null,12257,null,1930,null,701,null,357,null,415,null,348,null,286,null,213,null,11556,null,1898,null,1176,null,543,null,10380,null,1761,null,94083,null,3637,null,53949,null,2793,null,39547,null,2267,null,14402,null,2029,null,40134,null,2974,null,8733,null,1480,null,4067,null,924,null,4666,null,1187,null,31401,null,2731,null,14213,null,1826,null,17188,null,2222,null,0400000US11,District of Columbia,11
4626215,null,26538,null,397771,null,11413,null,150096,null,5696,null,88642,null,4978,null,61454,null,4285,null,247675,null,8906,null,34598,null,3680,null,13534,null,2103,null,21064,null,2738,null,213077,null,8911,null,60525,null,3868,null,152552,null,7502,null,4228444,null,24996,null,3264916,null,24612,null,2765414,null,23231,null,499502,null,13073,null,963528,null,16986,null,296716,null,9012,null,172387,null,6706,null,124329,null,6494,null,666812,null,14215,null,407956,null,10013,null,258856,null,9927,null,0400000US12,Florida,12
