B07003_001E,B07003_001EA,B07003_001M,B07003_001MA,B07003_002E,B07003_002EA,B07003_002M,B07003_002MA,B07003_003E,B07003_003EA,B07003_003M,B07003_003MA,B07003_004E,B07003_004EA,B07003_004M,B07003_004MA,B07003_005E,B07003_005EA,B07003_005M,B07003_005MA,B07003_006E,B07003_006EA,B07003_006M,B07003_006MA,B07003_007E,B07003_007EA,B07003_007M,B07003_007MA,B07003_008E,B07003_008EA,B07003_008M,B07003_008MA,B07003_009E,B07003_009EA,B07003_009M,B07003_009MA,B07003_010E,B07003_010EA,B07003_010M,B07003_010MA,B07003_011E,B07003_011EA,B07003_011M,B07003_011MA,B07003_012E,B07003_012EA,B07003_012M,B07003_012MA,B07003_013E,B07003_013EA,B07003_013M,B07003_013MA,B07003_014E,B07003_014EA,B07003_014M,B07003_014MA,B07003_015E,B07003_015EA,B07003_015M,B07003_015MA,B07003_016E,B07003_016EA,B07003_016M,B07003_016MA,B07003_017E,B07003_017EA,B07003_017M,B07003_017MA,B07003_018E,B07003_018EA,B07003_018M,B07003_018MA,GEO_ID,NAME,state
4567337,null,4144,null,2208501,null,6104,null,2358836,null,4835,null,3806523,null,22129,null,1824665,null,14777,null,1981858,null,12333,null,448808,null,17391,null,221030,null,9742,null,227778,null,10219,null,155479,null,8974,null,81666,null,5396,null,73813,null,5298,null,137795,null,8827,null,71378,null,5275,null,66417,null,4961,null,18732,null,4010,null,9762,null,2099,null,8970,null,2405,null,0400000US01,Alabama,01
673007,null,1494,null,352160,null,1888,null,320847,null,2005,null,529739,null,9472,null,270898,null,5347,null,258841,null,5371,null,78048,null,7724,null,43156,null,4548,null,34892,null,4033,null,20464,null,3277,null,12260,null,2030,null,8204,null,1836,null,36367,null,4147,null,19989,null,2656,null,16378,null,2370,null,8389,null,2553,null,5857,null,1993,null,2532,null,966,null,0400000US02,Alaska,02
6242274,null,5209,null,3125270,null,4427,null,3117004,null,4256,null,4988012,null,29989,null,2474004,null,18202,null,2514008,null,17000,null,823853,null,25427,null,419996,null,15439,null,403857,null,13428,null,105543,null,9460,null,59464,null,5609,null,46079,null,5470,null,262787,null,17087,null,136432,null,9691,null,126355,null,9182,null,62079,null,7393,null,35374,null,4805,null,26705,null,3958,null,0400000US04,Arizona,04
2794570,null,3125,null,1366388,null,4856,null,1428182,null,3945,null,2270297,null,18055,null,1107193,null,10617,null,1163104,null,10813,null,315070,null,15134,null,151905,null,8115,null,163165,null,9242,null,110178,null,7171,null,58518,null,4501,null,51660,null,4184,null,89148,null,8262,null,43406,null,4269,null,45742,null,5310,null,9877,null,2356,null,5366,null,1395,null,4511,null,1279,null,0400000US05,Arkansas,05
36025074,null,12085,null,18012059,null,9736,null,18013015,null,10392,null,30425142,null,75652,null,15115651,null,44239,null,15309491,null,43361,null,3682248,null,61163,null,1866098,null,34418,null,1816150,null,32542,null,1137687,null,27902,null,614875,null,15926,null,522812,null,15626,null,491058,null,17595,null,256958,null,10439,null,234100,null,10427,null,288939,null,13653,null,158477,null,9605,null,130462,null,6729,null,0400000US06,California,06
4792832,null,3927,null,2415871,null,4279,null,2376961,null,4092,null,3856888,null,21914,null,1929292,null,13298,null,1927596,null,12328,null,471129,null,19131,null,244196,null,11001,null,226933,null,10474,null,238031,null,12408,null,122340,null,7396,null,115691,null,7204,null,197883,null,11721,null,104352,null,7366,null,93531,null,6217,null,28901,null,3969,null,15691,null,2561,null,13210,null,2413,null,0400000US08,Colorado,08
3460793,null,2862,null,1683275,null,3115,null,1777518,null,2680,null,3029108,null,16145,null,1466166,null,8837,null,1562942,null,10053,null,268677,null,14212,null,130364,null,7983,null,138313,null,7992,null,65412,null,5235,null,37560,null,3461,null,27852,null,3100,null,78663,null,5788,null,39903,null,3580,null,38760,null,3490,null,18933,null,2713,null,9282,null,1588,null,9651,null,1774,null,0400000US09,Connecticut,09
855328,null,1499,null,413734,null,1499,null,441594,null,1209,null,727191,null,8683,null,352876,null,4773,null,374315,null,5333,null,74650,null,6705,null,37051,null,3918,null,37599,null,3956,null,8336,null,2106,null,4339,null,1190,null,3997,null,1328,null,40392,null,4806,null,17144,null,2481,null,23248,null,3013,null,4759,null,1490,null,2324,null,894,null,2435,null,983,null,0400000US10,Delaware,10
579800,null,1573,null,272870,null,1624,null,306930,null,1311,null,467040,null,7392,null,220511,null,4233,null,246529,null,4453,null,58181,null,6847,null,25897,null,3506,null,32284,null,4243,null,0,null,300,null,0,null,300,null,0,null,300,null,47654,null,4236,null,23499,null,2905,null,24155,null,2540,null,6925,null,1878,null,2963,null,1165,null,3962,null,1230,null,0400000US11,District of Columbia,11
18024300,null,7463,null,8852801,null,9676,null,9171499,null,8895,null,14989068,null,42980,null,7292378,null,24817,null,7696690,null,27051,null,1800459,null,34259,null,906015,null,21150,null,894444,null,20175,null,588502,null,20193,null,320989,null,11871,null,267513,null,11786,null,493527,null,20268,null,252523,null,9417,null,241004,null,12588,null,152744,null,11028,null,80896,null,6320,null,71848,null,6244,null,0400000US12,Florida,12
9408620,null,5468,null,4631313,null,7075,null,4777307,null,7507,null,7699590,null,33311,null,3758908,null,17761,null,3940682,null,21199,null,829455,null,24207,null,405826,null,13335,null,423629,null,14434,null,491202,null,19046,null,267916,null,12649,null,223286,null,10180,null,336016,null,17130,null,165989,null,8183,null,170027,null,10650,null,52357,null,5772,null,32674,null,4029,null,19683,null,2930,null,0400000US13,Georgia,13
1265984,null,2252,null,636493,null,2621,null,629491,null,2237,null,1065193,null,12061,null,531898,null,6780,null,533295,null,6477,null,123652,null,10020,null,63492,null,5372,null,60160,null,5625,null,8924,null,2337,null,5042,null,1675,null,3882,null,1250,null,51973,null,5688,null,27774,null,3730,null,24199,null,2938,null,16242,null,3035,null,8287,null,1858,null,7955,null,1997,null,0400000US15,Hawaii,15
1475862,null,2225,null,739904,null,2454,null,735958,null,2655,null,1189228,null,10810,null,592218,null,7156,null,597010,null,6142,null,159088,null,8894,null,78823,null,4733,null,80265,null,5162,null,50873,null,5333,null,27454,null,3159,null,23419,null,3154,null,66226,null,5619,null,34718,null,3628,null,31508,null,2922,null,10447,null,2351,null,6691,null,1573,null,3756,null,1429,null,0400000US16,Idaho,16
12681178,null,5611,null,6245937,null,4949,null,6435241,null,4944,null,10863406,null,36837,null,5322450,null,20063,null,5540956,null,21529,null,1138451,null,31803,null,566356,null,17127,null,572095,null,18243,null,377268,null,15583,null,198851,null,8913,null,178417,null,8474,null,232514,null,11331,null,123976,null,6701,null,108538,null,6755,null,69539,null,7520,null,34304,null,4124,null,35235,null,4411,null,0400000US17,Illinois,17
6258238,null,3958,null,3079796,null,4864,null,3178442,null,4412,null,5228270,null,25826,null,2553733,null,15533,null,2674537,null,14390,null,628835,null,24661,null,309575,null,13886,null,319260,null,13644,null,230778,null,9860,null,124418,null,6445,null,106360,null,5462,null,149903,null,9360,null,80271,null,5636,null,69632,null,5069,null,20452,null,2960,null,11799,null,2223,null,8653,null,1346,null,0400000US18,Indiana,18
2948895,null,2684,null,1454998,null,3639,null,1493897,null,3068,null,2467500,null,16825,null,1213128,null,10077,null,1254372,null,8981,null,275429,null,11029,null,134900,null,7245,null,140529,null,6084,null,114295,null,7122,null,59141,null,3977,null,55154,null,4033,null,82676,null,6667,null,42792,null,3479,null,39884,null,3909,null,8995,null,1775,null,5037,null,1037,null,3958,null,1066,null,0400000US19,Iowa,19
2735611,null,2482,null,1353492,null,3190,null,1382119,null,3604,null,2236771,null,17973,null,1101142,null,10900,null,1135629,null,9421,null,289141,null,14324,null,140214,null,8678,null,148927,null,7635,null,108949,null,7691,null,57964,null,4666,null,50985,null,4659,null,86390,null,6107,null,46058,null,3879,null,40332,null,3635,null,14360,null,2608,null,8114,null,1723,null,6246,null,1548,null,0400000US20,Kansas,20
4184611,null,3416,null,2046134,null,4526,null,2138477,null,4727,null,3506275,null,19953,null,1706265,null,11028,null,1800010,null,12560,null,382133,null,15249,null,187020,null,8803,null,195113,null,9464,null,157946,null,8759,null,79828,null,4926,null,78118,null,5715,null,123463,null,8806,null,63582,null,5022,null,59881,null,5323,null,14794,null,3012,null,9439,null,2174,null,5355,null,1405,null,0400000US21,Kentucky,21
4236544,null,3560,null,2057996,null,4936,null,2178548,null,5473,null,3563093,null,20197,null,1720999,null,11215,null,1842094,null,12383,null,373756,null,16770,null,180568,null,9362,null,193188,null,10155,null,156062,null,10171,null,83303,null,5856,null,72759,null,5785,null,127684,null,8908,null,64258,null,5403,null,63426,null,5243,null,15949,null,3250,null,8868,null,1872,null,7081,null,1814,null,0400000US22,Louisiana,22
