B24081_001E,B24081_001EA,B24081_001M,B24081_001MA,B24081_002E,B24081_002EA,B24081_002M,B24081_002MA,B24081_003E,B24081_003EA,B24081_003M,B24081_003MA,B24081_004E,B24081_004EA,B24081_004M,B24081_004MA,B24081_005E,B24081_005EA,B24081_005M,B24081_005MA,B24081_006E,B24081_006EA,B24081_006M,B24081_006MA,B24081_007E,B24081_007EA,B24081_007M,B24081_007MA,B24081_008E,B24081_008EA,B24081_008M,B24081_008MA,B24081_009E,B24081_009EA,B24081_009M,B24081_009MA,B24081_010E,B24081_010EA,B24081_010M,B24081_010MA,GEO_ID,NAME,state
28221,null,465,null,26877,null,318,null,26423,null,334,null,43045,null,5350,null,26654,null,1091,null,33298,null,1404,null,35882,null,962,null,51065,null,1235,null,23995,null,2385,null,6358,null,2409,null,0400000US01,Alabama,01
35502,null,786,null,31155,null,733,null,30583,null,741,null,60705,null,11068,null,36082,null,2002,null,41586,null,2652,null,45121,null,2253,null,51015,null,1266,null,30672,null,3797,null,9747,null,20059,null,0400000US02,Alaska,02
30990,null,255,null,30398,null,255,null,29777,null,465,null,50624,null,1218,null,31300,null,1480,null,35628,null,850,null,34724,null,988,null,46120,null,1577,null,22974,null,1757,null,12368,null,4666,null,0400000US04,Arizona,04
25945,null,339,null,24948,null,512,null,24075,null,605,null,42424,null,5775,null,26376,null,1170,null,29907,null,1396,null,32282,null,1246,null,46059,null,2638,null,21377,null,954,null,5436,null,1873,null,0400000US05,Arkansas,05
33449,null,213,null,31516,null,119,null,30939,null,120,null,61601,null,634,null,36293,null,503,null,44571,null,761,null,45560,null,728,null,50834,null,641,null,30374,null,325,null,12186,null,2327,null,0400000US06,California,06
33059,null,440,null,32445,null,409,null,31836,null,339,null,46788,null,2546,null,31502,null,902,null,37686,null,969,null,35767,null,1236,null,51962,null,1781,null,25636,null,1092,null,11380,null,1630,null,0400000US08,Colorado,08
39633,null,691,null,38386,null,919,null,37125,null,475,null,62273,null,5629,null,36128,null,1098,null,45907,null,1049,null,50241,null,2379,null,52291,null,1589,null,31932,null,1597,null,11010,null,7444,null,0400000US09,Connecticut,09
35316,null,710,null,34265,null,1428,null,33711,null,1392,null,49518,null,7435,null,34115,null,2225,null,40960,null,2435,null,38174,null,2975,null,50244,null,2083,null,27153,null,1872,null,17571,null,47789,null,0400000US10,Delaware,10
42440,null,1668,null,36496,null,1646,null,35844,null,1694,null,60167,null,16583,null,45819,null,2314,null,43546,null,4224,null,47264,null,7448,null,61742,null,2994,null,35625,null,4437,null,2499,"2,500-",0,***,0400000US11,District of Columbia,11
30363,null,138,null,29064,null,285,null,27529,null,250,null,45480,null,1505,null,31408,null,429,null,37271,null,444,null,35679,null,694,null,49510,null,1146,null,21533,null,514,null,16411,null,4915,null,0400000US12,Florida,12
