B07404F_001E,B07404F_001EA,B07404F_001M,B07404F_001MA,B07404F_002E,B07404F_002EA,B07404F_002M,B07404F_002MA,B07404F_003E,B07404F_003EA,B07404F_003M,B07404F_003MA,B07404F_004E,B07404F_004EA,B07404F_004M,B07404F_004MA,B07404F_005E,B07404F_005EA,B07404F_005M,B07404F_005MA,GEO_ID,NAME,state
33247,null,3798,null,26986,null,3585,null,3716,null,1640,null,648,null,442,null,1897,null,1019,null,0400000US01,Alabama,01
15107,null,2973,null,10424,null,2427,null,2929,null,1375,null,24,null,42,null,1730,null,957,null,0400000US02,Alaska,02
642235,null,20452,null,505737,null,17719,null,113017,null,11757,null,12067,null,2405,null,11414,null,2757,null,0400000US04,Arizona,04
57415,null,6056,null,46110,null,5749,null,8387,null,2279,null,588,null,418,null,2330,null,1542,null,0400000US05,Arkansas,05
5961031,null,61000,null,4990584,null,57614,null,724189,null,24899,null,180305,null,15330,null,65953,null,7232,null,0400000US06,California,06
292667,null,13336,null,229443,null,12915,null,37382,null,5691,null,18994,null,4271,null,6848,null,1827,null,0400000US08,Colorado,08
181237,null,9358,null,143456,null,9681,null,30962,null,5717,null,3962,null,1347,null,2857,null,1468,null,0400000US09,Connecticut,09
17568,null,2801,null,15660,null,2556,null,1180,null,635,null,142,null,238,null,586,null,499,null,0400000US10,Delaware,10
27359,null,4070,null,21936,null,3673,null,2428,null,1436,null,0,null,267,null,2995,null,1611,null,0400000US11,District of Columbia,11
712030,null,23784,null,556751,null,22589,null,98712,null,10849,null,28267,null,4826,null,28300,null,4255,null,0400000US12,Florida,12
332894,null,14393,null,264535,null,12569,null,38839,null,6475,null,19724,null,4331,null,9796,null,2923,null,0400000US13,Georgia,13
16757,null,3613,null,12099,null,2497,null,1451,null,707,null,162,null,191,null,3045,null,2627,null,0400000US15,Hawaii,15
31062,null,4136,null,24557,null,3256,null,4479,null,1984,null,592,null,366,null,1434,null,809,null,0400000US16,Idaho,16
1105237,null,19930,null,936133,null,22967,null,135177,null,12316,null,19829,null,4444,null,14098,null,3691,null,0400000US17,Illinois,17
144063,null,8422,null,118844,null,7537,null,15935,null,3409,null,4279,null,1555,null,5005,null,1979,null,0400000US18,Indiana,18
47837,null,5362,null,34530,null,4638,null,8819,null,2311,null,3225,null,1664,null,1263,null,778,null,0400000US19,Iowa,19
