B20017I_001E,B20017I_001EA,B20017I_001M,B20017I_001MA,B20017I_002E,B20017I_002EA,B20017I_002M,B20017I_002MA,B20017I_003E,B20017I_003EA,B20017I_003M,B20017I_003MA,B20017I_004E,B20017I_004EA,B20017I_004M,B20017I_004MA,B20017I_005E,B20017I_005EA,B20017I_005M,B20017I_005MA,B20017I_006E,B20017I_006EA,B20017I_006M,B20017I_006MA,B20017I_007E,B20017I_007EA,B20017I_007M,B20017I_007MA,GEO_ID,NAME,state
18074,null,1159,null,19813,null,1050,null,22075,null,1374,null,10961,null,2086,null,13190,null,2428,null,21908,null,5208,null,7431,null,1498,null,0400000US01,Alabama,01
23101,null,1586,null,25415,null,2533,null,32068,null,7095,null,16393,null,3708,null,19400,null,2657,null,24688,null,3176,null,8665,null,4479,null,0400000US02,Alaska,02
21642,null,382,null,24847,null,685,null,29342,null,1122,null,12652,null,853,null,17344,null,506,null,24820,null,787,null,9504,null,455,null,0400000US04,Arizona,04
19204,null,1037,null,20762,null,817,null,22362,null,1095,null,13313,null,2229,null,15093,null,1226,null,20061,null,1954,null,10070,null,1639,null,0400000US05,Arkansas,05
21651,null,140,null,24741,null,277,null,30306,null,251,null,13801,null,348,null,17302,null,172,null,26057,null,296,null,9939,null,167,null,0400000US06,California,06
21446,null,538,null,23588,null,895,null,29147,null,2254,null,12804,null,1259,null,17436,null,933,null,26883,null,1593,null,9263,null,922,null,0400000US08,Colorado,08
23232,null,1493,null,27096,null,1511,null,35021,null,2580,null,11019,null,1099,null,20382,null,673,null,28672,null,2098,null,11422,null,724,null,0400000US09,Connecticut,09
21432,null,1506,null,23448,null,3340,null,25921,null,1895,null,16875,null,3373,null,17470,null,3208,null,25918,null,6117,null,9017,null,2545,null,0400000US10,Delaware,10
26983,null,3671,null,30992,null,7227,null,33492,null,4263,null,17436,null,5612,null,22533,null,5024,null,23967,null,7560,null,21022,null,11804,null,0400000US11,District of Columbia,11
23029,null,357,null,25752,null,327,null,30370,null,394,null,14006,null,883,null,20109,null,384,null,26335,null,417,null,10541,null,280,null,0400000US12,Florida,12
20428,null,449,null,21378,null,510,null,25409,null,638,null,14077,null,894,null,16576,null,857,null,24070,null,1768,null,9132,null,1025,null,0400000US13,Georgia,13
26836,null,2798,null,30510,null,1657,null,35470,null,3897,null,20009,null,7598,null,22991,null,1722,null,32013,null,1912,null,9677,null,2124,null,0400000US15,Hawaii,15
19438,null,1490,null,22272,null,1020,null,26927,null,1236,null,12317,null,1937,null,12222,null,955,null,20721,null,1481,null,7222,null,1167,null,0400000US16,Idaho,16
22498,null,447,null,26085,null,456,null,30507,null,519,null,15436,null,747,null,17493,null,515,null,24618,null,763,null,9702,null,739,null,0400000US17,Illinois,17
20429,null,764,null,22569,null,1830,null,28879,null,2056,null,12472,null,2391,null,16435,null,971,null,22572,null,1621,null,6853,null,784,null,0400000US18,Indiana,18
