C20005I_001E,C20005I_001EA,C20005I_001M,C20005I_001MA,C20005I_002E,C20005I_002EA,C20005I_002M,C20005I_002MA,C20005I_003E,C20005I_003EA,C20005I_003M,C20005I_003MA,C20005I_004E,C20005I_004EA,C20005I_004M,C20005I_004MA,C20005I_005E,C20005I_005EA,C20005I_005M,C20005I_005MA,C20005I_006E,C20005I_006EA,C20005I_006M,C20005I_006MA,C20005I_007E,C20005I_007EA,C20005I_007M,C20005I_007MA,C20005I_008E,C20005I_008EA,C20005I_008M,C20005I_008MA,C20005I_009E,C20005I_009EA,C20005I_009M,C20005I_009MA,C20005I_010E,C20005I_010EA,C20005I_010M,C20005I_010MA,C20005I_011E,C20005I_011EA,C20005I_011M,C20005I_011MA,C20005I_012E,C20005I_012EA,C20005I_012M,C20005I_012MA,C20005I_013E,C20005I_013EA,C20005I_013M,C20005I_013MA,C20005I_014E,C20005I_014EA,C20005I_014M,C20005I_014MA,C20005I_015E,C20005I_015EA,C20005I_015M,C20005I_015MA,C20005I_016E,C20005I_016EA,C20005I_016M,C20005I_016MA,C20005I_017E,C20005I_017EA,C20005I_017M,C20005I_017MA,C20005I_018E,C20005I_018EA,C20005I_018M,C20005I_018MA,C20005I_019E,C20005I_019EA,C20005I_019M,C20005I_019MA,C20005I_020E,C20005I_020EA,C20005I_020M,C20005I_020MA,C20005I_021E,C20005I_021EA,C20005I_021M,C20005I_021MA,C20005I_022E,C20005I_022EA,C20005I_022M,C20005I_022MA,C20005I_023E,C20005I_023EA,C20005I_023M,C20005I_023MA,C20005I_024E,C20005I_024EA,C20005I_024M,C20005I_024MA,C20005I_025E,C20005I_025EA,C20005I_025M,C20005I_025MA,C20005I_026E,C20005I_026EA,C20005I_026M,C20005I_026MA,C20005I_027E,C20005I_027EA,C20005I_027M,C20005I_027MA,C20005I_028E,C20005I_028EA,C20005I_028M,C20005I_028MA,C20005I_029E,C20005I_029EA,C20005I_029M,C20005I_029MA,C20005I_030E,C20005I_030EA,C20005I_030M,C20005I_030MA,C20005I_031E,C20005I_031EA,C20005I_031M,C20005I_031MA,C20005I_032E,C20005I_032EA,C20005I_032M,C20005I_032MA,C20005I_033E,C20005I_033EA,C20005I_033M,C20005I_033MA,C20005I_034E,C20005I_034EA,C20005I_034M,C20005I_034MA,C20005I_035E,C20005I_035EA,C20005I_035M,C20005I_035MA,C20005I_036E,C20005I_036EA,C20005I_036M,C20005I_036MA,C20005I_037E,C20005I_037EA,C20005I_037M,C20005I_037MA,C20005I_038E,C20005I_038EA,C20005I_038M,C20005I_038MA,C20005I_039E,C20005I_039EA,C20005I_039M,C20005I_039MA,GEO_ID,NAME,state
77991,null,1465,null,44476,null,1316,null,28134,null,2271,null,0,null,267,null,28134,null,2271,null,1077,null,675,null,10363,null,2019,null,8143,null,1560,null,5386,null,1360,null,1977,null,905,null,1188,null,464,null,16342,null,2113,null,4618,null,993,null,11724,null,1854,null,5398,null,1165,null,3419,null,1007,null,1501,null,685,null,776,null,361,null,218,null,255,null,412,null,531,null,33515,null,1496,null,7564,null,1081,null,0,null,267,null,7564,null,1081,null,426,null,321,null,2918,null,790,null,1817,null,739,null,1553,null,647,null,525,null,307,null,325,null,298,null,25951,null,1568,null,14375,null,1501,null,11576,null,1470,null,7429,null,1346,null,2479,null,922,null,957,null,497,null,519,null,310,null,120,null,159,null,72,null,87,null,0400000US01,Alabama,01
26023,null,768,null,14399,null,874,null,5827,null,1185,null,0,null,237,null,5827,null,1185,null,0,null,237,null,378,null,311,null,2117,null,881,null,1873,null,715,null,1090,null,513,null,369,null,306,null,8572,null,1395,null,1605,null,619,null,6967,null,1255,null,2289,null,847,null,1752,null,752,null,977,null,552,null,1112,null,617,null,732,null,613,null,105,null,111,null,11624,null,629,null,3274,null,763,null,0,null,237,null,3274,null,763,null,0,null,237,null,979,null,493,null,964,null,550,null,786,null,300,null,402,null,217,null,143,null,256,null,8350,null,976,null,2750,null,700,null,5600,null,970,null,2996,null,837,null,687,null,370,null,1123,null,591,null,427,null,368,null,245,null,272,null,122,null,185,null,0400000US02,Alaska,02
1245435,null,3285,null,651343,null,2431,null,369189,null,7417,null,0,null,292,null,369189,null,7417,null,7413,null,1534,null,87908,null,6271,null,93021,null,5695,null,113932,null,6768,null,45651,null,4023,null,21264,null,2538,null,282154,null,7819,null,120177,null,5437,null,161977,null,7157,null,63660,null,4632,null,44300,null,3928,null,22815,null,2388,null,19677,null,2596,null,6564,null,1335,null,4961,null,1401,null,594092,null,2209,null,182356,null,7389,null,0,null,292,null,182356,null,7389,null,7719,null,1451,null,51897,null,5218,null,54191,null,4296,null,47439,null,3658,null,14108,null,1923,null,7002,null,1314,null,411736,null,7680,null,241574,null,6849,null,170162,null,7714,null,88609,null,5647,null,46420,null,3855,null,18278,null,2443,null,11647,null,1358,null,3269,null,905,null,1939,null,978,null,0400000US04,Arizona,04
93333,null,1980,null,52739,null,2541,null,29650,null,2498,null,0,null,267,null,29650,null,2498,null,504,null,316,null,10563,null,1721,null,11044,null,1578,null,4512,null,1278,null,2042,null,774,null,985,null,627,null,23089,null,2377,null,7313,null,1528,null,15776,null,1997,null,5913,null,1223,null,3895,null,932,null,3153,null,1008,null,1906,null,990,null,601,null,556,null,308,null,271,null,40594,null,1673,null,11531,null,1472,null,0,null,267,null,11531,null,1472,null,290,null,203,null,5418,null,1242,null,3996,null,1021,null,1190,null,675,null,415,null,281,null,222,null,223,null,29063,null,1993,null,17664,null,1787,null,11399,null,1611,null,5643,null,1119,null,3710,null,1072,null,1020,null,550,null,1026,null,642,null,0,null,267,null,0,null,267,null,0400000US05,Arkansas,05
9113309,null,7332,null,4692176,null,5198,null,2461855,null,18527,null,0,null,292,null,2461855,null,18527,null,49266,null,4612,null,568919,null,14745,null,592889,null,14589,null,690079,null,14751,null,351328,null,10392,null,209374,null,8036,null,2230321,null,19876,null,934467,null,13626,null,1295854,null,19433,null,476273,null,12054,null,346833,null,11247,null,185056,null,8139,null,173345,null,7786,null,75013,null,4621,null,39334,null,3124,null,4421133,null,4864,null,1309912,null,13518,null,132,null,164,null,1309780,null,13534,null,45906,null,3847,null,390195,null,11340,null,313956,null,8450,null,345538,null,9088,null,142401,null,5530,null,71784,null,4275,null,3111221,null,14117,null,1764412,null,16430,null,1346809,null,16966,null,676636,null,12168,null,362649,null,10801,null,135477,null,6169,null,101824,null,4406,null,46484,null,3449,null,23739,null,2250,null,0400000US06,California,06
659994,null,1824,null,351871,null,1993,null,177483,null,5627,null,11,null,21,null,177472,null,5629,null,8106,null,2634,null,38679,null,4649,null,43889,null,3709,null,54239,null,4512,null,20810,null,2600,null,11749,null,2065,null,174388,null,5807,null,62314,null,4131,null,112074,null,5892,null,44801,null,4416,null,25801,null,2883,null,17138,null,2821,null,15802,null,2045,null,5769,null,1316,null,2763,null,875,null,308123,null,1950,null,96769,null,4654,null,70,null,114,null,96699,null,4663,null,5209,null,1605,null,23642,null,3493,null,25548,null,2851,null,28339,null,2643,null,9770,null,1894,null,4191,null,1356,null,211354,null,4870,null,110856,null,3907,null,100498,null,4337,null,52639,null,3904,null,25598,null,2981,null,11179,null,1772,null,7913,null,1681,null,2622,null,709,null,547,null,338,null,0400000US08,Colorado,08
285747,null,1379,null,143872,null,1241,null,71347,null,3087,null,0,null,273,null,71347,null,3087,null,523,null,439,null,9877,null,1823,null,16939,null,2134,null,24429,null,2449,null,12396,null,2195,null,7183,null,1585,null,72525,null,3601,null,28468,null,2761,null,44057,null,3340,null,20402,null,2359,null,9946,null,2030,null,5251,null,1194,null,5990,null,1424,null,1193,null,587,null,1275,null,530,null,141875,null,918,null,46695,null,2685,null,0,null,273,null,46695,null,2685,null,684,null,487,null,9766,null,1760,null,14066,null,1819,null,13654,null,1869,null,5943,null,1280,null,2582,null,783,null,95180,null,2969,null,47794,null,2906,null,47386,null,2512,null,20401,null,2143,null,14994,null,1969,null,5341,null,1032,null,3803,null,923,null,1955,null,736,null,892,null,426,null,0400000US09,Connecticut,09
35913,null,356,null,18959,null,317,null,10943,null,1292,null,0,null,261,null,10943,null,1292,null,0,null,261,null,3076,null,1098,null,3456,null,996,null,2444,null,759,null,1040,null,546,null,927,null,539,null,8016,null,1285,null,2771,null,881,null,5245,null,1229,null,1680,null,723,null,1517,null,653,null,928,null,470,null,651,null,458,null,311,null,315,null,158,null,188,null,16954,null,412,null,5317,null,825,null,0,null,261,null,5317,null,825,null,261,null,270,null,1189,null,575,null,1576,null,624,null,1333,null,669,null,836,null,448,null,122,null,194,null,11637,null,934,null,7737,null,992,null,3900,null,779,null,2138,null,643,null,1399,null,565,null,266,null,198,null,21,null,35,null,51,null,70,null,25,null,44,null,0400000US10,Delaware,10
39029,null,279,null,20760,null,415,null,13118,null,1273,null,0,null,300,null,13118,null,1273,null,532,null,464,null,1497,null,796,null,3736,null,886,null,3900,null,1572,null,1883,null,1012,null,1570,null,784,null,7642,null,1357,null,3374,null,1076,null,4268,null,1169,null,1138,null,655,null,1226,null,734,null,362,null,315,null,727,null,551,null,426,null,404,null,389,null,292,null,18269,null,360,null,7648,null,1280,null,0,null,300,null,7648,null,1280,null,218,null,342,null,2554,null,988,null,1503,null,786,null,1558,null,661,null,1097,null,619,null,718,null,506,null,10621,null,1323,null,4586,null,1249,null,6035,null,1109,null,1494,null,527,null,1360,null,887,null,915,null,614,null,1543,null,782,null,360,null,346,null,363,null,319,null,0400000US11,District of Columbia,11
2879041,null,3116,null,1452033,null,2956,null,808747,null,11067,null,42,null,68,null,808705,null,11061,null,11941,null,2302,null,178679,null,9814,null,205308,null,9647,null,224433,null,8678,null,109045,null,5844,null,79299,null,5408,null,643286,null,11176,null,299821,null,7077,null,343465,null,9909,null,123890,null,5790,null,90296,null,5935,null,57611,null,5144,null,44527,null,3524,null,14428,null,2109,null,12713,null,1794,null,1427008,null,2856,null,497347,null,8807,null,108,null,127,null,497239,null,8794,null,18954,null,2781,null,139142,null,7069,null,129947,null,6720,null,135300,null,6063,null,48427,null,3404,null,25469,null,2502,null,929661,null,9182,null,565126,null,7892,null,364535,null,8948,null,172988,null,6402,null,97300,null,5071,null,38533,null,3151,null,38861,null,3213,null,10583,null,1606,null,6270,null,1241,null,0400000US12,Florida,12
