B07404D_001E,B07404D_001EA,B07404D_001M,B07404D_001MA,B07404D_002E,B07404D_002EA,B07404D_002M,B07404D_002MA,B07404D_003E,B07404D_003EA,B07404D_003M,B07404D_003MA,B07404D_004E,B07404D_004EA,B07404D_004M,B07404D_004MA,B07404D_005E,B07404D_005EA,B07404D_005M,B07404D_005MA,GEO_ID,NAME,state
42537,null,3206,null,34951,null,3087,null,4266,null,1772,null,1532,null,784,null,1788,null,899,null,0400000US01,Alabama,01
31344,null,2118,null,25572,null,1957,null,3486,null,1323,null,767,null,666,null,1519,null,826,null,0400000US02,Alaska,02
141582,null,4567,null,116144,null,4651,null,18703,null,3049,null,1059,null,643,null,5676,null,1945,null,0400000US04,Arizona,04
32682,null,3770,null,26238,null,3543,null,2610,null,1203,null,1397,null,652,null,2437,null,1593,null,0400000US05,Arkansas,05
4364588,null,17974,null,3807621,null,24052,null,371568,null,18294,null,128941,null,9882,null,56458,null,5327,null,0400000US06,California,06
127996,null,4336,null,105268,null,3249,null,12367,null,2247,null,3484,null,1142,null,6877,null,2227,null,0400000US08,Colorado,08
114397,null,3456,null,97229,null,3057,null,7732,null,2467,null,2880,null,1292,null,6556,null,2120,null,0400000US09,Connecticut,09
24369,null,1958,null,20212,null,1761,null,2563,null,1067,null,0,null,267,null,1594,null,954,null,0400000US10,Delaware,10
15862,null,1884,null,11557,null,1457,null,1946,null,709,null,0,null,267,null,2359,null,1278,null,0400000US11,District of Columbia,11
395938,null,7501,null,335308,null,7460,null,30665,null,4552,null,13339,null,3130,null,16626,null,3477,null,0400000US12,Florida,12
252337,null,5171,null,208080,null,6359,null,22114,null,4019,null,11844,null,2355,null,10299,null,2036,null,0400000US13,Georgia,13
490146,null,9065,null,444259,null,8888,null,34844,null,5606,null,2652,null,1160,null,8391,null,2820,null,0400000US15,Hawaii,15
15986,null,2387,null,13020,null,1748,null,913,null,436,null,453,null,296,null,1600,null,1241,null,0400000US16,Idaho,16
526163,null,7410,null,449749,null,8545,null,44677,null,5836,null,13364,null,2587,null,18373,null,3133,null,0400000US17,Illinois,17
74579,null,3433,null,60542,null,3167,null,7522,null,1669,null,2222,null,819,null,4293,null,1279,null,0400000US18,Indiana,18
44934,null,3058,null,32897,null,2853,null,7385,null,2756,null,1539,null,632,null,3113,null,1763,null,0400000US19,Iowa,19
55961,null,2777,null,44324,null,3440,null,6508,null,2182,null,1368,null,728,null,3761,null,1309,null,0400000US20,Kansas,20
38290,null,2834,null,29908,null,2570,null,3568,null,1066,null,1177,null,530,null,3637,null,1534,null,0400000US21,Kentucky,21
56419,null,2373,null,46974,null,2394,null,3687,null,1295,null,3313,null,1149,null,2445,null,1190,null,0400000US22,Louisiana,22
12701,null,982,null,10027,null,956,null,982,null,610,null,772,null,539,null,920,null,495,null,0400000US23,Maine,23
262839,null,4818,null,226549,null,5829,null,19622,null,4026,null,7228,null,1859,null,9440,null,2344,null,0400000US24,Maryland,24
293192,null,5368,null,246110,null,5583,null,27063,null,3785,null,6981,null,1341,null,13038,null,2189,null,0400000US25,Massachusetts,25
223921,null,5443,null,187211,null,5227,null,18559,null,2845,null,6408,null,1483,null,11743,null,2726,null,0400000US26,Michigan,26
170943,null,4451,null,136787,null,6676,null,18689,null,4561,null,9797,null,3050,null,5670,null,1914,null,0400000US27,Minnesota,27
21353,null,2995,null,16828,null,2819,null,1466,null,999,null,593,null,398,null,2466,null,1007,null,0400000US28,Mississippi,28
77225,null,4221,null,60979,null,3270,null,5792,null,1534,null,4298,null,1356,null,6156,null,1750,null,0400000US29,Missouri,29
4197,null,836,null,2764,null,713,null,728,null,415,null,236,null,296,null,469,null,330,null,0400000US30,Montana,30
24796,null,1942,null,20383,null,1800,null,2637,null,1126,null,471,null,407,null,1305,null,720,null,0400000US31,Nebraska,31
146431,null,5221,null,120624,null,4796,null,18833,null,3359,null,756,null,538,null,6218,null,2575,null,0400000US32,Nevada,32
26383,null,2208,null,19539,null,1916,null,3269,null,1445,null,810,null,598,null,2765,null,1625,null,0400000US33,New Hampshire,33
623500,null,6759,null,545387,null,7576,null,41141,null,5151,null,19815,null,3138,null,17157,null,2634,null,0400000US34,New Jersey,34
25396,null,1766,null,21736,null,1656,null,2132,null,635,null,218,null,210,null,1310,null,779,null,0400000US35,New Mexico,35
1277992,null,10262,null,1114264,null,12324,null,100289,null,9087,null,31019,null,4478,null,32420,null,4148,null,0400000US36,New York,36
149844,null,4384,null,125139,null,4718,null,12648,null,3130,null,5477,null,1384,null,6580,null,1764,null,0400000US37,North Carolina,37
6508,null,1555,null,4782,null,1467,null,889,null,495,null,220,null,237,null,617,null,381,null,0400000US38,North Dakota,38
167187,null,4947,null,136061,null,5117,null,17890,null,2789,null,4292,null,1295,null,8944,null,2022,null,0400000US39,Ohio,39
55315,null,3616,null,43875,null,3741,null,6267,null,1800,null,1630,null,719,null,3543,null,1432,null,0400000US40,Oklahoma,40
