B22005A_001E,B22005A_001EA,B22005A_001M,B22005A_001MA,B22005A_002E,B22005A_002EA,B22005A_002M,B22005A_002MA,B22005A_003E,B22005A_003EA,B22005A_003M,B22005A_003MA,GEO_ID,NAME,state
1306800,null,7471,null,73312,null,4291,null,1233488,null,8734,null,0400000US01,Alabama,01
178066,null,2729,null,7973,null,1305,null,170093,null,2680,null,0400000US02,Alaska,02
1838976,null,9289,null,94613,null,4817,null,1744363,null,9772,null,0400000US04,Arizona,04
889609,null,6202,null,76566,null,4487,null,813043,null,7214,null,0400000US05,Arkansas,05
8108964,null,22755,null,260975,null,7904,null,7847989,null,23451,null,0400000US06,California,06
1611183,null,9086,null,64078,null,4510,null,1547105,null,9633,null,0400000US08,Colorado,08
1090944,null,5721,null,39491,null,3840,null,1051453,null,6098,null,0400000US09,Connecticut,09
247644,null,3214,null,9604,null,1542,null,238040,null,3232,null,0400000US10,Delaware,10
102308,null,3099,null,1325,null,843,null,100983,null,2983,null,0400000US11,District of Columbia,11
5723889,null,17488,null,247963,null,8390,null,5475926,null,18222,null,0400000US12,Florida,12
2229166,null,11678,null,103064,null,5604,null,2126102,null,13314,null,0400000US13,Georgia,13
146530,null,3170,null,5285,null,1082,null,141245,null,3297,null,0400000US15,Hawaii,15
527956,null,3904,null,29879,null,2773,null,498077,null,4457,null,0400000US16,Idaho,16
3581671,null,13029,null,175031,null,7388,null,3406640,null,13728,null,0400000US17,Illinois,17
2147128,null,9013,null,145658,null,4209,null,2001470,null,10000,null,0400000US18,Indiana,18
1147470,null,5766,null,82636,null,3762,null,1064834,null,6389,null,0400000US19,Iowa,19
958308,null,5719,null,49383,null,3677,null,908925,null,6532,null,0400000US20,Kansas,20
1492505,null,9799,null,173455,null,5869,null,1319050,null,10382,null,0400000US21,Kentucky,21
1076315,null,7835,null,69774,null,3747,null,1006541,null,7959,null,0400000US22,Louisiana,22
526313,null,5092,null,60885,null,2934,null,465428,null,5156,null,0400000US23,Maine,23
1337741,null,7680,null,39219,null,3040,null,1298522,null,7872,null,0400000US24,Maryland,24
2100531,null,10407,null,105569,null,4913,null,1994962,null,10985,null,0400000US25,Massachusetts,25
3157714,null,10738,null,241040,null,6193,null,2916674,null,12266,null,0400000US26,Michigan,26
1873777,null,7132,null,68439,null,3565,null,1805338,null,7291,null,0400000US27,Minnesota,27
682086,null,6157,null,37742,null,2631,null,644344,null,7022,null,0400000US28,Mississippi,28
1976512,null,10169,null,157021,null,6006,null,1819491,null,10162,null,0400000US29,Missouri,29
343913,null,3227,null,20634,null,2197,null,323279,null,3918,null,0400000US30,Montana,30
639464,null,4304,null,34974,null,2645,null,604490,null,4633,null,0400000US31,Nebraska,31
739674,null,6866,null,24417,null,2491,null,715257,null,6675,null,0400000US32,Nevada,32
482079,null,3935,null,21207,null,2368,null,460872,null,4514,null,0400000US33,New Hampshire,33
2300784,null,9435,null,58131,null,3792,null,2242653,null,9247,null,0400000US34,New Jersey,34
541940,null,5244,null,42465,null,3017,null,499475,null,5755,null,0400000US35,New Mexico,35
5044679,null,15126,null,309866,null,8294,null,4734813,null,15574,null,0400000US36,New York,36
2580827,null,12694,null,144229,null,6322,null,2436598,null,12863,null,0400000US37,North Carolina,37
253365,null,2736,null,14068,null,1939,null,239297,null,2803,null,0400000US38,North Dakota,38
3840245,null,12810,null,277132,null,7218,null,3563113,null,13941,null,0400000US39,Ohio,39
1097500,null,6858,null,90126,null,4759,null,1007374,null,7860,null,0400000US40,Oklahoma,40
1316320,null,8579,null,125315,null,5718,null,1191005,null,8341,null,0400000US41,Oregon,41
4198510,null,12306,null,250373,null,7932,null,3948137,null,13430,null,0400000US42,Pennsylvania,42
348821,null,4404,null,17718,null,2036,null,331103,null,4491,null,0400000US44,Rhode Island,44
1194889,null,7428,null,61785,null,4094,null,1133104,null,8314,null,0400000US45,South Carolina,45
286994,null,2970,null,14913,null,1854,null,272081,null,3019,null,0400000US46,South Dakota,46
1949972,null,9615,null,182249,null,5919,null,1767723,null,9334,null,0400000US47,Tennessee,47
6038660,null,19525,null,413635,null,9977,null,5625025,null,19281,null,0400000US48,Texas,48
771883,null,5504,null,34804,null,2833,null,737079,null,5892,null,0400000US49,Utah,49
244921,null,2357,null,19137,null,1641,null,225784,null,2764,null,0400000US50,Vermont,50
2167957,null,9682,null,90454,null,5135,null,2077503,null,10449,null,0400000US51,Virginia,51
2123848,null,8609,null,139394,null,6657,null,1984454,null,9789,null,0400000US53,Washington,53
696589,null,6626,null,84402,null,3825,null,612187,null,6785,null,0400000US54,West Virginia,54
2027978,null,8207,null,96206,null,4327,null,1931772,null,9463,null,0400000US55,Wisconsin,55
194273,null,2948,null,7616,null,1467,null,186657,null,2941,null,0400000US56,Wyoming,56
909357,null,8262,null,271352,null,5538,null,638005,null,8972,null,0400000US72,Puerto Rico,72
