B22005I_001E,B22005I_001EA,B22005I_001M,B22005I_001MA,B22005I_002E,B22005I_002EA,B22005I_002M,B22005I_002MA,B22005I_003E,B22005I_003EA,B22005I_003M,B22005I_003MA,GEO_ID,NAME,state
32346,null,2032,null,2614,null,768,null,29732,null,2057,null,0400000US01,Alabama,01
10473,null,1155,null,1627,null,750,null,8846,null,1034,null,0400000US02,Alaska,02
478792,null,7287,null,63469,null,4179,null,415323,null,8107,null,0400000US04,Arizona,04
35939,null,2064,null,4069,null,1069,null,31870,null,2175,null,0400000US05,Arkansas,05
3220448,null,15125,null,253495,null,7544,null,2966953,null,15962,null,0400000US06,California,06
277061,null,5248,null,31404,null,3603,null,245657,null,5865,null,0400000US08,Colorado,08
125632,null,2846,null,24929,null,2378,null,100703,null,3354,null,0400000US09,Connecticut,09
14743,null,1201,null,2416,null,885,null,12327,null,1404,null,0400000US10,Delaware,10
17920,null,1768,null,1623,null,935,null,16297,null,2034,null,0400000US11,District of Columbia,11
1207727,null,9183,null,138594,null,4777,null,1069133,null,9090,null,0400000US12,Florida,12
178642,null,5303,null,11720,null,2120,null,166922,null,5633,null,0400000US13,Georgia,13
28479,null,1846,null,3002,null,850,null,25477,null,2008,null,0400000US15,Hawaii,15
39693,null,1753,null,4011,null,1147,null,35682,null,2024,null,0400000US16,Idaho,16
489613,null,6726,null,52809,null,3394,null,436804,null,6856,null,0400000US17,Illinois,17
90459,null,3061,null,9649,null,1559,null,80810,null,3263,null,0400000US18,Indiana,18
32013,null,1696,null,5738,null,1130,null,26275,null,1859,null,0400000US19,Iowa,19
67667,null,2612,null,7441,null,1363,null,60226,null,2825,null,0400000US20,Kansas,20
23261,null,1731,null,2914,null,980,null,20347,null,1636,null,0400000US21,Kentucky,21
40835,null,2482,null,3313,null,889,null,37522,null,2460,null,0400000US22,Louisiana,22
4276,null,805,null,1126,null,554,null,3150,null,697,null,0400000US23,Maine,23
92675,null,3638,null,4052,null,1011,null,88623,null,3671,null,0400000US24,Maryland,24
160138,null,4548,null,41680,null,3012,null,118458,null,4164,null,0400000US25,Massachusetts,25
110194,null,3369,null,20376,null,2266,null,89818,null,3051,null,0400000US26,Michigan,26
56672,null,2635,null,5858,null,1266,null,50814,null,2860,null,0400000US27,Minnesota,27
14499,null,1605,null,764,null,354,null,13735,null,1602,null,0400000US28,Mississippi,28
46872,null,2286,null,6531,null,1302,null,40341,null,2314,null,0400000US29,Missouri,29
5359,null,1090,null,732,null,471,null,4627,null,957,null,0400000US30,Montana,30
36536,null,1843,null,4579,null,993,null,31957,null,1954,null,0400000US31,Nebraska,31
173498,null,4280,null,7906,null,1324,null,165592,null,4476,null,0400000US32,Nevada,32
9973,null,1030,null,1609,null,749,null,8364,null,1187,null,0400000US33,New Hampshire,33
402269,null,7091,null,40492,null,3450,null,361777,null,6947,null,0400000US34,New Jersey,34
285896,null,4440,null,39950,null,3376,null,245946,null,5071,null,0400000US35,New Mexico,35
943973,null,9405,null,210104,null,6566,null,733869,null,10238,null,0400000US36,New York,36
170123,null,4727,null,17241,null,2616,null,152882,null,4964,null,0400000US37,North Carolina,37
3136,null,626,null,988,null,520,null,2148,null,594,null,0400000US38,North Dakota,38
84426,null,2923,null,15700,null,1574,null,68726,null,2829,null,0400000US39,Ohio,39
73474,null,2548,null,10789,null,1733,null,62685,null,2913,null,0400000US40,Oklahoma,40
99595,null,3333,null,18633,null,2508,null,80962,null,3045,null,0400000US41,Oregon,41
163885,null,4156,null,45458,null,2957,null,118427,null,4288,null,0400000US42,Pennsylvania,42
33441,null,1810,null,8659,null,1510,null,24782,null,2209,null,0400000US44,Rhode Island,44
44592,null,2477,null,3366,null,999,null,41226,null,2616,null,0400000US45,South Carolina,45
4850,null,959,null,752,null,499,null,4098,null,902,null,0400000US46,South Dakota,46
53849,null,3008,null,7600,null,1524,null,46249,null,2948,null,0400000US47,Tennessee,47
2366579,null,15392,null,369166,null,9047,null,1997413,null,16517,null,0400000US48,Texas,48
73412,null,2685,null,7094,null,1386,null,66318,null,2854,null,0400000US49,Utah,49
2192,null,593,null,553,null,273,null,1639,null,561,null,0400000US50,Vermont,50
130276,null,3945,null,5837,null,1346,null,124439,null,4048,null,0400000US51,Virginia,51
162743,null,3895,null,23688,null,2482,null,139055,null,3766,null,0400000US53,Washington,53
5761,null,1408,null,951,null,511,null,4810,null,1283,null,0400000US54,West Virginia,54
73569,null,2518,null,7603,null,1288,null,65966,null,2535,null,0400000US55,Wisconsin,55
10832,null,1265,null,430,null,396,null,10402,null,1338,null,0400000US56,Wyoming,56
1185060,null,7120,null,367186,null,6870,null,817874,null,9252,null,0400000US72,Puerto Rico,72
