B11002F_001E,B11002F_001EA,B11002F_001M,B11002F_001MA,B11002F_002E,B11002F_002EA,B11002F_002M,B11002F_002MA,B11002F_003E,B11002F_003EA,B11002F_003M,B11002F_003MA,B11002F_004E,B11002F_004EA,B11002F_004M,B11002F_004MA,B11002F_005E,B11002F_005EA,B11002F_005M,B11002F_005MA,B11002F_006E,B11002F_006EA,B11002F_006M,B11002F_006MA,B11002F_007E,B11002F_007EA,B11002F_007M,B11002F_007MA,B11002F_008E,B11002F_008EA,B11002F_008M,B11002F_008MA,B11002F_009E,B11002F_009EA,B11002F_009M,B11002F_009MA,B11002F_010E,B11002F_010EA,B11002F_010M,B11002F_010MA,B11002F_011E,B11002F_011EA,B11002F_011M,B11002F_011MA,B11002F_012E,B11002F_012EA,B11002F_012M,B11002F_012MA,GEO_ID,NAME,state
30955,null,3647,null,29354,null,3554,null,22632,null,3491,null,22216,null,3484,null,416,null,393,null,3967,null,1501,null,3442,null,1400,null,525,null,273,null,2755,null,1404,null,2469,null,1316,null,286,null,330,null,1601,null,769,null,0400000US01,Alabama,01
13836,null,3329,null,13385,null,3331,null,9607,null,2849,null,9607,null,2849,null,0,null,237,null,1917,null,1782,null,1831,null,1734,null,86,null,136,null,1861,null,1694,null,1373,null,1186,null,488,null,784,null,451,null,286,null,0400000US02,Alaska,02
661989,null,21876,null,605273,null,22071,null,384104,null,20995,null,380189,null,20934,null,3915,null,1393,null,70672,null,10918,null,61553,null,9757,null,9119,null,2275,null,150497,null,14618,null,139811,null,14000,null,10686,null,1998,null,56716,null,5831,null,0400000US04,Arizona,04
60458,null,5449,null,57599,null,5455,null,39644,null,5815,null,39101,null,5757,null,543,null,384,null,8482,null,2864,null,6715,null,2294,null,1767,null,855,null,9473,null,3125,null,9014,null,2906,null,459,null,496,null,2859,null,1033,null,0400000US05,Arkansas,05
6043249,null,69671,null,5641989,null,71311,null,3723049,null,59004,null,3647240,null,58270,null,75809,null,7181,null,696644,null,35339,null,595556,null,31064,null,101088,null,8608,null,1222296,null,46752,null,1120855,null,44479,null,101441,null,8349,null,401260,null,17043,null,0400000US06,California,06
287263,null,14418,null,260133,null,14526,null,173391,null,13704,null,171877,null,13627,null,1514,null,1003,null,29433,null,6105,null,24238,null,4711,null,5195,null,1994,null,57309,null,7475,null,53457,null,7379,null,3852,null,1460,null,27130,null,3282,null,0400000US08,Colorado,08
187529,null,11628,null,167207,null,11604,null,81006,null,8404,null,79041,null,8183,null,1965,null,974,null,21008,null,5896,null,17654,null,5037,null,3354,null,1262,null,65193,null,8614,null,60729,null,7994,null,4464,null,1592,null,20322,null,4132,null,0400000US09,Connecticut,09
17504,null,2741,null,15580,null,2707,null,10357,null,2705,null,9975,null,2589,null,382,null,425,null,1957,null,1290,null,1776,null,1195,null,181,null,144,null,3266,null,1304,null,2944,null,1222,null,322,null,253,null,1924,null,1040,null,0400000US10,Delaware,10
25574,null,3755,null,20498,null,4152,null,10178,null,4032,null,10030,null,3950,null,148,null,233,null,3418,null,2087,null,3111,null,1950,null,307,null,503,null,6902,null,2809,null,6620,null,2706,null,282,null,351,null,5076,null,1693,null,0400000US11,District of Columbia,11
708525,null,25968,null,617318,null,25816,null,396172,null,21187,null,391255,null,20647,null,4917,null,1811,null,82729,null,10292,null,66984,null,8445,null,15745,null,3064,null,138417,null,13228,null,127352,null,11989,null,11065,null,2437,null,91207,null,7721,null,0400000US12,Florida,12
347657,null,15698,null,301433,null,15306,null,203703,null,13596,null,199266,null,13356,null,4437,null,1854,null,46167,null,8873,null,37451,null,7266,null,8716,null,2518,null,51563,null,7940,null,47693,null,7285,null,3870,null,1589,null,46224,null,6998,null,0400000US13,Georgia,13
18704,null,4431,null,15826,null,4420,null,14118,null,4114,null,13971,null,4113,null,147,null,223,null,770,null,689,null,621,null,549,null,149,null,173,null,938,null,962,null,775,null,759,null,163,null,255,null,2878,null,1287,null,0400000US15,Hawaii,15
30083,null,4150,null,28121,null,4146,null,19082,null,3683,null,18955,null,3661,null,127,null,159,null,4056,null,1787,null,3754,null,1637,null,302,null,244,null,4983,null,1959,null,4655,null,1766,null,328,null,326,null,1962,null,728,null,0400000US16,Idaho,16
1114848,null,20913,null,1047175,null,21311,null,708374,null,28238,null,700630,null,27842,null,7744,null,2715,null,129537,null,13326,null,111706,null,10985,null,17831,null,3692,null,209264,null,16261,null,193092,null,14666,null,16172,null,3304,null,67673,null,7366,null,0400000US17,Illinois,17
141831,null,8157,null,126943,null,8153,null,76206,null,8282,null,75786,null,8198,null,420,null,331,null,25836,null,5381,null,21800,null,4729,null,4036,null,1242,null,24901,null,5549,null,22445,null,5216,null,2456,null,897,null,14888,null,2654,null,0400000US18,Indiana,18
