B06008_001E,B06008_001EA,B06008_001M,B06008_001MA,B06008_002E,B06008_002EA,B06008_002M,B06008_002MA,B06008_003E,B06008_003EA,B06008_003M,B06008_003MA,B06008_004E,B06008_004EA,B06008_004M,B06008_004MA,B06008_005E,B06008_005EA,B06008_005M,B06008_005MA,B06008_006E,B06008_006EA,B06008_006M,B06008_006MA,B06008_007E,B06008_007EA,B06008_007M,B06008_007MA,B06008_008E,B06008_008EA,B06008_008M,B06008_008MA,B06008_009E,B06008_009EA,B06008_009M,B06008_009MA,B06008_010E,B06008_010EA,B06008_010M,B06008_010MA,B06008_011E,B06008_011EA,B06008_011M,B06008_011MA,B06008_012E,B06008_012EA,B06008_012M,B06008_012MA,B06008_013E,B06008_013EA,B06008_013M,B06008_013MA,B06008_014E,B06008_014EA,B06008_014M,B06008_014MA,B06008_015E,B06008_015EA,B06008_015M,B06008_015MA,B06008_016E,B06008_016EA,B06008_016M,B06008_016MA,B06008_017E,B06008_017EA,B06008_017M,B06008_017MA,B06008_018E,B06008_018EA,B06008_018M,B06008_018MA,B06008_019E,B06008_019EA,B06008_019M,B06008_019MA,B06008_020E,B06008_020EA,B06008_020M,B06008_020MA,B06008_021E,B06008_021EA,B06008_021M,B06008_021MA,B06008_022E,B06008_022EA,B06008_022M,B06008_022MA,B06008_023E,B06008_023EA,B06008_023M,B06008_023MA,B06008_024E,B06008_024EA,B06008_024M,B06008_024MA,B06008_025E,B06008_025EA,B06008_025M,B06008_025MA,B06008_026E,B06008_026EA,B06008_026M,B06008_026MA,B06008_027E,B06008_027EA,B06008_027M,B06008_027MA,B06008_028E,B06008_028EA,B06008_028M,B06008_028MA,B06008_029E,B06008_029EA,B06008_029M,B06008_029MA,B06008_030E,B06008_030EA,B06008_030M,B06008_030MA,GEO_ID,NAME,state
3702685,null,3710,null,1002318,null,15326,null,1894188,null,21980,null,436990,null,10739,null,89952,null,5188,null,279237,null,8312,null,2531045,null,16833,null,726067,null,14191,null,1225668,null,19824,null,302799,null,9186,null,64629,null,5028,null,211882,null,7670,null,1017826,null,15900,null,233440,null,7718,null,577174,null,12243,null,124287,null,6003,null,21837,null,2388,null,61088,null,3492,null,28945,null,2622,null,9090,null,1592,null,14875,null,1943,null,3802,null,958,null,881,null,550,null,297,null,207,null,124869,null,5828,null,33721,null,3778,null,76471,null,4740,null,6102,null,1314,null,2605,null,1003,null,5970,null,1171,null,0400000US01,Alabama,01
537579,null,1393,null,174531,null,5475,null,272379,null,6782,null,61964,null,4398,null,11004,null,1813,null,17701,null,1498,null,160132,null,4604,null,91096,null,4419,null,48919,null,3378,null,13202,null,1728,null,2850,null,673,null,4065,null,850,null,318223,null,5418,null,69087,null,4275,null,188284,null,5586,null,43373,null,3620,null,6486,null,1366,null,10993,null,1288,null,12493,null,1961,null,4628,null,1489,null,5886,null,1076,null,1549,null,645,null,191,null,201,null,239,null,184,null,46731,null,3209,null,9720,null,2219,null,29290,null,2307,null,3840,null,990,null,1477,null,637,null,2404,null,610,null,0400000US02,Alaska,02
4937757,null,1440,null,1512155,null,19941,null,2432539,null,26442,null,610461,null,14834,null,93311,null,6786,null,289291,null,9121,null,1214322,null,19706,null,613466,null,15653,null,411730,null,10901,null,127566,null,6183,null,27083,null,3651,null,34477,null,2768,null,2746668,null,22061,null,626979,null,16246,null,1464740,null,19267,null,406435,null,12672,null,38325,null,3961,null,210189,null,7268,null,56749,null,4187,null,20998,null,2837,null,24295,null,2272,null,8173,null,1518,null,983,null,626,null,2300,null,897,null,920018,null,18195,null,250712,null,12918,null,531774,null,13925,null,68287,null,5880,null,26920,null,3324,null,42325,null,4402,null,0400000US04,Arizona,04
2251796,null,2484,null,553499,null,10583,null,1207865,null,16135,null,266047,null,9009,null,54148,null,3973,null,170237,null,4529,null,1282728,null,11812,null,349457,null,9380,null,644703,null,13396,null,152232,null,6389,null,31395,null,2991,null,104941,null,3830,null,845351,null,11104,null,170443,null,7488,null,488680,null,9212,null,105730,null,4758,null,18996,null,2318,null,61502,null,3337,null,15685,null,2256,null,4907,null,1361,null,8744,null,1358,null,1378,null,659,null,370,null,317,null,286,null,319,null,108032,null,5311,null,28692,null,3383,null,65738,null,4637,null,6707,null,1560,null,3387,null,947,null,3508,null,939,null,0400000US05,Arkansas,05
28831162,null,3164,null,9966272,null,45480,null,13880741,null,59025,null,2736695,null,26973,null,708072,null,14649,null,1539382,null,15293,null,12376214,null,53347,null,5946933,null,39135,null,4587955,null,37452,null,1200488,null,18256,null,264500,null,8620,null,376338,null,10325,null,6545618,null,40868,null,1509281,null,21534,null,3339410,null,32934,null,915040,null,16638,null,131042,null,7203,null,650845,null,12179,null,315874,null,9475,null,104845,null,5562,null,157393,null,6778,null,33112,null,2938,null,7584,null,1312,null,12940,null,1875,null,9593456,null,43236,null,2405213,null,33660,null,5795983,null,40581,null,588055,null,12663,null,304946,null,10616,null,499259,null,10915,null,0400000US06,California,06
3867717,null,2320,null,1136887,null,13518,null,2011553,null,17768,null,473833,null,10329,null,67300,null,5889,null,178144,null,5848,null,1305786,null,16591,null,526892,null,12493,null,557590,null,12830,null,146674,null,7090,null,23051,null,2587,null,51579,null,3538,null,2059878,null,19025,null,487930,null,11918,null,1147981,null,17167,null,286016,null,8614,null,29276,null,3628,null,108675,null,4591,null,54958,null,3545,null,19690,null,2570,null,26300,null,2339,null,6959,null,1789,null,673,null,467,null,1336,null,706,null,447095,null,14655,null,102375,null,7284,null,279682,null,10490,null,34184,null,3633,null,14300,null,2513,null,16554,null,2575,null,0400000US08,Colorado,08
2834130,null,1717,null,892917,null,11136,null,1438206,null,15096,null,272968,null,7626,null,43392,null,3672,null,186647,null,5913,null,1409488,null,15221,null,530295,null,11208,null,640811,null,11731,null,135228,null,5941,null,15898,null,2236,null,87256,null,3931,null,898823,null,12138,null,229313,null,8101,null,496798,null,10049,null,90636,null,4425,null,12736,null,1932,null,69340,null,3514,null,100018,null,5900,null,35841,null,3621,null,41133,null,3757,null,12426,null,1950,null,5320,null,1272,null,5298,null,1084,null,425801,null,12295,null,97468,null,6376,null,259464,null,9185,null,34678,null,3298,null,9438,null,1700,null,24753,null,2173,null,0400000US09,Connecticut,09
694868,null,560,null,213677,null,6347,null,349908,null,9423,null,71255,null,4505,null,11350,null,1764,null,48678,null,2994,null,269621,null,8010,null,106378,null,4849,null,115140,null,5734,null,29907,null,2651,null,4123,null,916,null,14073,null,1749,null,352602,null,7917,null,88586,null,5745,null,191330,null,6959,null,36993,null,3386,null,5733,null,1310,null,29960,null,2126,null,11236,null,1987,null,3312,null,1041,null,5524,null,1134,null,857,null,568,null,254,null,275,null,1289,null,649,null,61409,null,3747,null,15401,null,2232,null,37914,null,2774,null,3498,null,1014,null,1240,null,630,null,3356,null,810,null,0400000US10,Delaware,10
494235,null,320,null,265864,null,5339,null,132401,null,6660,null,48065,null,3918,null,18088,null,2296,null,29817,null,2035,null,162755,null,5275,null,104856,null,4352,null,27271,null,3373,null,15440,null,2254,null,7579,null,1468,null,7609,null,1184,null,253355,null,5978,null,129881,null,4752,null,71577,null,4133,null,24958,null,2567,null,7492,null,1471,null,19447,null,1873,null,6004,null,1300,null,2974,null,882,null,2739,null,955,null,213,null,198,null,0,null,300,null,78,null,94,null,72121,null,4399,null,28153,null,3008,null,30814,null,3358,null,7454,null,2044,null,3017,null,1090,null,2683,null,771,null,0400000US11,District of Columbia,11
14926522,null,3960,null,4191857,null,31887,null,7437955,null,49840,null,1829507,null,27647,null,343748,null,12439,null,1123455,null,15347,null,3651631,null,27866,null,1748973,null,22320,null,1285141,null,20456,null,388623,null,12493,null,88855,null,5578,null,140039,null,6148,null,7504651,null,29845,null,1549130,null,22458,null,4059747,null,32837,null,1032423,null,20081,null,128257,null,7810,null,735094,null,13696,null,488296,null,13917,null,140678,null,7674,null,238509,null,9372,null,66343,null,5519,null,14299,null,2427,null,28467,null,2835,null,3281944,null,28390,null,753076,null,19436,null,1854558,null,26041,null,342118,null,10944,null,112337,null,7483,null,219855,null,6950,null,0400000US12,Florida,12
