B21001A_001E,B21001A_001EA,B21001A_001M,B21001A_001MA,B21001A_002E,B21001A_002EA,B21001A_002M,B21001A_002MA,B21001A_003E,B21001A_003EA,B21001A_003M,B21001A_003MA,B21001A_004E,B21001A_004EA,B21001A_004M,B21001A_004MA,B21001A_005E,B21001A_005EA,B21001A_005M,B21001A_005MA,B21001A_006E,B21001A_006EA,B21001A_006M,B21001A_006MA,B21001A_007E,B21001A_007EA,B21001A_007M,B21001A_007MA,B21001A_008E,B21001A_008EA,B21001A_008M,B21001A_008MA,B21001A_009E,B21001A_009EA,B21001A_009M,B21001A_009MA,B21001A_010E,B21001A_010EA,B21001A_010M,B21001A_010MA,B21001A_011E,B21001A_011EA,B21001A_011M,B21001A_011MA,B21001A_012E,B21001A_012EA,B21001A_012M,B21001A_012MA,B21001A_013E,B21001A_013EA,B21001A_013M,B21001A_013MA,B21001A_014E,B21001A_014EA,B21001A_014M,B21001A_014MA,B21001A_015E,B21001A_015EA,B21001A_015M,B21001A_015MA,B21001A_016E,B21001A_016EA,B21001A_016M,B21001A_016MA,B21001A_017E,B21001A_017EA,B21001A_017M,B21001A_017MA,B21001A_018E,B21001A_018EA,B21001A_018M,B21001A_018MA,B21001A_019E,B21001A_019EA,B21001A_019M,B21001A_019MA,B21001A_020E,B21001A_020EA,B21001A_020M,B21001A_020MA,B21001A_021E,B21001A_021EA,B21001A_021M,B21001A_021MA,B21001A_022E,B21001A_022EA,B21001A_022M,B21001A_022MA,B21001A_023E,B21001A_023EA,B21001A_023M,B21001A_023MA,B21001A_024E,B21001A_024EA,B21001A_024M,B21001A_024MA,B21001A_025E,B21001A_025EA,B21001A_025M,B21001A_025MA,B21001A_026E,B21001A_026EA,B21001A_026M,B21001A_026MA,B21001A_027E,B21001A_027EA,B21001A_027M,B21001A_027MA,B21001A_028E,B21001A_028EA,B21001A_028M,B21001A_028MA,B21001A_029E,B21001A_029EA,B21001A_029M,B21001A_029MA,B21001A_030E,B21001A_030EA,B21001A_030M,B21001A_030MA,B21001A_031E,B21001A_031EA,B21001A_031M,B21001A_031MA,B21001A_032E,B21001A_032EA,B21001A_032M,B21001A_032MA,B21001A_033E,B21001A_033EA,B21001A_033M,B21001A_033MA,GEO_ID,NAME,state
2521614,null,3971,null,1215902,null,2856,null,344743,null,2850,null,18101,null,2086,null,326642,null,3037,null,464618,null,2284,null,70860,null,3821,null,393758,null,4323,null,196321,null,827,null,80370,null,2946,null,115951,null,2983,null,122995,null,890,null,63113,null,2713,null,59882,null,2781,null,87225,null,894,null,64380,null,1925,null,22845,null,1905,null,1305712,null,2103,null,339616,null,1670,null,4281,null,1636,null,335335,null,2093,null,465433,null,1419,null,8110,null,1423,null,457323,null,2077,null,209424,null,775,null,2156,null,658,null,207268,null,1015,null,143591,null,1205,null,1198,null,432,null,142393,null,1294,null,147648,null,1164,null,2621,null,814,null,145027,null,1455,null,0400000US01,Alabama,01
344418,null,2148,null,176419,null,1794,null,54286,null,1696,null,7133,null,1444,null,47153,null,2004,null,74711,null,1473,null,17671,null,1646,null,57040,null,1909,null,30334,null,181,null,15434,null,1233,null,14900,null,1243,null,11311,null,312,null,7515,null,626,null,3796,null,600,null,5777,null,333,null,4495,null,527,null,1282,null,469,null,167999,null,1214,null,50936,null,912,null,2016,null,671,null,48920,null,1035,null,73500,null,859,null,3845,null,1196,null,69655,null,1415,null,25376,null,455,null,1233,null,670,null,24143,null,809,null,10758,null,392,null,148,null,141,null,10610,null,407,null,7429,null,316,null,85,null,113,null,7344,null,331,null,0400000US02,Alaska,02
3681379,null,13343,null,1813930,null,8163,null,557416,null,5644,null,31384,null,3371,null,526032,null,5896,null,654124,null,5582,null,100568,null,5151,null,553556,null,7399,null,269025,null,1812,null,115440,null,4200,null,153585,null,4602,null,175875,null,1204,null,95002,null,2896,null,80873,null,3035,null,157490,null,1051,null,114666,null,3034,null,42824,null,3069,null,1867449,null,7570,null,513944,null,4420,null,5550,null,1313,null,508394,null,4451,null,650827,null,4029,null,15714,null,2202,null,635113,null,4107,null,294701,null,1679,null,5777,null,1266,null,288924,null,1933,null,196308,null,1383,null,2601,null,837,null,193707,null,1644,null,211669,null,1099,null,5439,null,1153,null,206230,null,1468,null,0400000US04,Arizona,04
1723197,null,3654,null,836123,null,2812,null,242116,null,2603,null,14074,null,2474,null,228042,null,3216,null,309585,null,1968,null,47944,null,3725,null,261641,null,4103,null,133914,null,726,null,54335,null,2522,null,79579,null,2580,null,85636,null,692,null,45888,null,1969,null,39748,null,2057,null,64872,null,377,null,45909,null,1699,null,18963,null,1649,null,887074,null,2155,null,233452,null,2009,null,2069,null,844,null,231383,null,2058,null,311566,null,2071,null,4413,null,1071,null,307153,null,2365,null,142741,null,643,null,1739,null,551,null,141002,null,830,null,97166,null,446,null,1125,null,433,null,96041,null,673,null,102149,null,399,null,1263,null,465,null,100886,null,620,null,0400000US05,Arkansas,05
16796748,null,39861,null,8302756,null,24779,null,2580353,null,16528,null,98397,null,6526,null,2481956,null,18123,null,3258189,null,13290,null,321076,null,9787,null,2937113,null,15507,null,1206079,null,5534,null,404588,null,7342,null,801491,null,9173,null,673169,null,3040,null,312294,null,5011,null,360875,null,5719,null,584966,null,3114,null,391572,null,5593,null,193394,null,5614,null,8493992,null,21478,null,2407152,null,13333,null,19652,null,2999,null,2387500,null,13402,null,3158390,null,10543,null,39004,null,3028,null,3119386,null,10708,null,1251715,null,5517,null,12283,null,1553,null,1239432,null,5545,null,774536,null,3455,null,9345,null,1462,null,765191,null,3573,null,902199,null,3421,null,20567,null,1876,null,881632,null,4011,null,0400000US06,California,06
3106314,null,10374,null,1546689,null,6513,null,495072,null,4975,null,27643,null,2481,null,467429,null,5535,null,623324,null,3803,null,92103,null,4089,null,531221,null,5293,null,232718,null,1542,null,97212,null,3372,null,135506,null,3697,null,113364,null,1183,null,60896,null,2264,null,52468,null,2629,null,82211,null,818,null,60540,null,1683,null,21671,null,1702,null,1559625,null,5556,null,454961,null,4190,null,6154,null,1271,null,448807,null,4477,null,613430,null,3431,null,13448,null,1756,null,599982,null,3697,null,236691,null,1530,null,3174,null,786,null,233517,null,1686,null,126344,null,1285,null,1976,null,687,null,124368,null,1445,null,128199,null,1318,null,3153,null,664,null,125046,null,1511,null,0400000US08,Colorado,08
2178857,null,6742,null,1041188,null,4773,null,263954,null,3051,null,9430,null,1597,null,254524,null,3461,null,433316,null,2522,null,41110,null,2989,null,392206,null,3832,null,168226,null,808,null,57689,null,2890,null,110537,null,2956,null,92238,null,781,null,47161,null,2130,null,45077,null,2245,null,83454,null,532,null,57924,null,2048,null,25530,null,2079,null,1137669,null,3676,null,260450,null,2285,null,788,null,408,null,259662,null,2336,null,445896,null,1979,null,4095,null,928,null,441801,null,2289,null,179603,null,1211,null,1596,null,447,null,178007,null,1264,null,108930,null,657,null,1232,null,571,null,107698,null,820,null,142790,null,499,null,3046,null,676,null,139744,null,818,null,0400000US09,Connecticut,09
491258,null,1726,null,234215,null,1225,null,64140,null,789,null,2772,null,862,null,61368,null,1276,null,89090,null,732,null,14032,null,1497,null,75058,null,1613,null,37677,null,338,null,15768,null,1261,null,21909,null,1318,null,23829,null,307,null,12230,null,948,null,11599,null,918,null,19479,null,175,null,13923,null,825,null,5556,null,826,null,257043,null,865,null,66196,null,608,null,658,null,371,null,65538,null,722,null,92460,null,609,null,1874,null,655,null,90586,null,915,null,42094,null,465,null,638,null,302,null,41456,null,577,null,27375,null,239,null,406,null,242,null,26969,null,347,null,28918,null,139,null,476,null,349,null,28442,null,393,null,0400000US10,Delaware,10
180645,null,2769,null,88364,null,2122,null,36959,null,1755,null,1013,null,489,null,35946,null,1866,null,30631,null,1102,null,2847,null,997,null,27784,null,1194,null,10980,null,403,null,1707,null,486,null,9273,null,595,null,5714,null,271,null,2139,null,472,null,3575,null,569,null,4080,null,111,null,2855,null,497,null,1225,null,497,null,92281,null,1615,null,43498,null,1106,null,277,null,260,null,43221,null,1162,null,24892,null,903,null,273,null,201,null,24619,null,915,null,12229,null,303,null,201,null,246,null,12028,null,424,null,5465,null,237,null,55,null,92,null,5410,null,273,null,6197,null,281,null,59,null,92,null,6138,null,296,null,0400000US11,District of Columbia,11
11149716,null,18180,null,5402409,null,12498,null,1370767,null,9351,null,73130,null,5259,null,1297637,null,10389,null,1963833,null,6623,null,296578,null,8559,null,1667255,null,9910,null,840223,null,2983,null,326671,null,6259,null,513552,null,6587,null,602207,null,2922,null,297739,null,5294,null,304468,null,4945,null,625379,null,1931,null,427537,null,4892,null,197842,null,4907,null,5747307,null,10313,null,1307549,null,6538,null,12631,null,1791,null,1294918,null,7091,null,1969047,null,5571,null,38633,null,3023,null,1930414,null,5932,null,921917,null,3879,null,12605,null,1759,null,909312,null,4051,null,691495,null,2541,null,8892,null,1346,null,682603,null,2712,null,857299,null,3140,null,17359,null,2007,null,839940,null,3762,null,0400000US12,Florida,12
