B06004B_001E,B06004B_001EA,B06004B_001M,B06004B_001MA,B06004B_002E,B06004B_002EA,B06004B_002M,B06004B_002MA,B06004B_003E,B06004B_003EA,B06004B_003M,B06004B_003MA,B06004B_004E,B06004B_004EA,B06004B_004M,B06004B_004MA,B06004B_005E,B06004B_005EA,B06004B_005M,B06004B_005MA,GEO_ID,NAME,state
1212118,null,5691,null,1027216,null,8563,null,170623,null,7694,null,4589,null,1337,null,9690,null,2778,null,0400000US01,Alabama,01
25821,null,2172,null,7566,null,1996,null,16229,null,1827,null,477,null,365,null,1549,null,808,null,0400000US02,Alaska,02
224991,null,5520,null,86024,null,7702,null,115923,null,5702,null,2946,null,871,null,20098,null,4692,null,0400000US04,Arizona,04
442279,null,4286,null,349625,null,6125,null,86663,null,5086,null,1158,null,577,null,4833,null,1574,null,0400000US05,Arkansas,05
2263363,null,12575,null,1401534,null,19221,null,712879,null,14519,null,12136,null,2014,null,136814,null,10123,null,0400000US06,California,06
189217,null,4534,null,79073,null,4736,null,89750,null,4338,null,3527,null,1039,null,16867,null,2882,null,0400000US08,Colorado,08
328401,null,5222,null,164866,null,7392,null,93335,null,5622,null,4148,null,1245,null,66052,null,6066,null,0400000US09,Connecticut,09
175682,null,3154,null,86839,null,5530,null,76476,null,5379,null,1327,null,705,null,11040,null,2300,null,0400000US10,Delaware,10
321646,null,1629,null,191566,null,5341,null,114607,null,5342,null,636,null,393,null,14837,null,2675,null,0400000US11,District of Columbia,11
2800374,null,14573,null,1593869,null,21983,null,623789,null,15370,null,35641,null,4386,null,547075,null,15314,null,0400000US12,Florida,12
2855189,null,10137,null,1830076,null,22871,null,874248,null,21862,null,23291,null,3529,null,127574,null,9822,null,0400000US13,Georgia,13
27836,null,2420,null,2749,null,1979,null,21896,null,2630,null,1456,null,900,null,1735,null,1185,null,0400000US15,Hawaii,15
9011,null,1659,null,2013,null,820,null,5398,null,1403,null,206,null,237,null,1394,null,948,null,0400000US16,Idaho,16
1884069,null,8167,null,1374432,null,14416,null,446397,null,11553,null,4448,null,1424,null,58792,null,6334,null,0400000US17,Illinois,17
551215,null,6084,null,349365,null,8699,null,183433,null,7158,null,1933,null,734,null,16484,null,3360,null,0400000US18,Indiana,18
70018,null,2980,null,31379,null,2720,null,32401,null,2756,null,438,null,277,null,5800,null,1521,null,0400000US19,Iowa,19
159268,null,4646,null,83401,null,4928,null,66436,null,4139,null,694,null,324,null,8737,null,2227,null,0400000US20,Kansas,20
322149,null,5145,null,239596,null,6280,null,73543,null,5236,null,2228,null,757,null,6782,null,2330,null,0400000US21,Kentucky,21
1357893,null,6202,null,1210899,null,10497,null,133075,null,8033,null,3754,null,1390,null,10165,null,2866,null,0400000US22,Louisiana,22
14652,null,2437,null,4082,null,1099,null,5633,null,1377,null,183,null,310,null,4754,null,1949,null,0400000US23,Maine,23
1626017,null,6823,null,781191,null,13278,null,673993,null,11415,null,10192,null,1844,null,160641,null,8794,null,0400000US24,Maryland,24
384615,null,7248,null,181124,null,8024,null,73494,null,5740,null,5262,null,1458,null,124735,null,6583,null,0400000US25,Massachusetts,25
1416635,null,8197,null,1046146,null,11437,null,339713,null,8793,null,3120,null,997,null,27656,null,4020,null,0400000US26,Michigan,26
225798,null,4327,null,73119,null,4480,null,86848,null,5475,null,1381,null,721,null,64450,null,5765,null,0400000US27,Minnesota,27
1095051,null,6689,null,938093,null,10524,null,153179,null,8212,null,2206,null,788,null,1573,null,713,null,0400000US28,Mississippi,28
664022,null,6137,null,470955,null,8969,null,177088,null,7711,null,2288,null,699,null,13691,null,2717,null,0400000US29,Missouri,29
5961,null,1384,null,1634,null,732,null,3978,null,1285,null,93,null,148,null,256,null,187,null,0400000US30,Montana,30
70333,null,2616,null,38770,null,3283,null,25390,null,2592,null,695,null,445,null,5478,null,1716,null,0400000US31,Nebraska,31
190238,null,4094,null,55130,null,5195,null,123410,null,4606,null,1174,null,474,null,10524,null,2410,null,0400000US32,Nevada,32
12546,null,1473,null,1720,null,694,null,6284,null,1390,null,178,null,293,null,4364,null,1356,null,0400000US33,New Hampshire,33
1185829,null,7876,null,675625,null,12076,null,331942,null,11548,null,10097,null,2133,null,168165,null,11014,null,0400000US34,New Jersey,34
44646,null,3260,null,15880,null,2709,null,25741,null,2453,null,1161,null,889,null,1864,null,1042,null,0400000US35,New Mexico,35
3010970,null,11451,null,1746672,null,22410,null,420174,null,11271,null,34828,null,4235,null,809296,null,18274,null,0400000US36,New York,36
1928080,null,8876,null,1380416,null,17224,null,488330,null,14463,null,11060,null,2156,null,48274,null,6280,null,0400000US37,North Carolina,37
5301,null,1018,null,403,null,242,null,3647,null,937,null,145,null,251,null,1106,null,918,null,0400000US38,North Dakota,38
1344674,null,7488,null,985865,null,10404,null,315377,null,8592,null,3653,null,1047,null,39779,null,5107,null,0400000US39,Ohio,39
270332,null,4558,null,182355,null,5148,null,78302,null,4274,null,2515,null,929,null,7160,null,1866,null,0400000US40,Oklahoma,40
62852,null,3262,null,26638,null,2448,null,27918,null,2956,null,723,null,460,null,7573,null,1998,null,0400000US41,Oregon,41
1289389,null,6610,null,911567,null,14881,null,281207,null,9054,null,10242,null,2341,null,86373,null,8951,null,0400000US42,Pennsylvania,42
59107,null,3278,null,21734,null,2306,null,15183,null,2566,null,1368,null,635,null,20822,null,3479,null,0400000US44,Rhode Island,44
1253575,null,6783,null,1007586,null,13117,null,229612,null,11656,null,6167,null,1217,null,10210,null,2231,null,0400000US45,South Carolina,45
8679,null,1693,null,2279,null,1072,null,5185,null,1165,null,125,null,167,null,1090,null,645,null,0400000US46,South Dakota,46
