B18020A_001E,B18020A_001EA,B18020A_001M,B18020A_001MA,B18020A_002E,B18020A_002EA,B18020A_002M,B18020A_002MA,B18020A_003E,B18020A_003EA,B18020A_003M,B18020A_003MA,B18020A_004E,B18020A_004EA,B18020A_004M,B18020A_004MA,B18020A_005E,B18020A_005EA,B18020A_005M,B18020A_005MA,B18020A_006E,B18020A_006EA,B18020A_006M,B18020A_006MA,B18020A_007E,B18020A_007EA,B18020A_007M,B18020A_007MA,B18020A_008E,B18020A_008EA,B18020A_008M,B18020A_008MA,B18020A_009E,B18020A_009EA,B18020A_009M,B18020A_009MA,B18020A_010E,B18020A_010EA,B18020A_010M,B18020A_010MA,B18020A_011E,B18020A_011EA,B18020A_011M,B18020A_011MA,B18020A_012E,B18020A_012EA,B18020A_012M,B18020A_012MA,B18020A_013E,B18020A_013EA,B18020A_013M,B18020A_013MA,B18020A_014E,B18020A_014EA,B18020A_014M,B18020A_014MA,B18020A_015E,B18020A_015EA,B18020A_015M,B18020A_015MA,B18020A_016E,B18020A_016EA,B18020A_016M,B18020A_016MA,B18020A_017E,B18020A_017EA,B18020A_017M,B18020A_017MA,B18020A_018E,B18020A_018EA,B18020A_018M,B18020A_018MA,B18020A_019E,B18020A_019EA,B18020A_019M,B18020A_019MA,B18020A_020E,B18020A_020EA,B18020A_020M,B18020A_020MA,B18020A_021E,B18020A_021EA,B18020A_021M,B18020A_021MA,B18020A_022E,B18020A_022EA,B18020A_022M,B18020A_022MA,B18020A_023E,B18020A_023EA,B18020A_023M,B18020A_023MA,B18020A_024E,B18020A_024EA,B18020A_024M,B18020A_024MA,B18020A_025E,B18020A_025EA,B18020A_025M,B18020A_025MA,B18020A_026E,B18020A_026EA,B18020A_026M,B18020A_026MA,B18020A_027E,B18020A_027EA,B18020A_027M,B18020A_027MA,B18020A_028E,B18020A_028EA,B18020A_028M,B18020A_028MA,B18020A_029E,B18020A_029EA,B18020A_029M,B18020A_029MA,B18020A_030E,B18020A_030EA,B18020A_030M,B18020A_030MA,B18020A_031E,B18020A_031EA,B18020A_031M,B18020A_031MA,GEO_ID,NAME,state
2087940,null,5517,null,346794,null,9781,null,169031,null,6460,null,33656,null,3055,null,15134,null,1867,null,18522,null,2508,null,135375,null,6008,null,50515,null,3905,null,84860,null,4229,null,177763,null,6027,null,33910,null,3319,null,10477,null,1882,null,23433,null,2642,null,143853,null,5278,null,37265,null,3102,null,106588,null,4736,null,1741146,null,11804,null,865511,null,7564,null,348382,null,4970,null,265775,null,5139,null,82607,null,3775,null,517129,null,5887,null,463022,null,5627,null,54107,null,2916,null,875635,null,7076,null,346685,null,4693,null,210305,null,5824,null,136380,null,5652,null,528950,null,5614,null,373991,null,6829,null,154959,null,4537,null,0400000US01,Alabama,01
321469,null,2300,null,42129,null,3008,null,22192,null,2304,null,4893,null,981,null,2498,null,794,null,2395,null,745,null,17299,null,2133,null,7585,null,1278,null,9714,null,1527,null,19937,null,2076,null,5153,null,1291,null,1537,null,575,null,3616,null,1129,null,14784,null,1464,null,6818,null,1209,null,7966,null,1062,null,279340,null,3930,null,142962,null,3131,null,56235,null,2050,null,44110,null,2220,null,12125,null,1835,null,86727,null,2434,null,76924,null,2413,null,9803,null,1178,null,136378,null,2405,null,52530,null,1652,null,34732,null,1689,null,17798,null,1875,null,83848,null,1741,null,63487,null,1973,null,20361,null,1821,null,0400000US02,Alaska,02
3034182,null,13441,null,345672,null,11603,null,169261,null,6179,null,43149,null,4166,null,17998,null,2739,null,25151,null,3562,null,126112,null,4840,null,50253,null,3489,null,75859,null,3422,null,176411,null,8785,null,34428,null,3427,null,14671,null,2157,null,19757,null,2513,null,141983,null,7636,null,44837,null,4016,null,97146,null,5940,null,2688510,null,14324,null,1350258,null,9694,null,565694,null,7140,null,431234,null,8778,null,134460,null,6776,null,784564,null,7611,null,674036,null,8380,null,110528,null,4430,null,1338252,null,10386,null,538226,null,5039,null,344135,null,7553,null,194091,null,6567,null,800026,null,8095,null,560629,null,8831,null,239397,null,6727,null,0400000US04,Arizona,04
1418287,null,4084,null,250894,null,7318,null,128170,null,5608,null,27521,null,2815,null,11243,null,2063,null,16278,null,2052,null,100649,null,4108,null,37923,null,3282,null,62726,null,3322,null,122724,null,4292,null,23622,null,2304,null,6644,null,1285,null,16978,null,2058,null,99102,null,3575,null,27613,null,2495,null,71489,null,3683,null,1167393,null,7511,null,575858,null,6678,null,239451,null,4277,null,179062,null,4900,null,60389,null,3474,null,336407,null,4559,null,296576,null,4912,null,39831,null,2621,null,591535,null,4375,null,237800,null,3232,null,149145,null,3617,null,88655,null,3864,null,353735,null,4002,null,263549,null,5516,null,90186,null,4534,null,0400000US05,Arkansas,05
14335709,null,43840,null,1520623,null,18748,null,756378,null,12894,null,176277,null,7789,null,66439,null,5155,null,109838,null,6180,null,580101,null,9662,null,227081,null,9464,null,353020,null,8555,null,764245,null,12843,null,141010,null,6320,null,52460,null,4462,null,88550,null,4473,null,623235,null,10990,null,199641,null,6595,null,423594,null,9234,null,12815086,null,45093,null,6488954,null,28608,null,2666634,null,20611,null,1917130,null,18850,null,749504,null,12543,null,3822320,null,16934,null,3335698,null,19046,null,486622,null,10414,null,6326132,null,24576,null,2553077,null,17449,null,1543325,null,17979,null,1009752,null,17383,null,3773055,null,14490,null,2667790,null,16739,null,1105265,null,16303,null,0400000US06,California,06
2742101,null,10688,null,273129,null,9164,null,137945,null,6643,null,38497,null,4007,null,18806,null,3072,null,19691,null,2331,null,99448,null,5104,null,45373,null,3221,null,54075,null,3653,null,135184,null,5751,null,28843,null,2994,null,14550,null,2188,null,14293,null,1974,null,106341,null,5399,null,41291,null,3315,null,65050,null,4550,null,2468972,null,13639,null,1250970,null,8975,null,503242,null,6567,null,392120,null,7447,null,111122,null,5016,null,747728,null,5261,null,668073,null,5909,null,79655,null,4279,null,1218002,null,8116,null,477297,null,5183,null,319638,null,6698,null,157659,null,5873,null,740705,null,6268,null,557649,null,6510,null,183056,null,5392,null,0400000US08,Colorado,08
1820487,null,7589,null,172214,null,5844,null,85347,null,3989,null,19462,null,1993,null,8636,null,1346,null,10826,null,1561,null,65885,null,3713,null,31163,null,2410,null,34722,null,3016,null,86867,null,3821,null,15958,null,1841,null,8418,null,1466,null,7540,null,1150,null,70909,null,3316,null,28106,null,2526,null,42803,null,2968,null,1648273,null,9155,null,812626,null,6624,null,282151,null,3906,null,201810,null,4824,null,80341,null,4169,null,530475,null,4576,null,479467,null,4671,null,51008,null,2929,null,835647,null,5298,null,282190,null,3338,null,191069,null,3712,null,91121,null,3680,null,553457,null,3681,null,424755,null,4932,null,128702,null,4011,null,0400000US09,Connecticut,09
405792,null,1967,null,46558,null,3420,null,22866,null,2626,null,4766,null,1071,null,1975,null,596,null,2791,null,811,null,18100,null,2297,null,7562,null,1431,null,10538,null,1623,null,23692,null,2168,null,5082,null,1099,null,2474,null,674,null,2608,null,731,null,18610,null,1736,null,6579,null,1223,null,12031,null,1697,null,359234,null,4260,null,174730,null,3189,null,67111,null,1456,null,51719,null,2035,null,15392,null,1689,null,107619,null,2450,null,93794,null,2644,null,13825,null,1587,null,184504,null,2600,null,69042,null,1461,null,47571,null,2187,null,21471,null,2152,null,115462,null,1984,null,85366,null,2356,null,30096,null,2266,null,0400000US10,Delaware,10
160992,null,2856,null,9069,null,1407,null,5128,null,1095,null,1842,null,614,null,1269,null,592,null,573,null,268,null,3286,null,847,null,1349,null,524,null,1937,null,741,null,3941,null,1070,null,1170,null,529,null,915,null,467,null,255,null,220,null,2771,null,912,null,1639,null,713,null,1132,null,516,null,151923,null,2943,null,74627,null,2337,null,36458,null,1970,null,28290,null,1864,null,8168,null,1417,null,38169,null,1283,null,35862,null,1503,null,2307,null,677,null,77296,null,1642,null,43024,null,1257,null,33280,null,1773,null,9744,null,1383,null,34272,null,1081,null,28280,null,1434,null,5992,null,1101,null,0400000US11,District of Columbia,11
8618669,null,18847,null,996338,null,18485,null,499271,null,11036,null,92956,null,5725,null,43426,null,3995,null,49530,null,4188,null,406315,null,9326,null,159796,null,6434,null,246519,null,8236,null,497067,null,11467,null,80595,null,5690,null,33714,null,3967,null,46881,null,4093,null,416472,null,9867,null,136111,null,5980,null,280361,null,8348,null,7622331,null,26165,null,3774219,null,16278,null,1416793,null,10978,null,1050815,null,12263,null,365978,null,10015,null,2357426,null,11661,null,2042843,null,12627,null,314583,null,8725,null,3848112,null,15352,null,1382298,null,9247,null,892325,null,11628,null,489973,null,11324,null,2465814,null,10942,null,1768220,null,12566,null,697594,null,10983,null,0400000US12,Florida,12
