C17020B_001E,C17020B_001EA,C17020B_001M,C17020B_001MA,C17020B_002E,C17020B_002EA,C17020B_002M,C17020B_002MA,C17020B_003E,C17020B_003EA,C17020B_003M,C17020B_003MA,C17020B_004E,C17020B_004EA,C17020B_004M,C17020B_004MA,C17020B_005E,C17020B_005EA,C17020B_005M,C17020B_005MA,C17020B_006E,C17020B_006EA,C17020B_006M,C17020B_006MA,C17020B_007E,C17020B_007EA,C17020B_007M,C17020B_007MA,C17020B_008E,C17020B_008EA,C17020B_008M,C17020B_008MA,C17020B_009E,C17020B_009EA,C17020B_009M,C17020B_009MA,GEO_ID,NAME,state
1160313,null,6180,null,361057,null,15483,null,146544,null,8452,null,184508,null,8854,null,30005,null,2092,null,799256,null,14844,null,192389,null,7748,null,528476,null,9781,null,78391,null,2007,null,0400000US01,Alabama,01
24457,null,2190,null,2548,null,1805,null,991,null,933,null,1483,null,1086,null,74,null,131,null,21909,null,2532,null,4967,null,1527,null,16466,null,1665,null,476,null,445,null,0400000US02,Alaska,02
216343,null,5692,null,49922,null,6010,null,22870,null,3815,null,24800,null,3385,null,2252,null,669,null,166421,null,7417,null,50104,null,4833,null,104457,null,3891,null,11860,null,976,null,0400000US04,Arizona,04
422691,null,4425,null,149472,null,9114,null,64476,null,5153,null,74750,null,5178,null,10246,null,1688,null,273219,null,8534,null,69580,null,4724,null,177605,null,5118,null,26034,null,2038,null,0400000US05,Arkansas,05
2146909,null,13505,null,430593,null,20809,null,169192,null,11760,null,236418,null,11117,null,24983,null,2577,null,1716316,null,24727,null,427954,null,14049,null,1117591,null,12845,null,170771,null,3408,null,0400000US06,California,06
180388,null,4341,null,38232,null,5940,null,15708,null,3290,null,20199,null,3438,null,2325,null,853,null,142156,null,6764,null,40320,null,4059,null,92328,null,3936,null,9508,null,943,null,0400000US08,Colorado,08
310990,null,5184,null,50603,null,6251,null,20710,null,3949,null,26485,null,2741,null,3408,null,966,null,260387,null,7200,null,72931,null,4217,null,166412,null,3985,null,21044,null,1075,null,0400000US09,Connecticut,09
166954,null,3355,null,31677,null,4904,null,14354,null,2805,null,15538,null,2803,null,1785,null,545,null,135277,null,5642,null,33317,null,3263,null,90294,null,2864,null,11666,null,610,null,0400000US10,Delaware,10
309349,null,2442,null,70132,null,7047,null,23687,null,3590,null,39502,null,3992,null,6943,null,1338,null,239217,null,7529,null,51897,null,3750,null,151734,null,4435,null,35586,null,1394,null,0400000US11,District of Columbia,11
2677471,null,15207,null,597582,null,22899,null,255884,null,13681,null,298116,null,11423,null,43582,null,3365,null,2079889,null,24820,null,565759,null,14904,null,1345379,null,13186,null,168751,null,4149,null,0400000US12,Florida,12
2747967,null,10296,null,630201,null,22241,null,267440,null,14191,null,320016,null,11199,null,42745,null,3341,null,2117766,null,22060,null,567203,null,13890,null,1411373,null,12433,null,139190,null,3624,null,0400000US13,Georgia,13
25977,null,2535,null,1845,null,1449,null,515,null,792,null,1330,null,1054,null,0,null,271,null,24132,null,2511,null,7196,null,1846,null,16042,null,2007,null,894,null,409,null,0400000US15,Hawaii,15
8521,null,1658,null,2079,null,1267,null,1350,null,1201,null,729,null,402,null,0,null,257,null,6442,null,1361,null,2449,null,956,null,3861,null,869,null,132,null,235,null,0400000US16,Idaho,16
1809762,null,8146,null,497724,null,20323,null,212068,null,12412,null,253315,null,9702,null,32341,null,2577,null,1312038,null,20069,null,337935,null,12073,null,841224,null,10510,null,132879,null,3018,null,0400000US17,Illinois,17
523643,null,5955,null,133366,null,9370,null,58345,null,6049,null,67549,null,4674,null,7472,null,1215,null,390277,null,9663,null,104921,null,5847,null,249647,null,5392,null,35709,null,1652,null,0400000US18,Indiana,18
64810,null,2765,null,24281,null,3493,null,10683,null,2257,null,12711,null,1666,null,887,null,414,null,40529,null,3924,null,13317,null,2181,null,24382,null,2326,null,2830,null,735,null,0400000US19,Iowa,19
