B07404G_001E,B07404G_001EA,B07404G_001M,B07404G_001MA,B07404G_002E,B07404G_002EA,B07404G_002M,B07404G_002MA,B07404G_003E,B07404G_003EA,B07404G_003M,B07404G_003MA,B07404G_004E,B07404G_004EA,B07404G_004M,B07404G_004MA,B07404G_005E,B07404G_005EA,B07404G_005M,B07404G_005MA,GEO_ID,NAME,state
56667,null,4590,null,46033,null,4045,null,5599,null,1562,null,2135,null,957,null,2900,null,1739,null,0400000US01,Alabama,01
45072,null,3993,null,33243,null,3515,null,7616,null,1998,null,2155,null,752,null,2058,null,739,null,0400000US02,Alaska,02
144536,null,8926,null,112273,null,6809,null,21933,null,3675,null,5065,null,1950,null,5265,null,1664,null,0400000US04,Arizona,04
48094,null,4542,null,35724,null,3692,null,6872,null,2097,null,2833,null,984,null,2665,null,1095,null,0400000US05,Arkansas,05
1219683,null,24728,null,993565,null,24935,null,155273,null,9411,null,48333,null,5219,null,22512,null,3150,null,0400000US06,California,06
121241,null,7370,null,90467,null,6165,null,15295,null,2783,null,9273,null,2043,null,6206,null,1976,null,0400000US08,Colorado,08
67747,null,5745,null,56307,null,5221,null,7913,null,2162,null,1550,null,710,null,1977,null,813,null,0400000US09,Connecticut,09
14823,null,2823,null,12409,null,2714,null,1593,null,676,null,393,null,404,null,428,null,345,null,0400000US10,Delaware,10
8721,null,1542,null,6011,null,1382,null,1557,null,675,null,0,null,267,null,1153,null,554,null,0400000US11,District of Columbia,11
297802,null,12167,null,233419,null,11220,null,38719,null,4905,null,13529,null,3240,null,12135,null,2247,null,0400000US12,Florida,12
114433,null,7995,null,85503,null,6872,null,13509,null,3064,null,9551,null,2782,null,5870,null,1426,null,0400000US13,Georgia,13
277481,null,12040,null,238496,null,11418,null,32466,null,5545,null,1861,null,827,null,4658,null,1443,null,0400000US15,Hawaii,15
29668,null,2859,null,22990,null,2467,null,4748,null,1491,null,1285,null,728,null,645,null,344,null,0400000US16,Idaho,16
192175,null,11563,null,155296,null,9763,null,23053,null,3983,null,6868,null,1831,null,6958,null,1941,null,0400000US17,Illinois,17
101594,null,6380,null,76697,null,6160,null,18128,null,3045,null,4010,null,1451,null,2759,null,1091,null,0400000US18,Indiana,18
39317,null,3836,null,31307,null,3388,null,4300,null,1208,null,1924,null,655,null,1786,null,1014,null,0400000US19,Iowa,19
69860,null,5203,null,50201,null,4691,null,11332,null,2445,null,5244,null,1541,null,3083,null,1149,null,0400000US20,Kansas,20
51680,null,4629,null,39213,null,3939,null,8473,null,1983,null,2633,null,861,null,1361,null,487,null,0400000US21,Kentucky,21
50615,null,5875,null,40269,null,5374,null,6162,null,2363,null,1755,null,671,null,2429,null,1026,null,0400000US22,Louisiana,22
22327,null,2668,null,17001,null,2397,null,3070,null,1410,null,1520,null,771,null,736,null,404,null,0400000US23,Maine,23
111125,null,7376,null,92759,null,6696,null,7584,null,1749,null,4409,null,1624,null,6373,null,2058,null,0400000US24,Maryland,24
113528,null,7893,null,90065,null,6887,null,18208,null,3579,null,2330,null,915,null,2925,null,880,null,0400000US25,Massachusetts,25
184927,null,7845,null,143266,null,6350,null,26669,null,4501,null,9539,null,1638,null,5453,null,2011,null,0400000US26,Michigan,26
91237,null,6563,null,73576,null,5981,null,9119,null,2473,null,5329,null,1485,null,3213,null,1767,null,0400000US27,Minnesota,27
25729,null,4293,null,19930,null,3824,null,3498,null,2084,null,1121,null,635,null,1180,null,481,null,0400000US28,Mississippi,28
105357,null,7053,null,81381,null,6375,null,12628,null,2419,null,6954,null,1275,null,4394,null,1316,null,0400000US29,Missouri,29
22228,null,2692,null,18833,null,2543,null,2406,null,1122,null,307,null,281,null,682,null,466,null,0400000US30,Montana,30
33901,null,3634,null,25970,null,3345,null,4521,null,1266,null,1750,null,893,null,1660,null,1069,null,0400000US31,Nebraska,31
73329,null,6655,null,55262,null,5297,null,12909,null,2446,null,541,null,330,null,4617,null,1556,null,0400000US32,Nevada,32
15918,null,1870,null,12331,null,1656,null,1327,null,572,null,903,null,584,null,1357,null,707,null,0400000US33,New Hampshire,33
137624,null,8329,null,117962,null,7960,null,11527,null,2483,null,4143,null,1243,null,3992,null,1402,null,0400000US34,New Jersey,34
49995,null,4199,null,40422,null,3806,null,6542,null,1992,null,825,null,445,null,2206,null,850,null,0400000US35,New Mexico,35
352599,null,14600,null,291562,null,14100,null,36918,null,4998,null,14590,null,2352,null,9529,null,1921,null,0400000US36,New York,36
132419,null,8743,null,105495,null,8170,null,16005,null,2931,null,6693,null,1862,null,4226,null,1282,null,0400000US37,North Carolina,37
9544,null,1775,null,7496,null,1430,null,704,null,523,null,490,null,474,null,854,null,610,null,0400000US38,North Dakota,38
180010,null,7813,null,137847,null,6383,null,26331,null,3958,null,10016,null,2082,null,5816,null,2272,null,0400000US39,Ohio,39
218622,null,10233,null,168409,null,9272,null,33831,null,4793,null,11357,null,1712,null,5025,null,1423,null,0400000US40,Oklahoma,40
117032,null,7492,null,92345,null,7026,null,14720,null,2199,null,5784,null,1783,null,4183,null,1264,null,0400000US41,Oregon,41
160106,null,8596,null,126964,null,7773,null,21601,null,3527,null,6119,null,1523,null,5422,null,1699,null,0400000US42,Pennsylvania,42
22697,null,3187,null,15947,null,2186,null,4014,null,1997,null,699,null,590,null,2037,null,1118,null,0400000US44,Rhode Island,44
49367,null,5472,null,36646,null,3864,null,7674,null,3131,null,3178,null,996,null,1869,null,705,null,0400000US45,South Carolina,45
13261,null,2198,null,8626,null,1848,null,2423,null,912,null,1274,null,679,null,938,null,717,null,0400000US46,South Dakota,46
75506,null,6143,null,58909,null,5250,null,10836,null,2718,null,2481,null,1000,null,3280,null,1325,null,0400000US47,Tennessee,47
422103,null,15861,null,327651,null,14813,null,57001,null,5454,null,23463,null,3258,null,13988,null,2332,null,0400000US48,Texas,48
49819,null,4709,null,37407,null,4256,null,8102,null,2162,null,2426,null,1072,null,1884,null,900,null,0400000US49,Utah,49
9486,null,1403,null,7161,null,1155,null,989,null,696,null,774,null,451,null,562,null,514,null,0400000US50,Vermont,50
146363,null,8540,null,118242,null,7924,null,11119,null,2323,null,9626,null,2670,null,7376,null,1693,null,0400000US51,Virginia,51
226764,null,9706,null,174404,null,8434,null,33768,null,3854,null,10650,null,2513,null,7942,null,2080,null,0400000US53,Washington,53
19640,null,2342,null,15847,null,2317,null,2251,null,949,null,1031,null,593,null,511,null,393,null,0400000US54,West Virginia,54
