B13002H_001E,B13002H_001EA,B13002H_001M,B13002H_001MA,B13002H_002E,B13002H_002EA,B13002H_002M,B13002H_002MA,B13002H_003E,B13002H_003EA,B13002H_003M,B13002H_003MA,B13002H_004E,B13002H_004EA,B13002H_004M,B13002H_004MA,B13002H_005E,B13002H_005EA,B13002H_005M,B13002H_005MA,B13002H_006E,B13002H_006EA,B13002H_006M,B13002H_006MA,B13002H_007E,B13002H_007EA,B13002H_007M,B13002H_007MA,GEO_ID,NAME,state
756614,null,2868,null,38680,null,3136,null,29331,null,2992,null,9349,null,1579,null,717934,null,4354,null,406680,null,6702,null,311254,null,6604,null,0400000US01,Alabama,01
115556,null,881,null,5801,null,1118,null,4463,null,938,null,1338,null,553,null,109755,null,1358,null,59331,null,2626,null,50424,null,2381,null,0400000US02,Alaska,02
853861,null,2731,null,46461,null,3643,null,32019,null,2841,null,14442,null,2339,null,807400,null,4342,null,383703,null,7519,null,423697,null,7579,null,0400000US04,Arizona,04
507672,null,2266,null,26497,null,2762,null,18573,null,2160,null,7924,null,1596,null,481175,null,3328,null,276283,null,5255,null,204892,null,5714,null,0400000US05,Arkansas,05
3710320,null,6603,null,156479,null,6442,null,122993,null,5510,null,33486,null,3305,null,3553841,null,9354,null,1647024,null,15164,null,1906817,null,15166,null,0400000US06,California,06
879346,null,3089,null,41511,null,2962,null,33652,null,2462,null,7859,null,1621,null,837835,null,4396,null,426485,null,6544,null,411350,null,6587,null,0400000US08,Colorado,08
619993,null,2403,null,28630,null,2876,null,23656,null,2582,null,4974,null,1334,null,591363,null,3545,null,293535,null,6024,null,297828,null,5350,null,0400000US09,Connecticut,09
142955,null,817,null,5545,null,1075,null,4242,null,878,null,1303,null,773,null,137410,null,1397,null,68378,null,3199,null,69032,null,3084,null,0400000US10,Delaware,10
60497,null,611,null,1591,null,618,null,1354,null,531,null,237,null,249,null,58906,null,782,null,14762,null,1327,null,44144,null,1471,null,0400000US11,District of Columbia,11
2392416,null,6129,null,107643,null,5279,null,77536,null,4476,null,30107,null,2962,null,2284773,null,8215,null,1110872,null,12963,null,1173901,null,13017,null,0400000US12,Florida,12
1382333,null,3386,null,67408,null,5115,null,51839,null,4593,null,15569,null,2457,null,1314925,null,6183,null,722879,null,9597,null,592046,null,8596,null,0400000US13,Georgia,13
70719,null,642,null,3729,null,1004,null,3485,null,981,null,244,null,235,null,66990,null,1207,null,37872,null,2443,null,29118,null,2259,null,0400000US15,Hawaii,15
