B19113H_001E,B19113H_001EA,B19113H_001M,B19113H_001MA,GEO_ID,NAME,state
58218,null,957,null,0400000US01,Alabama,01
82447,null,3068,null,0400000US02,Alaska,02
68658,null,930,null,0400000US04,Arizona,04
51573,null,844,null,0400000US05,Arkansas,05
85837,null,616,null,0400000US06,California,06
75751,null,1024,null,0400000US08,Colorado,08
90494,null,1191,null,0400000US09,Connecticut,09
75147,null,2209,null,0400000US10,Delaware,10
162636,null,11136,null,0400000US11,District of Columbia,11
64595,null,544,null,0400000US12,Florida,12
68439,null,872,null,0400000US13,Georgia,13
78460,null,2580,null,0400000US15,Hawaii,15
56599,null,879,null,0400000US16,Idaho,16
73685,null,622,null,0400000US17,Illinois,17
60900,null,506,null,0400000US18,Indiana,18
60901,null,525,null,0400000US19,Iowa,19
64209,null,1032,null,0400000US20,Kansas,20
51830,null,626,null,0400000US21,Kentucky,21
61480,null,800,null,0400000US22,Louisiana,22
57164,null,1058,null,0400000US23,Maine,23
92790,null,1116,null,0400000US24,Maryland,24
84460,null,890,null,0400000US25,Massachusetts,25
63146,null,534,null,0400000US26,Michigan,26
72082,null,598,null,0400000US27,Minnesota,27
56384,null,975,null,0400000US28,Mississippi,28
58834,null,640,null,0400000US29,Missouri,29
55557,null,1486,null,0400000US30,Montana,30
61378,null,827,null,0400000US31,Nebraska,31
72614,null,1481,null,0400000US32,Nevada,32
75469,null,1330,null,0400000US33,New Hampshire,33
93290,null,822,null,0400000US34,New Jersey,34
62858,null,1907,null,0400000US35,New Mexico,35
75965,null,639,null,0400000US36,New York,36
62506,null,573,null,0400000US37,North Carolina,37
60273,null,1065,null,0400000US38,North Dakota,38
61485,null,395,null,0400000US39,Ohio,39
56637,null,765,null,0400000US40,Oklahoma,40
62096,null,743,null,0400000US41,Oregon,41
64037,null,365,null,0400000US42,Pennsylvania,42
77363,null,1589,null,0400000US44,Rhode Island,44
62465,null,831,null,0400000US45,South Carolina,45
56371,null,1203,null,0400000US46,South Dakota,46
55406,null,545,null,0400000US47,Tennessee,47
73882,null,615,null,0400000US48,Texas,48
65919,null,1104,null,0400000US49,Utah,49
61940,null,1549,null,0400000US50,Vermont,50
77996,null,738,null,0400000US51,Virginia,51
70806,null,639,null,0400000US53,Washington,53
47011,null,1091,null,0400000US54,West Virginia,54
65618,null,522,null,0400000US55,Wisconsin,55
65921,null,2379,null,0400000US56,Wyoming,56
28189,null,4478,null,0400000US72,Puerto Rico,72
