C05003B_001E,C05003B_001EA,C05003B_001M,C05003B_001MA,C05003B_002E,C05003B_002EA,C05003B_002M,C05003B_002MA,C05003B_003E,C05003B_003EA,C05003B_003M,C05003B_003MA,C05003B_004E,C05003B_004EA,C05003B_004M,C05003B_004MA,C05003B_005E,C05003B_005EA,C05003B_005M,C05003B_005MA,C05003B_006E,C05003B_006EA,C05003B_006M,C05003B_006MA,C05003B_007E,C05003B_007EA,C05003B_007M,C05003B_007MA,C05003B_008E,C05003B_008EA,C05003B_008M,C05003B_008MA,C05003B_009E,C05003B_009EA,C05003B_009M,C05003B_009MA,C05003B_010E,C05003B_010EA,C05003B_010M,C05003B_010MA,C05003B_011E,C05003B_011EA,C05003B_011M,C05003B_011MA,C05003B_012E,C05003B_012EA,C05003B_012M,C05003B_012MA,C05003B_013E,C05003B_013EA,C05003B_013M,C05003B_013MA,C05003B_014E,C05003B_014EA,C05003B_014M,C05003B_014MA,C05003B_015E,C05003B_015EA,C05003B_015M,C05003B_015MA,GEO_ID,NAME,state
1212118,null,5691,null,564365,null,5076,null,173966,null,3866,null,173747,null,3881,null,219,null,166,null,390399,null,2670,null,385656,null,3221,null,4743,null,1589,null,647753,null,4886,null,172361,null,3906,null,172016,null,3933,null,345,null,276,null,475392,null,2572,null,471009,null,2856,null,4383,null,1608,null,0400000US01,Alabama,01
25821,null,2172,null,14908,null,1594,null,2861,null,1096,null,2861,null,1096,null,0,null,237,null,12047,null,1185,null,10637,null,1143,null,1410,null,780,null,10913,null,1415,null,3136,null,1022,null,3136,null,1022,null,0,null,237,null,7777,null,933,null,7638,null,930,null,139,null,180,null,0400000US02,Alaska,02
224991,null,5520,null,116500,null,3047,null,37963,null,2077,null,36391,null,2054,null,1572,null,863,null,78537,null,1830,null,69675,null,2383,null,8862,null,2481,null,108491,null,3211,null,36588,null,2577,null,34513,null,2749,null,2075,null,1216,null,71903,null,1533,null,64314,null,2429,null,7589,null,1917,null,0400000US04,Arizona,04
442279,null,4286,null,209221,null,3313,null,68508,null,2402,null,68360,null,2400,null,148,null,137,null,140713,null,2121,null,137616,null,2329,null,3097,null,1119,null,233058,null,2881,null,67544,null,2199,null,67370,null,2202,null,174,null,164,null,165514,null,1865,null,164100,null,1919,null,1414,null,655,null,0400000US05,Arkansas,05
2263363,null,12575,null,1110661,null,7928,null,310734,null,5360,null,304961,null,5312,null,5773,null,1520,null,799927,null,4810,null,737244,null,6375,null,62683,null,4591,null,1152702,null,8210,null,304137,null,6203,null,297690,null,6416,null,6447,null,1808,null,848565,null,4872,null,786654,null,6882,null,61911,null,5487,null,0400000US06,California,06
189217,null,4534,null,99178,null,2928,null,29383,null,1963,null,28124,null,1848,null,1259,null,703,null,69795,null,2108,null,61842,null,2488,null,7953,null,1558,null,90039,null,3174,null,27983,null,2386,null,26818,null,2316,null,1165,null,630,null,62056,null,1677,null,55566,null,1917,null,6490,null,1398,null,0400000US08,Colorado,08
328401,null,5222,null,156584,null,3580,null,48563,null,2247,null,46207,null,2330,null,2356,null,1156,null,108021,null,2308,null,79143,null,3401,null,28878,null,3090,null,171817,null,2907,null,47842,null,1467,null,45391,null,1797,null,2451,null,904,null,123975,null,2226,null,91608,null,3556,null,32367,null,3346,null,0400000US09,Connecticut,09
175682,null,3154,null,82195,null,1951,null,24310,null,1532,null,23933,null,1531,null,377,null,262,null,57885,null,1124,null,53573,null,1543,null,4312,null,1054,null,93487,null,1897,null,24902,null,1390,null,24366,null,1437,null,536,null,391,null,68585,null,1117,null,62770,null,1816,null,5815,null,1441,null,0400000US10,Delaware,10
321646,null,1629,null,145728,null,1039,null,38802,null,569,null,38633,null,629,null,169,null,211,null,106926,null,835,null,99680,null,1539,null,7246,null,1474,null,175918,null,1055,null,37189,null,567,null,36775,null,661,null,414,null,347,null,138729,null,825,null,131721,null,1804,null,7008,null,1629,null,0400000US11,District of Columbia,11
2800374,null,14573,null,1348543,null,8579,null,430091,null,6005,null,407686,null,6425,null,22405,null,3068,null,918452,null,5503,null,681067,null,8146,null,237385,null,7112,null,1451831,null,9345,null,410897,null,5170,null,390249,null,5764,null,20648,null,3007,null,1040934,null,5843,null,774297,null,9209,null,266637,null,9582,null,0400000US12,Florida,12
