C15002G_001E,C15002G_001EA,C15002G_001M,C15002G_001MA,C15002G_002E,C15002G_002EA,C15002G_002M,C15002G_002MA,C15002G_003E,C15002G_003EA,C15002G_003M,C15002G_003MA,C15002G_004E,C15002G_004EA,C15002G_004M,C15002G_004MA,C15002G_005E,C15002G_005EA,C15002G_005M,C15002G_005MA,C15002G_006E,C15002G_006EA,C15002G_006M,C15002G_006MA,C15002G_007E,C15002G_007EA,C15002G_007M,C15002G_007MA,C15002G_008E,C15002G_008EA,C15002G_008M,C15002G_008MA,C15002G_009E,C15002G_009EA,C15002G_009M,C15002G_009MA,C15002G_010E,C15002G_010EA,C15002G_010M,C15002G_010MA,C15002G_011E,C15002G_011EA,C15002G_011M,C15002G_011MA,GEO_ID,NAME,state
25321,null,2357,null,12101,null,1540,null,2521,null,788,null,3771,null,923,null,3781,null,871,null,2028,null,596,null,13220,null,1616,null,2734,null,830,null,4154,null,881,null,4219,null,741,null,2113,null,644,null,0400000US01,Alabama,01
16394,null,2057,null,8079,null,1393,null,732,null,325,null,3417,null,1003,null,2536,null,817,null,1394,null,594,null,8315,null,1137,null,1244,null,631,null,2650,null,663,null,3183,null,770,null,1238,null,435,null,0400000US02,Alaska,02
51887,null,4558,null,24828,null,2775,null,3430,null,803,null,7008,null,1326,null,9719,null,1886,null,4671,null,1044,null,27059,null,2591,null,4372,null,1093,null,5350,null,1052,null,10501,null,1652,null,6836,null,1455,null,0400000US04,Arizona,04
20599,null,2194,null,9769,null,1437,null,2014,null,685,null,4320,null,953,null,2477,null,680,null,958,null,442,null,10830,null,1431,null,3308,null,1044,null,3407,null,831,null,2566,null,725,null,1549,null,518,null,0400000US05,Arkansas,05
497805,null,12542,null,245730,null,7576,null,43344,null,3417,null,55871,null,4270,null,85438,null,4920,null,61077,null,3784,null,252075,null,8569,null,39393,null,3311,null,50828,null,4022,null,93782,null,4966,null,68072,null,4918,null,0400000US06,California,06
51125,null,3906,null,24546,null,2468,null,2692,null,885,null,7649,null,1505,null,7450,null,1269,null,6755,null,1383,null,26579,null,2688,null,3086,null,911,null,7063,null,1465,null,9080,null,1687,null,7350,null,1408,null,0400000US08,Colorado,08
26113,null,2880,null,11522,null,1789,null,932,null,452,null,4689,null,1278,null,3399,null,1099,null,2502,null,715,null,14591,null,2042,null,1669,null,634,null,3643,null,1064,null,4999,null,979,null,4280,null,925,null,0400000US09,Connecticut,09
5548,null,1300,null,2942,null,1018,null,121,null,138,null,626,null,474,null,1414,null,698,null,781,null,470,null,2606,null,802,null,97,null,104,null,803,null,396,null,1212,null,557,null,494,null,289,null,0400000US10,Delaware,10
5397,null,1282,null,2090,null,1032,null,110,null,113,null,138,null,152,null,198,null,315,null,1644,null,868,null,3307,null,841,null,0,null,300,null,422,null,329,null,850,null,450,null,2035,null,694,null,0400000US11,District of Columbia,11
140649,null,6642,null,67222,null,4186,null,14931,null,2209,null,19432,null,2420,null,17979,null,2125,null,14880,null,1984,null,73427,null,4347,null,11688,null,1727,null,19737,null,2276,null,25310,null,2608,null,16692,null,2072,null,0400000US12,Florida,12
