B15002F_001E,B15002F_001EA,B15002F_001M,B15002F_001MA,B15002F_002E,B15002F_002EA,B15002F_002M,B15002F_002MA,B15002F_003E,B15002F_003EA,B15002F_003M,B15002F_003MA,B15002F_004E,B15002F_004EA,B15002F_004M,B15002F_004MA,B15002F_005E,B15002F_005EA,B15002F_005M,B15002F_005MA,B15002F_006E,B15002F_006EA,B15002F_006M,B15002F_006MA,B15002F_007E,B15002F_007EA,B15002F_007M,B15002F_007MA,B15002F_008E,B15002F_008EA,B15002F_008M,B15002F_008MA,B15002F_009E,B15002F_009EA,B15002F_009M,B15002F_009MA,B15002F_010E,B15002F_010EA,B15002F_010M,B15002F_010MA,B15002F_011E,B15002F_011EA,B15002F_011M,B15002F_011MA,B15002F_012E,B15002F_012EA,B15002F_012M,B15002F_012MA,B15002F_013E,B15002F_013EA,B15002F_013M,B15002F_013MA,B15002F_014E,B15002F_014EA,B15002F_014M,B15002F_014MA,B15002F_015E,B15002F_015EA,B15002F_015M,B15002F_015MA,B15002F_016E,B15002F_016EA,B15002F_016M,B15002F_016MA,B15002F_017E,B15002F_017EA,B15002F_017M,B15002F_017MA,GEO_ID,NAME,state
18656,null,2177,null,11420,null,1662,null,3106,null,905,null,2503,null,672,null,2857,null,922,null,1619,null,647,null,404,null,312,null,671,null,417,null,260,null,233,null,7236,null,1049,null,1614,null,650,null,1101,null,434,null,2311,null,703,null,1083,null,511,null,503,null,327,null,436,null,233,null,188,null,188,null,0400000US01,Alabama,01
8076,null,1498,null,4600,null,984,null,1019,null,547,null,1443,null,626,null,1079,null,572,null,798,null,390,null,0,null,237,null,132,null,150,null,129,null,121,null,3476,null,801,null,926,null,603,null,670,null,483,null,710,null,476,null,943,null,410,null,227,null,232,null,0,null,237,null,0,null,237,null,0400000US02,Alaska,02
359181,null,11271,null,188722,null,6822,null,41591,null,3695,null,37903,null,3434,null,57674,null,5286,null,28164,null,2791,null,9590,null,1801,null,10231,null,1626,null,3569,null,978,null,170459,null,6550,null,33181,null,3396,null,30013,null,3447,null,49411,null,4160,null,30500,null,3003,null,12491,null,1830,null,9643,null,1624,null,5220,null,1231,null,0400000US04,Arizona,04
29242,null,2975,null,16277,null,2137,null,5986,null,1324,null,2947,null,909,null,4620,null,1343,null,1735,null,676,null,415,null,286,null,356,null,290,null,218,null,203,null,12965,null,1562,null,5682,null,1195,null,2494,null,942,null,2331,null,686,null,1278,null,650,null,401,null,268,null,431,null,292,null,348,null,272,null,0400000US05,Arkansas,05
3340171,null,33234,null,1727773,null,20104,null,463595,null,12859,null,316228,null,10094,null,498789,null,11712,null,240089,null,9457,null,71530,null,4869,null,105702,null,6878,null,31840,null,3246,null,1612398,null,18387,null,448431,null,11377,null,265239,null,8381,null,422968,null,11204,null,240176,null,8661,null,88390,null,5088,null,105073,null,6007,null,42121,null,3181,null,0400000US06,California,06
174953,null,8299,null,91784,null,5429,null,19255,null,3011,null,12404,null,1610,null,32733,null,3904,null,13638,null,2336,null,5304,null,1196,null,6293,null,1660,null,2157,null,668,null,83169,null,4167,null,11407,null,1718,null,17549,null,2614,null,23699,null,2702,null,15748,null,2010,null,5085,null,1181,null,7270,null,1366,null,2411,null,720,null,0400000US08,Colorado,08
111284,null,5895,null,55536,null,4010,null,12245,null,2449,null,10711,null,2116,null,17800,null,2113,null,7782,null,1630,null,2390,null,905,null,2901,null,981,null,1707,null,677,null,55748,null,3636,null,9719,null,1580,null,10154,null,2103,null,17515,null,2325,null,9082,null,1643,null,2751,null,861,null,4620,null,1165,null,1907,null,899,null,0400000US09,Connecticut,09
9630,null,1406,null,5499,null,847,null,1623,null,565,null,880,null,427,null,2164,null,711,null,534,null,346,null,70,null,85,null,228,null,205,null,0,null,261,null,4131,null,829,null,1037,null,542,null,862,null,580,null,1234,null,605,null,316,null,273,null,130,null,145,null,416,null,333,null,136,null,160,null,0400000US10,Delaware,10
17591,null,2386,null,9886,null,1679,null,3609,null,1354,null,1188,null,1248,null,2120,null,1024,null,1166,null,703,null,268,null,314,null,943,null,685,null,592,null,396,null,7705,null,1305,null,2681,null,1015,null,823,null,607,null,561,null,386,null,1130,null,616,null,206,null,297,null,971,null,578,null,1333,null,706,null,0400000US11,District of Columbia,11
425285,null,14057,null,227403,null,9301,null,50979,null,5223,null,31866,null,3627,null,65382,null,5859,null,32957,null,3681,null,13997,null,2516,null,23315,null,2655,null,8907,null,1726,null,197882,null,7400,null,33415,null,3762,null,23599,null,2758,null,58601,null,4559,null,31385,null,2802,null,17957,null,2358,null,24548,null,3001,null,8377,null,1407,null,0400000US12,Florida,12
