C18001_001E,C18001_001EA,C18001_001M,C18001_001MA,C18001_002E,C18001_002EA,C18001_002M,C18001_002MA,C18001_003E,C18001_003EA,C18001_003M,C18001_003MA,C18001_004E,C18001_004EA,C18001_004M,C18001_004MA,C18001_005E,C18001_005EA,C18001_005M,C18001_005MA,C18001_006E,C18001_006EA,C18001_006M,C18001_006MA,C18001_007E,C18001_007EA,C18001_007M,C18001_007MA,C18001_008E,C18001_008EA,C18001_008M,C18001_008MA,C18001_009E,C18001_009EA,C18001_009M,C18001_009MA,C18001_010E,C18001_010EA,C18001_010M,C18001_010MA,C18001_011E,C18001_011EA,C18001_011M,C18001_011MA,C18001_012E,C18001_012EA,C18001_012M,C18001_012MA,C18001_013E,C18001_013EA,C18001_013M,C18001_013MA,C18001_014E,C18001_014EA,C18001_014M,C18001_014MA,C18001_015E,C18001_015EA,C18001_015M,C18001_015MA,C18001_016E,C18001_016EA,C18001_016M,C18001_016MA,C18001_017E,C18001_017EA,C18001_017M,C18001_017MA,C18001_018E,C18001_018EA,C18001_018M,C18001_018MA,C18001_019E,C18001_019EA,C18001_019M,C18001_019MA,C18001_020E,C18001_020EA,C18001_020M,C18001_020MA,C18001_021E,C18001_021EA,C18001_021M,C18001_021MA,C18001_022E,C18001_022EA,C18001_022M,C18001_022MA,C18001_023E,C18001_023EA,C18001_023M,C18001_023MA,C18001_024E,C18001_024EA,C18001_024M,C18001_024MA,C18001_025E,C18001_025EA,C18001_025M,C18001_025MA,C18001_026E,C18001_026EA,C18001_026M,C18001_026MA,C18001_027E,C18001_027EA,C18001_027M,C18001_027MA,GEO_ID,NAME,state
4237753,null,4054,null,2027106,null,5662,null,346109,null,4172,null,314389,null,5039,null,24925,null,2791,null,6795,null,1498,null,1430566,null,5516,null,1176099,null,10072,null,94611,null,5153,null,159856,null,6765,null,250431,null,1815,null,134402,null,3462,null,47498,null,3229,null,68531,null,2814,null,2210647,null,4311,null,335649,null,3454,null,316299,null,3783,null,15265,null,2279,null,4085,null,1020,null,1526061,null,3555,null,1251976,null,7897,null,93651,null,4697,null,180434,null,5953,null,348937,null,1926,null,167379,null,3871,null,66345,null,3088,null,115213,null,3733,null,0400000US01,Alabama,01
609541,null,1773,null,310922,null,2283,null,55234,null,1276,null,51224,null,1442,null,3104,null,819,null,906,null,484,null,233691,null,2523,null,201978,null,3587,null,16072,null,1970,null,15641,null,1673,null,21997,null,597,null,11949,null,914,null,4457,null,779,null,5591,null,841,null,298619,null,1753,null,50386,null,1355,null,48507,null,1433,null,1596,null,609,null,283,null,198,null,224067,null,1724,null,193386,null,2890,null,13348,null,1801,null,17333,null,2195,null,24166,null,1070,null,12134,null,1072,null,4892,null,874,null,7140,null,1073,null,0400000US02,Alaska,02
5756992,null,2608,null,2853359,null,2932,null,505772,null,3759,null,471912,null,4469,null,27032,null,2292,null,6828,null,1663,null,1985230,null,3993,null,1762840,null,8495,null,95384,null,5494,null,127006,null,5793,null,362357,null,1230,null,229602,null,3571,null,67374,null,3558,null,65381,null,3909,null,2903633,null,2372,null,485718,null,3282,null,466980,null,3930,null,14454,null,2074,null,4284,null,1046,null,1973597,null,3069,null,1742479,null,9687,null,89615,null,5712,null,141503,null,7672,null,444318,null,1449,null,263769,null,4901,null,73624,null,3757,null,106925,null,5268,null,0400000US04,Arizona,04
2585499,null,2488,null,1255092,null,4685,null,217203,null,2543,null,195315,null,3038,null,17590,null,2142,null,4298,null,1032,null,873036,null,4382,null,711204,null,7589,null,60078,null,3727,null,101754,null,5547,null,164853,null,1551,null,87290,null,3105,null,32693,null,2068,null,44870,null,2670,null,1330407,null,3933,null,207246,null,2812,null,191752,null,3285,null,11948,null,1762,null,3546,null,1012,null,910264,null,3380,null,749535,null,5670,null,55173,null,3157,null,105556,null,5113,null,212897,null,1509,null,102819,null,3314,null,44506,null,2519,null,65572,null,2893,null,0400000US05,Arkansas,05
33321461,null,5847,null,16476743,null,7960,null,2876584,null,6958,null,2715525,null,8598,null,120389,null,5365,null,40670,null,3519,null,11929485,null,10150,null,10735858,null,18065,null,522458,null,13121,null,671169,null,13229,null,1670674,null,3427,null,1053442,null,8700,null,275727,null,7244,null,341505,null,8338,null,16844718,null,5704,null,2734679,null,6775,null,2643656,null,7560,null,66402,null,4252,null,24621,null,2406,null,11884372,null,7561,null,10644522,null,17672,null,523205,null,11968,null,716645,null,14480,null,2225667,null,3483,null,1261335,null,12402,null,357751,null,8440,null,606581,null,10940,null,0400000US06,California,06
4427727,null,2911,null,2212616,null,3848,null,361953,null,3154,null,342915,null,4104,null,12769,null,1692,null,6269,null,1845,null,1641484,null,4000,null,1476997,null,7406,null,74122,null,4368,null,90365,null,5374,null,209179,null,1340,null,137310,null,3036,null,36609,null,2295,null,35260,null,2315,null,2215111,null,3192,null,345193,null,3320,null,333207,null,3778,null,9332,null,1241,null,2654,null,890,null,1602893,null,3423,null,1435712,null,6718,null,76819,null,3954,null,90362,null,5017,null,267025,null,1432,null,163976,null,3899,null,42848,null,2866,null,60201,null,3201,null,0400000US08,Colorado,08
3227395,null,1690,null,1559688,null,2681,null,255888,null,2438,null,237733,null,2966,null,13978,null,1840,null,4177,null,1116,null,1117675,null,3327,null,1006506,null,5691,null,53048,null,3556,null,58121,null,3571,null,186125,null,1177,null,125381,null,2976,null,30557,null,2454,null,30187,null,2244,null,1667707,null,2345,null,247371,null,2548,null,238924,null,2622,null,7006,null,1273,null,1441,null,487,null,1163280,null,2359,null,1048840,null,5025,null,49561,null,3668,null,64879,null,3858,null,257056,null,1518,null,158591,null,3286,null,42272,null,2459,null,56193,null,2815,null,0400000US09,Connecticut,09
792060,null,755,null,380229,null,968,null,62808,null,1157,null,57991,null,1629,null,4209,null,1172,null,608,null,330,null,268345,null,1328,null,237982,null,3178,null,12759,null,1666,null,17604,null,2155,null,49076,null,680,null,31539,null,1361,null,9735,null,1105,null,7802,null,1082,null,411831,null,765,null,59713,null,1069,null,56322,null,1291,null,2946,null,832,null,445,null,302,null,288987,null,1246,null,254725,null,3019,null,13202,null,1596,null,21060,null,2170,null,63131,null,732,null,38467,null,1939,null,10962,null,1309,null,13702,null,1456,null,0400000US10,Delaware,10
535531,null,1254,null,247457,null,1806,null,32375,null,791,null,28700,null,1224,null,2966,null,799,null,709,null,479,null,188932,null,1848,null,167252,null,2770,null,11514,null,1833,null,10166,null,1594,null,26150,null,604,null,18147,null,1125,null,3998,null,954,null,4005,null,807,null,288074,null,1543,null,32134,null,1069,null,30010,null,1312,null,1959,null,773,null,165,null,156,null,215267,null,1601,null,191110,null,2649,null,12345,null,2289,null,11812,null,1761,null,40673,null,653,null,23507,null,1427,null,5528,null,1065,null,11638,null,1388,null,0400000US11,District of Columbia,11
16787807,null,4869,null,8152320,null,7558,null,1242349,null,6461,null,1152634,null,8680,null,71953,null,4962,null,17762,null,2365,null,5578459,null,8617,null,4927930,null,13179,null,280940,null,9113,null,369589,null,9663,null,1331512,null,3477,null,840492,null,9197,null,245632,null,6868,null,245388,null,7464,null,8635487,null,6673,null,1172777,null,5497,null,1123118,null,6256,null,38287,null,3171,null,11372,null,1881,null,5784222,null,7819,null,5117970,null,15248,null,280986,null,9055,null,385266,null,9282,null,1678488,null,4570,null,1012259,null,9212,null,278490,null,8332,null,387739,null,9948,null,0400000US12,Florida,12
