B14003_001E,B14003_001EA,B14003_001M,B14003_001MA,B14003_002E,B14003_002EA,B14003_002M,B14003_002MA,B14003_003E,B14003_003EA,B14003_003M,B14003_003MA,B14003_004E,B14003_004EA,B14003_004M,B14003_004MA,B14003_005E,B14003_005EA,B14003_005M,B14003_005MA,B14003_006E,B14003_006EA,B14003_006M,B14003_006MA,B14003_007E,B14003_007EA,B14003_007M,B14003_007MA,B14003_008E,B14003_008EA,B14003_008M,B14003_008MA,B14003_009E,B14003_009EA,B14003_009M,B14003_009MA,B14003_010E,B14003_010EA,B14003_010M,B14003_010MA,B14003_011E,B14003_011EA,B14003_011M,B14003_011MA,B14003_012E,B14003_012EA,B14003_012M,B14003_012MA,B14003_013E,B14003_013EA,B14003_013M,B14003_013MA,B14003_014E,B14003_014EA,B14003_014M,B14003_014MA,B14003_015E,B14003_015EA,B14003_015M,B14003_015MA,B14003_016E,B14003_016EA,B14003_016M,B14003_016MA,B14003_017E,B14003_017EA,B14003_017M,B14003_017MA,B14003_018E,B14003_018EA,B14003_018M,B14003_018MA,B14003_019E,B14003_019EA,B14003_019M,B14003_019MA,B14003_020E,B14003_020EA,B14003_020M,B14003_020MA,B14003_021E,B14003_021EA,B14003_021M,B14003_021MA,B14003_022E,B14003_022EA,B14003_022M,B14003_022MA,B14003_023E,B14003_023EA,B14003_023M,B14003_023MA,B14003_024E,B14003_024EA,B14003_024M,B14003_024MA,B14003_025E,B14003_025EA,B14003_025M,B14003_025MA,B14003_026E,B14003_026EA,B14003_026M,B14003_026MA,B14003_027E,B14003_027EA,B14003_027M,B14003_027MA,B14003_028E,B14003_028EA,B14003_028M,B14003_028MA,B14003_029E,B14003_029EA,B14003_029M,B14003_029MA,B14003_030E,B14003_030EA,B14003_030M,B14003_030MA,B14003_031E,B14003_031EA,B14003_031M,B14003_031MA,B14003_032E,B14003_032EA,B14003_032M,B14003_032MA,B14003_033E,B14003_033EA,B14003_033M,B14003_033MA,B14003_034E,B14003_034EA,B14003_034M,B14003_034MA,B14003_035E,B14003_035EA,B14003_035M,B14003_035MA,B14003_036E,B14003_036EA,B14003_036M,B14003_036MA,B14003_037E,B14003_037EA,B14003_037M,B14003_037MA,B14003_038E,B14003_038EA,B14003_038M,B14003_038MA,B14003_039E,B14003_039EA,B14003_039M,B14003_039MA,B14003_040E,B14003_040EA,B14003_040M,B14003_040MA,B14003_041E,B14003_041EA,B14003_041M,B14003_041MA,B14003_042E,B14003_042EA,B14003_042M,B14003_042MA,B14003_043E,B14003_043EA,B14003_043M,B14003_043MA,B14003_044E,B14003_044EA,B14003_044M,B14003_044MA,B14003_045E,B14003_045EA,B14003_045M,B14003_045MA,B14003_046E,B14003_046EA,B14003_046M,B14003_046MA,B14003_047E,B14003_047EA,B14003_047M,B14003_047MA,B14003_048E,B14003_048EA,B14003_048M,B14003_048MA,B14003_049E,B14003_049EA,B14003_049M,B14003_049MA,B14003_050E,B14003_050EA,B14003_050M,B14003_050MA,B14003_051E,B14003_051EA,B14003_051M,B14003_051MA,B14003_052E,B14003_052EA,B14003_052M,B14003_052MA,B14003_053E,B14003_053EA,B14003_053M,B14003_053MA,B14003_054E,B14003_054EA,B14003_054M,B14003_054MA,B14003_055E,B14003_055EA,B14003_055M,B14003_055MA,B14003_056E,B14003_056EA,B14003_056M,B14003_056MA,B14003_057E,B14003_057EA,B14003_057M,B14003_057MA,GEO_ID,NAME,state
4447376,null,4963,null,2148411,null,6604,null,483296,null,8515,null,13561,null,1910,null,129296,null,4294,null,136052,null,4906,null,82234,null,3068,null,40736,null,2751,null,48162,null,3942,null,18830,null,2140,null,14425,null,2136,null,84475,null,5198,null,15571,null,2066,null,17928,null,2004,null,17604,null,2256,null,10511,null,1822,null,6371,null,980,null,7707,null,1443,null,3465,null,960,null,5318,null,1072,null,1580640,null,7553,null,37429,null,3318,null,9900,null,1759,null,2434,null,800,null,8013,null,1596,null,24283,null,2173,null,106360,null,4020,null,267006,null,4358,null,1125215,null,4367,null,2298965,null,5080,null,509877,null,7917,null,13039,null,2060,null,120504,null,4604,null,131898,null,4883,null,84228,null,2624,null,41518,null,2536,null,58546,null,3500,null,31229,null,2899,null,28915,null,2773,null,84565,null,4362,null,12543,null,1651,null,20243,null,2075,null,17822,null,2078,null,8988,null,1425,null,4598,null,1087,null,9929,null,1434,null,4651,null,1173,null,5791,null,1184,null,1704523,null,7672,null,36385,null,3753,null,10121,null,1605,null,2361,null,622,null,5510,null,1139,null,17646,null,2117,null,91452,null,4141,null,264070,null,3628,null,1276978,null,4398,null,0400000US01,Alabama,01
651727,null,1748,null,341307,null,2047,null,84106,null,2962,null,2320,null,568,null,19784,null,1719,null,22343,null,1727,null,17121,null,1205,null,6609,null,1050,null,6704,null,1464,null,5229,null,1109,null,3996,null,1095,null,10870,null,1873,null,2021,null,661,null,2586,null,878,null,1549,null,553,null,974,null,501,null,369,null,289,null,882,null,582,null,756,null,562,null,1733,null,595,null,246331,null,3343,null,6163,null,1077,null,2451,null,909,null,559,null,359,null,1078,null,513,null,4467,null,875,null,26919,null,2222,null,44330,null,2129,null,160364,null,2527,null,310420,null,2191,null,79685,null,2718,null,1617,null,519,null,17841,null,1730,null,22086,null,1616,null,14084,null,1034,null,5585,null,1077,null,6204,null,1159,null,4978,null,1015,null,7290,null,1069,null,10406,null,1492,null,1690,null,656,null,2142,null,719,null,1129,null,464,null,549,null,389,null,831,null,605,null,918,null,514,null,1400,null,595,null,1747,null,711,null,220329,null,2949,null,5110,null,987,null,2283,null,799,null,474,null,363,null,1414,null,824,null,3880,null,884,null,17173,null,1537,null,38041,null,2197,null,151954,null,1722,null,0400000US02,Alaska,02
6045187,null,5800,null,3026490,null,4606,null,726618,null,9396,null,22680,null,2961,null,194852,null,5947,null,215215,null,5625,null,123074,null,2794,null,47673,null,2664,null,56515,null,4006,null,39438,null,3756,null,27171,null,2769,null,91199,null,6597,null,15366,null,2025,null,17738,null,2104,null,14465,null,2093,null,7844,null,1535,null,4340,null,1439,null,10814,null,2357,null,11008,null,2278,null,9624,null,1482,null,2208673,null,9693,null,70257,null,3935,null,14297,null,1886,null,3761,null,1069,null,8352,null,1716,null,34248,null,2727,null,157219,null,5026,null,431196,null,4305,null,1489343,null,3631,null,3018697,null,4736,null,737102,null,9269,null,19232,null,2474,null,193379,null,5157,null,198275,null,5109,null,113613,null,2848,null,49623,null,2547,null,64617,null,4008,null,51543,null,4053,null,46820,null,3573,null,95643,null,4925,null,16065,null,1996,null,18453,null,2080,null,13357,null,1871,null,9277,null,1759,null,3866,null,860,null,8749,null,1902,null,11516,null,1910,null,14360,null,2009,null,2185952,null,10329,null,61799,null,3881,null,14784,null,2069,null,3455,null,1056,null,7397,null,1462,null,25237,null,2255,null,129474,null,4451,null,371358,null,4865,null,1572448,null,4689,null,0400000US04,Arizona,04
2717853,null,4159,null,1326680,null,4170,null,311466,null,6009,null,12410,null,1883,null,83654,null,3434,null,86929,null,3570,null,52833,null,2068,null,25754,null,2248,null,25456,null,2462,null,14533,null,2225,null,9897,null,1747,null,37148,null,3240,null,6221,null,1125,null,9110,null,1417,null,6505,null,1386,null,4157,null,866,null,2453,null,682,null,4208,null,966,null,2562,null,939,null,1932,null,817,null,978066,null,5952,null,20355,null,2338,null,6097,null,1297,null,4130,null,1166,null,3803,null,1016,null,14267,null,2052,null,67048,null,3483,null,166526,null,4111,null,695840,null,4035,null,1391173,null,4096,null,319335,null,6680,null,11343,null,1585,null,82331,null,3664,null,82629,null,3391,null,51435,null,2145,null,25448,null,2119,null,28886,null,2104,null,17551,null,2190,null,19712,null,2112,null,41312,null,3230,null,7343,null,1420,null,7354,null,1143,null,7706,null,1546,null,3222,null,827,null,4609,null,795,null,5047,null,1266,null,2193,null,778,null,3838,null,954,null,1030526,null,5926,null,22334,null,2234,null,6889,null,1474,null,2717,null,865,null,3041,null,914,null,11692,null,1848,null,56627,null,2650,null,162646,null,3339,null,764580,null,3538,null,0400000US05,Arkansas,05
34952975,null,13314,null,17459837,null,10466,null,4382874,null,19491,null,149927,null,6663,null,1073941,null,12589,null,1202767,null,12391,null,756281,null,5313,null,336450,null,6516,null,438072,null,9863,null,236519,null,10241,null,188917,null,6641,null,716897,null,16482,null,119627,null,5743,null,131370,null,6599,null,119228,null,5769,null,66424,null,4335,null,48051,null,3587,null,89000,null,5714,null,74583,null,4655,null,68614,null,4027,null,12360066,null,19448,null,272539,null,8151,null,42575,null,3398,null,19964,null,2776,null,30022,null,3329,null,188860,null,5877,null,899249,null,11336,null,2402523,null,11499,null,8504334,null,8430,null,17493138,null,10055,null,4462904,null,20863,null,147517,null,6395,null,1022791,null,13988,null,1146156,null,13292,null,717982,null,4864,null,343929,null,5555,null,488596,null,11723,null,292376,null,9658,null,303557,null,8895,null,765370,null,13689,null,113472,null,4602,null,134181,null,5839,null,113475,null,5460,null,66236,null,4227,null,55701,null,3839,null,107180,null,5999,null,86496,null,4625,null,88629,null,4545,null,12264864,null,19337,null,258568,null,8086,null,38959,null,3066,null,14756,null,2232,null,24623,null,2327,null,136487,null,4820,null,706257,null,10859,null,2113043,null,11050,null,8972171,null,10312,null,0400000US06,California,06
4651132,null,4585,null,2342934,null,4488,null,532377,null,6899,null,17594,null,2012,null,139991,null,4941,null,147730,null,4410,null,86676,null,2729,null,42212,null,2282,null,54228,null,3629,null,25588,null,3085,null,18358,null,2047,null,83178,null,5279,null,13645,null,1564,null,15808,null,2273,null,12217,null,1673,null,8287,null,1404,null,4807,null,1180,null,9378,null,1528,null,10509,null,1674,null,8527,null,1493,null,1727379,null,8556,null,38990,null,3061,null,11377,null,2233,null,3098,null,916,null,6540,null,1420,null,21562,null,2030,null,115036,null,3920,null,342033,null,4088,null,1188743,null,4707,null,2308198,null,4152,null,544084,null,8250,null,15507,null,2090,null,137824,null,4442,null,136881,null,4167,null,87123,null,2046,null,38928,null,1859,null,57698,null,3335,null,35719,null,2787,null,34404,null,2950,null,87638,null,4657,null,14209,null,1803,null,15540,null,2091,null,12159,null,1898,null,6437,null,1337,null,4648,null,881,null,10835,null,1738,null,10845,null,1912,null,12965,null,1812,null,1676476,null,7946,null,38992,null,2993,null,9619,null,1646,null,2234,null,828,null,3278,null,1032,null,17310,null,1772,null,89030,null,3580,null,297651,null,4590,null,1218362,null,4069,null,0400000US08,Colorado,08
3375713,null,3756,null,1639734,null,3569,null,366115,null,6279,null,15738,null,2075,null,95766,null,4008,null,105911,null,3690,null,65999,null,1570,null,26220,null,1748,null,29279,null,3115,null,13495,null,1662,null,13707,null,1834,null,94123,null,4492,null,12374,null,1529,null,13092,null,1767,null,11922,null,1617,null,8670,null,1112,null,12010,null,1243,null,20412,null,2220,null,7897,null,1550,null,7746,null,1331,null,1179496,null,6152,null,14380,null,1800,null,4622,null,1036,null,1556,null,767,null,1974,null,741,null,14003,null,2073,null,64640,null,3178,null,181513,null,3052,null,896808,null,2211,null,1735979,null,3531,null,367329,null,5465,null,13558,null,1752,null,90196,null,3544,null,102567,null,3759,null,64291,null,1795,null,24320,null,1626,null,32923,null,2730,null,19432,null,1608,null,20042,null,2133,null,112803,null,5050,null,13899,null,1884,null,12177,null,1648,null,12328,null,1548,null,8163,null,1226,null,16108,null,1482,null,25951,null,2472,null,11478,null,1808,null,12699,null,1774,null,1255847,null,5419,null,15439,null,1884,null,4787,null,1109,null,1271,null,576,null,1774,null,691,null,8011,null,1312,null,49814,null,3084,null,168842,null,2042,null,1005909,null,3162,null,0400000US09,Connecticut,09
829418,null,1958,null,399935,null,1613,null,85803,null,3413,null,2967,null,1076,null,20449,null,1871,null,24874,null,2076,null,14091,null,909,null,8026,null,1187,null,7924,null,1663,null,3776,null,947,null,3696,null,1130,null,20921,null,2198,null,2087,null,732,null,4476,null,982,null,4612,null,913,null,2399,null,704,null,1397,null,449,null,2558,null,743,null,1872,null,663,null,1520,null,514,null,293211,null,3224,null,6274,null,1205,null,1669,null,649,null,563,null,394,null,1426,null,579,null,4518,null,1091,null,18878,null,1584,null,45290,null,1200,null,214593,null,1525,null,429483,null,1548,null,89924,null,3088,null,2622,null,877,null,18370,null,1726,null,23105,null,1845,null,14154,null,1014,null,9412,null,921,null,11416,null,1713,null,5134,null,956,null,5711,null,1109,null,24486,null,2520,null,3148,null,688,null,5654,null,955,null,4185,null,899,null,2820,null,683,null,1688,null,592,null,2515,null,718,null,2627,null,938,null,1849,null,765,null,315073,null,2790,null,6718,null,1139,null,1862,null,603,null,915,null,451,null,846,null,434,null,1805,null,568,null,15060,null,1479,null,47281,null,1434,null,240586,null,1363,null,0400000US10,Delaware,10
564337,null,1626,null,264781,null,1495,null,43521,null,2754,null,1728,null,878,null,10865,null,1527,null,11260,null,1415,null,7536,null,767,null,2852,null,780,null,3644,null,1199,null,2759,null,848,null,2877,null,1033,null,26818,null,3165,null,2197,null,866,null,3466,null,1021,null,2601,null,922,null,1863,null,553,null,3516,null,720,null,5327,null,1324,null,4583,null,1100,null,3265,null,1148,null,194442,null,2551,null,1998,null,841,null,485,null,390,null,370,null,297,null,558,null,401,null,2692,null,837,null,15884,null,1712,null,44657,null,1505,null,127798,null,1401,null,299556,null,1403,null,44982,null,2588,null,2285,null,867,null,9516,null,1559,null,10575,null,1613,null,6808,null,835,null,3554,null,857,null,4276,null,1074,null,3598,null,1020,null,4370,null,1174,null,33413,null,3207,null,2172,null,866,null,4635,null,1204,null,3160,null,934,null,1956,null,738,null,5656,null,877,null,6540,null,1049,null,6190,null,1358,null,3104,null,886,null,221161,null,3128,null,1977,null,988,null,505,null,508,null,307,null,323,null,796,null,481,null,1700,null,816,null,18059,null,1337,null,46215,null,1760,null,151602,null,1307,null,0400000US11,District of Columbia,11
17564477,null,9132,null,8614476,null,8598,null,1743009,null,15614,null,55705,null,4203,null,437843,null,7565,null,488681,null,8581,null,308793,null,5414,null,130443,null,6084,null,168682,null,6198,null,85232,null,6100,null,67630,null,4279,null,388829,null,10245,null,64629,null,4231,null,79409,null,4981,null,73354,null,4567,null,36194,null,3263,null,29202,null,2828,null,42313,null,3384,null,30353,null,2876,null,33375,null,3150,null,6482638,null,14599,null,115089,null,6139,null,26871,null,3297,null,11494,null,2102,null,24338,null,2711,null,88780,null,4837,null,385479,null,6725,null,1030824,null,7677,null,4799763,null,7047,null,8950001,null,9623,null,1773374,null,14733,null,54471,null,3997,null,424978,null,10785,null,461666,null,10632,null,290682,null,4884,null,135754,null,5048,null,181159,null,6749,null,109643,null,5175,null,115021,null,5344,null,410090,null,12249,null,63230,null,4658,null,79436,null,4976,null,63761,null,4924,null,37364,null,3675,null,28121,null,2218,null,47485,null,4158,null,40122,null,3627,null,50571,null,3593,null,6766537,null,15419,null,106112,null,5715,null,21059,null,2528,null,10167,null,2285,null,20577,null,2471,null,62454,null,4888,null,320619,null,7508,null,951006,null,6722,null,5274543,null,9380,null,0400000US12,Florida,12
