C15002D_001E,C15002D_001EA,C15002D_001M,C15002D_001MA,C15002D_002E,C15002D_002EA,C15002D_002M,C15002D_002MA,C15002D_003E,C15002D_003EA,C15002D_003M,C15002D_003MA,C15002D_004E,C15002D_004EA,C15002D_004M,C15002D_004MA,C15002D_005E,C15002D_005EA,C15002D_005M,C15002D_005MA,C15002D_006E,C15002D_006EA,C15002D_006M,C15002D_006MA,C15002D_007E,C15002D_007EA,C15002D_007M,C15002D_007MA,C15002D_008E,C15002D_008EA,C15002D_008M,C15002D_008MA,C15002D_009E,C15002D_009EA,C15002D_009M,C15002D_009MA,C15002D_010E,C15002D_010EA,C15002D_010M,C15002D_010MA,C15002D_011E,C15002D_011EA,C15002D_011M,C15002D_011MA,GEO_ID,NAME,state
28991,null,1894,null,12951,null,1150,null,1615,null,562,null,2378,null,648,null,1833,null,699,null,7125,null,1142,null,16040,null,1191,null,3281,null,936,null,3883,null,990,null,2193,null,688,null,6683,null,842,null,0400000US01,Alabama,01
22650,null,1164,null,9908,null,1019,null,1427,null,574,null,2837,null,842,null,3319,null,876,null,2325,null,708,null,12742,null,803,null,3048,null,831,null,3317,null,785,null,2976,null,799,null,3401,null,670,null,0400000US02,Alaska,02
103244,null,2056,null,47178,null,1351,null,4117,null,1163,null,5679,null,1355,null,8575,null,1443,null,28807,null,1845,null,56066,null,1378,null,8801,null,1345,null,10910,null,1721,null,10168,null,1446,null,26187,null,2044,null,0400000US04,Arizona,04
19846,null,1543,null,9164,null,845,null,993,null,428,null,2626,null,741,null,1558,null,507,null,3987,null,1090,null,10682,null,1140,null,2385,null,629,null,3022,null,926,null,1900,null,724,null,3375,null,887,null,0400000US05,Arkansas,05
3146263,null,9282,null,1465235,null,6246,null,171857,null,6848,null,233349,null,8062,null,323002,null,9189,null,737027,null,13247,null,1681028,null,5312,null,275860,null,7302,null,288479,null,8722,null,352553,null,8064,null,764136,null,11884,null,0400000US06,California,06
87688,null,2245,null,39605,null,2057,null,5440,null,1150,null,5952,null,1214,null,7814,null,1407,null,20399,null,2013,null,48083,null,1370,null,7189,null,1359,null,10811,null,1787,null,9206,null,1574,null,20877,null,1957,null,0400000US08,Colorado,08
79219,null,1390,null,39286,null,916,null,2906,null,812,null,4876,null,1165,null,5265,null,1112,null,26239,null,1692,null,39933,null,1016,null,5923,null,1361,null,6042,null,1333,null,5415,null,1501,null,22553,null,1974,null,0400000US09,Connecticut,09
17933,null,767,null,8414,null,429,null,550,null,314,null,1413,null,621,null,765,null,357,null,5686,null,646,null,9519,null,549,null,1014,null,371,null,2055,null,832,null,1635,null,580,null,4815,null,645,null,0400000US10,Delaware,10
13061,null,855,null,5601,null,635,null,274,null,263,null,790,null,659,null,754,null,897,null,3783,null,997,null,7460,null,371,null,400,null,307,null,552,null,366,null,676,null,360,null,5832,null,655,null,0400000US11,District of Columbia,11
279806,null,3954,null,125823,null,2525,null,12733,null,1699,null,22233,null,2727,null,26930,null,2857,null,63927,null,3659,null,153983,null,2825,null,21660,null,2195,null,33311,null,2932,null,30593,null,2955,null,68419,null,3199,null,0400000US12,Florida,12
