B19326_001E,B19326_001EA,B19326_001M,B19326_001MA,B19326_002E,B19326_002EA,B19326_002M,B19326_002MA,B19326_003E,B19326_003EA,B19326_003M,B19326_003MA,B19326_004E,B19326_004EA,B19326_004M,B19326_004MA,B19326_005E,B19326_005EA,B19326_005M,B19326_005MA,B19326_006E,B19326_006EA,B19326_006M,B19326_006MA,B19326_007E,B19326_007EA,B19326_007M,B19326_007MA,GEO_ID,NAME,state
21221,null,204,null,28120,null,511,null,41639,null,389,null,13877,null,344,null,16103,null,206,null,30626,null,378,null,10261,null,169,null,0400000US01,Alabama,01
27114,null,629,null,35029,null,1664,null,54145,null,2862,null,18599,null,1277,null,21392,null,673,null,40231,null,1438,null,12152,null,559,null,0400000US02,Alaska,02
25682,null,266,null,31671,null,318,null,41984,null,373,null,18663,null,443,null,20314,null,270,null,34986,null,628,null,12050,null,162,null,0400000US04,Arizona,04
20219,null,262,null,25850,null,440,null,37044,null,459,null,14337,null,351,null,15565,null,239,null,27651,null,716,null,10077,null,221,null,0400000US05,Arkansas,05
26738,null,104,null,32675,null,223,null,47307,null,266,null,17828,null,255,null,21169,null,125,null,40147,null,165,null,12270,null,66,null,0400000US06,California,06
28385,null,437,null,35561,null,388,null,47610,null,748,null,19510,null,562,null,21791,null,285,null,37755,null,706,null,12042,null,170,null,0400000US08,Colorado,08
31403,null,258,null,41037,null,427,null,56973,null,946,null,20006,null,526,null,24436,null,404,null,43096,null,889,null,13975,null,299,null,0400000US09,Connecticut,09
29120,null,809,null,35905,null,728,null,50102,null,1095,null,19638,null,1048,null,22700,null,829,null,40194,null,990,null,12592,null,497,null,0400000US10,Delaware,10
32968,null,1300,null,38814,null,2440,null,55123,null,4176,null,15618,null,1117,null,28891,null,2218,null,50433,null,1575,null,14206,null,987,null,0400000US11,District of Columbia,11
24878,null,162,null,30689,null,181,null,41110,null,221,null,18866,null,282,null,19998,null,156,null,33101,null,336,null,11934,null,95,null,0400000US12,Florida,12
25360,null,210,null,31276,null,226,null,42803,null,640,null,15178,null,318,null,20172,null,197,null,34472,null,531,null,11077,null,131,null,0400000US13,Georgia,13
29783,null,701,null,35284,null,750,null,46378,null,1172,null,21446,null,921,null,24168,null,727,null,36590,null,827,null,13633,null,632,null,0400000US15,Hawaii,15
22973,null,419,null,30379,null,453,null,40538,null,579,null,18567,null,745,null,16296,null,440,null,30005,null,755,null,10623,null,242,null,0400000US16,Idaho,16
26647,null,156,null,34634,null,389,null,50137,null,226,null,17211,null,223,null,20556,null,167,null,36452,null,319,null,11695,null,112,null,0400000US17,Illinois,17
24884,null,241,null,32252,null,213,null,45069,null,392,null,17153,null,313,null,18386,null,272,null,31975,null,286,null,11053,null,136,null,0400000US18,Indiana,18
24340,null,275,null,31466,null,255,null,42163,null,318,null,16393,null,393,null,18688,null,351,null,31686,null,319,null,11416,null,165,null,0400000US19,Iowa,19
24587,null,308,null,31374,null,372,null,43350,null,760,null,15923,null,353,null,19311,null,374,null,32011,null,406,null,11287,null,213,null,0400000US20,Kansas,20
21198,null,208,null,27281,null,329,null,40833,null,502,null,14363,null,338,null,16306,null,259,null,30622,null,320,null,10125,null,192,null,0400000US21,Kentucky,21
21057,null,239,null,29618,null,611,null,43115,null,1047,null,14619,null,391,null,15460,null,300,null,28873,null,811,null,9892,null,168,null,0400000US22,Louisiana,22
23220,null,417,null,30350,null,492,null,42980,null,1075,null,16768,null,576,null,17672,null,542,null,32244,null,543,null,11243,null,257,null,0400000US23,Maine,23
33037,null,423,null,41162,null,369,null,56208,null,718,null,19186,null,704,null,26917,null,373,null,45348,null,511,null,13474,null,366,null,0400000US24,Maryland,24
30174,null,207,null,37849,null,711,null,55454,null,738,null,17447,null,361,null,23083,null,337,null,43332,null,636,null,13034,null,248,null,0400000US25,Massachusetts,25
24415,null,210,null,32104,null,221,null,50116,null,298,null,18166,null,332,null,18121,null,216,null,35658,null,325,null,11427,null,104,null,0400000US26,Michigan,26
28459,null,287,null,36090,null,302,null,49624,null,621,null,19144,null,438,null,21592,null,194,null,37428,null,406,null,12400,null,144,null,0400000US27,Minnesota,27
18703,null,409,null,24767,null,670,null,37801,null,1053,null,12284,null,276,null,14602,null,368,null,27592,null,706,null,9558,null,154,null,0400000US28,Mississippi,28
23323,null,254,null,30223,null,241,null,42212,null,374,null,15890,null,374,null,18296,null,278,null,31632,null,314,null,10929,null,129,null,0400000US29,Missouri,29
21189,null,382,null,27922,null,985,null,40331,null,900,null,16969,null,698,null,15924,null,473,null,27454,null,872,null,10513,null,342,null,0400000US30,Montana,30
24157,null,309,null,31062,null,387,null,40690,null,442,null,16198,null,499,null,18386,null,455,null,31144,null,507,null,10781,null,233,null,0400000US31,Nebraska,31
28895,null,538,null,34492,null,838,null,44722,null,1287,null,20950,null,666,null,23257,null,510,null,35135,null,651,null,13396,null,487,null,0400000US32,Nevada,32
29383,null,579,null,39582,null,1062,null,52438,null,1255,null,19352,null,946,null,21907,null,497,null,36707,null,774,null,12526,null,463,null,0400000US33,New Hampshire,33
31787,null,204,null,41132,null,278,null,56525,null,640,null,20104,null,355,null,24556,null,395,null,43799,null,710,null,13589,null,252,null,0400000US34,New Jersey,34
21382,null,358,null,26605,null,611,null,40020,null,1050,null,14496,null,549,null,16616,null,415,null,30819,null,547,null,10242,null,325,null,0400000US35,New Mexico,35
26720,null,147,null,33188,null,368,null,48898,null,645,null,16659,null,178,null,21186,null,153,null,40135,null,257,null,11833,null,86,null,0400000US36,New York,36
23475,null,217,null,29573,null,335,null,40609,null,282,null,14917,null,312,null,18552,null,261,null,32411,null,279,null,11065,null,125,null,0400000US37,North Carolina,37
22949,null,485,null,30364,null,598,null,41025,null,759,null,15988,null,934,null,17433,null,443,null,28962,null,849,null,10424,null,373,null,0400000US38,North Dakota,38
24290,null,158,null,31598,null,178,null,45656,null,311,null,16878,null,231,null,18387,null,205,null,34176,null,333,null,11306,null,102,null,0400000US39,Ohio,39
21887,null,199,null,28285,null,479,null,40016,null,607,null,15026,null,394,null,16729,null,295,null,30348,null,418,null,10205,null,190,null,0400000US40,Oklahoma,40
24497,null,267,null,30933,null,355,null,43911,null,873,null,18116,null,468,null,19327,null,379,null,33803,null,703,null,12244,null,201,null,0400000US41,Oregon,41
24276,null,184,null,31841,null,188,null,45932,null,300,null,16850,null,209,null,18244,null,167,null,34600,null,345,null,11275,null,96,null,0400000US42,Pennsylvania,42
26427,null,475,null,34388,null,1456,null,50372,null,977,null,16165,null,784,null,20256,null,604,null,38765,null,1562,null,12153,null,349,null,0400000US44,Rhode Island,44
22700,null,337,null,30104,null,343,null,41012,null,345,null,15314,null,375,null,17590,null,347,null,30902,null,356,null,10749,null,175,null,0400000US45,South Carolina,45
22451,null,392,null,29404,null,922,null,38627,null,1114,null,13742,null,868,null,18101,null,538,null,28276,null,874,null,10737,null,274,null,0400000US46,South Dakota,46
22086,null,147,null,28372,null,445,null,40473,null,330,null,14498,null,306,null,17012,null,205,null,30839,null,271,null,10253,null,155,null,0400000US47,Tennessee,47
23872,null,152,null,30126,null,165,null,41079,null,225,null,14945,null,181,null,18250,null,169,null,32654,null,369,null,10332,null,89,null,0400000US48,Texas,48
23881,null,366,null,31891,null,407,null,44451,null,851,null,15959,null,433,null,16369,null,310,null,31661,null,460,null,9971,null,252,null,0400000US49,Utah,49
25349,null,524,null,31400,null,673,null,41816,null,732,null,16972,null,766,null,19781,null,562,null,35944,null,832,null,11975,null,353,null,0400000US50,Vermont,50
29174,null,281,null,36733,null,341,null,50310,null,416,null,17662,null,432,null,22337,null,227,null,38204,null,634,null,11954,null,167,null,0400000US51,Virginia,51
28307,null,325,null,36576,null,310,null,51295,null,382,null,20524,null,440,null,21075,null,265,null,38903,null,629,null,12497,null,215,null,0400000US53,Washington,53
19997,null,329,null,26248,null,521,null,40944,null,709,null,15994,null,499,null,14568,null,400,null,27579,null,844,null,10026,null,266,null,0400000US54,West Virginia,54
