B06007_001E,B06007_001EA,B06007_001M,B06007_001MA,B06007_002E,B06007_002EA,B06007_002M,B06007_002MA,B06007_003E,B06007_003EA,B06007_003M,B06007_003MA,B06007_004E,B06007_004EA,B06007_004M,B06007_004MA,B06007_005E,B06007_005EA,B06007_005M,B06007_005MA,B06007_006E,B06007_006EA,B06007_006M,B06007_006MA,B06007_007E,B06007_007EA,B06007_007M,B06007_007MA,B06007_008E,B06007_008EA,B06007_008M,B06007_008MA,B06007_009E,B06007_009EA,B06007_009M,B06007_009MA,B06007_010E,B06007_010EA,B06007_010M,B06007_010MA,B06007_011E,B06007_011EA,B06007_011M,B06007_011MA,B06007_012E,B06007_012EA,B06007_012M,B06007_012MA,B06007_013E,B06007_013EA,B06007_013M,B06007_013MA,B06007_014E,B06007_014EA,B06007_014M,B06007_014MA,B06007_015E,B06007_015EA,B06007_015M,B06007_015MA,B06007_016E,B06007_016EA,B06007_016M,B06007_016MA,B06007_017E,B06007_017EA,B06007_017M,B06007_017MA,B06007_018E,B06007_018EA,B06007_018M,B06007_018MA,B06007_019E,B06007_019EA,B06007_019M,B06007_019MA,B06007_020E,B06007_020EA,B06007_020M,B06007_020MA,B06007_021E,B06007_021EA,B06007_021M,B06007_021MA,B06007_022E,B06007_022EA,B06007_022M,B06007_022MA,B06007_023E,B06007_023EA,B06007_023M,B06007_023MA,B06007_024E,B06007_024EA,B06007_024M,B06007_024MA,B06007_025E,B06007_025EA,B06007_025M,B06007_025MA,B06007_026E,B06007_026EA,B06007_026M,B06007_026MA,B06007_027E,B06007_027EA,B06007_027M,B06007_027MA,B06007_028E,B06007_028EA,B06007_028M,B06007_028MA,B06007_029E,B06007_029EA,B06007_029M,B06007_029MA,B06007_030E,B06007_030EA,B06007_030M,B06007_030MA,B06007_031E,B06007_031EA,B06007_031M,B06007_031MA,B06007_032E,B06007_032EA,B06007_032M,B06007_032MA,B06007_033E,B06007_033EA,B06007_033M,B06007_033MA,B06007_034E,B06007_034EA,B06007_034M,B06007_034MA,B06007_035E,B06007_035EA,B06007_035M,B06007_035MA,B06007_036E,B06007_036EA,B06007_036M,B06007_036MA,B06007_037E,B06007_037EA,B06007_037M,B06007_037MA,B06007_038E,B06007_038EA,B06007_038M,B06007_038MA,B06007_039E,B06007_039EA,B06007_039M,B06007_039MA,B06007_040E,B06007_040EA,B06007_040M,B06007_040MA,GEO_ID,NAME,state
4318848,null,3512,null,4135017,null,7285,null,105312,null,4892,null,48384,null,4124,null,56928,null,3993,null,78519,null,5807,null,50233,null,4223,null,28286,null,4055,null,3027073,null,18623,null,2990147,null,18035,null,24242,null,2859,null,16609,null,2227,null,7633,null,1563,null,12684,null,1805,null,10357,null,1626,null,2327,null,778,null,1125276,null,18345,null,1089936,null,17541,null,22821,null,2905,null,19243,null,2731,null,3578,null,926,null,12519,null,1494,null,9546,null,1424,null,2973,null,831,null,31650,null,2889,null,25825,null,2509,null,3098,null,945,null,2019,null,722,null,1079,null,631,null,2727,null,956,null,2284,null,868,null,443,null,435,null,134849,null,6641,null,29109,null,3151,null,55151,null,3447,null,10513,null,1789,null,44638,null,3289,null,50589,null,4972,null,28046,null,2947,null,22543,null,4082,null,0400000US01,Alabama,01
632806,null,1002,null,532298,null,4892,null,23738,null,2518,null,15314,null,1818,null,8424,null,1801,null,76770,null,4529,null,45564,null,3804,null,31206,null,2784,null,224908,null,5409,null,186605,null,5390,null,4683,null,1247,null,3967,null,1167,null,716,null,549,null,33620,null,2130,null,24005,null,1797,null,9615,null,1116,null,343969,null,6025,null,324726,null,6032,null,9201,null,1638,null,7386,null,1325,null,1815,null,796,null,10042,null,1529,null,9102,null,1583,null,940,null,334,null,15337,null,2308,null,10616,null,1827,null,1536,null,669,null,856,null,455,null,680,null,400,null,3185,null,1205,null,1764,null,899,null,1421,null,802,null,48592,null,3469,null,10351,null,1719,null,8318,null,1573,null,3105,null,898,null,5213,null,1244,null,29923,null,2721,null,10693,null,1653,null,19230,null,2376,null,0400000US02,Alaska,02
5839788,null,1598,null,4177239,null,20481,null,1288818,null,13832,null,666193,null,15448,null,622625,null,15766,null,373731,null,12015,null,261411,null,10921,null,112320,null,7787,null,1833827,null,23521,null,1315506,null,20686,null,398737,null,14141,null,322668,null,14234,null,76069,null,6107,null,119584,null,4800,null,94128,null,4948,null,25456,null,2864,null,2961922,null,25163,null,2687832,null,21767,null,204002,null,9694,null,170457,null,9240,null,33545,null,3261,null,70088,null,5093,null,59958,null,5189,null,10130,null,1507,null,62589,null,4617,null,42444,null,3336,null,14773,null,2233,null,11722,null,1801,null,3051,null,1058,null,5372,null,1312,null,4293,null,1175,null,1079,null,585,null,981450,null,20814,null,131457,null,6713,null,671306,null,16200,null,161346,null,9640,null,509960,null,13304,null,178687,null,10600,null,103032,null,7936,null,75655,null,6795,null,0400000US04,Arizona,04
2637847,null,2141,null,2469885,null,5711,null,121423,null,4400,null,51968,null,3847,null,69455,null,4533,null,46539,null,3673,null,30062,null,2579,null,16477,null,2462,null,1565737,null,13883,null,1538731,null,14375,null,20437,null,2465,null,13112,null,1890,null,7325,null,1467,null,6569,null,1282,null,5405,null,976,null,1164,null,673,null,937880,null,13222,null,897848,null,12952,null,28825,null,3423,null,23782,null,3292,null,5043,null,1182,null,11207,null,2046,null,9192,null,1939,null,2015,null,835,null,17370,null,2339,null,14633,null,2028,null,2034,null,1052,null,1124,null,531,null,910,null,731,null,703,null,427,null,349,null,265,null,354,null,251,null,116860,null,5838,null,18673,null,3229,null,70127,null,3924,null,13950,null,2052,null,56177,null,3770,null,28060,null,2501,null,15116,null,2071,null,12944,null,1936,null,0400000US05,Arkansas,05
33891325,null,3050,null,19449674,null,51242,null,9664383,null,41745,null,4967128,null,41255,null,4697255,null,40213,null,4777268,null,34994,null,2712438,null,28864,null,2064830,null,24361,null,16741663,null,57916,null,12146673,null,55896,null,3809047,null,31843,null,3175474,null,32098,null,633573,null,15734,null,785943,null,18932,null,664876,null,17424,null,121067,null,5926,null,6823074,null,44071,null,6157856,null,41575,null,432447,null,13687,null,340853,null,12002,null,91594,null,5969,null,232771,null,9928,null,198821,null,8486,null,33950,null,3016,null,356742,null,10427,null,189177,null,7087,null,91967,null,5509,null,58904,null,4884,null,33063,null,3874,null,75598,null,5684,null,58593,null,4796,null,17005,null,2028,null,9969846,null,44218,null,955968,null,18881,null,5330922,null,33454,null,1391897,null,22712,null,3939025,null,33871,null,3682956,null,28064,null,1790148,null,22161,null,1892808,null,23656,null,0400000US06,California,06
4512195,null,1921,null,3756446,null,18491,null,539510,null,15228,null,271915,null,10712,null,267595,null,12455,null,216239,null,9373,null,146081,null,7220,null,70158,null,5544,null,1763645,null,18812,null,1577176,null,18942,null,154422,null,7844,null,117350,null,6176,null,37072,null,3965,null,32047,null,3421,null,26905,null,2847,null,5142,null,1492,null,2207031,null,20309,null,2060864,null,19130,null,107224,null,6414,null,84832,null,5970,null,22392,null,2467,null,38943,null,3599,null,34046,null,3211,null,4897,null,1116,null,61824,null,3786,null,46887,null,3601,null,8655,null,2303,null,5967,null,1922,null,2688,null,1122,null,6282,null,1301,null,5234,null,1170,null,1048,null,489,null,479695,null,16391,null,71519,null,5189,null,269209,null,12837,null,63766,null,5580,null,205443,null,12137,null,138967,null,6695,null,79896,null,5246,null,59071,null,4366,null,0400000US08,Colorado,08
3290325,null,1348,null,2650739,null,11922,null,304338,null,7750,null,174060,null,7484,null,130278,null,6529,null,335248,null,9820,null,213189,null,7190,null,122059,null,6548,null,1759368,null,17638,null,1616047,null,17035,null,77791,null,5667,null,67710,null,5430,null,10081,null,1469,null,65530,null,3628,null,57682,null,3491,null,7848,null,1177,null,976742,null,14491,null,891412,null,13922,null,43138,null,4340,null,36413,null,3674,null,6725,null,1570,null,42192,null,3477,null,37360,null,3323,null,4832,null,965,null,108310,null,6843,null,22676,null,2367,null,80971,null,5927,null,39497,null,3625,null,41474,null,4345,null,4663,null,1165,null,3092,null,924,null,1571,null,835,null,445905,null,13238,null,120604,null,7225,null,102438,null,6901,null,30440,null,3182,null,71998,null,6573,null,222863,null,8361,null,115055,null,5625,null,107808,null,5979,null,0400000US09,Connecticut,09
805602,null,277,null,708673,null,5087,null,48066,null,3800,null,26728,null,2737,null,21338,null,2968,null,48863,null,3863,null,34023,null,3486,null,14840,null,2138,null,345109,null,9180,null,325235,null,9377,null,11484,null,1999,null,9635,null,1872,null,1849,null,786,null,8390,null,2171,null,6413,null,1774,null,1977,null,746,null,383333,null,8975,null,361633,null,9107,null,11494,null,1905,null,9280,null,1541,null,2214,null,854,null,10206,null,1765,null,8184,null,1503,null,2022,null,742,null,12302,null,2249,null,6750,null,1639,null,5217,null,1653,null,3221,null,1291,null,1996,null,790,null,335,null,263,null,190,null,159,null,145,null,168,null,64858,null,4053,null,15055,null,1996,null,19871,null,3025,null,4592,null,1266,null,15279,null,2617,null,29932,null,2701,null,19236,null,2345,null,10696,null,1841,null,0400000US10,Delaware,10
551980,null,267,null,471785,null,4774,null,41463,null,3400,null,25526,null,2885,null,15937,null,2360,null,38732,null,3931,null,29485,null,3253,null,9247,null,2117,null,204886,null,5665,null,194336,null,5481,null,8369,null,1912,null,7078,null,1741,null,1291,null,615,null,2181,null,718,null,1952,null,703,null,229,null,207,null,266770,null,6169,null,249266,null,5970,null,9237,null,1866,null,7878,null,1697,null,1359,null,632,null,8267,null,1510,null,7422,null,1521,null,845,null,429,null,6255,null,1312,null,4072,null,1054,null,1024,null,652,null,676,null,521,null,348,null,394,null,1159,null,608,null,1093,null,606,null,66,null,87,null,74069,null,4687,null,24111,null,3254,null,22833,null,2455,null,9894,null,1784,null,12939,null,2334,null,27125,null,3743,null,19018,null,2819,null,8107,null,2106,null,0400000US11,District of Columbia,11
17105241,null,3743,null,12639454,null,34530,null,3269092,null,20848,null,1678965,null,24983,null,1590127,null,22426,null,1196695,null,26592,null,738792,null,18018,null,457903,null,17399,null,5204363,null,33255,null,4517050,null,34419,null,550398,null,13997,null,475898,null,13939,null,74500,null,5035,null,136915,null,8229,null,119653,null,7762,null,17262,null,2901,null,7939827,null,34065,null,7322773,null,32967,null,448313,null,14384,null,378877,null,13473,null,69436,null,5262,null,168741,null,7739,null,146740,null,7387,null,22001,null,2562,null,539012,null,15226,null,151064,null,6076,null,364576,null,14078,null,206664,null,10726,null,157912,null,8682,null,23372,null,4049,null,17962,null,3877,null,5410,null,1582,null,3422039,null,29919,null,648567,null,15650,null,1905805,null,21453,null,617526,null,14196,null,1288279,null,20328,null,867667,null,21200,null,454437,null,13474,null,413230,null,16054,null,0400000US12,Florida,12
